gene_id	TCGA-22-5491-01A-01R-1635-07	gene_id	TCGA-22-5491-11A-01R-1858-07
AIMP2	1434.5804	AIMP2	232.0458
AIP	1241.6417	AIP	1795.0736
AJAP1	7.9011	AJAP1	17.4478
AK1	550.4426	AK1	3712.2819
AK2	2091.1552	AK2	2242.2135
AK3L1	319.5552	AK3L1	17.4478
AK3	1246.3238	AK3	1720.8348
removed	removed	AK5	5.1317
AK7	144.5607	AK7	63.6333
AKAP10	335.6500	AKAP10	397.1947
AKAP11	726.0224	AKAP11	1454.6699
AKAP12	69.0614	AKAP12	1976.3941
AKAP13	1197.1615	AKAP13	8817.3110
AKAP14	62.0382	removed	removed
AKAP1	2579.2670	AKAP1	1596.9894
AKAP2	100.1800	AKAP2	4839.8118
AKAP3	9.3643	AKAP3	15.0530
AKAP5	22.5327	AKAP5	117.3452
AKAP6	50.0402	AKAP6	129.3192
AKAP7	99.4952	AKAP7	300.0342
AKAP8L	524.1056	AKAP8L	697.9131
AKAP8	763.1868	AKAP8	596.6473
AKAP9	580.8764	AKAP9	1307.2186
AKD1	78.4256	AKD1	67.3965
AKIRIN1	2516.0582	AKIRIN1	1483.0653
AKIRIN2	824.0544	AKIRIN2	1051.6593
AKNA	263.0770	AKNA	1329.4560
AKR1A1	3233.8869	AKR1A1	1953.8146
AKR1B10	2672.3242	removed	removed
AKR1B15	27.5075	removed	removed
AKR1B1	1840.0761	AKR1B1	1460.8279
AKR1C1	17381.8129	AKR1C1	542.2511
AKR1C2	18152.6081	AKR1C2	405.4054
AKR1C3	12945.7897	AKR1C3	998.2894
AKR1E2	50.6255	AKR1E2	18.8163
AKR7A2	970.6635	AKR7A2	1092.3709
AKR7A3	11.9980	removed	removed
AKR7L	5.8527	removed	removed
AKT1S1	1220.5721	AKT1S1	949.7092
AKT1	3479.9912	AKT1	5195.3472
AKT2	2714.4634	AKT2	2122.4769
AKT3	348.8185	AKT3	641.8064
AKTIP	391.0835	AKTIP	916.4112
ALAD	687.1022	ALAD	1587.0681
ALAS1	2008.0474	ALAS1	2029.7639
removed	removed	ALAS2	13.0003
ALB	38.3349	removed	removed
ALCAM	6300.6804	ALCAM	6159.0831
ALDH16A1	1302.8020	ALDH16A1	692.4393
ALDH18A1	1943.6682	ALDH18A1	680.8074
ALDH1A1	15489.3555	ALDH1A1	4532.3298
ALDH1A2	6.7306	ALDH1A2	417.3794
ALDH1A3	757.3253	ALDH1A3	785.1146
ALDH1B1	460.8969	ALDH1B1	348.9566
removed	removed	ALDH1L1	19.5005
ALDH1L2	306.0941	ALDH1L2	87.2391
ALDH2	1226.1321	ALDH2	9847.7592
ALDH3A1	4762.6015	ALDH3A1	117.0031
ALDH3A2	2765.9668	ALDH3A2	3663.7017
ALDH3B1	265.4181	ALDH3B1	3826.5481
ALDH3B2	3913.6733	ALDH3B2	112.2135
ALDH4A1	1404.9309	ALDH4A1	531.9877
ALDH5A1	657.8389	ALDH5A1	951.0777
ALDH6A1	377.9589	ALDH6A1	525.0051
ALDH7A1	78.1330	ALDH7A1	882.9969
ALDH8A1	20.7769	removed	removed
ALDH9A1	2296.8761	ALDH9A1	2089.9761
ALDOA	38443.7779	ALDOA	13255.5594
ALDOC	1358.1096	ALDOC	517.9610
ALG10B	310.7762	ALG10B	196.7157
ALG10	295.8519	ALG10	45.8433
ALG11	5.2674	ALG11	11.6319
ALG12	807.9596	ALG12	687.3076
ALG13	505.9624	ALG13	372.9046
ALG14	213.9147	ALG14	182.6890
ALG1L	1344.7831	ALG1L	5.1317
ALG1	796.4972	ALG1	575.2857
ALG2	1303.3872	ALG2	756.4146
ALG3	6918.7212	ALG3	608.9634
ALG5	723.6813	ALG5	723.5717
ALG6	261.0286	ALG6	139.9247
ALG8	1134.5380	ALG8	382.8259
ALG9	527.6172	ALG9	467.6702
ALKBH1	264.2476	ALKBH1	196.3736
ALKBH2	625.3566	ALKBH2	182.0048
ALKBH3	748.8478	ALKBH3	435.8536
ALKBH4	237.7701	ALKBH4	216.3702
ALKBH5	1075.0633	ALKBH5	2493.2706
ALKBH6	215.0852	ALKBH6	121.7927
ALKBH7	1231.3995	ALKBH7	630.5166
ALKBH8	131.0996	ALKBH8	218.9531
