gene_id	TCGA-BH-A1FE-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
AGPHD1	52.7911	AGPHD1	83.8282
AGPS	771.6652	AGPS	1561.6486
AGR2	2469.598	AGR2	1103.3881
AGR3	1143.896	AGR3	201.1876
AGRN	2733.0146	AGRN	1146.0007
AGTPBP1	346.1046	AGTPBP1	645.8261
AGTR1	165.9148	AGTR1	253.5802
AGTRAP	775.1667	AGTRAP	283.2693
AGT	107.7369	AGT	8.7321
AGXT2L2	210.6229	AGXT2L2	319.4202
AHCTF1	1969.9684	AHCTF1	2606.7063
AHCYL1	4120.1266	AHCYL1	4053.0912
AHCYL2	607.0972	AHCYL2	901.5019
AHCY	3740.0848	AHCY	3135.8715
AHDC1	574.7761	AHDC1	970.6601
AHI1	333.4456	AHI1	667.1324
AHNAK2	773.0119	AHNAK2	718.4771
AHNAK	50919.6687	AHNAK	63029.6891
AHRR	67.3355	AHRR	71.6032
AHR	3659.8209	AHR	7296.8914
AHSA1	2662.7163	AHSA1	1134.125
AHSA2	176.4191	AHSA2	506.1125
AICDA	5.1175	removed	removed
AIDA	1244.9182	AIDA	1176.7377
AIF1L	1944.3808	AIF1L	2569.6822
AIF1	418.019	AIF1	241.0059
AIFM1	952.3938	AIFM1	368.1453
AIFM2	231.0955	AIFM2	341.2504
AIFM3	6.4023	removed	removed
AIG1	535.9908	AIG1	742.5777
AIM1L	8.3496	removed	removed
AIM1	3013.1304	AIM1	2887.1813
AIM2	51.983	AIM2	8.3828
AIMP1	1259.2687	AIMP1	1601.6696
AIMP2	368.32	AIMP2	239.3433
AIP	407.5146	AIP	257.4223
AJAP1	15.0832	AJAP1	17.1149
AK1	358.4944	AK1	119.8044
AK2	1802.4375	AK2	2018.5121
AK3L1	484.0078	AK3L1	939.9232
AK3	1312.5042	AK3	2397.8344
AK5	381.3885	AK5	1998.9521
AK7	9.6963	AK7	47.1533
AKAP10	519.2916	AKAP10	834.7887
AKAP11	2090.6336	AKAP11	4068.8089
AKAP12	1562.723	AKAP12	1596.577
AKAP13	4613.8307	AKAP13	5836.1858
AKAP1	1359.9084	AKAP1	2685.6444
AKAP2	1274.5324	AKAP2	1637.9322
AKAP3	44.1721	AKAP3	62.5218
AKAP5	225.4394	AKAP5	199.4411
AKAP6	58.9859	AKAP6	661.8931
AKAP7	107.7369	AKAP7	341.5997
AKAP8L	594.1687	AKAP8L	466.6434
AKAP8	451.6868	AKAP8	822.2145
AKAP9	3322.8739	AKAP9	4327.2791
AKD1	216.2817	AKD1	272.7908
AKIRIN1	1520.4363	AKIRIN1	1917.9183
AKIRIN2	676.3181	AKIRIN2	911.9804
removed	removed	AKNAD1	5.5885
AKNA	961.8208	AKNA	558.1558
AKR1A1	1634.9067	AKR1A1	1133.7758
AKR1B10	10.7737	removed	removed
AKR1B1	546.7645	AKR1B1	729.3049
AKR1C1	59.2553	AKR1C1	456.9717
AKR1C2	30.705	AKR1C2	216.2068
AKR1C3	201.1986	AKR1C3	468.0405
AKR1E2	19.662	AKR1E2	43.2029
AKR7A2	1035.3512	AKR7A2	538.2466
AKR7A3	443.0678	AKR7A3	42.9619
AKR7L	34.7451	AKR7L	14.3206
AKT1S1	789.7111	AKT1S1	523.926
AKT1	1792.2025	AKT1	1106.5316
AKT2	1376.3383	AKT2	1196.6469
AKT3	915.7632	AKT3	1233.671
AKTIP	813.0281	AKTIP	717.0311
ALAD	803.1782	ALAD	899.4062
ALAS1	920.3421	ALAS1	727.9078
ALB	102.8887	ALB	820.1188
ALCAM	6206.4507	ALCAM	3798.8124
ALDH16A1	289.0041	ALDH16A1	141.8093
ALDH18A1	2660.8309	ALDH18A1	1563.0458
ALDH1A1	720.7595	ALDH1A1	2220.7475
ALDH1A2	87.8055	ALDH1A2	604.6105
ALDH1A3	692.581	ALDH1A3	4194.1809
ALDH1B1	1404.6192	ALDH1B1	636.3954
removed	removed	ALDH1L1	245.8959
ALDH1L2	787.0177	ALDH1L2	373.0353
ALDH2	1888.8964	ALDH2	2097.4502
removed	removed	ALDH3A1	18.8613
ALDH3A2	1365.834	ALDH3A2	2308.4177
ALDH3B1	114.2011	ALDH3B1	78.5889
ALDH3B2	1046.1248	ALDH3B2	509.256
ALDH4A1	1313.8509	ALDH4A1	215.5082
ALDH5A1	337.755	ALDH5A1	757.5969
ALDH6A1	587.9119	ALDH6A1	764.0587
ALDH7A1	1482.7284	ALDH7A1	2575.62
ALDH8A1	7.8109	ALDH8A1	18.1628
ALDH9A1	2109.2182	ALDH9A1	3511.3517
ALDOA	14045.9228	ALDOA	6022.7035
ALDOB	8.6189	ALDOB	6.9857
ALDOC	79.4559	ALDOC	409.7101
ALG10B	433.1021	ALG10B	702.7593
ALG10	178.0351	ALG10	238.561
ALG11	21.8167	ALG11	11.8757
ALG12	496.3975	ALG12	246.5945
ALG13	441.7211	ALG13	798.4632
ALG14	176.9578	ALG14	164.1635
ALG1L	11.6706	ALG1L	5.84
ALG1	499.5623	ALG1	288.6448
ALG2	552.1514	ALG2	991.9665
ALG3	854.0839	ALG3	565.1415
ALG5	375.4629	ALG5	588.1942
ALG6	394.0475	ALG6	497.3804
ALG8	1179.9879	ALG8	880.8942
ALG9	511.7501	ALG9	785.5396
ALKBH1	347.99	ALKBH1	298.9871
ALKBH2	162.4133	ALKBH2	189.6612
ALKBH3	363.3425	ALKBH3	328.6762
ALKBH4	150.74	ALKBH4	91.949
ALKBH5	1516.9349	ALKBH5	1820.0873
ALKBH6	50.9057	ALKBH6	25.4977
ALKBH7	179.9205	ALKBH7	190.0105
ALKBH8	319.7091	ALKBH8	404.8201
removed	removed	ALK	5.2393
ALMS1P	10.7737	removed	removed
ALMS1	1849.0337	ALMS1	1409.3608
removed	removed	ALOX12P2	32.1341
removed	removed	ALOX12	5.5955
ALOX15B	217.6284	ALOX15B	182.6755
ALOX15	7.8109	ALOX15	9.78
