gene_id	TCGA-BH-A1FE-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
SFRS6	4583.9337	SFRS6	9803.3531
SFRS7	2396.6063	SFRS7	3833.0423
SFRS8	713.7566	SFRS8	924.5547
SFRS9	1753.4173	SFRS9	1235.0681
SFT2D1	548.3806	SFT2D1	520.4331
SFT2D2	99.9259	SFT2D2	185.1205
SFT2D3	280.1158	SFT2D3	413.5522
SFTPA2	25.3182	removed	removed
removed	removed	SFTPD	8.3828
SFXN1	718.6048	SFXN1	597.2756
SFXN2	771.6652	SFXN2	388.7531
SFXN3	1164.366	SFXN3	672.7209
SFXN4	404.2825	SFXN4	523.5767
SFXN5	608.9826	SFXN5	101.2924
SGCB	847.3503	SGCB	1813.4824
SGCD	1015.9585	SGCD	679.3573
SGCE	714.2953	SGCE	1644.4289
removed	removed	SGCG	16.4163
SGEF	600.9023	SGEF	411.1072
SGIP1	174.2644	SGIP1	169.752
SGK196	96.1551	SGK196	58.6797
SGK1	1474.9175	SGK1	2901.8512
SGK223	719.1435	SGK223	695.7737
SGK269	2445.0879	SGK269	1914.4254
SGK2	6.7336	SGK2	42.2634
SGK3	569.1361	SGK3	1176.4897
SGK494	25.1269	SGK494	45.4069
SGMS1	715.1034	SGMS1	789.7311
SGMS2	476.7356	SGMS2	1024.2683
SGOL1	99.3872	SGOL1	24.1006
SGOL2	414.5175	SGOL2	220.7475
SGPL1	3806.0737	SGPL1	1874.9563
SGPP1	394.5862	SGPP1	619.2805
SGPP2	56.0232	SGPP2	42.2634
SGSH	564.5411	SGSH	596.2277
SGSM1	57.6392	SGSM1	210.6182
SGSM2	495.8589	SGSM2	1124.6944
SGSM3	872.1298	SGSM3	668.1802
SGTA	1442.8658	SGTA	743.9749
SGTB	273.4388	SGTB	362.6895
SH2B1	351.2221	SH2B1	601.467
SH2B2	12.3897	SH2B2	11.5264
SH2B3	1195.3404	SH2B3	899.4062
SH2D1A	214.127	SH2D1A	69.1582
SH2D1B	28.5503	SH2D1B	18.8613
SH2D2A	70.2983	SH2D2A	21.3063
SH2D3A	131.1696	SH2D3A	230.1781
SH2D3C	356.8783	SH2D3C	241.7045
SH2D4A	438.7583	SH2D4A	178.8334
SH3BGRL2	371.1535	SH3BGRL2	1807.8938
SH3BGRL3	3256.077	SH3BGRL3	1159.2735
SH3BGRL	10148.8115	SH3BGRL	4220.737
SH3BGR	164.2987	SH3BGR	195.599
SH3BP1	287.6439	SH3BP1	114.2089
SH3BP2	726.4157	SH3BP2	1422.2843
SH3BP4	5134.4691	SH3BP4	2953.8945
SH3BP5L	533.8361	SH3BP5L	383.1645
SH3BP5	1093.2085	SH3BP5	1581.3902
SH3D19	2482.5264	SH3D19	3637.7925
SH3GL1	1420.2411	SH3GL1	663.2903
removed	removed	SH3GL2	6.2871
SH3GLB1	3718.2681	SH3GLB1	5147.0486
SH3GLB2	1006.2622	SH3GLB2	702.0608
SH3KBP1	1093.2597	SH3KBP1	845.2672
SH3PXD2A	3214.329	SH3PXD2A	2095.0052
SH3PXD2B	3147.5322	SH3PXD2B	1749.2141
SH3RF1	1582.1157	SH3RF1	867.6214
SH3RF2	79.7253	SH3RF2	379.6717
SH3RF3	119.8572	SH3RF3	90.4645
SH3TC1	213.8577	SH3TC1	47.5026
SH3TC2	71.3757	SH3TC2	191.0583
SH3YL1	998.7206	SH3YL1	3115.2637
SHANK1	8.0803	removed	removed
SHANK2	745.7572	SHANK2	1718.1278
SHANK3	314.3223	SHANK3	524.9738
SHARPIN	1072.7897	SHARPIN	363.2553
SHB	788.3644	SHB	380.3702
SHC1	2480.641	SHC1	2078.5889
SHC2	55.7538	SHC2	61.8233
SHC4	123.8974	SHC4	240.6567
SHCBP1	308.1274	SHCBP1	49.5983
SHE	280.3852	SHE	682.8502
SHFM1	980.136	SHFM1	562.6965
SHF	49.559	SHF	92.211
SHISA2	2479.833	SHISA2	132.3786
SHISA3	15.6218	SHISA3	6.9857
SHISA4	185.038	SHISA4	98.1488
SHISA5	3735.2367	SHISA5	1515.1939
SHISA6	23.4328	SHISA6	12.5742
SHISA9	387.5833	SHISA9	41.2155
SHKBP1	570.1973	SHKBP1	253.5802
SHMT1	381.1514	SHMT1	901.0304
SHMT2	1310.3495	SHMT2	936.081
SHOC2	2699.0775	SHOC2	2098.8474
SHOX2	168.3388	SHOX2	97.4502
SHPK	516.0595	SHPK	393.9923
SHPRH	711.7258	SHPRH	1726.3535
SHQ1	785.671	SHQ1	582.2564
SHROOM1	226.5167	SHROOM1	125.0437
SHROOM2	387.314	SHROOM2	211.3168
SHROOM3	4596.0541	SHROOM3	4189.3119
SHROOM4	432.8328	SHROOM4	434.16
SIAE	773.0119	SIAE	879.3538
SIAH1	723.4826	SIAH1	846.3744
SIAH2	1755.3027	SIAH2	560.2515
SIDT1	1815.0966	SIDT1	433.1121
SIDT2	1182.8887	SIDT2	1631.1317
SIGIRR	335.6003	SIGIRR	148.795
SIGLEC10	184.7687	SIGLEC10	107.9287
SIGLEC14	73.2611	SIGLEC14	22.3542
SIGLEC15	12.9284	SIGLEC15	8.7321
SIGLEC16	6.4642	SIGLEC16	6.9857
SIGLEC1	346.9127	SIGLEC1	81.0339
SIGLEC5	37.4386	SIGLEC5	11.1771
SIGLEC6	86.9975	SIGLEC6	8.3828
SIGLEC7	33.6678	SIGLEC7	12.5742
SIGLEC8	77.0318	SIGLEC8	75.4453
SIGLEC9	26.1262	SIGLEC9	7.6842
SIGLECP3	59.5246	SIGLECP3	22.0049
SIGMAR1	1004.6462	SIGMAR1	774.0133
SIK1	3698.3368	SIK1	2127.4886
SIK2	775.9747	SIK2	2234.7188
SIK3	1173.2543	SIK3	1531.6102
SIKE1	971.5171	SIKE1	1171.8477
SIL1	409.6694	SIL1	219.6996
SILV	40.132	SILV	203.6326
SIM1	21.0087	SIM1	44.7083
SIM2	433.6408	SIM2	52.7419
SIN3A	3048.4142	SIN3A	2877.7506
SIN3B	732.0719	SIN3B	906.0426
SIP1	167.8001	SIP1	169.0534
SIPA1L1	1278.5671	SIPA1L1	1565.4907
SIPA1L2	683.8597	SIPA1L2	783.7932
SIPA1L3	1056.0905	SIPA1L3	767.7262
SIPA1	498.5523	SIPA1	268.2501
SIRPA	1257.2891	SIRPA	3428.5714
SIRPB1	110.969	SIRPB1	109.6752
SIRPB2	87.2669	SIRPB2	30.0384
SIRPG	142.7513	SIRPG	24.4499
SIRT1	837.654	SIRT1	1656.3046
SIRT2	645.0744	SIRT2	825.7073
SIRT3	576.8016	SIRT3	689.3888
SIRT4	17.7766	SIRT4	17.8135
SIRT5	546.7645	SIRT5	440.4471
SIRT6	128.4762	SIRT6	53.7897
SIRT7	130.6309	SIRT7	102.6895
SIT1	80.264	SIT1	24.1006
SIVA1	217.8978	SIVA1	232.2738
SIX1	970.4397	SIX1	46.8041
SIX2	24.7795	SIX2	11.1771
removed	removed	SIX3	6.2871
SIX4	564.2718	SIX4	203.6326
SIX5	221.1299	SIX5	283.6186
SKA1	188.0008	SKA1	25.4977
SKA2	879.6714	SKA2	577.3664
SKA3	173.8765	SKA3	66.4268
SKAP1	166.1841	SKAP1	131.3308
SKAP2	944.0442	SKAP2	1806.846
SKIL	1367.1807	SKIL	1301.7813
SKIV2L2	1933.8657	SKIV2L2	2593.5592
SKIV2L	846.712	SKIV2L	478.519
SKI	1708.4371	SKI	3463.8491
SKP1	6262.2046	SKP1	6564.0936
SKP2	211.1642	SKP2	216.9053
SLA2	158.3732	SLA2	67.7611
SLAIN1	53.0604	SLAIN1	261.6137
SLAIN2	1843.6469	SLAIN2	2267.2022
SLAMF1	109.8916	SLAMF1	91.5124
SLAMF6	379.5031	SLAMF6	180.9291
SLAMF7	700.5589	SLAMF7	538.9452
SLAMF8	548.5961	SLAMF8	76.5107
SLA	785.1323	SLA	187.5655
SLBP	1066.5948	SLBP	1040.1677
SLC10A3	466.5006	SLC10A3	340.5519
removed	removed	SLC10A4	5.5885
removed	removed	SLC10A5	8.3828
SLC10A6	14.2751	SLC10A6	39.4691
SLC10A7	265.5713	SLC10A7	371.6381
SLC11A1	9.9657	SLC11A1	9.0814
SLC11A2	1507.2386	SLC11A2	2660.496
SLC12A1	23.7021	SLC12A1	19.5599
SLC12A2	6860.6828	SLC12A2	8399.9301
SLC12A3	23.9714	removed	removed
SLC12A4	636.7248	SLC12A4	772.6161
SLC12A6	759.0654	SLC12A6	1109.1512
SLC12A7	1404.0805	SLC12A7	769.1233
SLC12A8	439.1543	SLC12A8	267.2022
SLC12A9	376.271	SLC12A9	332.5183
SLC13A2	11.8511	SLC13A2	803.0038
SLC13A3	33.6678	SLC13A3	98.4981
SLC13A4	14.0058	SLC13A4	9.78
SLC14A1	23.4328	SLC14A1	43.3112
removed	removed	SLC14A2	6.6364
SLC15A2	133.3244	SLC15A2	254.628
SLC15A3	492.6268	SLC15A3	238.9102
SLC15A4	707.8311	SLC15A4	911.9804
SLC16A10	5.1175	SLC16A10	47.8519
removed	removed	SLC16A11	45.4069
SLC16A12	5.1175	SLC16A12	56.584
SLC16A13	58.4472	SLC16A13	63.919
SLC16A14	357.417	SLC16A14	301.7813
SLC16A1	1191.5696	SLC16A1	752.3577
SLC16A2	1259.7132	SLC16A2	668.5295
SLC16A3	144.6367	SLC16A3	21.3063
SLC16A4	141.4046	SLC16A4	509.6053
SLC16A5	72.453	SLC16A5	139.015
SLC16A6	102.6194	SLC16A6	61.8233
SLC16A7	67.3355	SLC16A7	256.7237
SLC16A9	32.3211	SLC16A9	117.3594
SLC17A5	565.0798	SLC17A5	836.1858
SLC17A7	23.9714	SLC17A7	58.3304
SLC17A9	58.9859	SLC17A9	35.2777
SLC18A2	142.482	SLC18A2	7.335
SLC19A1	341.5258	SLC19A1	101.6416
SLC19A2	840.6168	SLC19A2	908.8369
SLC19A3	24.7795	SLC19A3	1203.2833
SLC1A1	199.8519	SLC1A1	129.9336
SLC1A2	136.0178	SLC1A2	141.8093
SLC1A3	205.508	SLC1A3	309.1163
SLC1A4	1891.5898	SLC1A4	787.9846
SLC1A5	1254.5957	SLC1A5	1466.6434
SLC1A7	17.2379	SLC1A7	11.5403
SLC20A1	2765.8744	SLC20A1	999.6507
SLC20A2	1199.3805	SLC20A2	974.8516
removed	removed	SLC22A11	7.335
SLC22A15	46.0575	SLC22A15	101.9909
SLC22A17	258.5684	SLC22A17	406.9158
SLC22A18	82.4187	SLC22A18	85.9239
SLC22A23	1509.7946	SLC22A23	949.0954
SLC22A3	44.4415	SLC22A3	283.6186
SLC22A4	30.4357	SLC22A4	64.8725
SLC22A5	431.4861	SLC22A5	512.0503
SLC23A1	12.3897	SLC23A1	8.7321
SLC23A2	513.6354	SLC23A2	1709.745
SLC23A3	13.5641	SLC23A3	16.4163
SLC24A1	716.2211	SLC24A1	695.627
SLC24A2	87.8055	removed	removed
SLC24A3	841.1555	SLC24A3	425.0786
SLC24A4	16.1605	SLC24A4	10.8278
removed	removed	SLC24A5	18.7042
SLC24A6	631.338	SLC24A6	353.8247
SLC25A10	751.4969	SLC25A10	328.2955
SLC25A11	579.0856	SLC25A11	612.9934
SLC25A12	535.4522	SLC25A12	1021.3063
SLC25A13	616.2548	SLC25A13	730.0035
SLC25A14	134.1324	SLC25A14	158.9242
SLC25A15	373.6691	SLC25A15	450.3947
SLC25A16	358.7637	SLC25A16	455.8156
SLC25A17	922.4968	SLC25A17	670.9745
SLC25A18	19.9313	SLC25A18	29.6891
SLC25A19	181.8059	SLC25A19	106.5316
SLC25A1	796.1753	SLC25A1	379.6717
SLC25A20	274.9983	SLC25A20	401.3273
SLC25A21	8.5812	SLC25A21	5.7911
SLC25A22	417.4803	SLC25A22	185.8191
SLC25A23	1206.9221	SLC25A23	1162.417
SLC25A24	1552.2187	SLC25A24	1675.5152
SLC25A25	555.9222	SLC25A25	827.1044
SLC25A26	239.6633	SLC25A26	411.3936
SLC25A27	45.5188	SLC25A27	871.4635
SLC25A28	400.2424	SLC25A28	498.4282
SLC25A29	197.6971	SLC25A29	428.5714
SLC25A30	434.7182	SLC25A30	965.4209
SLC25A32	917.25	SLC25A32	1005.3755
SLC25A33	147.3301	SLC25A33	462.452
removed	removed	SLC25A34	25.4977
SLC25A35	71.1494	SLC25A35	73.7164
SLC25A36	1468.7226	SLC25A36	3865.5257
SLC25A37	282.0012	SLC25A37	1159.2735
SLC25A38	629.1832	SLC25A38	710.0943
SLC25A39	2378.5604	SLC25A39	696.1229
SLC25A3	6805.737	SLC25A3	8127.1394
SLC25A40	223.2846	SLC25A40	356.9682
SLC25A42	99.9259	SLC25A42	281.5229
SLC25A43	666.0831	SLC25A43	622.0747
SLC25A44	958.5886	SLC25A44	721.97
SLC25A45	119.8572	SLC25A45	146.6993
SLC25A46	693.0173	SLC25A46	833.0423
SLC25A4	318.3624	SLC25A4	449.5285
SLC25A5	4970.709	SLC25A5	3904.2962
SLC25A6	3707.7638	SLC25A6	4072.6511
removed	removed	SLC26A10	22.8467
SLC26A11	279.5771	SLC26A11	209.2211
SLC26A1	15.9073	SLC26A1	16.4163
SLC26A2	777.8601	SLC26A2	1268.9487
SLC26A3	83.4961	SLC26A3	224.2403
SLC26A4	18.3153	SLC26A4	119.4551
removed	removed	SLC26A5	20.2585
SLC26A6	221.0033	SLC26A6	103.0388
SLC26A7	12.1204	SLC26A7	41.2155
SLC27A1	455.1882	SLC27A1	1101.9909
SLC27A2	138.4419	SLC27A2	70.2061
SLC27A3	179.3819	SLC27A3	239.6088
SLC27A4	801.2928	SLC27A4	223.891
SLC27A5	42.1871	SLC27A5	52.9514
SLC27A6	103.158	SLC27A6	584.0028
SLC28A3	8.6189	SLC28A3	497.0311
SLC29A1	1716.2481	SLC29A1	2352.0782
SLC29A2	171.7029	SLC29A2	237.4118
SLC29A3	537.8762	SLC29A3	189.6612
SLC29A4	65.7195	SLC29A4	72.3018
SLC2A10	1923.3722	SLC2A10	626.6154
SLC2A11	93.4617	SLC2A11	139.015
SLC2A12	126.0521	SLC2A12	529.8638
SLC2A13	324.5573	SLC2A13	298.6378
SLC2A14	33.6678	SLC2A14	30.0384
SLC2A1	1404.8886	SLC2A1	745.0227
SLC2A3	1666.1504	SLC2A3	1368.1453
SLC2A4RG	1248.4008	SLC2A4RG	297.2407
removed	removed	SLC2A4	171.1491
SLC2A5	48.4816	SLC2A5	17.1149
SLC2A6	192.3103	removed	removed
SLC2A8	413.4402	SLC2A8	139.015
SLC2A9	120.6653	SLC2A9	235.4174
SLC30A1	420.7124	SLC30A1	364.6525
SLC30A2	6.1949	removed	removed
SLC30A4	178.5738	SLC30A4	223.1925
SLC30A5	1350.7508	SLC30A5	1789.7311
SLC30A6	545.4178	SLC30A6	609.8498
SLC30A7	1378.7624	SLC30A7	1047.1533
SLC30A8	21.5474	SLC30A8	39.4691
SLC30A9	2550.67	SLC30A9	2504.366
SLC31A1	1219.3118	SLC31A1	1411.4565
SLC31A2	381.3885	SLC31A2	360.1118
SLC33A1	822.8402	SLC33A1	957.0381
SLC34A2	157.2958	SLC34A2	3573.8736
SLC35A1	938.8513	SLC35A1	1260.51
SLC35A2	893.9465	SLC35A2	345.0926
SLC35A3	728.3011	SLC35A3	640.9361
SLC35A4	1921.2174	SLC35A4	1851.5543
SLC35A5	884.2502	SLC35A5	1127.8379
SLC35B1	860.5481	SLC35B1	580.1607
SLC35B2	1294.4583	SLC35B2	755.1519
SLC35B3	564.8105	SLC35B3	713.9364
SLC35B4	549.9966	SLC35B4	522.5288
SLC35C1	612.484	SLC35C1	310.5134
SLC35C2	965.5915	SLC35C2	771.219
SLC35D1	981.4827	SLC35D1	932.2389
SLC35D2	283.8866	SLC35D2	621.0269
SLC35D3	5.9255	removed	removed
SLC35E1	2894.6199	SLC35E1	2188.2641
SLC35E2	2523.0274	SLC35E2	2808.3793
SLC35E2	122.1817	SLC35E2	82.2948
SLC35E3	284.4253	SLC35E3	339.504
SLC35E4	62.2207	SLC35E4	25.847
SLC35F1	10.5043	SLC35F1	10.1292
SLC35F2	271.4969	SLC35F2	340.9012
SLC35F3	44.1721	SLC35F3	245.8959
SLC35F5	1165.4434	SLC35F5	1362.5568
SLC36A1	528.4493	SLC36A1	269.6472
SLC36A4	110.969	SLC36A4	128.1872
SLC37A1	1859.2687	SLC37A1	257.073
SLC37A2	335.6003	SLC37A2	99.5459
SLC37A3	1095.9531	SLC37A3	1220.7475
SLC37A4	506.6325	SLC37A4	424.38
SLC38A10	935.1559	SLC38A10	676.2138
SLC38A11	11.043	removed	removed
SLC38A1	16059.2553	SLC38A1	7585.0506
SLC38A2	5760.9589	SLC38A2	5976.2487
SLC38A3	37.7079	SLC38A3	162.0678
SLC38A4	117.1638	SLC38A4	56.2347
SLC38A5	172.1096	SLC38A5	52.0433
SLC38A6	131.9776	SLC38A6	186.5176
SLC38A7	249.9495	SLC38A7	142.5079
SLC38A9	210.8949	SLC38A9	327.6284
SLC39A10	1459.565	SLC39A10	1406.9158
SLC39A11	1981.0114	SLC39A11	613.3426
removed	removed	SLC39A12	11.8757
SLC39A13	531.1427	SLC39A13	302.1306
SLC39A14	1484.8832	SLC39A14	1863.43
SLC39A1	2135.3444	SLC39A1	1064.2683
SLC39A2	13.7364	SLC39A2	10.8278
SLC39A3	402.9358	SLC39A3	173.5941
SLC39A4	278.7691	SLC39A4	107.5795
SLC39A6	14321.4598	SLC39A6	8242.0538
SLC39A7	2006.0602	SLC39A7	736.6399
SLC39A8	487.5093	SLC39A8	1379.6717
SLC39A9	3242.0712	SLC39A9	3142.1586
removed	removed	SLC3A1	10.1292
SLC3A2	2830.5165	SLC3A2	2060.4261
SLC40A1	22606.6932	SLC40A1	4904.9948
SLC41A1	633.2234	SLC41A1	1066.7132
SLC41A2	402.1278	SLC41A2	196.6469
SLC41A3	775.1667	SLC41A3	1141.46
SLC43A1	257.2217	SLC43A1	255.6759
SLC43A2	401.0504	SLC43A2	384.9109
SLC43A3	1167.0595	SLC43A3	1636.4897
SLC44A1	2744.0576	SLC44A1	3079.986
SLC44A2	5303.3466	SLC44A2	4517.6388
SLC44A3	175.8804	SLC44A3	420.5379
SLC44A4	1512.8948	SLC44A4	185.4698
SLC44A5	129.5536	SLC44A5	127.4886
SLC45A1	25.5875	SLC45A1	11.1771
SLC45A3	167.8001	SLC45A3	148.0964
SLC45A4	302.7406	SLC45A4	381.7674
SLC46A1	596.908	SLC46A1	1227.548
SLC46A2	5.1175	SLC46A2	6.2871
SLC46A3	352.2995	SLC46A3	561.2993
SLC47A1	15.0832	SLC47A1	93.6081
removed	removed	SLC47A2	7.335
SLC48A1	532.7587	SLC48A1	744.3241
SLC4A10	7.0029	SLC4A10	5.2393
SLC4A11	56.2925	SLC4A11	119.4551
SLC4A1AP	670.6619	SLC4A1AP	586.0985
SLC4A2	1652.4678	SLC4A2	632.4136
SLC4A3	204.9694	SLC4A3	193.8526
SLC4A4	12.6591	SLC4A4	127.1394
SLC4A5	332.0261	SLC4A5	212.7838
SLC4A7	1351.8282	SLC4A7	1957.3874
SLC4A8	712.1406	SLC4A8	119.1058
SLC5A1	50.367	SLC5A1	2398.8823
SLC5A3	1454.5472	SLC5A3	1957.052
removed	removed	SLC5A4	16.7656
SLC5A6	3423.1823	SLC5A6	2363.9958
SLC5A8	13.1978	removed	removed
removed	removed	SLC5A9	10.1292
SLC6A10P	5.9255	removed	removed
removed	removed	SLC6A11	11.8757
SLC6A12	25.8568	SLC6A12	21.6556
SLC6A14	15.0832	SLC6A14	1388.4038
removed	removed	SLC6A15	33.182
SLC6A16	7.5416	SLC6A16	37.0241
SLC6A17	7.2722	SLC6A17	8.7321
SLC6A1	17.5072	SLC6A1	5.9378
SLC6A20	21.5474	SLC6A20	5.2393
removed	removed	SLC6A2	46.8041
SLC6A4	19.3926	SLC6A4	7.335
SLC6A6	833.6139	SLC6A6	530.5623
SLC6A8	746.347	SLC6A8	445.6863
SLC6A9	148.1597	SLC6A9	61.474
removed	removed	SLC7A10	78.0231
SLC7A11	165.3761	SLC7A11	54.4883
removed	removed	SLC7A14	9.0814
SLC7A1	830.9205	SLC7A1	1593.7827
SLC7A2	5988.2836	SLC7A2	2056.584
SLC7A3	14.5445	SLC7A3	242.7524
SLC7A4	15.8912	SLC7A4	13.9714
SLC7A5	613.292	SLC7A5	497.3804
SLC7A6OS	88.3173	SLC7A6OS	87.2756
SLC7A6	1060.9656	SLC7A6	876.7482
SLC7A7	381.9271	SLC7A7	219.001
SLC7A8	4706.2151	SLC7A8	813.4824
removed	removed	SLC7A9	8.3828
SLC8A1	330.7521	SLC8A1	518.6867
SLC8A3	20.2007	SLC8A3	8.7321
SLC9A1	1383.8799	SLC9A1	1062.8711
SLC9A2	289.0041	SLC9A2	26.1963
SLC9A3R1	5093.2597	SLC9A3R1	1173.5941
SLC9A3R2	412.3628	SLC9A3R2	298.2885
SLC9A5	15.8912	SLC9A5	13.9714
SLC9A6	289.2734	SLC9A6	573.175
SLC9A7	140.8659	SLC9A7	334.2648
SLC9A8	590.9366	SLC9A8	680.7545
SLC9A9	315.9383	SLC9A9	243.1016
removed	removed	SLCO1A2	955.6409
SLCO1C1	11.5817	SLCO1C1	5.5885
SLCO2A1	835.7686	SLCO2A1	356.6189
SLCO2B1	726.4157	SLCO2B1	762.8362
SLCO3A1	439.8357	SLCO3A1	599.7206
SLCO4A1	14.5445	SLCO4A1	19.2944
SLCO4C1	5.6562	SLCO4C1	46.1055
SLCO5A1	28.5503	removed	removed
SLFN11	1790.8558	SLFN11	1054.139
SLFN12L	50.9057	SLFN12L	47.8519
SLFN12	289.2734	SLFN12	203.2833
SLFN13	639.1489	SLFN13	1222.8432
removed	removed	SLFN14	8.3828
SLFN5	2588.1085	SLFN5	1343.3461
removed	removed	SLIT1	10.8278
SLIT2	619.4869	SLIT2	469.0884
SLIT3	798.3301	SLIT3	958.0859
SLITRK2	7.2722	removed	removed
SLITRK4	29.6276	SLITRK4	49.249
SLITRK5	8.6189	SLITRK5	91.8617
SLITRK6	191.7716	SLITRK6	122.2494
SLK	3422.5305	SLK	3998.6029
SLMAP	1324.3553	SLMAP	2498.4282
SLMO1	21.8167	SLMO1	45.0576
SLMO2	2380.7151	SLMO2	2319.2455
SLPI	77.5705	SLPI	1927.6982
SLTM	1786.8157	SLTM	2212.3647
SLU7	975.0185	SLU7	1487.2511
SLURP1	32.0517	removed	removed
SMAD1	1409.4674	SMAD1	1210.6182
SMAD2	2575.4495	SMAD2	3292.3507
SMAD3	1157.0938	SMAD3	1851.5543
SMAD4	1654.0489	SMAD4	3569.0604
SMAD5	2276.749	SMAD5	3637.7925
SMAD6	41.4787	SMAD6	43.3112
SMAD7	651.2693	SMAD7	702.4101
SMAD9	65.1808	SMAD9	105.1345
SMAGP	414.5175	SMAGP	251.8337
SMAP1	1755.7579	SMAP1	784.6664
SMAP2	1524.4765	SMAP2	755.1519
SMARCA1	1007.0702	SMARCA1	2454.4184
SMARCA2	3202.2086	SMARCA2	5275.2358
SMARCA4	8448.724	SMARCA4	1206.0775
SMARCA5	3965.7747	SMARCA5	3515.1415
SMARCAD1	1834.2199	SMARCAD1	2147.0486
SMARCAL1	813.4132	SMARCAL1	645.8261
SMARCB1	1359.9084	SMARCB1	730.0035
SMARCC1	6312.8409	SMARCC1	4863.43
SMARCC2	2533.4321	SMARCC2	3204.3311
SMARCD1	1728.0991	SMARCD1	1573.175
SMARCD2	2577.8735	SMARCD2	1857.1429
SMARCD3	129.8229	SMARCD3	594.8306
SMARCE1	3384.2839	SMARCE1	2431.3657
SMC1A	4434.4489	SMC1A	2232.9724
SMC1B	28.5503	SMC1B	10.8278
SMC2	895.8319	SMC2	1063.2204
SMC3	2580.2976	SMC3	2825.7073
SMC4	2281.8665	SMC4	1625.9169
SMC5	798.5994	SMC5	2471.1841
SMC6	1249.4781	SMC6	949.3538
SMCHD1	2761.0262	SMCHD1	3426.4757
SMCR7L	1213.3863	SMCR7L	1163.4649
SMCR7	179.3819	SMCR7	216.9053
SMCR8	1145.2104	SMCR8	1532.431
SMEK1	1384.9572	SMEK1	2812.4345
SMEK2	3122.214	SMEK2	3104.7852
SMG1	5992.0544	SMG1	7013.9714
SMG5	2170.0896	SMG5	1185.4698
SMG6	932.4625	SMG6	1123.9958
SMG7	3037.1019	SMG7	2534.0552
SMN1	12.1716	removed	removed
SMN2	1061.6955	SMN2	1685.5711
SMNDC1	818.2614	SMNDC1	935.7317
SMOC1	29.6276	SMOC1	269.6472
SMOC2	2403.3398	SMOC2	1501.5718
SMOX	111.2383	SMOX	103.0388
SMO	562.3864	SMO	517.9881
SMPD1	867.2817	SMPD1	331.8198
SMPD2	153.2557	SMPD2	121.9001
SMPD3	122.012	SMPD3	64.9668
SMPD4	1934.6845	SMPD4	1342.2983
SMPDL3A	219.7832	SMPDL3A	310.8627
SMPDL3B	394.8556	SMPDL3B	157.8764
SMS	2700.9629	SMS	1081.7324
removed	removed	SMTNL1	5.9378
SMTNL2	7.0029	removed	removed
SMTN	635.1087	SMTN	577.3664
SMU1	2062.8914	SMU1	2424.38
SMUG1	549.1886	SMUG1	273.8386
SMURF1	852.9985	SMURF1	785.7003
SMURF2	703.5216	SMURF2	1081.3832
SMYD1	12.3897	SMYD1	683.898
SMYD2	658.5415	SMYD2	765.9797
SMYD3	738.2668	SMYD3	194.9005
SMYD4	219.5138	SMYD4	555.7108
SMYD5	712.4099	SMYD5	651.4146
SNAI1	88.6136	SNAI1	85.9239
SNAI2	586.6272	SNAI2	1228.781
SNAI3	12.9284	SNAI3	7.335
SNAP23	1749.1078	SNAP23	1726.8599
SNAP25	25.0488	SNAP25	97.4502
SNAP29	1401.9258	SNAP29	1120.1537
SNAP47	542.3015	SNAP47	485.2218
SNAPC1	235.9437	SNAPC1	363.6046
SNAPC2	265.0327	SNAPC2	116.3116
SNAPC3	577.2002	SNAPC3	629.0604
SNAPC4	216.8204	SNAPC4	173.2448
SNAPC5	66.2231	SNAPC5	64.5023
SNAPIN	580.163	SNAPIN	415.6479
SNCAIP	152.9863	SNCAIP	173.5941
SNCA	47.4042	SNCA	134.8236
SNCG	84.3041	SNCG	101.2924
SND1	3188.2028	SND1	2990.5693
SNED1	925.9982	SNED1	578.4143
SNF8	565.8878	SNF8	244.4988
SNHG10	30.1663	SNHG10	85.9239
SNHG11	162.3433	SNHG11	81.3063
SNHG12	124.226	SNHG12	248.9382
SNHG1	692.2093	SNHG1	1581.9071
SNHG3-RCC1	271.6962	SNHG3-RCC1	381.3692
SNHG3	35.0145	SNHG3	34.5791
SNHG4	6.8278	SNHG4	67.796
SNHG5	2044.8455	SNHG5	3664.3381
SNHG6	663.3897	SNHG6	772.6161
SNHG7	227.1632	SNHG7	556.0636
SNHG8	380.0417	SNHG8	1040.8662
SNHG9	25.5875	SNHG9	24.4499
SNIP1	378.1564	SNIP1	451.6242
SNN	998.1819	SNN	711.8407
SNORA39	5.4569	removed	removed
SNORA7B	5.7478	removed	removed
SNORA8	242.1924	SNORA8	484.4499
SNORD116-20	5.9255	SNORD116-20	27.2441
SNORD116-28	32.7789	SNORD116-28	89.2595
SNORD116-4	27.6803	SNORD116-4	45.875
SNORD1C	19.8828	SNORD1C	17.5271
SNPH	85.6508	SNPH	67.0625
SNRK	1355.0603	SNRK	2220.7475
SNRNP200	9270.2175	SNRNP200	6822.5637
SNRNP25	376.8096	SNRNP25	118.7565
SNRNP27	418.2883	SNRNP27	539.6437
SNRNP35	192.7951	SNRNP35	135.6933
SNRNP40	956.1646	SNRNP40	689.4866
SNRNP48	354.7236	SNRNP48	896.2627
SNRNP70	1247.8621	SNRNP70	2017.8135
SNRPA1	398.6264	SNRPA1	249.3888
SNRPA	822.5709	SNRPA	1011.5264
SNRPB2	1216.3491	SNRPB2	1149.1443
