gene_id	TCGA-E9-A1N9-01A-11R-A14D-07	gene_id	TCGA-E9-A1N9-11A-71R-A14D-07
AFF3	4186.1417	AFF3	2198.0422
AFF4	4162.9535	AFF4	4693.1476
AFG3L1	175.9571	AFG3L1	341.8675
AFG3L2	1932.0678	AFG3L2	1618.5693
AFMID	436.9373	AFMID	4572.6657
AFP	15.4588	AFP	48.9458
AFTPH	2772.5743	AFTPH	1653.991
AG2	102.3006	AG2	283.1325
AGAP11	65.9271	AGAP11	232.3343
AGAP1	320.542	AGAP1	560.994
AGAP2	60.4347	AGAP2	109.68
AGAP3	1186.2326	AGAP3	1421.6867
AGAP4	160.4983	AGAP4	251.1295
AGAP5	46.3035	AGAP5	116.3479
AGAP6	90.4792	AGAP6	120.4819
AGAP7	6.3654	AGAP7	8.6596
AGAP8	41.3749	AGAP8	52.3343
AGA	981.6314	AGA	869.7289
AGBL2	13.1854	AGBL2	16.9428
AGBL3	15.9134	removed	removed
AGBL4	54.1057	removed	removed
AGBL5	703.3873	AGBL5	617.4887
AGER	21.8241	AGER	39.5331
AGFG1	1196.69	AGFG1	1909.6386
AGFG2	171.4104	AGFG2	486.0693
AGGF1	1257.6157	AGGF1	843.3735
AGK	467.4002	AGK	503.012
AGL	1424.4794	AGL	1033.1325
AGMAT	97.2993	AGMAT	9.0361
AGPAT1	1845.9625	AGPAT1	1289.2018
AGPAT2	239.1561	AGPAT2	2190.8886
AGPAT3	2479.7672	AGPAT3	4038.7801
AGPAT4	95.4806	AGPAT4	228.9157
AGPAT5	464.2175	AGPAT5	823.7952
AGPAT6	607.8931	AGPAT6	1500.753
AGPAT9	45.4669	AGPAT9	135.5422
AGPHD1	30.0082	AGPHD1	54.5934
AGPS	417.8412	AGPS	803.4639
AGR2	215.968	AGR2	176.5813
AGR3	26.8255	AGR3	57.6054
AGRN	3226.3345	AGRN	2787.2741
AGTPBP1	523.7792	AGTPBP1	446.5361
AGTR1	89.1152	AGTR1	279.3675
AGTRAP	656.088	AGTRAP	856.9277
AGT	52.7417	AGT	32.003
AGXT2L2	142.9162	AGXT2L2	658.125
AHCTF1	2655.7243	AHCTF1	1569.2771
AHCYL1	2944.4394	AHCYL1	4171.6867
AHCYL2	690.1882	AHCYL2	690.512
AHCY	6308.5387	AHCY	3138.1777
AHDC1	514.6858	AHDC1	1264.3072
AHI1	548.786	AHI1	461.2199
AHNAK2	450.1228	AHNAK2	1166.7922
AHNAK	33933.3455	AHNAK	113989.8343
AHRR	38.6469	AHRR	10.5422
AHR	1324.9068	AHR	3064.759
AHSA1	2446.5763	AHSA1	1546.6867
AHSA2	147.7676	AHSA2	576.4307
AIDA	1294.9259	AIDA	844.6122
AIF1L	3889.6972	AIF1L	2154.744
AIF1	270.983	AIF1	210.8434
AIFM1	1056.6518	AIFM1	1295.9337
AIFM2	475.1296	AIFM2	1013.9307
removed	removed	AIFM3	9.4127
AIG1	915.7043	AIG1	676.9578
AIM1L	63.6537	removed	removed
AIM1	4404.8377	AIM1	5171.3102
AIM2	15.9134	removed	removed
AIMP1	1269.819	AIMP1	863.4789
AIMP2	362.4989	AIMP2	209.9096
AIP	801.5822	AIP	617.4699
removed	removed	AJAP1	8.2831
AK1	260.5256	AK1	429.9699
AK2	1459.0343	AK2	1832.0783
AK3L1	507.8658	AK3L1	868.2229
AK3	750.2046	AK3	1356.9277
AK5	264.6176	AK5	1744.7289
AK7	27.2802	AK7	39.1566
AKAP10	961.6259	AKAP10	633.2831
AKAP11	1396.7446	AKAP11	2177.3343
AKAP12	816.5863	AKAP12	3681.4759
AKAP13	3395.9262	AKAP13	3984.9398
AKAP1	1838.6833	AKAP1	2780.1205
AKAP2	633.1954	AKAP2	1877.0181
AKAP3	64.1084	AKAP3	46.6867
AKAP5	193.6892	AKAP5	42.9217
AKAP6	35.4642	AKAP6	238.7048
AKAP7	145.0396	AKAP7	175.8283
AKAP8L	1193.0527	AKAP8L	823.7952
AKAP8	996.1808	AKAP8	798.9458
AKAP9	2447.4857	AKAP9	3268.4488
AKD1	460.1255	AKD1	140.4367
AKIRIN1	2285.1687	AKIRIN1	1156.6265
AKIRIN2	737.9285	AKIRIN2	516.1898
AKNA	648.3586	AKNA	753.012
AKR1A1	1353.551	AKR1A1	5503.3886
removed	removed	AKR1B10	6.7771
removed	removed	AKR1B15	899.8494
AKR1B1	449.6681	AKR1B1	1349.0211
AKR1C1	42.7389	AKR1C1	4096.9616
AKR1C2	38.6469	AKR1C2	3335.8434
AKR1C3	160.0436	AKR1C3	1422.4398
removed	removed	AKR1D1	1335.0904
AKR1E2	146.4036	AKR1E2	70.9601
AKR7A2	484.6776	AKR7A2	694.6536
AKR7A3	12.2761	AKR7A3	141.9428
removed	removed	AKR7L	13.5542
AKT1S1	982.9954	AKT1S1	785.3916
AKT1	4217.9685	AKT1	2979.2922
AKT2	1902.337	AKT2	2632.9066
AKT3	587.8876	AKT3	1145.3313
AKTIP	721.9242	AKTIP	565.8208
ALAD	1263.5264	ALAD	2147.2139
ALAS1	798.3996	ALAS1	855.4217
ALB	210.512	ALB	622.741
ALCAM	3016.7318	ALCAM	12193.5241
ALDH16A1	834.3185	ALDH16A1	593.3735
ALDH18A1	4022.006	ALDH18A1	1583.9608
ALDH1A1	495.5897	ALDH1A1	3533.1325
ALDH1A2	47.7403	ALDH1A2	408.1325
ALDH1A3	631.9996	ALDH1A3	4015.3765
ALDH1B1	529.6899	ALDH1B1	322.6657
ALDH1L1	25.4615	ALDH1L1	606.1747
ALDH1L2	334.182	ALDH1L2	241.3404
ALDH2	1371.7377	ALDH2	7246.988
