gene_id	TCGA-BH-A0B3-01A-11R-A056-07	gene_id	TCGA-BH-A0B3-11B-21R-A089-07
ALOX5AP	632.6903	ALOX5AP	265.5217
ALOX5	486.0351	ALOX5	752.2542
ALOXE3	13.8209	ALOXE3	10.3049
ALPK1	447.6437	ALPK1	881.4083
ALPK2	54.8997	ALPK2	5.8394
ALPK3	92.1394	ALPK3	306.3976
ALPL	412.7076	ALPL	704.8519
ALS2CL	208.8492	ALS2CL	328.3813
removed	removed	ALS2CR11	8.5874
ALS2CR4	612.7267	ALS2CR4	1267.8403
ALS2CR8	31.097	ALS2CR8	323.2289
ALS2	287.9355	ALS2	670.8459
ALX3	64.8815	ALX3	40.8759
ALX4	9.5979	ALX4	30.2276
AMACR	257.9902	AMACR	305.3671
removed	removed	AMBP	165.9081
AMBRA1	890.2966	AMBRA1	960.0687
AMD1	1433.5349	AMD1	2471.1035
removed	removed	AMDHD1	7.9004
AMDHD2	195.1473	AMDHD2	136.3366
AMFR	2845.1867	AMFR	3918.2482
AMICA1	105.1924	AMICA1	252.1254
AMIGO1	26.4901	AMIGO1	202.6621
AMIGO2	404.2614	AMIGO2	3007.6393
AMIGO3	167.7704	AMIGO3	65.2641
AMMECR1L	936.3663	AMMECR1L	920.9103
AMMECR1	542.0866	AMMECR1	240.79
AMN1	43.7662	AMN1	316.359
AMOTL1	2077.7426	AMOTL1	5735.6805
AMOTL2	2334.1971	AMOTL2	2641.477
AMOT	840.0038	AMOT	1116.0155
AMPD1	13.437	AMPD1	68.3555
AMPD2	984.7394	AMPD2	540.3177
AMPD3	281.0251	AMPD3	263.1172
AMPH	44.9179	AMPH	55.3027
AMT	53.5867	AMT	248.4534
AMY1A	109.0316	AMY1A	30.2276
AMY2B	47.9893	AMY2B	479.21
AMZ1	21.4992	removed	removed
AMZ2P1	114.7903	AMZ2P1	327.3508
AMZ2	1608.5997	AMZ2	1091.6273
ANAPC10	137.0573	ANAPC10	139.459
ANAPC11	2040.5029	ANAPC11	429.7123
ANAPC13	856.5237	ANAPC13	1368.4431
ANAPC16	1450.0432	ANAPC16	2498.9266
ANAPC1	1190.5173	ANAPC1	831.2581
ANAPC2	484.1156	ANAPC2	628.596
ANAPC4	424.6089	ANAPC4	623.4435
ANAPC5	2930.4156	ANAPC5	2190.1245
ANAPC7	1048.4691	ANAPC7	797.5955
ANGEL1	353.2009	ANGEL1	693.173
ANGEL2	464.5359	ANGEL2	784.1992
ANGPT1	471.8303	ANGPT1	429.0253
ANGPT2	266.0524	ANGPT2	280.979
removed	removed	ANGPT4	10.6483
ANGPTL1	17.2761	ANGPTL1	375.0966
ANGPTL2	2439.3896	ANGPTL2	2821.1249
removed	removed	ANGPTL3	96.5221
ANGPTL4	1485.7472	ANGPTL4	330.0988
removed	removed	ANGPTL5	6.8699
ANGPTL6	5.1099	removed	removed
removed	removed	ANGPTL7	205.0666
ANG	211.6403	ANG	646.1795
ANK1	30.3292	ANK1	25.7621
ANK2	99.0498	ANK2	623.4435
ANK3	656.4929	ANK3	1806.097
ANKAR	19.5796	ANKAR	71.447
ANKDD1A	82.5415	ANKDD1A	186.5178
removed	removed	ANKFN1	55.6462
ANKFY1	1535.656	ANKFY1	2431.6015
ANKHD1-EIF4EBP3	506.1215	ANKHD1-EIF4EBP3	659.5964
ANKHD1	2315.2279	ANKHD1	3208.9687
ANKH	3071.6959	ANKH	2015.9725
ANKIB1	1205.8739	ANKIB1	1510.6913
removed	removed	ANKK1	35.0365
ANKLE1	109.7687	ANKLE1	13.7398
ANKLE2	2382.5703	ANKLE2	1491.1121
ANKMY1	76.015	ANKMY1	239.7596
ANKMY2	209.2331	ANKMY2	756.0326
ANKRA2	100.2016	ANKRA2	367.5397
ANKRD10	935.5984	ANKRD10	1857.2091
ANKRD11	2548.8473	ANKRD11	2482.7411
ANKRD12	616.9498	ANKRD12	2295.921
ANKRD13A	1263.0771	ANKRD13A	1757.3207
ANKRD13B	252.9993	ANKRD13B	70.76
ANKRD13C	659.9482	ANKRD13C	664.6629
ANKRD13D	528.6496	ANKRD13D	358.2653
ANKRD16	266.3135	ANKRD16	182.2791
ANKRD17	1994.4332	ANKRD17	3021.7261
ANKRD19	39.9271	ANKRD19	83.8128
ANKRD1	12.6692	ANKRD1	9.2744
removed	removed	ANKRD20A3	11.3353
removed	removed	ANKRD20B	5.8394
ANKRD22	196.564	ANKRD22	82.0953
ANKRD23	16.8922	ANKRD23	39.1584
ANKRD24	6.5265	ANKRD24	35.38
ANKRD26	126.3077	ANKRD26	349.3345
ANKRD27	1338.3242	ANKRD27	944.9549
ANKRD28	1241.9618	ANKRD28	1397.3379
ANKRD29	25.7222	ANKRD29	297.4667
ANKRD2	13.437	removed	removed
removed	removed	ANKRD30A	1111.2065
ANKRD30B	10.3657	ANKRD30B	198.5401
ANKRD32	125.156	ANKRD32	156.6337
ANKRD34A	14.2048	ANKRD34A	20.9532
ANKRD35	228.8127	ANKRD35	152.1683
ANKRD36BP1	204.2422	ANKRD36BP1	177.2435
ANKRD36B	28.7936	ANKRD36B	23.0142
ANKRD36	227.661	ANKRD36	334.9077
ANKRD37	120.8868	ANKRD37	115.3182
ANKRD39	221.1345	ANKRD39	74.8819
ANKRD40	1266.9162	ANKRD40	1837.3551
ANKRD42	100.5855	ANKRD42	252.1254
removed	removed	ANKRD43	282.0094
ANKRD44	70.6402	ANKRD44	114.3839
removed	removed	ANKRD45	6.5264
ANKRD46	271.4272	ANKRD46	611.3903
ANKRD49	227.2771	ANKRD49	455.8179
ANKRD50	686.8222	ANKRD50	1737.7415
ANKRD52	1357.136	ANKRD52	1410.7342
ANKRD53	10.3657	ANKRD53	33.6625
ANKRD54	476.0534	ANKRD54	340.4036
ANKRD56	45.6858	ANKRD56	90.6827
ANKRD57	667.6265	ANKRD57	853.9287
ANKRD58	34.5523	ANKRD58	16.8313
ANKRD5	240.7141	ANKRD5	241.8205
ANKRD6	220.4933	ANKRD6	378.4285
