gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
SLC35D2	172.2164	SLC35D2	328.8826
SLC35E1	2293.4443	SLC35E1	2132.5837
SLC35E2	3826.2149	SLC35E2	3268.3782
SLC35E2	56.1993	SLC35E2	154.4374
SLC35E3	186.7846	SLC35E3	201.14
SLC35E4	44.5031	SLC35E4	37.1828
SLC35F1	5.4631	SLC35F1	22.4877
SLC35F2	625.3902	SLC35F2	236.1209
SLC35F3	196.9303	SLC35F3	189.5838
SLC35F5	565.2966	SLC35F5	925.4314
SLC36A1	352.7575	SLC36A1	335.7539
SLC36A4	317.6379	SLC36A4	138.9865
SLC37A1	396.9823	SLC37A1	204.2633
SLC37A2	302.5494	SLC37A2	380.417
SLC37A3	818.6785	SLC37A3	1186.5386
SLC37A4	755.4631	SLC37A4	387.9129
SLC38A10	887.3569	SLC38A10	1501.6788
SLC38A1	9681.0614	SLC38A1	5636.2927
SLC38A2	4761.9667	SLC38A2	4981.6507
SLC38A3	53.8502	SLC38A3	20.9261
SLC38A4	20.0312	SLC38A4	18.1151
SLC38A5	92.0916	SLC38A5	72.148
SLC38A6	119.667	SLC38A6	151.792
SLC38A7	180.8012	SLC38A7	185.5235
SLC38A9	123.3091	SLC38A9	208.9482
SLC39A10	1222.1644	SLC39A10	880.1437
SLC39A11	2060.0937	SLC39A11	691.1845
SLC39A13	572.8408	SLC39A13	484.7349
SLC39A14	1621.7482	SLC39A14	2002.0301
SLC39A1	5306.9719	SLC39A1	2229.0935
SLC39A3	252.6015	SLC39A3	235.4962
SLC39A4	579.0843	SLC39A4	104.6303
SLC39A6	13981.5297	SLC39A6	6540.1733
SLC39A7	2554.1103	SLC39A7	1772.7805
SLC39A8	1975.5463	SLC39A8	816.4285
SLC39A9	2310.6139	SLC39A9	2441.165
SLC3A1	18.1686	SLC3A1	9.6853
SLC3A2	2829.0843	SLC3A2	2012.0247
SLC40A1	29031.9979	SLC40A1	10307.1758
SLC41A1	981.7898	SLC41A1	1180.292
SLC41A2	229.4485	SLC41A2	347.3101
SLC41A3	1130.0728	SLC41A3	1140.6262
SLC43A1	989.5942	SLC43A1	542.8281
SLC43A2	749.4797	SLC43A2	606.231
SLC43A3	3244.3496	SLC43A3	1814.1485
SLC44A1	4849.1155	SLC44A1	2693.2146
SLC44A2	4484.9116	SLC44A2	4015.9288
SLC44A3	223.4651	SLC44A3	140.8605
SLC44A4	1731.2695	SLC44A4	440.6965
SLC44A5	105.6191	SLC44A5	76.833
SLC45A1	27.8356	SLC45A1	28.7343
SLC45A3	40.8429	SLC45A3	72.148
SLC45A4	253.1217	SLC45A4	382.6033
SLC46A1	695.9287	SLC46A1	945.3861
SLC46A2	44.7451	SLC46A2	7.8082
SLC46A3	209.1571	SLC46A3	502.85
SLC47A1	21.5921	SLC47A1	90.2631
SLC48A1	621.2279	SLC48A1	944.4835
SLC4A11	52.5494	SLC4A11	61.8412
SLC4A1AP	575.4422	SLC4A1AP	569.6885
removed	removed	SLC4A1	61.5289
SLC4A2	2506.1212	SLC4A2	1192.401
SLC4A3	67.3777	SLC4A3	88.7015
SLC4A4	57.4922	SLC4A4	673.0694
SLC4A5	258.0203	SLC4A5	91.1189
SLC4A7	1596.2539	SLC4A7	1193.4099
SLC4A8	709.6774	SLC4A8	94.9481
SLC5A1	171.6961	SLC5A1	399.1567
SLC5A3	984.23	SLC5A3	2014.7294
SLC5A5	161.5505	SLC5A5	16.8658
SLC5A6	2510.3642	SLC5A6	1622.3878
SLC5A8	95.9938	SLC5A8	10.3069
removed	removed	SLC5A9	5.6219
SLC6A10P	11.7066	SLC6A10P	7.1836
removed	removed	SLC6A11	7.8082
SLC6A12	59.8335	SLC6A12	22.8
SLC6A14	144.3809	SLC6A14	479.113
SLC6A16	22.1124	SLC6A16	41.2275
SLC6A17	7.5442	removed	removed
SLC6A1	15.3486	SLC6A1	7.4959
SLC6A20	6.7638	SLC6A20	16.5534
removed	removed	SLC6A2	36.5425
SLC6A4	45.2653	SLC6A4	6.8712
SLC6A6	587.4089	SLC6A6	809.5573
SLC6A8	2426.3788	SLC6A8	1316.1552
SLC6A9	579.8439	SLC6A9	127.777
removed	removed	SLC7A10	723.9291
SLC7A11	158.6889	SLC7A11	65.2768
removed	removed	SLC7A14	11.8685
SLC7A1	1367.5858	SLC7A1	918.2478
SLC7A2	5935.4839	SLC7A2	3335.0511
removed	removed	SLC7A3	113.3755
SLC7A4	10.1457	SLC7A4	26.8603
SLC7A5P2	5.705	removed	removed
SLC7A5	4738.8137	SLC7A5	765.2065
SLC7A6OS	135.4266	SLC7A6OS	215.8445
SLC7A6	1508.9542	SLC7A6	1246.7932
SLC7A7	291.103	SLC7A7	365.7375
SLC7A8	371.488	SLC7A8	1023.5028
SLC7A9	5.2029	removed	removed
SLC8A1	219.563	SLC8A1	370.7348
SLC8A2	10.4058	removed	removed
removed	removed	SLC8A3	14.6795
SLC9A1	1426.3788	SLC9A1	1028.5
removed	removed	SLC9A2	31.5452
SLC9A3R1	5976.0666	SLC9A3R1	1191.2235
SLC9A3R2	827.0031	SLC9A3R2	836.1053
SLC9A5	72.0604	SLC9A5	17.1781
SLC9A6	191.9875	SLC9A6	560.3186
SLC9A7	94.693	SLC9A7	147.7317
SLC9A8	492.9761	SLC9A8	510.3459
SLC9A9	48.127	SLC9A9	855.4697
removed	removed	SLCO1A2	180.2139
removed	removed	SLCO1C1	18.4274
SLCO2A1	216.1811	SLCO2A1	415.7102
SLCO2B1	434.9636	SLCO2B1	1148.7468
SLCO3A1	223.7253	SLCO3A1	603.42
SLCO4A1	23.153	SLCO4A1	61.4133
SLCO4C1	10.4058	SLCO4C1	35.6055
SLCO5A1	7.8044	removed	removed
SLFN11	338.9698	SLFN11	1241.1962
removed	removed	SLFN12L	28.1096
SLFN12	134.2352	SLFN12	148.981
SLFN13	182.3621	SLFN13	261.4195
SLFN5	245.0572	SLFN5	2135.0824
SLFNL1	10.1457	removed	removed
removed	removed	SLIT1	13.4302
SLIT2	88.9698	SLIT2	959.163
SLIT3	321.2799	SLIT3	3575.857
removed	removed	SLITRK2	20.9261
SLITRK4	71.8002	SLITRK4	235.4962
SLITRK5	108.7409	SLITRK5	62.4658
SLITRK6	989.0739	SLITRK6	249.2387
SLK	2049.4277	SLK	3345.9827
SLMAP	2692.2477	SLMAP	1518.2322
SLMO1	98.8554	SLMO1	20.6137
SLMO2	2435.2237	SLMO2	1193.0975
removed	removed	SLN	25.2987
SLPI	593.3923	SLPI	829.5463
SLTM	2006.5036	SLTM	2125.0878
SLU7	877.4714	SLU7	1709.3777
SMAD1	686.0042	SMAD1	720.2311
SMAD2	2058.5328	SMAD2	2661.9817
SMAD3	1174.5578	SMAD3	2119.1536
SMAD4	1490.7154	SMAD4	2436.4426
removed	removed	SMAD5OS	9.3699
SMAD5	1223.9854	SMAD5	2697.2749
SMAD6	60.0937	SMAD6	149.2934
SMAD7	709.4173	SMAD7	483.7979
SMAD9	12.2268	SMAD9	99.633
SMAGP	397.5026	SMAGP	170.2194
SMAP1	678.8684	SMAP1	809.4167
SMAP2	1104.8387	SMAP2	1195.5962
removed	removed	SMARCA1	1953.3068
SMARCA2	1887.0968	SMARCA2	5990.7863
SMARCA4	4326.4828	SMARCA4	1530.1007
SMARCA5	2983.0905	SMARCA5	2508.3158
SMARCAD1	734.3913	SMARCAD1	1023.8151
SMARCAL1	434.7034	SMARCAL1	556.5706
SMARCB1	1009.1051	SMARCB1	778.012
SMARCC1	6654.7867	SMARCC1	3403.7636
SMARCC2	3179.2404	SMARCC2	3623.9556
SMARCD1	1565.5567	SMARCD1	1098.7741
SMARCD2	4127.4714	SMARCD2	2339.3457
SMARCD3	937.0447	SMARCD3	331.6936
SMARCE1	2057.7523	SMARCE1	2970.2506
SMC1A	3738.8137	SMC1A	3132.3495
SMC2	999.2196	SMC2	696.4941
SMC3	2889.9584	SMC3	2322.1676
SMC4	4544.2248	SMC4	1116.5769
SMC5	745.5775	SMC5	1078.1604
SMC6	1660.5099	SMC6	802.9984
SMCHD1	1747.3985	SMCHD1	2606.3871
SMCR7L	818.1582	SMCR7L	1381.432
SMCR7	170.9157	SMCR7	225.1893
SMCR8	892.5754	SMCR8	1447.0586
SMEK1	1473.9854	SMEK1	1649.0981
SMEK2	1979.4485	SMEK2	3125.1659
SMG1	4479.1883	SMG1	4920.7465
SMG5	4287.7211	SMG5	1834.3094
SMG6	697.9709	SMG6	1671.5859
SMG7	3816.3371	SMG7	2317.4826
SMN2	1236.2981	SMN2	745.8983
SMNDC1	909.2092	SMNDC1	691.1845
SMOC1	5.7232	SMOC1	242.3675
SMOC2	209.6774	SMOC2	5736.5503
SMOX	93.1322	SMOX	109.6275
SMO	353.538	SMO	470.3678
SMPD1	509.1051	SMPD1	520.6528
SMPD2	162.0708	SMPD2	115.2495
SMPD3	99.3757	SMPD3	60.2795
SMPD4	1752.0812	SMPD4	1085.0316
SMPDL3A	84.0271	SMPDL3A	328.258
SMPDL3B	254.9428	SMPDL3B	111.5015
SMPX	6.7638	removed	removed
SMS	3186.0042	SMS	1174.3578
SMTNL1	18.9906	SMTNL1	5.9343
removed	removed	SMTNL2	5.3096
SMTN	354.3184	SMTN	555.946
SMU1	1311.3944	SMU1	1720.3092
SMUG1	786.4204	SMUG1	414.7732
SMURF1	1270.692	SMURF1	1150.146
SMURF2	527.3153	SMURF2	1037.8699
removed	removed	SMYD1	215.8195
SMYD2	1340.7908	SMYD2	545.9514
SMYD3	412.0708	SMYD3	158.9756
SMYD4	189.9063	SMYD4	442.2581
SMYD5	774.1935	SMYD5	482.2363
SNAI1	212.2789	SNAI1	90.2631
SNAI2	263.2674	SNAI2	706.1763
removed	removed	SNAI3	12.8055
SNAP23	1459.9376	SNAP23	1757.4764
SNAP25	5.9834	SNAP25	11.5562
SNAP29	1526.0146	SNAP29	1114.0782
SNAP47	851.6675	SNAP47	508.3657
SNAPC1	190.6868	SNAPC1	238.3072
SNAPC2	485.9521	SNAPC2	224.2524
SNAPC3	395.9417	SNAPC3	555.6336
SNAPC4	474.5057	SNAPC4	209.2606
SNAPC5	103.9178	SNAPC5	94.3109
SNAPIN	989.5942	SNAPIN	664.6365
SNCAIP	110.0416	SNCAIP	176.466
SNCA	14.0479	SNCA	123.6824
SNCG	705.5151	SNCG	503.787
SND1	6050.7284	SND1	3820.0984
SNED1	373.8293	SNED1	1138.7522
SNF8	511.1863	SNF8	629.6557
SNHG10	73.6212	SNHG10	47.7864
SNHG11	141.821	SNHG11	82.6111
SNHG12	710.4579	SNHG12	121.8084
SNHG1	1797.6613	SNHG1	553.0101
SNHG3-RCC1	513.0021	SNHG3-RCC1	341.5788
SNHG3	161.8106	SNHG3	27.1726
SNHG4	19.4511	SNHG4	10.9128
SNHG5	535.9001	SNHG5	1857.7341
SNHG6	2530.9573	SNHG6	939.1739
SNHG7	772.4662	SNHG7	728.2424
SNHG8	417.5338	SNHG8	788.0066
SNHG9	125.3902	SNHG9	27.7973
SNIP1	401.4048	SNIP1	380.417
SNN	871.2279	SNN	1774.9668
SNORA39	8.0229	SNORA39	5.7781
SNORA8	550.8065	SNORA8	259.3988
removed	removed	SNORD116-20	14.0548
removed	removed	SNORD116-28	48.6297
SNORD116-4	11.9355	SNORD116-4	55.832
SNORD17	8.5848	removed	removed
SNORD1C	30.3746	SNORD1C	13.1834
SNPH	28.8762	SNPH	97.1344
SNRK	814.256	SNRK	2253.7675
SNRNP200	6839.7503	SNRNP200	6641.6803
SNRNP25	1590.0104	SNRNP25	416.6471
SNRNP27	371.2279	SNRNP27	599.3597
SNRNP35	208.4131	SNRNP35	258.1151
SNRNP40	1854.8387	SNRNP40	690.8722
SNRNP48	268.9906	SNRNP48	406.3403
SNRNP70	1749.2196	SNRNP70	1367.0649
SNRPA1	843.9126	SNRPA1	233.9346
SNRPA	1310.6139	SNRPA	858.9053
SNRPB2	1740.8949	SNRPB2	884.8286
SNRPB	4049.4277	SNRPB	1176.2317
SNRPC	1089.23	SNRPC	658.7023
SNRPD1	1684.7034	SNRPD1	489.1075
SNRPD2	3318.1582	SNRPD2	2007.3397
SNRPD3	1733.7071	SNRPD3	1147.4818
SNRPE	2411.8106	SNRPE	706.801
SNRPF	2023.4131	SNRPF	473.4911
SNRPG	1631.6337	SNRPG	451.0034
SNRPN	680.3746	SNRPN	1433.7222
SNTA1	208.3767	SNTA1	748.3408
SNTB1	600.1561	SNTB1	855.782
SNTB2	671.9563	SNTB2	2023.2685
removed	removed	SNTG2	23.1124
SNUPN	578.564	SNUPN	435.6992
SNURF	50.8949	SNURF	77.1016
SNW1	1389.6982	SNW1	1596.3145
SNX10	1069.4589	SNX10	624.6584
SNX11	449.0114	SNX11	608.1049
SNX12	288.2414	SNX12	228.3126
SNX13	753.9022	SNX13	1719.3722
SNX14	1034.8595	SNX14	1080.0344
SNX15	500	SNX15	671.8201
SNX16	517.4298	SNX16	551.261
SNX17	2431.0614	SNX17	2389.006
SNX18	500.7804	SNX18	1465.7609
SNX19	2605.6191	SNX19	2424.9239
SNX1	2527.5754	SNX1	5548.8405
SNX20	25.3902	SNX20	44.8286
SNX21	241.6519	SNX21	865.1144
SNX22	290.8871	SNX22	121.8896
SNX24	302.5494	SNX24	142.1098
SNX25	262.487	SNX25	325.447
SNX27	2539.9922	SNX27	1292.7868
SNX29	660.77	SNX29	1433.2787
SNX2	1267.6899	SNX2	2326.8525
SNX30	766.6493	SNX30	844.2258
SNX32	8.0645	removed	removed
SNX33	533.0385	SNX33	1725.3065
SNX3	2367.5858	SNX3	4762.0832
SNX4	1011.1863	SNX4	844.8505
SNX5	3770.2914	SNX5	2998.6726
SNX6	989.8543	SNX6	1911.4547
SNX7	942.2477	SNX7	532.2089
SNX8	288.2414	SNX8	267.3538
SNX9	1065.5567	SNX9	3065.1987
SOAT1	1080.9053	SOAT1	722.1051
SOAT2	16.129	removed	removed
SOBP	30.1769	SOBP	349.4964
SOCS1	16.9095	SOCS1	37.7918
SOCS2	42.1436	SOCS2	410.4006
SOCS3	696.1498	SOCS3	863.2779
SOCS4	629.2924	SOCS4	683.6886
SOCS5	648.0229	SOCS5	1165.6126
SOCS6	828.3039	SOCS6	910.4396
SOCS7	65.2966	SOCS7	136.4879
SOD1	3791.8835	SOD1	3772.9367
SOD2	4557.232	SOD2	7578.6679
SOD3	79.8647	SOD3	1655.6571
SOHLH2	12.5676	SOHLH2	15.6165
SOLH	992.9761	SOLH	309.8306
SON	4950.5723	SON	8037.7918
SORBS1	537.461	SORBS1	17261.8099
SORBS2	1042.1436	SORBS2	1670.6489
SORBS3	1032.5182	SORBS3	1913.9533
SORCS1	15.6087	SORCS1	44.9754
SORCS2	44.4849	SORCS2	89.3261
SORCS3	389.6982	SORCS3	66.5261
SORD	2402.9657	SORD	704.3023
SORL1	2186.0042	SORL1	3533.3802
SORT1	3126.1707	SORT1	6023.5809
SOS1	1443.8085	SOS1	2427.1102
SOS2	574.922	SOS2	1683.4544
SOSTDC1	16.129	SOSTDC1	218.0058
SOX10	7.0239	SOX10	1136.5659
SOX11	32.5182	SOX11	11.2439
SOX12	1816.3371	SOX12	356.6799
SOX13	684.7034	SOX13	1011.3219
SOX15	5.9834	SOX15	25.611
SOX17	18.9906	SOX17	175.2167
SOX18	71.8002	SOX18	264.8552
SOX2	21.8522	SOX2	5.6219
SOX4	2062.1748	SOX4	2410.8691
SOX5	129.5525	SOX5	332.3183
SOX6	31.4776	SOX6	186.7729
SOX7	38.8163	SOX7	263.7464
removed	removed	SOX8	61.2165
SOX9	2364.204	SOX9	1348.6375
SP100	813.9958	SP100	1809.323
SP110	369.1467	SP110	530.6473
SP140L	189.1259	SP140L	295.1511
SP140	29.9168	SP140	73.085
SP1	4599.8959	SP1	4978.5274
SP2	491.6753	SP2	622.1598
SP3	1680.8012	SP3	2752.2449
SP4	214.36	SP4	396.3457
SP5	20.2914	SP5	19.9891
SP6	222.1644	SP6	91.5125
SPA17	126.6909	SPA17	70.5864
SPAG16	303.59	SPAG16	282.3456
SPAG17	20.5515	SPAG17	42.4768
SPAG1	263.7877	SPAG1	101.507
SPAG4	81.6857	SPAG4	38.4165
SPAG5	908.4287	SPAG5	126.4933
SPAG7	386.8366	SPAG7	550.6364
SPAG8	6.7638	SPAG8	15.935
SPAG9	1752.0812	SPAG9	3592.0981
SPARCL1	2238.5536	SPARCL1	28591.2392
SPARC	38619.9272	SPARC	39863.8245
SPAST	537.2008	SPAST	556.2583
SPATA12	5.7232	removed	removed
SPATA13	231.7196	SPATA13	770.5099
SPATA17	86.3684	SPATA17	18.7398
SPATA18	168.8345	SPATA18	568.7515
SPATA20	236.4724	SPATA20	387.2882
removed	removed	SPATA22	8.1955
SPATA24	11.4464	SPATA24	27.7973
SPATA2L	120.1873	SPATA2L	74.959
SPATA2	484.6514	SPATA2	371.3594
SPATA5L1	342.3517	SPATA5L1	143.3591
SPATA5	204.2144	SPATA5	270.1648
SPATA6	110.5619	SPATA6	221.1291
SPATA7	120.9677	SPATA7	213.6332
removed	removed	SPATA9	14.3953
SPATS2L	1760.9261	SPATS2L	1526.0404
SPATS2	1309.0531	SPATS2	456.313
SPC24	41.6233	removed	removed
SPC25	175.5983	SPC25	26.548
SPCS1	2922.9709	SPCS1	1499.4675
SPCS2	943.2882	SPCS2	580.3076
SPCS3	2070.4995	SPCS3	2557.0391
SPDEF	718.7825	SPDEF	622.7844
SPDYA	12.0317	SPDYA	15.6352
SPDYE1	13.5276	SPDYE1	9.6822
SPDYE3	94.1467	SPDYE3	70.0867
SPDYE5	8.845	SPDYE5	9.3699
SPDYE6	20.8117	SPDYE6	27.1726
SPDYE7P	6.5036	removed	removed
SPDYE8P	18.9906	SPDYE8P	19.6767
SPEF2	377.2112	SPEF2	296.0881
SPEG	65.5567	SPEG	121.4961
SPEN	2847.8148	SPEN	3733.2709
SPESP1	335.3122	SPESP1	74.2813
SPG11	1616.8054	SPG11	2506.4418
SPG20	1304.1103	SPG20	2552.0419
SPG21	3348.8554	SPG21	1830.5614
SPG7	761.4464	SPG7	745.8421
SPHAR	103.3403	SPHAR	123.4138
SPHK1	216.4256	SPHK1	131.8779
SPHK2	173.8111	SPHK2	155.8929
removed	removed	SPHKAP	276.4113
SPI1	314.7763	SPI1	371.3594
removed	removed	SPIB	19.3644
SPIN1	2120.1873	SPIN1	3217.303
removed	removed	SPIN2A	10.6192
SPIN2B	78.4209	SPIN2B	85.8499
SPIN3	352.4974	SPIN3	391.3485
SPIN4	299.4277	SPIN4	212.3839
SPINK4	6.5036	removed	removed
removed	removed	SPINK5	45.6001
SPINK8	11.4464	removed	removed
SPINLW1	24.974	removed	removed
SPINT1	3644.1207	SPINT1	1391.7389
SPINT2	10319.1988	SPINT2	2924.0259
SPIRE1	1426.1186	SPIRE1	1036.3083
SPIRE2	113.6837	SPIRE2	40.9151
SPNS1	1299.5734	SPNS1	550.5083
SPNS2	48.1842	SPNS2	432.4104
SPN	63.4755	SPN	283.5949
SPOCD1	121.488	SPOCD1	9.0575
SPOCK1	710.718	SPOCK1	1226.8291
SPOCK2	186.0042	SPOCK2	659.9516
removed	removed	SPOCK3	9.3699
SPON1	430.0208	SPON1	1610.994
SPON2	396.7222	SPON2	659.6393
SPOPL	827.7836	SPOPL	1295.5415
SPOP	833.7669	SPOP	1664.7146
SPP1	10254.4225	SPP1	1480.4404
SPPL2A	926.6389	SPPL2A	878.8944
SPPL2B	331.4256	SPPL2B	361.0525
SPPL3	1435.744	SPPL3	1325.8374
SPRED1	706.0354	SPRED1	1679.0818
SPRED2	980.7492	SPRED2	1349.5745
SPRN	57.7523	SPRN	54.3453
removed	removed	SPRR2F	8.7452
SPRY1	278.0957	SPRY1	1858.9834
SPRY2	54.1103	SPRY2	1728.7421
SPRY3	97.5546	SPRY3	120.5591
SPRY4	490.6348	SPRY4	624.3461
SPRYD3	1502.6015	SPRYD3	1540.0953
SPRYD4	307.232	SPRYD4	270.4771
SPR	1349.6358	SPR	618.7241
SPSB1	992.7159	SPSB1	778.949
SPSB2	123.3091	SPSB2	74.959
SPSB3	612.3829	SPSB3	561.5679
SPSB4	10.9261	SPSB4	69.6494
SPTAN1	12538.5016	SPTAN1	9402.6704
SPTBN1	3700.8325	SPTBN1	36654.642
SPTBN2	760.4058	SPTBN2	467.8691
removed	removed	SPTBN4	47.474
SPTBN5	44.7451	SPTBN5	29.9836
SPTB	10.4058	SPTB	180.2139
SPTLC1	1361.6025	SPTLC1	1995.4712
SPTLC2	3546.3059	SPTLC2	3127.9769
SPTLC3	251.3007	SPTLC3	454.1266
SPTY2D1	1210.6504	SPTY2D1	1280.4029
SQLE	1617.0656	SQLE	471.3048
SQRDL	1731.7898	SQRDL	1226.2044
SQSTM1	6219.9766	SQSTM1	9242.2238
SR140	2532.2581	SR140	2404.6225
SRA1	394.3809	SRA1	350.7457
SRBD1	354.3184	SRBD1	577.1844
SRCAP	9505.7232	SRCAP	4133.9892
SRCIN1	58.7929	SRCIN1	115.2495
SRCRB4D	29.6696	SRCRB4D	28.8124
SRC	965.9209	SRC	529.7103
SRD5A1	1075.9625	SRD5A1	259.5456
SRD5A3	855.8377	SRD5A3	431.6171
SREBF1	4783.0385	SREBF1	1630.6707
SREBF2	1840.5307	SREBF2	2134.1454
SRFBP1	202.6535	SRFBP1	288.5922
SRF	1182.3621	SRF	1127.8207
SRGAP1	439.3861	SRGAP1	468.8061
SRGAP2	1072.5806	SRGAP2	1044.1165
SRGAP3	95.2133	SRGAP3	170.5317
SRGN	603.538	SRGN	2124.1509
SRI	2430.281	SRI	1595.3775
SRL	6.5036	SRL	81.2056
SRMS	19.7711	removed	removed
SRM	2221.1238	SRM	718.6695
SRP14	4560.3538	SRP14	4154.2906
SRP19	653.3429	SRP19	464.2492
SRP54	1228.9282	SRP54	959.163
SRP68	1828.564	SRP68	2114.4686
SRP72	3895.9417	SRP72	2760.6778
SRP9	9993.2362	SRP9	3825.0957
SRPK1	2322.0604	SRPK1	992.5822
SRPK2	1558.2726	SRPK2	1376.7471
SRPK3	62.5832	SRPK3	19.7205
SRPRB	2741.155	SRPRB	1108.4563
SRPR	7023.6733	SRPR	3671.742
SRPX2	302.5494	SRPX2	923.5574
SRPX	226.847	SRPX	2817.5217
SRRD	234.3913	SRRD	252.0497
SRRM1	2654.5265	SRRM1	1656.9064
SRRM2	15717.4818	SRRM2	13062.5439
SRRM3	20.5515	SRRM3	42.1644
SRRM5	40.8819	SRRM5	17.4498
SRRT	2037.461	SRRT	842.0395
SRR	189.7451	SRR	225.4298
SRXN1	1834.5473	SRXN1	708.9873
SS18L1	512.2268	SS18L1	381.6663
SS18L2	784.0791	SS18L2	241.1181
SS18	2293.1842	SS18	1782.775
SSBP1	1836.8887	SSBP1	846.4121
SSBP2	437.3049	SSBP2	766.1435
SSBP3	943.2882	SSBP3	832.982
SSBP4	597.2945	SSBP4	254.8606
SSB	2218.5068	SSB	2562.5986
SSC5D	135.0156	SSC5D	609.3543
SSFA2	1241.155	SSFA2	3329.4292
SSH1	1543.9646	SSH1	1441.0869
SSH2	608.4807	SSH2	1381.432
SSH3	1145.4214	SSH3	609.3543
SSNA1	978.9282	SSNA1	464.1212
SSPN	1303.0697	SSPN	2525.1815
removed	removed	SSPO	14.9918
SSR1	4517.6899	SSR1	4064.6521
SSR2	10369.667	SSR2	4805.497
SSR3	10120.1873	SSR3	5384.8677
SSR4	2887.3569	SSR4	1868.3532
SSRP1	6230.7492	SSRP1	3113.6097
SSSCA1	357.9605	SSSCA1	188.9592
removed	removed	SSTR1	62.7782
SSTR2	477.3673	SSTR2	111.8139
SSU72	4236.4724	SSU72	2343.0936
SSX2IP	1023.4131	SSX2IP	263.6058
ST13	3469.563	ST13	8479.4253
ST14	4060.3538	ST14	1085.344
ST20	142.6275	ST20	55.0262
ST3GAL1	1971.384	ST3GAL1	2051.3782
ST3GAL2	194.8491	ST3GAL2	485.6719
ST3GAL3	157.9084	ST3GAL3	343.8744
ST3GAL4	474.2456	ST3GAL4	293.5894
ST3GAL5	246.6181	ST3GAL5	817.9902
ST3GAL6	86.8887	ST3GAL6	238.6195
ST5	2011.1863	ST5	1412.9773
ST6GAL1	6219.0427	ST6GAL1	2040.759
ST6GAL2	142.0395	ST6GAL2	122.1207
removed	removed	ST6GALNAC1	59.0302
ST6GALNAC2	177.9396	ST6GALNAC2	439.1348
ST6GALNAC3	82.206	ST6GALNAC3	178.9646
ST6GALNAC4	1374.3496	ST6GALNAC4	305.7703
ST6GALNAC5	1021.0718	ST6GALNAC5	111.8139
ST6GALNAC6	1236.7326	ST6GALNAC6	3312.8758
ST7L	117.3257	ST7L	229.2496
ST7OT1	6.7586	ST7OT1	19.861
ST7	1437.5468	ST7	904.9114
ST8SIA1	328.0437	ST8SIA1	316.7018
ST8SIA2	23.4131	ST8SIA2	121.1837
ST8SIA4	139.1779	ST8SIA4	334.1922
ST8SIA6	182.6223	ST8SIA6	54.3453
STAB1	714.6332	STAB1	1901.8443
removed	removed	STAB2	74.022
STAC2	78.564	STAC2	492.2308
STAC3	42.6067	STAC3	35.2713
removed	removed	STAC	193.6441
STAG1	1228.5848	STAG1	1803.5324
STAG2	2856.1394	STAG2	4771.7654
STAG3L1	30.437	STAG3L1	37.4795
STAG3L2	48.6472	STAG3L2	127.4303
STAG3L3	112.5598	STAG3L3	121.0807
STAG3L4	89.23	STAG3L4	132.4276
STAG3	22.3101	STAG3	16.7971
STAM2	410.2497	STAM2	1080.659
STAMBPL1	130.1665	STAMBPL1	195.2057
STAMBP	775.7544	STAMBP	732.0996
STAM	685.744	STAM	644.3351
removed	removed	STAP1	10.9315
STAP2	191.9875	STAP2	199.8907
STARD10	1686.0042	STARD10	648.7077
STARD13	798.127	STARD13	1343.9525
STARD3NL	959.4173	STARD3NL	600.609
STARD3	442.2477	STARD3	487.5459
STARD4	30.437	STARD4	32.7946
STARD5	37.2008	STARD5	73.3974
STARD7	5567.141	STARD7	3512.3511
STARD8	83.2466	STARD8	431.3266
STAR	16.6493	STAR	6.2466
STAT1	3372.2685	STAT1	3182.0098
STAT2	2030.1769	STAT2	1835.2463
STAT3	5351.4568	STAT3	6247.8332
STAT4	17.6899	STAT4	95.2604
STAT5A	608.7409	STAT5A	3691.1064
STAT5B	1017.1696	STAT5B	5173.7331
STAT6	2964.6202	STAT6	4429.4526
STAU1	4540.3226	STAU1	3007.4178
STAU2	1463.5796	STAU2	947.2944
STBD1	887.2086	STBD1	4068.7593
STC1	3464.6202	STC1	447.5677
STC2	881.3736	STC2	2208.7921
STEAP1	555.411	STEAP1	503.1623
STEAP2	1209.6774	STEAP2	988.5219
STEAP3	1060.0937	STEAP3	948.8561
STEAP4	341.051	STEAP4	3115.4837
STIL	802.5494	STIL	130.2413
STIM1	1442.2477	STIM1	1670.9612
STIM2	402.9657	STIM2	624.9707
STIP1	7821.2799	STIP1	2493.6363
STK10	415.7128	STK10	904.193
STK11IP	212.7992	STK11IP	198.0167
STK11	711.4984	STK11	595.2994
STK16	382.154	STK16	433.8253
STK17A	543.7045	STK17A	570.3131
STK17B	497.6587	STK17B	1357.695
STK19	307.9032	STK19	238.9412
STK24	2892.5598	STK24	3428.1252
STK25	853.538	STK25	1168.4235
removed	removed	STK32A	19.0521
STK32B	36.1602	STK32B	208.6359
STK32C	199.563	STK32C	59.3425
STK33	8.0645	STK33	5.6219
STK35	2844.693	STK35	978.215
STK36	505.4631	STK36	345.1238
STK38L	2104.8387	STK38L	1392.6759
STK38	1135.796	STK38	1796.5175
STK39	876.4308	STK39	639.9625
STK3	635.796	STK3	601.546
STK40	1426.1186	STK40	1596.6268
STK4	1434.7034	STK4	1484.813
STL	8.1087	STL	8.7733
