gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
ALDH1A2	7.8044	ALDH1A2	382.6033
ALDH1A3	110.0312	ALDH1A3	1246.6557
ALDH1B1	1006.2435	ALDH1B1	520.3404
removed	removed	ALDH1L1	2282.5018
ALDH1L2	310.8741	ALDH1L2	513.1569
ALDH2	2078.3039	ALDH2	20635.5899
removed	removed	ALDH3A1	17.4904
ALDH3A2	1236.2123	ALDH3A2	3818.5367
ALDH3B1	189.3861	ALDH3B1	159.2879
ALDH3B2	28.616	ALDH3B2	537.5185
ALDH4A1	436.2643	ALDH4A1	800.4997
ALDH5A1	271.0718	ALDH5A1	770.5161
ALDH6A1	413.7071	ALDH6A1	1638.0105
ALDH7A1	555.9313	ALDH7A1	2344.3429
ALDH8A1	5.2029	removed	removed
ALDH9A1	4126.9511	ALDH9A1	4744.2805
ALDOA	49490.1145	ALDOA	11779.1833
ALDOC	83.2466	ALDOC	443.1951
ALG10B	251.821	ALG10B	433.2006
ALG10	123.0489	ALG10	159.2879
ALG11	18.9906	ALG11	14.9918
ALG12	511.1863	ALG12	394.7841
ALG13	417.0135	ALG13	430.3896
ALG14	176.8991	ALG14	175.2167
ALG1L	10.7076	ALG1L	8.1487
ALG1	1800.4396	ALG1	483.8698
ALG2	969.3028	ALG2	769.5791
ALG3	2375.9105	ALG3	502.85
ALG5	567.1176	ALG5	542.2035
ALG6	1042.1436	ALG6	373.5457
ALG8	1702.9136	ALG8	851.4094
ALG9	667.794	ALG9	700.5544
ALKBH1	224.2456	ALKBH1	213.9455
ALKBH2	292.924	ALKBH2	175.529
ALKBH3	405.5671	ALKBH3	272.3511
ALKBH4	184.9116	ALKBH4	181.2946
ALKBH5	2916.1811	ALKBH5	2282.661
ALKBH6	87.1488	ALKBH6	44.0384
ALKBH7	252.8616	ALKBH7	276.4113
ALKBH8	169.0947	ALKBH8	289.8415
removed	removed	ALK	14.9918
ALMS1	1280.9573	ALMS1	1098.7741
ALOX12P2	32.5182	ALOX12P2	5.9343
removed	removed	ALOX12	6.2466
ALOX15B	91.051	ALOX15B	769.2668
ALOX5AP	364.4641	ALOX5AP	566.8775
ALOX5	271.3319	ALOX5	352.6197
ALPK1	328.564	ALPK1	631.5296
ALPK2	55.1509	ALPK2	80.2686
ALPK3	85.0676	ALPK3	857.0313
ALPL	112.6431	ALPL	573.7487
ALS2CL	254.9428	ALS2CL	197.0797
removed	removed	ALS2CR11	13.1178
ALS2CR4	610.5619	ALS2CR4	1389.5526
ALS2CR8	60.6139	ALS2CR8	210.1975
ALS2	474.5057	ALS2	698.9927
removed	removed	ALX1	8.1206
ALX3	17.6899	ALX3	20.6137
removed	removed	ALX4	50.5973
AMACR	379.8127	AMACR	292.0278
removed	removed	AMBP	5.6219
AMBRA1	1008.0645	AMBRA1	854.2203
AMD1	3144.9011	AMD1	1962.989
AMDHD1	20.8117	AMDHD1	12.1808
AMDHD2	195.6426	AMDHD2	110.9831
AMFR	2937.8252	AMFR	2849.6916
AMICA1	57.4922	AMICA1	393.8471
AMIGO1	34.0791	AMIGO1	218.9428
AMIGO2	963.3195	AMIGO2	1507.9254
AMIGO3	113.6837	AMIGO3	44.9754
AMMECR1L	577.5234	AMMECR1L	889.5135
AMMECR1	779.9168	AMMECR1	339.1895
AMN1	107.9605	AMN1	128.055
AMOTL1	802.5494	AMOTL1	3299.7579
AMOTL2	735.9521	AMOTL2	2938.7054
AMOT	2235.9521	AMOT	1521.6678
removed	removed	AMPD1	84.0166
AMPD2	593.6524	AMPD2	486.2966
AMPD3	421.1759	AMPD3	195.8304
AMPH	1397.2425	AMPH	763.6449
AMT	37.9813	AMT	86.6651
AMY2B	37.2008	AMY2B	265.4017
AMZ1	73.3611	AMZ1	13.4302
AMZ2P1	152.7055	AMZ2P1	218.9428
AMZ2	1852.4974	AMZ2	1452.6431
ANAPC10	100.1561	ANAPC10	118.6851
ANAPC11	1356.3996	ANAPC11	627.4694
ANAPC13	1475.1795	ANAPC13	1438.1354
ANAPC16	3739.5942	ANAPC16	2839.0724
ANAPC1	685.4839	ANAPC1	985.3986
ANAPC2	478.4079	ANAPC2	437.8855
ANAPC4	377.7315	ANAPC4	530.6473
ANAPC5	4123.3091	ANAPC5	2015.7726
ANAPC7	1482.3101	ANAPC7	828.297
ANGEL1	405.5671	ANGEL1	595.2994
ANGEL2	1124.3496	ANGEL2	722.4174
ANGPT1	23.4131	ANGPT1	834.5436
ANGPT2	199.2716	ANGPT2	423.5184
removed	removed	ANGPT4	10.3069
ANGPTL1	11.4464	ANGPTL1	1015.3822
