gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
ANKRD37	116.9458	ANKRD37	177.4009
ANKRD39	64.0342	ANKRD39	73.3448
ANKRD40	810.7112	ANKRD40	1979.5717
ANKRD42	469.9719	ANKRD42	372.1388
ANKRD43	666.7313	ANKRD43	74.0832
ANKRD44	37.6443	ANKRD44	139.5521
ANKRD45	40.749	ANKRD45	34.7034
ANKRD46	357.5551	ANKRD46	688.4888
ANKRD49	353.9342	ANKRD49	387.1524
ANKRD50	3719.414	ANKRD50	1710.3126
ANKRD52	2798.0984	ANKRD52	1240.7088
removed	removed	ANKRD53	61.2848
ANKRD54	464.5387	ANKRD54	197.8833
ANKRD56	38.0324	ANKRD56	181.6392
ANKRD57	566.2171	ANKRD57	1096.4804
ANKRD58	11.2545	removed	removed
