gene_id	TCGA-E2-A153-01A-12R-A12D-07	gene_id	TCGA-E2-A153-11A-31R-A12D-07
AEN	523.3593	AEN	519.1325
AES	6008.3426	AES	4883.8424
AFAP1L1	503.8932	AFAP1L1	308.3911
AFAP1L2	328.6986	AFAP1L2	1097.309
AFAP1	1361.5072	AFAP1	1743.5767
AFF1	2276.9744	AFF1	2797.7745
AFF2	20.0222	AFF2	48.1435
AFF3	215.7953	AFF3	2551.6067
AFF4	3353.7264	AFF4	4543.6585
AFG3L1	147.9422	AFG3L1	390.5984
AFG3L2	1192.6307	AFG3L2	1640.3497
AFMID	593.9933	AFMID	4132.6218
removed	removed	AFP	125.809
AFTPH	2622.3582	AFTPH	1838.9917
AG2	265.2948	AG2	216.1917
AGAP11	27.3971	AGAP11	139.9069
AGAP1	823.693	AGAP1	614.5112
AGAP2	49.5829	AGAP2	172.4356
AGAP3	1204.6719	AGAP3	1653.2304
AGAP4	156.2848	AGAP4	267.0603
AGAP5	25.584	AGAP5	80.763
AGAP6	73.4149	AGAP6	158.5103
AGAP7	6.1179	AGAP7	11.8088
AGAP8	28.3648	AGAP8	40.4224
AGA	623.4705	AGA	743.4995
AGBL2	14.4605	AGBL2	22.255
AGBL3	5.5617	removed	removed
AGBL4	16.6852	AGBL4	9.0837
AGBL5	535.6007	AGBL5	679.0144
AGER	14.4605	AGER	62.2232
AGFG1	1521.1346	AGFG1	1977.9721
AGFG2	532.8142	AGFG2	589.0769
AGGF1	857.6196	AGGF1	817.5315
AGK	575.6396	AGK	566.3677
AGL	531.1457	AGL	991.9382
AGMAT	23.3593	AGMAT	10.9004
AGPAT1	1648.1313	AGPAT1	1348.7362
AGPAT2	912.6808	AGPAT2	633.1327
AGPAT3	1685.2058	AGPAT3	2762.8023
AGPAT4	205.7842	AGPAT4	359.2597
AGPAT5	733.5929	AGPAT5	1177.6996
AGPAT6	1553.9488	AGPAT6	1832.6331
AGPAT9	36.7075	AGPAT9	126.2632
AGPHD1	38.376	AGPHD1	36.7889
AGPS	533.9266	AGPS	799.3641
AGR2	7580.089	AGR2	916.5437
AGR3	1526.1402	AGR3	277.9607
AGRN	6281.4238	AGRN	5966.1633
AGTPBP1	183.5373	AGTPBP1	443.7379
AGTR1	340.3782	AGTR1	291.1321
AGTRAP	1039.4883	AGTRAP	941.978
AGT	78.9766	AGT	51.777
AGXT2L2	351.4905	AGXT2L2	432.2017
AHCTF1	1664.6274	AHCTF1	1574.6565
AHCYL1	3964.9611	AHCYL1	3961.8485
AHCYL2	543.3815	AHCYL2	669.9217
AHCY	3998.3315	AHCY	3015.3287
AHDC1	921.5795	AHDC1	1638.2423
AHI1	229.6997	AHI1	460.5428
AHNAK2	1976.6407	AHNAK2	1250.8232
AHNAK	45129.5884	AHNAK	64366.5266
AHRR	37.8198	AHRR	26.7969
AHR	1897.6641	AHR	3477.234
AHSA1	1527.2525	AHSA1	1318.4967
AHSA2	301.4461	AHSA2	728.9656
AIDA	1805.406	AIDA	745.348
AIF1L	77.3081	AIF1L	1817.1909
AIF1	559.5106	AIF1	317.9289
AIFM1	725.8065	AIFM1	1007.3805
AIFM2	245.8287	AIFM2	284.7735
AIFM3	13.7931	AIFM3	8.6295
AIG1	487.7642	AIG1	625.4116
AIM1L	48.9433	removed	removed
AIM1	952.1691	AIM1	4276.5982
AIM2	8.3426	AIM2	7.7211
AIMP1	1005.1446	AIMP1	956.5119
AIMP2	369.5161	AIMP2	286.1406
AIP	1063.4038	AIP	635.4037
AJAP1	26.6963	AJAP1	30.8845
AK1	629.5884	AK1	407.4032
AK2	2377.0857	AK2	1789.9398
AK3L1	452.7253	AK3L1	677.6428
AK3	983.871	AK3	1322.5843
AK5	68.4093	AK5	1614.6247
AK7	38.376	AK7	39.9682
AKAP10	293.1034	AKAP10	576.8139
AKAP11	1288.0979	AKAP11	1862.1551
AKAP12	742.4917	AKAP12	1830.3622
AKAP13	2801.4461	AKAP13	4243.4427
AKAP1	1568.9655	AKAP1	2186.8968
AKAP2	649.0489	AKAP2	1468.8089
AKAP3	44.4939	AKAP3	59.0439
AKAP5	54.505	AKAP5	89.0201
AKAP6	75.6396	AKAP6	189.3948
AKAP7	90.1001	AKAP7	172.1358
AKAP8L	964.9611	AKAP8L	891.5635
AKAP8	798.6652	AKAP8	777.1091
AKAP9	2731.9244	AKAP9	2751.9019
AKD1	105.673	AKD1	144.8848
AKIRIN1	630.1446	AKIRIN1	1249.4607
AKIRIN2	460.5117	AKIRIN2	565.0051
AKNA	542.8254	AKNA	791.1888
AKR1A1	2004.4494	AKR1A1	5219.4845
removed	removed	AKR1B10	25.8885
AKR1B15	12.792	AKR1B15	2110.1397
AKR1B1	849.277	AKR1B1	1003.2928
AKR1C1	8.3426	AKR1C1	1577.8358
AKR1C2	6.6741	AKR1C2	6228.6817
AKR1C3	91.2125	AKR1C3	1283.5245
removed	removed	AKR1D1	1015.1016
AKR1E2	9.4549	AKR1E2	25.8885
AKR7A2	1077.3081	AKR7A2	748.0413
AKR7A3	635.1502	AKR7A3	212.104
AKR7L	37.8198	AKR7L	20.4383
AKT1S1	1065.6285	AKT1S1	739.4118
AKT1	3809.2325	AKT1	3083.4563
AKT2	2145.7175	AKT2	2134.6656
AKT3	1880.4227	AKT3	881.1173
AKTIP	524.2325	AKTIP	477.4429
ALAD	1340.9344	ALAD	1372.9988
ALAS1	680.7564	ALAS1	837.9698
removed	removed	ALAS2	14.0797
ALB	22.2469	ALB	5114.1138
ALCAM	4636.8187	ALCAM	9923.9242
ALDH16A1	418.2425	ALDH16A1	748.9497
ALDH18A1	2357.0634	ALDH18A1	1556.4892
ALDH1A1	373.1924	ALDH1A1	979.6753
ALDH1A2	20.5784	ALDH1A2	1014.1933
ALDH1A3	380.1835	ALDH1A3	2822.4094
ALDH1B1	1774.7497	ALDH1B1	421.4829
ALDH1L1	8.8988	ALDH1L1	59.4981
ALDH1L2	740.267	ALDH1L2	201.2036
ALDH2	2363.1813	ALDH2	1614.1705
removed	removed	ALDH3A1	22.255
ALDH3A2	887.6529	ALDH3A2	1480.6404
ALDH3B1	235.8176	ALDH3B1	261.6101
