gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
ANAPC5	2304.9411	ANAPC5	2337.1429
ANAPC7	1068.2261	ANAPC7	1040.6349
ANGEL1	590.8975	ANGEL1	595.873
ANGEL2	812.2722	ANGEL2	576.5079
ANGPT1	81.0238	ANGPT1	88.5714
ANGPT2	238.3253	ANGPT2	472.6984
ANGPTL1	13.5605	ANGPTL1	230.7937
ANGPTL2	742.7748	ANGPTL2	4354.9206
removed	removed	ANGPTL3	6.6667
ANGPTL4	5423.5105	ANGPTL4	1021.9048
ANGPTL5	6.1022	removed	removed
removed	removed	ANGPTL7	76.8254
ANG	156.0268	ANG	646.2222
removed	removed	ANK1	135.2381
ANK2	236.9692	ANK2	1045.0794
ANK3	1160.7763	ANK3	1376.5079
ANKAR	8.1363	ANKAR	39.0476
ANKDD1A	37.9693	ANKDD1A	140
removed	removed	ANKFN1	13.3333
ANKFY1	2076.4472	ANKFY1	1820.9524
ANKHD1-EIF4EBP3	324.8174	ANKHD1-EIF4EBP3	820.1905
ANKHD1	2734.5097	ANKHD1	1740.3873
ANKH	1376.0488	ANKH	2514.2857
ANKIB1	2422.5782	ANKIB1	937.7778
removed	removed	ANKK1	68.8889
ANKLE1	90.1466	ANKLE1	15.2381
ANKLE2	1670.6501	ANKLE2	1513.9683
ANKMY1	75.9386	ANKMY1	240.6349
ANKMY2	306.1276	ANKMY2	729.5238
ANKRA2	205.4411	ANKRA2	291.746
ANKRD10	1900.578	ANKRD10	1571.5683
ANKRD11	1906.131	ANKRD11	2596.2444
ANKRD12	643.7834	ANKRD12	1079.3651
ANKRD13A	927.1972	ANKRD13A	1215.873
ANKRD13B	281.0408	ANKRD13B	134.6032
ANKRD13C	462.4121	ANKRD13C	447.3016
ANKRD13D	345.114	ANKRD13D	498.7302
ANKRD16	152.8536	ANKRD16	185.9683
ANKRD17	3852.5299	ANKRD17	1813.6508
ANKRD19	35.2572	ANKRD19	105.0794
ANKRD1	16.9506	removed	removed
removed	removed	ANKRD20A3	5.0794
ANKRD22	33.9012	ANKRD22	255.5556
ANKRD23	21.0187	ANKRD23	24.4444
ANKRD24	9.1533	ANKRD24	49.2063
ANKRD26	264.7682	ANKRD26	215.5556
ANKRD27	1005.1699	ANKRD27	666.0317
ANKRD28	1366.2175	ANKRD28	1267.9365
ANKRD29	29.833	ANKRD29	272.381
removed	removed	ANKRD2	6.0317
ANKRD30A	19.6627	ANKRD30A	407.9365
removed	removed	ANKRD30B	86.6667
ANKRD32	253.2418	ANKRD32	125.3968
ANKRD34A	12.8824	ANKRD34A	41.2698
ANKRD35	100.6865	ANKRD35	380.3175
ANKRD36BP1	499.3644	ANKRD36BP1	51.746
ANKRD36B	10.8484	ANKRD36B	10.7937
ANKRD36	98.6524	ANKRD36	214.2857
ANKRD37	143.5376	ANKRD37	122.6635
ANKRD39	132.2146	ANKRD39	143.4921
ANKRD40	1210.2721	ANKRD40	1339.6825
ANKRD42	140.3509	ANKRD42	341.9048
ANKRD43	5.7632	ANKRD43	57.4603
ANKRD44	13.8995	ANKRD44	29.8413
removed	removed	ANKRD45	10.1587
ANKRD46	280.3492	ANKRD46	395.4762
ANKRD49	243.4105	ANKRD49	313.0159
ANKRD50	1390.6263	ANKRD50	614.6032
ANKRD52	1767.2684	ANKRD52	1151.4286
