gene_id	TCGA-BH-A0B7-01A-12R-A115-07	gene_id	TCGA-BH-A0B7-11A-34R-A115-07
ADHFE1	26.4475	ADHFE1	192.4903
ADI1	2392.7806	ADI1	1369.0117
ADIPOQ	2527.8771	ADIPOQ	2661.6314
ADIPOR1	4624.732	ADIPOR1	2059.5598
ADIPOR2	1240.8863	ADIPOR2	2119.5511
ADK	368.1201	ADK	313.3362
ADM2	269.1208	ADM2	178.6793
ADM	284.1315	ADM	119.1196
ADNP2	593.9957	ADNP2	793.6987
ADNP	3161.9014	ADNP	3571.8602
ADORA1	246.9621	ADORA1	696.5904
ADORA2A	151.5368	ADORA2A	54.3807
ADORA2B	51.4653	ADORA2B	91.9292
ADORA3	108.649	ADORA3	84.1606
ADO	522.5161	ADO	691.8429
ADPGK	1138.2023	ADPGK	898.1442
ADPRHL1	61.8299	ADPRHL1	67.76
ADPRHL2	675.4825	ADPRHL2	559.344
ADPRH	261.258	ADPRH	226.5861
ADRA1A	9.6497	ADRA1A	5.6107
ADRA1B	25.0179	ADRA1B	8.2003
ADRA1D	5.7184	removed	removed
ADRA2A	309.1494	ADRA2A	764.3505
ADRA2B	19.6569	ADRA2B	21.148
ADRA2C	141.5297	ADRA2C	20.2849
ADRB1	6.4332	ADRB1	18.1269
ADRB2	157.97	ADRB2	150.1942
ADRBK1	2535.7398	ADRBK1	1641.3466
ADRBK2	933.5239	ADRBK2	1165.7315
ADRM1	1250.5361	ADRM1	756.1502
ADSL	670.4789	ADSL	970.6517
ADSSL1	199.7856	ADSSL1	91.4976
ADSS	2172.6233	ADSS	1460.0777
AEBP1	16776.6262	AEBP1	2750.9711
AEBP2	455.3252	AEBP2	1131.2041
AEN	413.867	AEN	467.4148
AES	5720.8721	AES	4103.1506
AFAP1L1	433.8813	AFAP1L1	209.3224
AFAP1L2	308.792	AFAP1L2	1115.2352
AFAP1	2302.4053	AFAP1	1883.4571
AFF1	2379.1994	AFF1	2872.6802
AFF2	30.0214	AFF2	46.612
AFF3	406.7191	AFF3	2308.5887
AFF4	6437.4553	AFF4	4804.057
AFG3L1	118.6562	AFG3L1	364.2641
AFG3L2	1358.5239	AFG3L2	1543.3751
AFMID	553.6097	AFMID	513.1636
AFP	6.7906	AFP	37.117
AFTPH	2156.183	AFTPH	2163.5736
AG2	286.9907	AG2	82.4342
AGAP11	20.7291	AGAP11	129.495
AGAP1	736.5976	AGAP1	649.5468
AGAP2	155.5218	AGAP2	78.4678
AGAP3	1147.9628	AGAP3	1608.9771
AGAP4	79.3424	AGAP4	240.3971
AGAP5	20.7505	AGAP5	145.3043
AGAP6	37.5268	AGAP6	155.8049
removed	removed	AGAP7	17.6953
AGAP8	18.2273	AGAP8	138.9728
AGA	559.6855	AGA	589.1239
removed	removed	AGBL2	21.148
AGBL3	5.0036	AGBL3	6.9055
AGBL4	5.361	AGBL4	7.3371
AGBL5	365.9828	AGBL5	780.3323
AGER	16.7977	AGER	75.9603
AGFG1	3877.055	AGFG1	1886.4912
AGFG2	259.8284	AGFG2	423.8239
AGGF1	760.1858	AGGF1	1061.2861
AGK	404.9321	AGK	611.9983
AGL	1775.554	AGL	1301.2516
AGMAT	27.1623	AGMAT	20.7164
AGPAT1	2054.9249	AGPAT1	1349.9784
AGPAT2	2253.3953	AGPAT2	624.0829
AGPAT3	3223.0164	AGPAT3	1727.6651
AGPAT4	146.5332	AGPAT4	299.9568
AGPAT5	612.9378	AGPAT5	789.3828
AGPAT6	1481.7727	AGPAT6	2015.9689
AGPAT9	87.5625	AGPAT9	82.4342
AGPHD1	28.9492	AGPHD1	63.0125
AGPS	1818.7991	AGPS	1232.1968
AGR2	6064.3317	AGR2	3105.3086
AGR3	38.2416	AGR3	598.6189
AGRN	19488.5633	AGRN	4034.0958
AGTPBP1	286.2759	AGTPBP1	418.6448
AGTR1	64.3317	AGTR1	115.2352
AGTRAP	1172.9807	AGTRAP	664.6526
AGT	363.4739	AGT	33.6642
AGXT2L2	349.8928	AGXT2L2	455.6625
AHCTF1	2497.1408	AHCTF1	1787.2249
AHCYL1	3986.7763	AHCYL1	4782.0457
AHCYL2	497.1408	AHCYL2	686.6638
AHCY	1860.2573	AHCY	3415.6237
AHDC1	1084.7034	AHDC1	1432.4558
AHI1	293.0665	AHI1	573.1549
AHNAK2	911.3653	AHNAK2	595.1662
AHNAK	56150.822	AHNAK	81975.8308
AHRR	27.1623	AHRR	21.5796
AHR	2033.238	AHR	3883.9016
AHSA1	1544.6748	AHSA1	1377.2119
AHSA2	106.5046	AHSA2	862.322
AIDA	1159.1065	AIDA	771.6875
AIF1L	1231.9514	AIF1L	2095.382
AIF1	437.8127	AIF1	257.6608
AIFM1	1493.5668	AIFM1	700.0432
AIFM2	314.153	AIFM2	404.8338
AIFM3	13.2345	AIFM3	11.2214
AIG1	795.9257	AIG1	593.8714
AIM1L	11.4367	removed	removed
AIM1	2129.3781	AIM1	2890.8071
AIM2	41.4582	removed	removed
AIMP1	781.2652	AIMP1	1214.3893
AIMP2	464.2959	AIMP2	231.994
AIP	775.554	AIP	658.1787
AJAP1	18.5847	AJAP1	35.8222
AK1	697.9986	AK1	312.9046
AK2	2191.208	AK2	2154.9417
AK3L1	387.0622	AK3L1	589.9871
AK3	550.7505	AK3	1446.2667
AK5	88.9921	AK5	933.5347
AK7	13.5811	AK7	60.423
AKAP10	581.4868	AKAP10	673.2844
AKAP11	1487.8485	AKAP11	2681.0531
AKAP12	1889.9214	AKAP12	1363.8325
AKAP13	3758.0415	AKAP13	5135.0885
AKAP1	1087.5625	AKAP1	3354.7691
AKAP2	903.8921	AKAP2	1565.9128
AKAP3	8.2202	AKAP3	66.4653
AKAP5	80.4146	AKAP5	120.8459
AKAP6	25.7327	AKAP6	331.8947
AKAP7	127.2337	AKAP7	234.3548
AKAP8L	729.0922	AKAP8L	904.1864
AKAP8	507.5054	AKAP8	862.322
AKAP9	2149.3924	AKAP9	4056.107
AKD1	184.06	AKD1	180.4057
AKIRIN1	2466.0472	AKIRIN1	1220.1122
AKIRIN2	755.1823	AKIRIN2	593.0082
AKNA	1167.2623	AKNA	676.7372
AKR1A1	3159.0422	AKR1A1	1672.4212
AKR1B10	403.8599	removed	removed
AKR1B15	185.4896	removed	removed
AKR1B1	703.0021	AKR1B1	640.915
AKR1C1	285.3288	AKR1C1	285.2827
AKR1C2	408.1487	AKR1C2	314.631
AKR1C3	501.787	AKR1C3	393.6124
removed	removed	AKR1D1	7.3371
AKR1E2	66.7084	AKR1E2	37.5486
AKR7A2	1076.1258	AKR7A2	718.17
AKR7A3	163.6883	AKR7A3	96.2451
AKR7L	10.3645	AKR7L	15.5373
AKT1S1	1279.1279	AKT1S1	596.8925
AKT1	5861.6869	AKT1	2709.1066
AKT2	2525.7327	AKT2	2130.341
AKT3	498.9278	AKT3	675.0108
AKTIP	529.0636	AKTIP	587.6262
ALAD	1150.4646	ALAD	1512.732
ALAS1	1417.441	ALAS1	699.6116
removed	removed	ALB	176.0898
ALCAM	4918.1558	ALCAM	5640.4834
ALDH16A1	562.1873	ALDH16A1	335.3474
ALDH18A1	2174.4103	ALDH18A1	1809.2361
ALDH1A1	1073.2666	ALDH1A1	834.7
ALDH1A2	158.3274	ALDH1A2	164.4368
ALDH1A3	609.5354	ALDH1A3	1746.2408
ALDH1B1	512.1515	ALDH1B1	501.079
ALDH1L1	85.7756	ALDH1L1	108.7613
ALDH1L2	498.5704	ALDH1L2	278.8088
ALDH2	2041.8156	ALDH2	2473.8886
removed	removed	ALDH3A1	26.3271
ALDH3A2	1927.4482	ALDH3A2	2069.4864
ALDH3B1	166.1901	ALDH3B1	118.2564
ALDH3B2	3556.1115	ALDH3B2	1672.8528
ALDH4A1	704.0743	ALDH4A1	558.4808
ALDH5A1	365.9757	ALDH5A1	613.2931
ALDH6A1	387.4982	ALDH6A1	647.5701
ALDH7A1	2441.3867	ALDH7A1	3630.1252
ALDH8A1	42.8878	ALDH8A1	23.7376
ALDH9A1	4183.3452	ALDH9A1	4329.3051
ALDOA	20740.5289	ALDOA	9975.3992
ALDOC	206.9335	ALDOC	636.5991
ALG10B	161.544	ALG10B	499.3526
ALG10	108.2916	ALG10	141.1308
ALG11	26.0901	ALG11	18.1269
ALG12	369.1923	ALG12	433.3189
ALG13	368.4775	ALG13	566.6811
ALG14	128.6633	ALG14	132.0673
ALG1L	32.8628	removed	removed
ALG1	741.9943	ALG1	409.2361
ALG2	548.9635	ALG2	845.9215
ALG3	976.4117	ALG3	457.0565
ALG5	553.6097	ALG5	611.9983
ALG6	644.7462	ALG6	319.3785
ALG8	1246.9621	ALG8	792.8356
ALG9	591.8513	ALG9	589.5555
ALKBH1	152.2516	ALKBH1	267.1558
ALKBH2	159.0422	ALKBH2	362.1062
ALKBH3	217.6555	ALKBH3	357.7902
ALKBH4	153.2202	ALKBH4	214.8511
ALKBH5	1618.6562	ALKBH5	1644.0872
ALKBH6	56.8263	ALKBH6	49.2016
ALKBH7	419.228	ALKBH7	400.5179
ALKBH8	187.634	ALKBH8	318.0837
ALK	8.5776	ALK	12.0846
removed	removed	ALMS1P	6.4739
ALMS1	957.1122	ALMS1	1080.2762
removed	removed	ALOX12P2	54.3807
ALOX15B	75.7684	ALOX15B	1156.6681
ALOX15	14.2959	ALOX15	240.8287
ALOX5AP	371.3367	ALOX5AP	154.5101
ALOX5	441.3867	ALOX5	262.4083
removed	removed	ALOXE3	5.6107
ALPK1	604.7177	ALPK1	955.1144
ALPK2	23.5883	ALPK2	27.6219
ALPK3	188.3488	ALPK3	101.8558
ALPL	498.213	ALPL	591.2818
ALS2CL	145.8184	ALS2CL	400.5179
ALS2CR11	28.2345	ALS2CR11	8.6319
removed	removed	ALS2CR12	7.7687
