gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
ADRA2C	12.8968	ADRA2C	85.9914
removed	removed	ADRB1	308.3108
ADRB2	6.9444	ADRB2	552.6523
ADRBK1	992.8075	ADRBK1	1208.4244
ADRBK2	420.8829	ADRBK2	4763.4362
ADRM1	1145.8333	ADRM1	1213.3182
ADSL	453.125	ADSL	658.219
ADSSL1	180.0595	ADSSL1	288.7355
ADSS	3202.381	ADSS	709.2546
AEBP1	10692.7083	AEBP1	6627.2831
AEBP2	869.0476	AEBP2	499.1698
AEN	582.8373	AEN	218.1246
AES	2281.002	AES	6565.7607
AFAP1L1	99.2063	AFAP1L1	1711.4393
AFAP1L2	213.0456	AFAP1L2	410.3819
AFAP1	819.4271	AFAP1	1499.5963
AFF1	3175.3472	AFF1	4531.6788
AFF2	23.5615	AFF2	60.1241
AFF3	21.5774	AFF3	743.5113
AFF4	9770.0893	AFF4	2889.1025
AFG3L1	262.6488	AFG3L1	162.1952
AFG3L2	1420.9598	AFG3L2	1307.3495
AFMID	728.1746	AFMID	270.5584
AFTPH	2884.4246	AFTPH	966.5298
AG2	76.8849	AG2	277.5496
AGAP11	18.6161	AGAP11	402.6986
AGAP1	2208.5813	AGAP1	403.7403
AGAP2	15.4514	AGAP2	115.6305
AGAP3	466.2698	AGAP3	928.0783
AGAP4	94.246	AGAP4	104.518
AGAP5	41.2054	AGAP5	44.8239
AGAP6	71.1806	AGAP6	85.2923
AGAP7	12.1528	AGAP7	23.0709
AGAP8	15.625	AGAP8	32.8585
AGA	787.6984	AGA	506.8601
AGBL2	33.2341	removed	removed
removed	removed	AGBL3	9.7876
AGBL4	29.5139	AGBL4	10.1372
AGBL5	652.0461	AGBL5	654.3808
AGER	14.6329	AGER	23.77
AGFG1	1526.0417	AGFG1	2926.1557
AGFG2	429.0675	AGFG2	360.0454
AGGF1	2084.3254	AGGF1	949.4014
AGK	752.4802	AGK	479.5945
AGL	414.4345	AGL	1959.626
AGMAT	13.6409	removed	removed
AGPAT1	1384.2014	AGPAT1	1808.1342
AGPAT2	671.627	AGPAT2	9866.2938
AGPAT3	2225.9425	AGPAT3	2718.1683
AGPAT4	121.2798	AGPAT4	256.9256
AGPAT5	1232.6389	AGPAT5	300.6205
AGPAT6	4525.2976	AGPAT6	1691.864
AGPAT9	24.8016	AGPAT9	368.4349
AGPHD1	17.1131	AGPHD1	74.456
AGPS	260.1687	AGPS	1948.4401
AGR2	3396.0813	AGR2	5.2434
AGR3	4763.1448	removed	removed
