gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
ADRA2C	67.9948	ADRA2C	74.4625
removed	removed	ADRB1	28.3167
ADRB2	60.6323	ADRB2	189.3026
ADRBK1	1844.9545	ADRBK1	1757.2103
ADRBK2	700.7362	ADRBK2	1794.9659
ADRM1	1253.7895	ADRM1	987.9392
ADSL	1289.7358	ADSL	660.1993
ADSSL1	48.0728	ADSSL1	190.3513
ADSS	1950.1949	ADSS	1214.473
AEBP1	25121.6977	AEBP1	8064.4992
AEBP2	454.7423	AEBP2	690.6135
AEN	621.4812	AEN	463.5553
AES	3556.0849	AES	5100.6817
AFAP1L1	441.3166	AFAP1L1	571.5784
AFAP1L2	686.0113	AFAP1L2	1257.4725
AFAP1	2268.9216	AFAP1	1790.7551
AFF1	2388.0468	AFF1	3201.3634
AFF2	50.2382	AFF2	63.9748
AFF3	345.6042	AFF3	3457.2627
AFF4	4269.8138	AFF4	4384.3734
AFG3L1	167.605	AFG3L1	362.3492
AFG3L2	2454.79	AFG3L2	1167.2522
AFMID	964.0537	AFMID	403.7756
removed	removed	AFP	40.9019
AFTPH	1211.3469	AFTPH	1663.3456
AG2	206.5829	AG2	204.5097
AGAP11	15.1581	AGAP11	237.053
AGAP1	651.7973	AGAP1	713.6864
AGAP2	155.3183	AGAP2	155.569
AGAP3	1226.505	AGAP3	1542.7373
AGAP4	90.0823	AGAP4	297.3256
AGAP5	36.0676	AGAP5	109.1662
AGAP6	53.7029	AGAP6	124.279
removed	removed	AGAP7	8.3901
AGAP8	35.9463	AGAP8	94.9135
AGA	702.0355	AGA	402.2024
removed	removed	AGBL2	26.2192
removed	removed	AGBL3	5.7682
removed	removed	AGBL4	6.817
AGBL5	317.0247	AGBL5	627.698
AGER	12.5595	AGER	55.0603
AGFG1	2967.0853	AGFG1	1706.345
AGFG2	192.7241	AGFG2	499.7378
AGGF1	677.3495	AGGF1	978.5003
AGK	546.557	AGK	469.3235
AGL	1006.0632	AGL	1287.3623
