gene_id	TCGA-BH-A0BC-01A-22R-A084-07	gene_id	TCGA-BH-A0BC-11A-22R-A089-07
AGXT2L2	432.6191	AGXT2L2	487.4464
removed	removed	AHCTF1	1522.1158
AHCYL1	4963.1792	AHCYL1	4250.798
AHCYL2	368.9625	AHCYL2	630.187
AHCY	4625.014	AHCY	2567.2595
AHDC1	946.8628	AHDC1	1122.663
AHI1	298.9139	AHI1	399.9088
AHNAK2	1470.1131	AHNAK2	1549.4756
AHNAK	26069.2212	AHNAK	105401.2768
AHRR	19.6257	AHRR	22.3438
AHR	1206.2234	AHR	3418.6047
AHSA1	1291.3686	AHSA1	1701.7784
AHSA2	157.9111	AHSA2	515.7319
AIDA	1318.8929	AIDA	1186.0967
AIF1L	1136.7788	AIF1L	3120.383
AIF1	965.8846	AIF1	670.3146
AIFM1	887.9858	AIFM1	673.0506
AIFM2	566.1249	AIFM2	833.1053
AIFM3	6.9445	AIFM3	6.8399
AIG1	1058.2761	AIG1	898.3128
AIM1L	11.1715	AIM1L	5.472
AIM1	2129.8373	AIM1	3563.1555
AIM2	26.8721	AIM2	8.2079
AIMP1	730.5819	AIMP1	1036.2244
AIMP2	417.1782	AIMP2	393.9398
AIP	830.3165	AIP	687.1865
AJAP1	5.7367	AJAP1	13.2239
AK1	665.7629	AK1	508.8919
AK2	2047.7115	AK2	2590.9713
AK3L1	274.1554	AK3L1	486.5481
AK3	1372.8906	AK3	2163.2467
AK5	359.6025	AK5	2056.0876
AK7	34.1185	AK7	29.6398
AKAP10	185.387	AKAP10	423.6206
AKAP11	836.6571	AKAP11	1370.269
AKAP12	775.3647	AKAP12	3657.0907
AKAP13	3103.8741	AKAP13	5046.0556
AKAP1	2095.115	AKAP1	2619.243
AKAP2	711.5028	AKAP2	2185.2303
removed	removed	AKAP3	10.0319
AKAP5	571.2578	AKAP5	65.2075
AKAP6	95.109	AKAP6	424.5326
AKAP7	138.8893	AKAP7	193.3425
AKAP8L	655.1952	AKAP8L	707.2503
AKAP8	692.9369	AKAP8	682.1705
AKAP9	3021.1444	AKAP9	2008.6639
AKD1	122.5849	AKD1	105.3352
AKIRIN1	1302.8421	AKIRIN1	1298.2216
AKIRIN2	717.3935	AKIRIN2	810.7615
removed	removed	AKNAD1	6.3839
AKNA	735.8114	AKNA	662.5627
AKR1A1	3622.8974	AKR1A1	1503.876
AKR1B10	6.0387	AKR1B10	587.7793
AKR1B1	1178.4456	AKR1B1	1264.9339
AKR1C1	127.7178	AKR1C1	4947.1044
AKR1C2	90.8819	AKR1C2	3375.741
AKR1C3	236.1118	AKR1C3	2452.8044
AKR1E2	9.058	AKR1E2	50.1596
AKR7A2	1467.0938	AKR7A2	917.0087
AKR7A3	54.6499	AKR7A3	74.7834
AKR7L	11.1715	AKR7L	25.5358
AKT1S1	1487.9272	AKT1S1	762.4259
AKT1	5552.8549	AKT1	3215.6863
AKT2	3172.413	AKT2	2151.8468
AKT3	414.2525	AKT3	984.0401
AKTIP	1166.3109	AKTIP	581.0807
ALAD	1034.7253	ALAD	1839.0333
ALAS1	762.6835	ALAS1	1091.6553
removed	removed	ALAS2	16.4159
ALB	393.721	ALB	182.3985
ALCAM	2317.036	ALCAM	3041.0397
ALDH16A1	915.1598	ALDH16A1	514.8199
ALDH18A1	3819.456	ALDH18A1	1714.5463
ALDH1A1	505.7382	ALDH1A1	1623.347
ALDH1A2	77.8988	ALDH1A2	244.87
ALDH1A3	632.523	ALDH1A3	4528.8691
ALDH1B1	1169.9915	ALDH1B1	590.5153
ALDH1L1	16.0025	ALDH1L1	464.2043
ALDH1L2	208.032	ALDH1L2	191.5185
ALDH2	2080.0184	ALDH2	6477.4282
ALDH3A1	5.7367	ALDH3A1	578.2034
ALDH3A2	1188.7113	ALDH3A2	2797.5376
ALDH3B1	334.2401	ALDH3B1	241.2221
ALDH3B2	3848.7435	ALDH3B2	1070.2234
ALDH4A1	906.4037	ALDH4A1	1027.8158
ALDH5A1	395.5326	ALDH5A1	571.8194
ALDH6A1	353.3586	ALDH6A1	342.9685
ALDH7A1	1936.902	ALDH7A1	1987.6881
ALDH8A1	8.7561	ALDH8A1	13.2239
ALDH9A1	2890.7092	ALDH9A1	3223.4382
ALDOA	30573.7638	ALDOA	14544.0036
ALDOC	138.2854	ALDOC	1534.4277
ALG10B	354.7716	ALG10B	231.1902
ALG10	155.4956	ALG10	68.8554
ALG11	7.2464	ALG11	8.2079
ALG12	729.4708	ALG12	387.1409
ALG13	521.4388	ALG13	437.3005
ALG14	430.8588	ALG14	220.2462
ALG1L	8.8315	ALG1L	15.7
ALG1	910.5885	ALG1	417.0451
ALG2	877.72	ALG2	846.7852
ALG3	1461.659	ALG3	523.4838
ALG5	592.0912	ALG5	731.4181
ALG6	619.869	ALG6	193.7984
ALG8	3796.509	ALG8	674.8746
ALG9	361.1122	ALG9	583.6753
ALKBH1	240.037	ALKBH1	253.99
ALKBH2	328.2015	ALKBH2	435.0205
ALKBH3	441.1245	ALKBH3	466.4843
ALKBH4	268.0654	ALKBH4	225.6088
ALKBH5	2021.3286	ALKBH5	2232.8728
ALKBH6	80.6162	ALKBH6	41.9517
ALKBH7	1240.3419	ALKBH7	300.5016
ALKBH8	174.8194	ALKBH8	293.2057
removed	removed	ALK	19.1518
ALMS1P	9.3599	removed	removed
ALMS1	940.8241	ALMS1	739.1701
ALOX12P2	5.1329	ALOX12P2	13.6799
removed	removed	ALOX12	8.0985
ALOX15B	24.4566	ALOX15B	160.5107
ALOX15	6.3406	ALOX15	28.2718
ALOX5AP	712.8645	ALOX5AP	381.213
ALOX5	659.4223	ALOX5	735.9781
removed	removed	ALOXE3	21.4318
ALPK1	229.1674	ALPK1	736.4341
ALPK2	20.5315	ALPK2	18.6959
ALPK3	218.5997	ALPK3	222.9822
ALPL	341.1846	ALPL	1413.1327
ALS2CL	86.6549	ALS2CL	347.0132
removed	removed	ALS2CR11	15.0479
ALS2CR4	546.8012	ALS2CR4	1440.9485
ALS2CR8	59.1789	ALS2CR8	163.2467
ALS2	406.4022	ALS2	535.7957
removed	removed	ALX3	27.8158
removed	removed	ALX4	16.8719
AMACR	239.4331	AMACR	212.9503
AMBP	7.8503	removed	removed
AMBRA1	866.5485	AMBRA1	976.7442
AMD1	1199.8828	AMD1	1911.5367
AMDHD1	48.3093	AMDHD1	16.8719
AMDHD2	365.9431	AMDHD2	119.015
AMFR	8044.7103	AMFR	3448.2444
AMH	11.7754	removed	removed
AMICA1	122.8868	AMICA1	142.2709
AMIGO1	62.1983	AMIGO1	124.943
AMIGO2	582.7312	AMIGO2	3253.534
AMIGO3	115.6404	AMIGO3	55.1756
AMMECR1L	633.758	AMMECR1L	859.5531
AMMECR1	137.0777	AMMECR1	248.062
AMN1	231.8848	AMN1	183.7665
AMOTL1	781.7053	AMOTL1	2579.5714
AMOTL2	1010.2688	AMOTL2	2683.9945
AMOT	1052.2375	AMOT	1345.1892
removed	removed	AMPD1	25.0798
AMPD2	722.8283	AMPD2	526.2198
AMPD3	229.4693	AMPD3	236.6621
AMPH	212.863	AMPH	46.5116
AMT	19.0218	AMT	164.1724
removed	removed	AMY1A	12.7679
removed	removed	AMY2A	5.016
AMY2B	18.5236	AMY2B	315.3716
AMZ1	7.2464	AMZ1	10.4879
AMZ2P1	114.1308	AMZ2P1	152.7588
AMZ2	750.3042	AMZ2	999.544
ANAPC10	99.638	ANAPC10	156.4067
ANAPC11	881.6452	ANAPC11	522.1158
ANAPC13	1369.6086	ANAPC13	910.3739
ANAPC16	2075.7913	ANAPC16	2375.741
ANAPC1	557.0669	ANAPC1	803.9216
