gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
RACGAP1	1104.7337	RACGAP1	262.6453
RAD17	814.9952	RAD17	734.8413
RAD18	465.9536	RAD18	423.814
RAD1	746.7966	RAD1	630.2231
RAD21	19463.7086	RAD21	5069.4219
RAD23A	3351.4773	RAD23A	1655.0424
RAD23B	3298.528	RAD23B	3854.2256
RAD50	1624.0602	RAD50	1915.8027
RAD51AP1	972.1487	RAD51AP1	59.3779
removed	removed	RAD51AP2	5.0267
RAD51C	531.6107	RAD51C	280.5529
RAD51L1	970.4543	RAD51L1	167.7663
RAD51L3	188.923	RAD51L3	184.7314
RAD51	187.6522	RAD51	27.0185
RAD52	249.0734	RAD52	274.191
RAD54B	432.8667	RAD54B	96.7138
RAD54L2	340.5697	RAD54L2	448.9475
RAD54L	366.8326	RAD54L	19.4785
RAD9A	379.3794	RAD9A	246.9149
RAD9B	121.5715	RAD9B	46.1828
RADIL	27.11	RADIL	185.9881
RAE1	1023.8272	RAE1	593.4653
RAET1E	59.3032	RAET1E	9.4251
RAET1G	10.8482	RAET1G	8.1684
RAET1K	5.0831	removed	removed
RAF1	2178.1214	RAF1	2298.1464
RAG1AP1	717.145	RAG1AP1	370.7194
RAG1	17.791	RAG1	65.6613
RAGE	227.0465	RAGE	217.7191
RAI14	1113.2055	RAI14	1083.8831
RAI1	826.0087	RAI1	1109.3308
RAI2	179.1803	RAI2	901.6651
RALA	881.9231	RALA	1320.1382
RALBP1	5319.9195	RALBP1	1931.5112
RALB	683.2574	RALB	1245.6802
RALGAPA1	455.7874	RALGAPA1	973.2956
RALGAPA2	413.0043	RALGAPA2	908.891
RALGAPB	2604.6807	RALGAPB	2855.1681
RALGDS	2068.4105	RALGDS	2595.3503
RALGPS1	281.2665	RALGPS1	438.2658
RALGPS2	132.1614	RALGPS2	805.2152
RALY	2744.8904	RALY	1518.0647
RAMP1	22.4505	RAMP1	9.1109
RAMP2	218.151	RAMP2	661.64
RAMP3	301.1755	RAMP3	296.2614
RANBP10	1437.2551	RANBP10	984.2915
RANBP17	154.1883	RANBP17	60.9488
RANBP1	1674.4679	RANBP1	561.42
RANBP2	3995.7641	RANBP2	5376.0603
RANBP3L	15.673	RANBP3L	178.1338
RANBP3	1213.1738	RANBP3	1108.0741
RANBP6	682.4103	RANBP6	919.2586
RANBP9	1331.3566	RANBP9	1007.2259
RANGAP1	4147.8344	RANGAP1	1205.1524
RANGRF	236.0775	RANGRF	364.0276
RAN	4607.4341	RAN	1968.2689
RAP1A	1060.2563	RAP1A	1186.3022
RAP1B	1557.9795	RAP1B	1938.4229
RAP1GAP2	1299.1634	RAP1GAP2	701.8536
RAP1GAP	400.2965	RAP1GAP	765.9441
RAP1GDS1	826.0087	RAP1GDS1	849.8272
RAP2A	1878.2167	RAP2A	841.0305
RAP2B	645.5576	RAP2B	544.4549
RAP2C	719.2629	RAP2C	728.2438
RAPGEF1	2098.0621	RAPGEF1	2415.3314
RAPGEF2	702.7428	RAPGEF2	1561.7342
RAPGEF3	311.9983	RAPGEF3	1125.6927
RAPGEF4	385.4707	RAPGEF4	243.7952
RAPGEF5	944.1915	RAPGEF5	638.7056
RAPGEF6	436.7256	RAPGEF6	813.6978
RAPGEFL1	66.0807	RAPGEFL1	192.2714
RAPH1	1225.0344	RAPH1	2665.41
RAPSN	26.2628	removed	removed
RARA	812.0301	RARA	1053.0946
RARB	104.2042	RARB	624.568
RARG	1388.5418	RARG	1235.6268
RARRES1	2360.6905	RARRES1	677.9768
RARRES2	254.1565	RARRES2	1536.2865
RARRES3	1029.3339	RARRES3	921.1436
RARS2	970.4543	RARS2	698.3977
RARS	990.7868	RARS	1183.7889
RASA1	2279.6357	RASA1	1695.5262
RASA2	410.4628	RASA2	330.82
RASA3	238.9071	RASA3	746.1514
RASA4P	87.1799	RASA4P	231.5143
RASA4	245.4178	RASA4	641.4012
RASAL1	392.6718	RASAL1	48.382
RASAL2	1853.1314	RASAL2	939.5822
RASAL3	166.0489	RASAL3	147.6594
RASD1	368.1034	RASD1	532.2023
RASD2	1528.3279	RASD2	212.6924
RASEF	201.6308	RASEF	504.2413
RASGEF1A	258.8161	RASGEF1A	221.4892
RASGEF1B	269.8295	RASGEF1B	334.59
RASGEF1C	80.0593	RASGEF1C	19.7926
RASGRF1	48.7133	RASGRF1	56.5504
RASGRF2	47.8661	RASGRF2	228.0867
RASGRP1	358.3607	RASGRP1	131.6368
RASGRP2	33.4639	RASGRP2	133.2077
RASGRP3	374.0337	RASGRP3	409.9906
RASGRP4	23.7213	RASGRP4	14.4518
RASIP1	394.7898	RASIP1	521.8347
RASL10A	36.8527	RASL10A	28.2752
RASL10B	27.11	RASL10B	82.6265
RASL11A	65.6571	RASL11A	163.9962
RASL11B	13.9786	RASL11B	71.0022
RASL12	1864.2381	RASL12	493.5595
RASSF10	30.9224	RASSF10	142.6327
RASSF1	454.093	RASSF1	690.2293
RASSF2	676.0563	RASSF2	407.7914
RASSF3	890.395	RASSF3	510.8388
RASSF4	364.7061	RASSF4	533.9428
RASSF5	521.4445	RASSF5	773.4841
RASSF6	81.3301	RASSF6	1007.5401
RASSF7	429.9481	RASSF7	192.8998
RASSF8	559.1443	RASSF8	1236.2551
RASSF9	77.9413	RASSF9	231.8567
RAVER1	1373.716	RAVER1	870.5624
RAVER2	898.0197	RAVER2	759.0324
RB1CC1	2247.5908	RB1CC1	2131.6368
RB1	459.5997	RB1	1488.5328
RBAK	508.7366	RBAK	706.0635
RBBP4	7649.4292	RBBP4	4285.6393
RBBP5	859.4726	RBBP5	638.7056
RBBP6	2385.6825	RBBP6	1970.1539
RBBP7	2714.8152	RBBP7	2370.4053
RBBP8	2067.1397	RBBP8	1807.7286
RBBP9	1110.664	RBBP9	931.8253
RBCK1	1599.4917	RBCK1	1027.961
RBKS	60.1504	RBKS	98.9632
RBL1	605.3161	RBL1	223.06
RBL2	3091.2337	RBL2	3231.4263
RBM10	1022.1328	RBM10	1002.8275
RBM11	16.5202	RBM11	75.4006
RBM12B	743.8314	RBM12B	605.4037
RBM12	2295.512	RBM12	2475.1241
RBM14	1239.7162	RBM14	1018.3066
RBM15B	1293.5042	RBM15B	2079.6293
RBM15	227.8937	RBM15	185.366
RBM16	2053.0806	RBM16	2215.322
RBM17	1957.0052	RBM17	1417.5306
RBM18	839.5637	RBM18	806.7861
RBM19	640.4744	RBM19	738.6114
RBM20	13.1314	RBM20	58.7496
RBM22	962.8296	RBM22	1254.7911
RBM23	945.8858	RBM23	1584.6686
RBM24	16.0966	RBM24	43.3553
RBM25	2075.6116	RBM25	2644.989
RBM26	1322.0375	RBM26	1218.6616
RBM27	1262.7343	RBM27	1416.274
RBM28	287.6205	RBM28	398.9947
RBM33	1673.6207	RBM33	1596.9211
RBM34	1024.3101	RBM34	486.852
RBM38	1333.8981	RBM38	685.5168
RBM39	5998.0938	RBM39	5462.4568
RBM3	2769.0353	RBM3	4899.4659
RBM41	165.6253	RBM41	243.1668
RBM42	834.9042	RBM42	714.4204
RBM43	140.2097	RBM43	601.9478
removed	removed	RBM44	12.2526
RBM45	140.2097	RBM45	169.6513
RBM47	1462.6708	RBM47	1866.164
RBM4B	442.6559	RBM4B	382.3437
RBM4	1927.4976	RBM4	1639.8775
RBM5	1403.6471	RBM5	3414.8099
RBM6	992.8031	RBM6	1899.5445
RBM7	621.4127	RBM7	677.3484
RBM8A	3059.0024	RBM8A	1738.47
RBM9	3459.9174	RBM9	4234.9984
RBMS1	1348.3003	RBMS1	2459.6293
RBMS2	1565.0281	RBMS2	1644.2036
RBMS3	27.9572	RBMS3	294.3764
RBMX2	468.9188	RBMX2	359.7235
RBMXL1	889.2809	RBMXL1	1134.7345
RBMX	5210.6322	RBMX	4374.8036
RBP1	230.4352	RBP1	602.262
RBP4	327.4383	RBP4	1560.7917
RBP5	44.901	RBP5	65.033
RBP7	344.3821	RBP7	338.36
RBPJ	539.659	RBPJ	945.6488
RBPMS2	45.3246	RBPMS2	78.5423
RBPMS	2222.1752	RBPMS	2125.9818
RBX1	1086.1887	RBX1	515.3409
RC3H1	1139.0448	RC3H1	1058.1213
RC3H2	597.2678	RC3H2	699.6544
RCAN1	5474.955	RCAN1	5498.2721
RCAN2	216.8802	RCAN2	448.005
RCAN3	173.6736	RCAN3	204.8382
RCBTB1	835.7514	RCBTB1	733.5847
RCBTB2	342.2641	RCBTB2	790.1351
RCC1	1108.0377	RCC1	214.5586
RCC2	5199.1952	RCC2	2264.5303
RCCD1	310.4945	RCCD1	126.6101
RCE1	323.626	RCE1	293.1197
RCHY1	487.1333	RCHY1	714.4204
RCL1	513.8198	RCL1	427.2699
RCN1	3168.4846	RCN1	2447.0625
RCN2	2541.1416	RCN2	1066.918
RCN3	194.8533	RCN3	243.1668
RCOR1	1076.7764	RCOR1	1296.2614
RCOR2	72.011	RCOR2	16.0226
RCOR3	1720.216	RCOR3	1474.7094
RCSD1	562.9567	RCSD1	617.028
RDBP	1552.3711	RDBP	885.2592
RDH10	1576.194	RDH10	518.0647
RDH11	1064.9158	RDH11	1313.2265
RDH13	278.9961	RDH13	216.1483
RDH14	269.8295	RDH14	396.7955
removed	removed	RDH16	8.7967
RDH5	360.4278	RDH5	262.2714
RDM1	12.7078	removed	removed
RDX	2406.8622	RDX	1703.1103
REC8	80.9065	REC8	63.7763
RECK	249.9206	RECK	971.7248
RECQL4	662.0777	RECQL4	63.4621
RECQL5	559.9915	RECQL5	525.6048
RECQL	1249.713	RECQL	964.3418
REEP1	88.5312	REEP1	302.8589
REEP2	63.5391	REEP2	96.1357
REEP3	450.2806	REEP3	650.9582
REEP4	330.4035	REEP4	140.1194
REEP5	5282.7322	REEP5	6760.1791
REEP6	96.1559	REEP6	586.8677
RELA	1757.9159	RELA	2071.9447
RELB	268.1351	RELB	295.9472
RELL1	669.9269	RELL1	1002.5982
RELL2	76.2808	RELL2	23.9931
RELN	790.0032	RELN	1052.4662
RELT	130.8906	RELT	50.267
REL	138.0917	REL	208.6082
REM1	14.8258	REM1	41.4703
REM2	14.4022	REM2	15.3943
RENBP	232.9768	RENBP	56.8646
REP15	7.2011	REP15	23.8768
REPIN1	715.8742	REPIN1	1516.1797
REPS1	1981.5737	REPS1	1031.4169
REPS2	290.162	REPS2	1108.0741
RER1	1582.0481	RER1	1960.4147
RERE	2569.946	RERE	5544.7691
RERGL	22.0269	RERGL	165.8812
RERG	385.0471	RERG	1554.1942
REST	486.2861	REST	644.989
RETSAT	1385.5766	RETSAT	2372.9186
RET	99.121	RET	118.1276
REV1	1050.9372	REV1	1312.9123
REV3L	1949.8041	REV3L	1593.7795
REXO1	672.244	REXO1	546.9683
REXO2	928.9421	REXO2	479.4219
REXO4	421.4762	REXO4	453.0317
RFC1	2075.188	RFC1	2047.4395
RFC2	662.9249	RFC2	356.2677
RFC3	978.9262	RFC3	342.7584
RFC4	1002.6475	RFC4	225.8875
RFC5	567.6162	RFC5	346.5284
RFESD	35.5819	RFESD	33.2799
RFFL	483.1558	RFFL	756.7578
RFK	265.17	RFK	466.541
RFNG	837.4457	RFNG	552.6233
RFPL1S	7.6247	RFPL1S	20.1068
RFPL3S	13.555	RFPL3S	6.5975
RFT1	382.082	RFT1	485.7053
RFTN1	409.6156	RFTN1	786.0509
RFTN2	163.5074	RFTN2	127.8668
RFWD2	1466.4831	RFWD2	825.322
RFWD3	2606.3751	RFWD3	937.4804
RFX1	413.0043	RFX1	415.0173
RFX2	65.6571	RFX2	619.5413
RFX3	118.1828	RFX3	123.7826
RFX5	2001.9062	RFX5	812.4411
removed	removed	RFX6	50.8954
RFX7	723.4989	RFX7	1009.1109
RFX8	6.3539	RFX8	71.3164
RFXANK	973.2585	RFXANK	461.0242
RFXAP	122.8423	RFXAP	183.7889
RG9MTD1	832.3626	RG9MTD1	566.1326
RG9MTD2	95.7323	RG9MTD2	147.9736
RG9MTD3	303.717	RG9MTD3	329.2491
removed	removed	RGAG1	8.4826
RGAG4	169.4377	RGAG4	734.213
RGL1	367.6798	RGL1	1086.3965
RGL2	2088.743	RGL2	1851.7122
RGL3	14.4022	RGL3	185.9064
RGL4	17.3081	RGL4	27.3044
RGMA	1276.2893	RGMA	752.1206
RGMB	685.2229	RGMB	1100.1288
RGNEF	1005.6126	RGNEF	1146.0886
RGN	86.4132	RGN	174.678
RGP1	224.4837	RGP1	253.836
RGPD1	537.4394	RGPD1	696.8143
RGPD3	295.6687	RGPD3	513.038
RGPD4	150.3759	RGPD4	236.5693
RGPD5	58.5365	RGPD5	168.6616
RGPD6	634.65	RGPD6	1114.0811
RGR	24.5685	removed	removed
RGS10	758.6572	RGS10	320.7666
RGS11	13.8092	RGS11	56.1389
RGS12	591.3375	RGS12	903.5501
removed	removed	RGS13	5.9692
RGS14	183.8399	RGS14	216.7766
RGS16	414.6987	RGS16	827.5212
removed	removed	RGS17	7.8542
RGS18	33.8875	RGS18	31.4169
RGS19	267.2879	RGS19	141.6902
RGS1	604.0453	RGS1	993.4025
RGS22	7.6247	RGS22	67.8605
RGS2	1960.3939	RGS2	1610.1162
RGS3	540.5062	RGS3	1094.2507
RGS4	40.665	RGS4	94.5649
RGS5	1964.6299	RGS5	4636.5064
RGS6	101.239	RGS6	63.148
RGS7BP	44.901	RGS7BP	28.5894
RGS9BP	6.7775	removed	removed
RGS9	202.9016	RGS9	77.2856
RHBDD1	275.3362	RHBDD1	467.7977
RHBDD2	749.3381	RHBDD2	1203.8957
RHBDD3	377.846	RHBDD3	138.5485
RHBDF1	1160.6481	RHBDF1	747.4081
RHBDF2	512.549	RHBDF2	323.9083
RHBDL1	27.5336	RHBDL1	10.9959
RHBDL2	62.2683	RHBDL2	54.3512
RHBDL3	8.8955	RHBDL3	193.5281
removed	removed	RHBG	6.5975
removed	removed	RHCE	6.2834
RHCG	5.5067	RHCG	5.0267
RHD	8.8955	RHD	10.6817
RHEBL1	27.9572	RHEBL1	12.5668
RHEB	643.016	RHEB	773.17
RHOA	9467.3303	RHOA	9026.7044
RHOBTB1	327.0147	RHOBTB1	345.2718
RHOBTB2	240.2965	RHOBTB2	810.0503
RHOBTB3	1428.7832	RHOBTB3	1910.4618
RHOB	1274.5949	RHOB	8929.312
RHOC	2516.5731	RHOC	3059.0638
RHOD	190.6174	RHOD	195.4131
RHOF	99.1337	RHOF	73.9083
RHOG	812.4537	RHOG	680.1759
RHOH	70.3166	RHOH	473.7669
RHOJ	192.7354	RHOJ	690.2293
RHOQ	1106.966	RHOQ	2593.2108
RHOT1	774.7538	RHOT1	1195.099
RHOT2	1434.29	RHOT2	891.6117
RHOU	984.8565	RHOU	1513.6664
RHOV	515.0905	RHOV	562.6767
removed	removed	RHOXF1	9.7392
RHPN1	368.527	RHPN1	172.4788
RHPN2	1164.0369	RHPN2	831.2912
RIBC1	36.8527	RIBC1	36.4436
RIBC2	133.4322	RIBC2	38.6428
RIC3	194.8533	RIC3	409.9906
RIC8A	1426.1569	RIC8A	1609.4188
RIC8B	848.8828	RIC8B	551.3666
RICH2	223.6577	RICH2	217.0908
RICTOR	1230.9647	RICTOR	1872.1332
RIF1	1427.936	RIF1	2089.8523
RILPL1	196.3698	RILPL1	327.9014
RILPL2	288.0441	RILPL2	444.8633
RILP	62.6919	RILP	110.5875
removed	removed	RIMBP2	39.8995
RIMBP3	12.2842	RIMBP3	13.1951
RIMKLA	21.1797	RIMKLA	51.8379
RIMKLB	745.9663	RIMKLB	912.9689
RIMS1	17.791	RIMS1	22.306
RIMS2	154.1883	RIMS2	10.9959
RIMS3	256.2745	RIMS3	703.4244
RIMS4	14.8258	RIMS4	30.7886
RIN1	50.4077	RIN1	140.7477
RIN2	1429.6304	RIN2	2006.5975
RIN3	459.1761	RIN3	354.0685
RING1	907.3388	RING1	749.6073
RINL	150.7995	RINL	127.2385
RINT1	338.6678	RINT1	435.7901
RIOK1	560.4151	RIOK1	497.9579
RIOK2	548.9781	RIOK2	647.1882
RIOK3	2727.0994	RIOK3	1419.1015
RIPK1	882.3467	RIPK1	1092.994
RIPK2	545.5893	RIPK2	359.0952
RIPK3	43.6302	RIPK3	121.2692
RIPK4	523.986	RIPK4	794.5335
RIT1	934.8724	RIT1	677.9768
RLBP1	31.346	removed	removed
RLF	708.6731	RLF	1114.3575
RLIM	1477.9202	RLIM	1952.5605
RLN2	17.3674	RLN2	11.9384
RLTPR	114.794	RLTPR	39.2711
RMI1	501.9591	RMI1	242.2243
RMND1	551.096	RMND1	509.268
RMND5A	3524.7273	RMND5A	2179.3905
RMND5B	443.5031	RMND5B	595.9786
RMRP	15.673	RMRP	20.7352
RNASE1	2215.8212	RNASE1	2102.4191
RNASE2	8.4719	removed	removed
RNASE4	628.8934	RNASE4	2979.7675
RNASE6	326.1675	RNASE6	181.2755
RNASE7	13.1314	RNASE7	91.4232
RNASEH1	216.8802	RNASEH1	264.5303
RNASEH2A	837.4457	RNASEH2A	169.9654
RNASEH2B	351.1596	RNASEH2B	218.3475
RNASEH2C	476.7595	RNASEH2C	437.2385
RNASEK	1059.282	RNASEK	1186.142
RNASEL	324.0496	RNASEL	525.9189
RNASEN	1576.6176	RNASEN	1474.7094
RNASET2	536.6938	RNASET2	681.4326
RND1	90.2256	RND1	124.0968
RND2	52.5257	RND2	179.7047
RND3	603.6217	RND3	2972.6673
RNF103	1575.1181	RNF103	1624.8571
RNF10	3488.7218	RNF10	2961.9855
RNF111	618.0239	RNF111	1084.1973
RNF112	11.0134	RNF112	14.4518
RNF113A	156.3063	RNF113A	178.7622
RNF114	2943.5561	RNF114	1453.6601
RNF115	627.7666	RNF115	534.0873
RNF11	2358.1489	RNF11	2945.3346
RNF121	545.5893	RNF121	469.6827
RNF122	198.6657	RNF122	141.6902
RNF123	525.6804	RNF123	575.2435
RNF125	200.3601	RNF125	539.114
RNF126	454.093	RNF126	313.8549
RNF128	106.7457	RNF128	585.6111
RNF130	2003.177	RNF130	1543.8266
RNF135	373.1865	RNF135	585.9252
RNF138P1	31.346	RNF138P1	19.1643
RNF138	1269.9354	RNF138	598.1778
RNF139	938.6847	RNF139	1137.606
RNF13	2180.2393	RNF13	1821.8662
RNF141	1073.3877	RNF141	1745.5231
RNF144A	594.3027	RNF144A	956.0163
RNF144B	468.4952	RNF144B	1619.8555
RNF145	863.285	RNF145	1886.585
RNF146	842.9525	RNF146	904.8068
RNF149	650.2171	RNF149	786.6792
RNF14	1485.5448	RNF14	1255.1052
RNF150	290.5856	RNF150	512.4097
RNF152	809.0649	RNF152	92.6799
RNF157	59.7268	RNF157	412.7364
RNF160	1489.7808	RNF160	1464.656
RNF165	35.2261	RNF165	341.8693
RNF166	220.269	RNF166	195.7273
RNF167	1811.7124	RNF167	1472.5102
RNF168	511.7018	RNF168	344.9576
RNF169	1071.1638	RNF169	1022.6296
RNF170	353.7012	RNF170	622.9972
RNF175	19.4853	RNF175	24.8194
RNF180	128.349	RNF180	385.1712
RNF181	600.6566	RNF181	592.2086
RNF182	584.1364	RNF182	29.5319
RNF183	88.1076	RNF183	16.3368
RNF185	1178.3416	RNF185	1516.7735
RNF186	7.6247	RNF186	16.0226
RNF187	1969.713	RNF187	1844.4863
RNF19A	3293.0213	RNF19A	2343.3867
RNF19B	963.6768	RNF19B	614.5146
RNF207	138.0917	RNF207	357.2102
RNF208	27.9572	RNF208	48.0679
RNF20	1494.0167	RNF20	1477.5369
RNF212	9.7427	RNF212	79.4848
RNF213	7125.96	RNF213	4081.0933
RNF214	408.7684	RNF214	424.4423
RNF215	225.7757	RNF215	227.7725
RNF216L	121.5715	RNF216L	287.5526
RNF216	805.2526	RNF216	1655.6708
RNF217	129.1454	RNF217	149.5193
RNF219	785.2081	RNF219	446.0195
RNF220	1049.9079	RNF220	976.874
RNF222	38.5471	removed	removed
RNF24	581.5948	RNF24	355.9535
RNF25	206.714	RNF25	377.9453
RNF26	1082.7068	RNF26	904.1784
RNF2	720.1101	RNF2	595.0361
RNF31	864.5219	RNF31	895.6582
RNF32	31.7696	RNF32	44.612
RNF34	783.3273	RNF34	529.2366
RNF38	2099.7564	RNF38	2469.9969
RNF39	347.3472	RNF39	538.4857
RNF40	2960.0762	RNF40	1832.8621
RNF41	1024.2508	RNF41	1098.6491
RNF43	907.3388	RNF43	1373.8611
RNF44	1107.2752	RNF44	985.8624
RNF4	1056.0203	RNF4	1303.1731
RNF5P1	135.9737	RNF5P1	72.2589
RNF5	1241.131	RNF5	693.371
RNF6	643.016	RNF6	929.312
RNF7	1056.4439	RNF7	797.361
RNF8	370.2213	RNF8	364.7502
RNFT1	279.9958	RNFT1	278.3538
RNFT2	203.7488	RNFT2	18.536
RNGTT	675.2091	RNGTT	524.3481
RNH1	1712.1677	RNH1	2028.9036
RNLS	124.1131	RNLS	152.0578
RNMTL1	253.3093	RNMTL1	261.7028
RNMT	1743.9373	RNMT	1500.7854
RNPC3	319.5595	RNPC3	442.6799
RNPEPL1	755.692	RNPEPL1	884.7
RNPEP	1540.6121	RNPEP	1309.1423
RNPS1	3568.7811	RNPS1	1937.7945
ROBLD3	557.8736	ROBLD3	306.0006
ROBO1	233.4004	ROBO1	1443.2925
removed	removed	ROBO2	34.5586
ROBO3	57.1852	ROBO3	253.2202
ROBO4	300.3283	ROBO4	1025.7619
ROCK1	1898.1256	ROCK1	2306.3148
ROCK2	1691.8352	ROCK2	2307.2573
ROD1	4393.519	ROD1	2419.1015
ROGDI	745.9494	ROGDI	297.8322
ROM1	37.6999	ROM1	42.0986
ROMO1	408.3448	ROMO1	271.1279
ROPN1B	2055.7026	ROPN1B	91.7374
removed	removed	ROPN1L	7.2259
ROPN1	2346.2883	ROPN1	102.1049
ROR1	47.4426	ROR1	148.9161
ROR2	126.2311	ROR2	499.2146
RORA	517.2085	RORA	867.7348
removed	removed	RORB	30.7886
RORC	553.6376	RORC	773.17
RP1L1	17.791	RP1L1	10.0534
removed	removed	RP1	9.1109
RP2	246.1082	RP2	463.0851
RP9P	105.475	RP9P	170.5938
RP9	110.9817	RP9	124.0968
RPA1	4547.7073	RPA1	2162.7396
RPA2	898.0197	RPA2	902.6076
RPA3	234.2476	RPA3	189.4439
RPAIN	690.7974	RPAIN	585.6708
RPAP1	487.5569	RPAP1	643.4182
RPAP2	266.0172	RPAP2	351.241
RPAP3	536.2703	RPAP3	655.6708
removed	removed	RPE65	19.7926
RPE	699.587	RPE	645.256
RPF1	570.1578	RPF1	575.2435
RPF2	678.1743	RPF2	317.3107
RPGRIP1L	474.0019	RPGRIP1L	264.5303
RPGRIP1	30.0752	RPGRIP1	11.9384
RPGR	113.5232	RPGR	263.5878
RPH3AL	94.4615	RPH3AL	231.8567
RPIA	647.2519	RPIA	332.0767
RPL10A	10271.7357	RPL10A	12688.6585
RPL10	15928.7049	RPL10	15908.58
RPL11	12288.0441	RPL11	18309.4565
RPL12	5894.3132	RPL12	9439.2083
RPL13AP20	30.0752	RPL13AP20	26.076
RPL13AP3	11.8606	removed	removed
RPL13AP6	7.2011	RPL13AP6	7.2259
RPL13A	14522.0798	RPL13A	19118.7559
RPL13P5	34.3111	RPL13P5	19.4785
RPL13	14281.0547	RPL13	16526.2331
RPL14	5583.8187	RPL14	7935.9095
RPL15	17766.3878	RPL15	24931.197
RPL17	6164.1343	RPL17	6925.8687
RPL18A	2716.5096	RPL18A	1641.5331
RPL18	13597.7973	RPL18	11432.2966
RPL19P12	44.901	RPL19P12	46.8112
RPL19	11299.7988	RPL19	15765.6299
removed	removed	RPL21P44	6.9117
removed	removed	RPL21	17.9076
RPL22L1	613.3644	RPL22L1	408.7339
RPL22	5674.0443	RPL22	9892.24
RPL23AP53	387.5887	RPL23AP53	391.4546
RPL23AP64	5.0831	RPL23AP64	11.9384
RPL23AP7	117.3356	RPL23AP7	99.2774
RPL23AP82	229.5881	RPL23AP82	100.9708
RPL23A	2909.6685	RPL23A	4502.3563
RPL23P8	78.3649	RPL23P8	66.2897
RPL23	6023.9331	RPL23	14239.3968
RPL24	10366.6208	RPL24	9192.5856
RPL26L1	130.0434	RPL26L1	131.951
RPL26	8228.7409	RPL26	9762.8024
RPL27A	9145.8223	RPL27A	10432.9249
RPL27	5300.8578	RPL27	7045.2403
RPL28	6039.1825	RPL28	5615.1429
RPL29	6652.1233	RPL29	9776.94
RPL30	18889.336	RPL30	11721.0179
RPL31	7118.9241	RPL31	14891.9259
RPL32P3	336.6557	RPL32P3	311.2315
RPL32	13490.2044	RPL32	18532.2023
RPL34	4420.2054	RPL34	10600.0628
RPL35A	12368.1034	RPL35A	11468.1118
RPL35	3243.4608	RPL35	5180.0189
RPL36AL	1413.1102	RPL36AL	2812.1269
RPL36A	38.5471	RPL36A	63.148
RPL36	6547.4955	RPL36	6267.672
RPL37A	9558.403	RPL37A	12998.115
RPL37	10157.7888	RPL37	11197.2981
RPL38	3897.4902	RPL38	5134.7785
RPL39L	346.0765	RPL39L	123.7826
RPL39	411.31	RPL39	564.8759
RPL3	34676.6917	RPL3	44405.9064
RPL41	11866.9914	RPL41	17725.1021
RPL4	18902.4674	RPL4	29721.6462
RPL5	19610.2933	RPL5	24715.9912
RPL6	7952.5574	RPL6	10436.0666
RPL7A	9945.9917	RPL7A	14754.0057
RPL7L1	1374.1396	RPL7L1	1174.9921
RPL7	1793.9214	RPL7	1768.1433
RPL8	21748.5968	RPL8	19518.6931
RPL9	2114.5822	RPL9	5749.9215
RPLP0P2	21.1797	RPLP0P2	11.6243
RPLP0	21662.1836	RPLP0	18450.2042
RPLP1	12362.173	RPLP1	18321.7091
RPLP2	6895.6899	RPLP2	8877.1599
RPN1	10960.4998	RPN1	3708.137
RPN2	16090.6492	RPN2	4692.0892
RPP14	402.4145	RPP14	618.913
RPP21	322.3552	RPP21	185.0456
RPP25	312.1889	RPP25	107.76
RPP30	539.2354	RPP30	510.5247
RPP38	300.3283	RPP38	247.8699
RPP40	170.7085	RPP40	87.339
RPPH1	12.2842	RPPH1	11.9384
RPRD1A	2413.2161	RPRD1A	1381.087
RPRD1B	1090.3315	RPRD1B	907.006
RPRD2	2153.9765	RPRD2	2349.9843
RPRML	5.0831	removed	removed
RPRM	18.6381	removed	removed
RPS10P7	122.4187	RPS10P7	98.3349
RPS10	6960.0762	RPS10	6399.3088
RPS11	21857.037	RPS11	20610.4304
RPS12	23189.6643	RPS12	14843.5438
RPS13	5142.01	RPS13	8430.4116
RPS14	7106.6398	RPS14	14967.0123
RPS15AP10	8.4719	RPS15AP10	8.1684
RPS15A	12162.6602	RPS15A	11843.5438
RPS15	2239.1189	RPS15	2543.5124
RPS16	12216.8802	RPS16	9204.524
RPS17	8736.6303	RPS17	14296.5756
RPS18	26662.7131	RPS18	27915.1744
RPS19BP1	864.9793	RPS19BP1	477.2227
RPS19	16026.2628	RPS19	11088.5957
RPS20	12425.2886	RPS20	15689.9152
RPS21	4389.2831	RPS21	5453.9742
RPS23	13832.8921	RPS23	15588.4386
RPS24	16507.8894	RPS24	17457.1159
RPS25	8210.1027	RPS25	10435.7524
RPS26	435.8784	RPS26	1041.4703
RPS27A	6636.0267	RPS27A	13672.0075
RPS27L	474.8491	RPS27L	1202.3249
RPS27	103.7806	RPS27	127.2385
RPS28	862.4378	RPS28	694.9419
RPS29	4878.5344	RPS29	5957.5872
RPS2P32	16.9438	removed	removed
RPS2	12615.4824	RPS2	9770.0283
RPS3A	4384.1999	RPS3A	8064.7188
RPS3	17262.7343	RPS3	21829.0921
RPS4X	27627.2371	RPS4X	46773.7983
RPS5	17343.2172	RPS5	9399.623
RPS6KA1	967.9127	RPS6KA1	757.7757
RPS6KA2	483.7446	RPS6KA2	1593.4653
RPS6KA3	836.5985	RPS6KA3	1947.5338
RPS6KA4	310.071	RPS6KA4	381.087
RPS6KA5	339.299	RPS6KA5	696.5127
