gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
ADAMTS6	17.708	ADAMTS6	6.1175
ADAMTS7	169.7294	ADAMTS7	84.0131
ADAMTS8	25.7267	ADAMTS8	157.4225
ADAMTS9	178.7504	ADAMTS9	204.323
ADAMTSL1	47.7781	ADAMTSL1	101.5498
ADAMTSL2	194.4537	ADAMTSL2	126.4274
ADAMTSL3	109.589	ADAMTSL3	55.0571
ADAMTSL4	36.0842	ADAMTSL4	618.6786
ADAMTSL5	11.0257	ADAMTSL5	101.5498
ADAP1	86.1844	ADAP1	358.3279
ADAP2	165.72	ADAP2	236.5416
ADARB1	865.3525	ADARB1	601.1419
removed	removed	ADARB2	7.3409
ADAR	7910.7918	ADAR	3953.5073
ADAT1	289.6759	ADAT1	98.6949
ADAT2	26.3949	ADAT2	85.2365
ADAT3	22.3856	ADAT3	114.1925
ADA	48.4464	ADA	86.46
ADCK1	1132.6428	ADCK1	193.7194
ADCK2	974.2733	ADCK2	1171.6966
ADCK4	447.3772	ADCK4	934.7471
ADCK5	517.5409	ADCK5	248.7765
ADCY1	5790.5112	ADCY1	381.3214
ADCY2	14.3669	ADCY2	64.845
ADCY3	679.158	ADCY3	1338.7357
ADCY4	203.4748	ADCY4	336.46
ADCY5	434.0127	ADCY5	276.9168
ADCY6	4125.9606	ADCY6	2113.7847
ADCY7	256.9328	ADCY7	218.1892
ADCY9	2167.7247	ADCY9	598.2871
ADCYAP1	12.3622	ADCYAP1	37.5204
ADC	172.0682	ADC	285.8891
ADD1	9163.3812	ADD1	6207.9935
ADD2	13.0304	ADD2	26.509
ADD3	2306.7157	ADD3	1318.9233
removed	removed	ADH1A	19.168
ADH1B	496.8259	ADH1B	7693.3116
ADH1C	6.014	ADH1C	243.8825
removed	removed	ADH4	52.2023
ADH5	1734.7143	ADH5	3019.168
ADHFE1	143.6686	ADHFE1	153.3442
ADI1	272.6362	ADI1	1873.9804
ADIPOQ	838.6235	ADIPOQ	3912.3165
ADIPOR1	3258.2693	ADIPOR1	2030.5873
ADIPOR2	5281.9913	ADIPOR2	1724.7145
ADK	180.7551	ADK	429.4454
ADM2	165.3859	ADM2	135.3997
ADM	34.4136	ADM	591.354
ADNP2	1293.017	ADNP2	418.8418
ADNP	2548.2793	ADNP	1359.7064
ADORA1	1063.1473	ADORA1	508.5644
