gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
ADORA2A	2162.6283	ADORA2A	83.2416
ADORA2B	89.0538	ADORA2B	68.6679
ADORA3	914.0383	ADORA3	256.2578
ADO	1067.4088	ADO	582.7179
ADPGK	1228.3581	ADPGK	815.7514
ADPRHL1	331.1688	ADPRHL1	67.9006
ADPRHL2	663.5745	ADPRHL2	533.9983
ADPRH	636.9821	ADPRH	543.9724
removed	removed	ADRA1A	149.6116
removed	removed	ADRA1B	46.8016
removed	removed	ADRA1D	8.8232
ADRA2A	170.6865	ADRA2A	1988.6832
removed	removed	ADRA2B	26.8534
ADRA2C	186.7656	ADRA2C	147.6935
ADRB1	9.2764	ADRB1	97.0557
ADRB2	25.3556	ADRB2	257.7923
ADRBK1	2622.449	ADRBK1	1977.1746
ADRBK2	288.188	ADRBK2	2038.5538
ADRM1	2056.8955	ADRM1	1370.2887
ADSL	610.6988	ADSL	753.8122
ADSSL1	97.7118	ADSSL1	177.6158
ADSS	2194.496	ADSS	997.0269
AEBP1	35693.8776	AEBP1	9420.9264
AEBP2	528.1385	AEBP2	534.7655
AEN	1326.2214	AEN	343.3394
AES	7106.3698	AES	6826.8917
AFAP1L1	124.3043	AFAP1L1	888.8463
AFAP1L2	3693.5683	AFAP1L2	720.4373
AFAP1	791.4688	AFAP1	1636.5014
AFF1	1271.7996	AFF1	2903.9992
AFF2	7.4212	AFF2	250.5035
AFF3	3059.3692	AFF3	582.3343
AFF4	2945.8874	AFF4	3059.7487
AFG3L1	237.786	AFG3L1	205.2364
AFG3L2	1482.7613	AFG3L2	1141.6707
AFMID	548.2375	AFMID	529.0112
removed	removed	AFP	15.7284
AFTPH	1430.4267	AFTPH	1192.2892
AG2	111.3173	AG2	220.5812
AGAP11	5.8751	AGAP11	230.1755
AGAP1	384.3537	AGAP1	685.528
AGAP2	85.2659	AGAP2	90.446
AGAP3	990.1051	AGAP3	1374.5085
AGAP4	119.9753	AGAP4	177.9994
AGAP5	25.7174	AGAP5	39.5819
AGAP6	47.0006	AGAP6	100.5083
AGAP7	7.4212	AGAP7	5.7543
AGAP8	29.6846	AGAP8	10.3577
AGA	788.8064	AGA	456.8908
AGBL2	21.3358	AGBL2	8.4396
removed	removed	AGBL4	5.7543
AGBL5	956.4131	AGBL5	704.7166
AGER	9.8949	AGER	43.7326
AGFG1	831.7873	AGFG1	2776.254
AGFG2	272.4181	AGFG2	502.1579
AGGF1	1179.3445	AGGF1	797.5448
AGK	422.0779	AGK	407.7875
AGL	613.4818	AGL	1012.3717
AGMAT	29.9938	AGMAT	13.4267
AGPAT1	942.8169	AGPAT1	1945.4915
AGPAT2	1382.4985	AGPAT2	5493.8141
AGPAT3	2594.6197	AGPAT3	2312.8417
AGPAT4	140.3834	AGPAT4	313.0335
AGPAT5	805.1948	AGPAT5	533.9983
AGPAT6	2362.3995	AGPAT6	1916.5628
AGPAT9	99.2579	AGPAT9	150.7624
AGPHD1	37.7242	AGPHD1	44.4999
AGPS	984.5393	AGPS	1350.3405
AGR2	116.8831	AGR2	468.0157
AGR3	1926.4069	AGR3	71.7368
AGRN	3739.6413	AGRN	3955.1165
AGTPBP1	220.7792	AGTPBP1	422.7486
AGTR1	54.731	AGTR1	234.3915
AGTRAP	759.7403	AGTRAP	567.7568
AGT	382.1892	AGT	85.1635
AGXT2L2	308.222	AGXT2L2	699.7986
AHCTF1	2091.8367	AHCTF1	1265.1769
AHCYL1	2388.6827	AHCYL1	4484.5114
AHCYL2	582.8695	AHCYL2	573.1275
AHCY	4503.0921	AHCY	2352.7381
AHDC1	863.3271	AHDC1	1335.3793
AHI1	541.744	AHI1	385.1539
AHNAK2	3997.8355	AHNAK2	1995.972
AHNAK	27893.9394	AHNAK	141396.7584
AHRR	31.8491	AHRR	13.0431
AHR	1066.1719	AHR	2139.4457
AHSA1	2009.2764	AHSA1	1483.0728
AHSA2	192.9499	AHSA2	411.6237
AIDA	1388.5003	AIDA	1291.7311
AIF1L	572.3562	AIF1L	2348.1347
AIF1	514.8423	AIF1	754.9631
AIFM1	673.7786	AIFM1	727.3425
AIFM2	357.7613	AIFM2	2372.3027
AIFM3	9.2764	AIFM3	11.5086
AIG1	1357.1429	AIG1	682.8426
AIM1L	78.2313	removed	removed
AIM1	1296.5368	AIM1	3510.118
AIM2	22.8819	AIM2	8.4396
AIMP1	2594.1558	AIMP1	883.6367
AIMP2	761.243	AIMP2	331.9382
AIP	1412.1831	AIP	763.0191
removed	removed	AJAP1	18.0301
AK1	196.3513	AK1	780.6656
AK2	3030.303	AK2	2071.545
AK3L1	504.6382	AK3L1	648.7005
AK3	731.6017	AK3	2305.9365
