gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
removed	removed	ANKRD55	7.3657
ANKRD56	52.0347	removed	removed
ANKRD57	415.6104	ANKRD57	309.3588
ANKRD58	10.3402	removed	removed
ANKRD5	448.966	ANKRD5	279.896
ANKRD6	261.044	ANKRD6	234.8744
ANKRD9	69.3796	ANKRD9	58.9255
ANKS1A	877.9186	ANKS1A	1108.3189
ANKS1B	400.2668	ANKS1B	22.5303
ANKS3	415.6104	ANKS3	138.2149
ANKS6	109.4063	ANKS6	499.5667
ANKZF1	773.5157	ANKZF1	395.5806
ANLN	1523.0153	ANLN	9.0988
ANO10	647.0981	ANO10	1210.1386
