gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
AEN	422.1147	AEN	445.6208
AES	5730.452	AES	4376.5575
AFAP1L1	207.2398	AFAP1L1	492.4586
AFAP1L2	1139.8187	AFAP1L2	1048.9554
AFAP1	1222.4228	AFAP1	999.998
AFARP1	9.5439	removed	removed
AFF1	3063.6035	AFF1	4142.1038
AFF2	6.5444	AFF2	125.9593
AFF3	9213.4433	AFF3	1472.8774
AFF4	4999.9318	AFF4	6378.4112
AFG3L1	200.6953	AFG3L1	231.0136
AFG3L2	1430.4179	AFG3L2	1357.3679
AFMID	641.0798	AFMID	475.7876
removed	removed	AFP	15.348
AFTPH	2507.3284	AFTPH	2600.4251
AG2	56.1729	AG2	371.2625
AGAP11	49.1649	AGAP11	224.4008
AGAP1	609.1758	AGAP1	563.9062
AGAP2	21.1794	AGAP2	16.859
AGAP3	736.7919	AGAP3	361.2069
AGAP4	130.0702	AGAP4	119.0792
AGAP5	97.0182	AGAP5	61.8127
AGAP6	69.8071	AGAP6	118.2853
AGAP7	6.8171	AGAP7	5.8216
AGAP8	52.3553	AGAP8	44.1916
AGA	1156.1797	AGA	673.1944
AGBL2	38.9938	AGBL2	19.3173
removed	removed	AGBL3	15.8772
AGBL4	24.8142	AGBL4	7.9386
AGBL5	849.6939	AGBL5	616.0496
AGER	9.8166	AGER	19.0527
AGFG1	1670.7342	AGFG1	3198.2027
AGFG2	418.5698	AGFG2	429.2144
AGGF1	1159.1792	AGGF1	942.3134
AGK	576.1811	AGK	602.8054
AGL	665.6214	AGL	1782.7479
AGMAT	43.9021	AGMAT	14.2895
AGPAT1	2066.663	AGPAT1	1459.1806
AGPAT2	483.7412	AGPAT2	453.0302
AGPAT3	1989.229	AGPAT3	1239.4822
AGPAT4	103.8926	AGPAT4	275.4699
AGPAT5	792.4194	AGPAT5	887.8016
AGPAT6	1540.664	AGPAT6	1375.7617
AGPAT9	62.4446	AGPAT9	180.7358
AGPHD1	41.448	AGPHD1	73.8291
AGPS	261.2312	AGPS	2073.8304
AGR2	23971.0955	AGR2	2306.961
AGR3	4594.1782	AGR3	1472.6128
AGRN	2561.8652	AGRN	813.9725
AGTPBP1	178.6079	AGTPBP1	604.6577
AGTR1	8.9986	AGTR1	374.7026
removed	removed	AGTR2	6.8801
AGTRAP	594.4509	AGTRAP	385.0227
AGT	842.0479	AGT	69.5952
removed	removed	AGXT2L1	6.3509
AGXT2L2	323.7985	AGXT2L2	281.699
AHCTF1	3767.6733	AHCTF1	2197.1436
AHCYL1	5104.9151	AHCYL1	4789.8947
AHCYL2	1717.0905	AHCYL2	899.4449
AHCY	2193.7419	AHCY	1401.1653
AHDC1	644.0794	AHDC1	427.6266
AHI1	333.2197	AHI1	576.8726
AHNAK2	812.8707	AHNAK2	1148.4527
AHNAK	32037.3577	AHNAK	73273.6658
AHRR	5.181	AHRR	7.674
AHR	3287.7497	AHR	7978.8357
AHSA1	1418.2289	AHSA1	867.9551
AHSA2	415.8429	AHSA2	270.1775
AIDA	2696.4919	AIDA	1971.1656
AIF1L	596.087	AIF1L	1594.0736
AIF1	131.7063	AIF1	468.3782
AIFM1	805.7809	AIFM1	408.574
AIFM2	232.872	AIFM2	391.9029
AIFM3	16.6583	AIFM3	5.0278
AIG1	858.6816	AIG1	1041.5461
AIM1L	31.3586	removed	removed
AIM1	2273.911	AIM1	6075.6854
removed	removed	AIM2	16.4065
AIMP1	1298.3953	AIMP1	1604.4229
AIMP2	499.1397	AIMP2	296.7057
AIP	714.1591	AIP	226.7797
removed	removed	AJAP1	9.5263
AK1	380.1213	AK1	175.708
AK2	1966.0509	AK2	2187.088
AK3L1	255.2321	AK3L1	506.4835
AK3	886.768	AK3	3062.717
AK5	17.4518	AK5	3250.5975
AK7	15.2703	AK7	53.4533
AKAP10	757.5158	AKAP10	684.0439
AKAP11	1209.3531	AKAP11	3072.2434
AKAP12	255.2321	AKAP12	6035.4631
AKAP13	1911.5141	AKAP13	4503.3107
AKAP1	1055.014	AKAP1	1842.0229
AKAP2	223.6008	AKAP2	1558.2572
AKAP3	62.1719	AKAP3	44.7209
AKAP5	957.6658	AKAP5	116.9622
AKAP6	14.4522	AKAP6	339.2434
AKAP7	149.4308	AKAP7	339.2434
AKAP8L	443.6567	AKAP8L	328.9232
AKAP8	741.4275	AKAP8	716.3275
AKAP9	8523.5531	AKAP9	2807.8875
AKD1	127.6161	AKD1	177.0311
AKIRIN1	1166.5417	AKIRIN1	2263.8279
AKIRIN2	302.1338	AKIRIN2	965.8646
removed	removed	AKNAD1	10.5848
AKNA	356.6705	AKNA	404.8693
AKR1A1	3739.5869	AKR1A1	1065.3619
removed	removed	AKR1B10	6.8801
AKR1B1	239.6891	AKR1B1	994.179
AKR1C1	6.5444	AKR1C1	1813.3354
removed	removed	AKR1C2	2019.054
AKR1C3	228.2364	AKR1C3	1757.8736
removed	removed	AKR1E2	16.515
AKR7A2	1427.7729	AKR7A2	486.3724
AKR7A3	1691.4582	AKR7A3	50.0133
AKR7L	117.2541	AKR7L	6.8801
AKT1S1	947.5765	AKT1S1	568.6693
AKT1	3414.0023	AKT1	1115.1106
AKT2	2418.7061	AKT2	946.2827
AKT3	173.427	AKT3	2171.74
AKTIP	878.5084	AKTIP	1009.2888
ALAD	934.7604	ALAD	1017.4656
ALAS1	990.9333	ALAS1	913.999
removed	removed	ALB	74.623
ALCAM	18087.3952	ALCAM	5323.3695
ALDH16A1	411.48	ALDH16A1	134.9564
ALDH18A1	2581.4984	ALDH18A1	1225.1927
ALDH1A1	101.9838	ALDH1A1	4700.9822
removed	removed	ALDH1A2	258.5342
ALDH1A3	304.6097	ALDH1A3	7272.1985
ALDH1B1	892.4944	ALDH1B1	482.4031
removed	removed	ALDH1L1	128.8702
ALDH1L2	144.7951	ALDH1L2	428.9497
ALDH2	508.0101	ALDH2	2943.3732
removed	removed	ALDH3A1	11.6433
ALDH3A2	2461.2448	ALDH3A2	2500.9278
ALDH3B1	59.4451	ALDH3B1	121.4608
ALDH3B2	626.3549	ALDH3B2	941.2549
ALDH4A1	1233.3492	ALDH4A1	452.7656
ALDH5A1	352.0349	ALDH5A1	660.4926
ALDH6A1	1009.2249	ALDH6A1	541.3182
ALDH7A1	1851.5236	ALDH7A1	988.622
removed	removed	ALDH8A1	10.8494
ALDH9A1	5542.5728	ALDH9A1	2981.2139
ALDOA	16436.8396	ALDOA	7680.0792
ALDOC	13.6342	ALDOC	852.3425
ALG10B	706.2513	ALG10B	514.9514
ALG10	280.8644	ALG10	155.3322
ALG11	13.3615	ALG11	8.2032
ALG12	541.5502	ALG12	188.1451
ALG13	604.8129	ALG13	820.8526
ALG14	210.7846	ALG14	285.2608
removed	removed	ALG1L	6.9675
ALG1	608.5105	ALG1	265.5069
ALG2	985.2069	ALG2	1309.8712
ALG3	535.2785	ALG3	443.2392
ALG5	408.2078	ALG5	857.6349
ALG6	374.395	ALG6	472.6121
ALG8	1099.4614	ALG8	964.8061
ALG9	550.2761	ALG9	790.1566
ALKBH1	399.2092	ALKBH1	324.4247
ALKBH2	317.6767	ALKBH2	125.1655
ALKBH3	178.3353	ALKBH3	396.666
ALKBH4	188.3755	ALKBH4	64.0831
ALKBH5	2027.3284	ALKBH5	1910.8136
ALKBH6	125.98	ALKBH6	29.1082
ALKBH7	508.0101	ALKBH7	121.7254
ALKBH8	402.2087	ALKBH8	423.1281
removed	removed	ALK	77.0045
ALMS1	1269.8889	ALMS1	808.6801
ALOX12P2	38.7211	ALOX12P2	15.0834
ALOX15B	19.6332	ALOX15B	252.7125
ALOX15	7.9078	ALOX15	30.1667
ALOX5AP	126.5253	ALOX5AP	525.5362
ALOX5	149.9761	ALOX5	447.7378
removed	removed	ALOXE3	12.9664
ALPK1	509.6462	ALPK1	714.2106
ALPK2	23.9962	ALPK2	22.2281
ALPK3	176.4265	ALPK3	145.2766
ALPL	180.7894	ALPL	409.1032
ALS2CL	77.9876	ALS2CL	163.5354
removed	removed	ALS2CR11	14.5541
ALS2CR4	816.6883	ALS2CR4	1720.2975
ALS2CR8	210.512	ALS2CR8	322.5723
ALS2	768.4232	ALS2	913.999
removed	removed	ALX3	6.8801
removed	removed	ALX4	5.557
AMACR	545.0951	AMACR	249.0078
AMBRA1	867.4075	AMBRA1	564.7
AMD1	635.3535	AMD1	4097.6476
removed	removed	AMDHD1	15.0834
AMDHD2	142.3492	AMDHD2	43.927
AMFR	5311.3368	AMFR	3502.2516
AMH	11.9981	removed	removed
AMICA1	14.7249	AMICA1	124.9009
AMIGO1	46.3563	AMIGO1	79.9154
AMIGO2	856.5001	AMIGO2	2908.4433
AMIGO3	86.9862	AMIGO3	34.136
AMMECR1L	988.4791	AMMECR1L	1081.5038
AMMECR1	403.8448	AMMECR1	400.1061
AMN1	304.5879	AMN1	381.5827
AMOTL1	214.6022	AMOTL1	2027.2572
AMOTL2	1197.9003	AMOTL2	3563.1143
AMOT	2346.7176	AMOT	1584.2826
removed	removed	AMPD1	43.927
AMPD2	589.2699	AMPD2	344.0066
AMPD3	153.2483	AMPD3	286.5839
AMPH	40.0845	AMPH	100.5558
AMT	65.2233	AMT	105.2025
removed	removed	AMY1A	19.0527
AMY2B	49.8003	AMY2B	343.9087
AMZ1	57.5363	removed	removed
AMZ2P1	156.7932	AMZ2P1	302.7258
AMZ2	1943.4181	AMZ2	1357.7675
ANAPC10	175.3357	ANAPC10	247.4201
ANAPC11	900.4022	ANAPC11	198.73
ANAPC13	1338.3953	ANAPC13	1803.907
ANAPC16	2111.6641	ANAPC16	3058.7477
ANAPC1	763.5149	ANAPC1	968.5108
ANAPC2	691.799	ANAPC2	209.0502
ANAPC4	559.5473	ANAPC4	814.5017
ANAPC5	2254.5504	ANAPC5	2498.5462
ANAPC7	1404.5947	ANAPC7	883.8323
ANGEL1	313.8592	ANGEL1	606.5101
ANGEL2	1860.2495	ANGEL2	1179.1487
ANGPT1	35.7216	ANGPT1	721.8846
ANGPT2	129.5248	ANGPT2	1021.9642
removed	removed	ANGPT4	11.3787
ANGPTL1	13.0888	ANGPTL1	869.2782
ANGPTL2	395.119	ANGPTL2	3963.485
ANGPTL4	9.2713	ANGPTL4	328.1294
removed	removed	ANGPTL5	38.6346
removed	removed	ANGPTL7	251.9187
ANG	640.2972	ANG	391.9135
ANK1	14.1796	ANK1	11.6433
ANK2	55.3548	ANK2	2750.4649
ANK3	2507.8737	ANK3	1184.4411
ANKAR	50.7192	ANKAR	89.971
ANKDD1A	39.5392	ANKDD1A	322.3077
ANKFN1	22.6328	removed	removed
ANKFY1	1690.3674	ANKFY1	2283.6744
ANKHD1-EIF4EBP3	1422.0629	ANKHD1-EIF4EBP3	907.2856
ANKHD1	2189.7689	ANKHD1	3215.2072
ANKH	845.5927	ANKH	1750.9935
ANKIB1	1783.6253	ANKIB1	1954.222
removed	removed	ANKK1	15.6126
ANKLE2	1109.2781	ANKLE2	1393.4913
ANKMY1	251.9599	ANKMY1	184.7051
ANKMY2	396.4824	ANKMY2	849.4316
ANKRA2	677.0741	ANKRA2	352.4744
ANKRD10	822.6709	ANKRD10	1856.6697
ANKRD11	1313.5401	ANKRD11	1163.1815
ANKRD12	2023.0418	ANKRD12	2980.4201
ANKRD13A	512.373	ANKRD13A	1901.0333
ANKRD13B	128.7068	ANKRD13B	73.0352
ANKRD13C	750.1534	ANKRD13C	965.6
ANKRD13D	371.3955	ANKRD13D	137.6026
ANKRD16	132.2517	ANKRD16	99.746
ANKRD17	2994.3418	ANKRD17	3407.2528
ANKRD19	28.9045	ANKRD19	17.2003
removed	removed	ANKRD20A3	10.5848
removed	removed	ANKRD20B	9.2617
ANKRD22	160.0654	ANKRD22	77.248
ANKRD23	10.362	ANKRD23	15.0834
ANKRD24	78.8056	ANKRD24	6.8801
ANKRD26	404.3902	ANKRD26	402.7523
ANKRD27	887.0407	ANKRD27	806.8277
ANKRD28	2249.9148	ANKRD28	2531.3592
ANKRD29	213.2388	ANKRD29	429.7436
ANKRD30A	2114.6636	ANKRD30A	496.9572
ANKRD30B	418.8425	ANKRD30B	37.5761
ANKRD31	8.9986	removed	removed
ANKRD32	349.0354	ANKRD32	254.0356
ANKRD34A	8.1805	ANKRD34A	12.4372
removed	removed	ANKRD35	56.8934
ANKRD36BP1	125.1619	ANKRD36BP1	318.603
ANKRD36B	33.5401	ANKRD36B	63.5089
ANKRD36	114.7999	ANKRD36	340.0373
ANKRD37	37.0387	ANKRD37	150.5267
ANKRD39	145.8859	ANKRD39	55.3057
ANKRD40	1908.2419	ANKRD40	2540.8855
ANKRD42	282.7732	ANKRD42	350.6221
ANKRD43	131.161	ANKRD43	88.3832
ANKRD44	179.9714	ANKRD44	88.3832
removed	removed	ANKRD45	20.1112
ANKRD46	285.211	ANKRD46	691.7178
ANKRD49	303.4972	ANKRD49	416.7772
ANKRD50	1621.6511	ANKRD50	1564.9653
ANKRD52	896.312	ANKRD52	725.3246
removed	removed	ANKRD53	34.136
ANKRD54	358.5793	ANKRD54	215.6657
ANKRD55	12.2708	ANKRD55	5.0278
ANKRD56	19.3606	ANKRD56	97.6449
ANKRD57	970.2093	ANKRD57	1091.0301
ANKRD5	374.395	ANKRD5	202.17
ANKRD6	151.3396	ANKRD6	387.9812
ANKRD9	70.0798	ANKRD9	27.2559
ANKS1A	770.6047	ANKS1A	1075.1529
ANKS1B	276.7741	ANKS1B	116.6976
ANKS3	139.8868	ANKS3	73.5645
