gene_id	TCGA-BH-A1FR-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FR-11B-42R-A13Q-07
ADAMTSL2	228.0959	ADAMTSL2	79.8383
ADAMTSL3	22.0264	ADAMTSL3	169.2774
ADAMTSL4	43.0739	ADAMTSL4	596.766
ADAMTSL5	42.095	ADAMTSL5	48.004
ADAP1	164.1165	ADAP1	87.4836
ADAP2	358.2966	ADAP2	439.1107
ADARB1	301.5174	ADARB1	728.6508
ADAR	8143.4165	ADAR	6893.3805
ADAT1	452.7655	ADAT1	373.9262
ADAT2	44.0529	ADAT2	177.8676
ADAT3	66.5688	ADAT3	14.1486
ADA	53.3529	ADA	175.8464
ADCK1	204.6011	ADCK1	190.5003
ADCK2	1130.6902	ADCK2	631.1268
ADCK4	655.8982	ADCK4	393.6331
ADCK5	153.6955	ADCK5	81.3542
removed	removed	ADCY10	38.4032
ADCY1	258.9329	ADCY1	587.6705
removed	removed	ADCY2	113.1885
ADCY3	890.2643	ADCY3	1525.0632
ADCY4	136.5639	ADCY4	580.5963
ADCY5	23.0054	ADCY5	204.6488
ADCY6	2492.9026	ADCY6	2084.3861
ADCY7	426.8233	ADCY7	801.9202
ADCY8	446.4023	removed	removed
ADCY9	593.7347	ADCY9	833.2491
removed	removed	ADCYAP1R1	31.329
ADCYAP1	1109.6427	ADCYAP1	53.0571
ADC	293.1963	ADC	186.9631
ADD1	6453.255	ADD1	5594.2395
ADD2	37.6897	ADD2	70.7428
ADD3	717.0827	ADD3	6120.7681
removed	removed	ADH1A	60.9752
ADH1B	171.8062	ADH1B	6848.4083
ADH1C	8.8106	ADH1C	385.5483
removed	removed	ADH4	40.9298
ADH5	1743.025	ADH5	3341.5867
removed	removed	ADH6	6.569
ADHFE1	58.2477	ADHFE1	291.0561
ADI1	1083.7004	ADI1	1639.717
ADIPOQ	89.5742	ADIPOQ	2603.335
ADIPOR1	3458.6393	ADIPOR1	2251.1369
ADIPOR2	3837.4939	ADIPOR2	1959.0702
ADK	265.2961	ADK	400.2021
ADM2	423.8864	ADM2	67.711
ADM	82.7215	ADM	640.7276
ADNP2	812.5306	ADNP2	627.5897
ADNP	3432.697	ADNP	2620.0101
ADORA1	33.7739	ADORA1	189.9949
ADORA2A	171.3167	ADORA2A	104.093
ADORA2B	25.9422	ADORA2B	104.093
ADORA3	212.9222	ADORA3	139.4644
ADO	690.1615	ADO	827.1854
ADPGK	821.5027	ADPGK	1009.8029
ADPRHL1	39.6476	ADPRHL1	72.764
ADPRHL2	656.3877	ADPRHL2	504.2951
ADPRH	125.7954	ADPRH	390.096
removed	removed	ADRA1A	7.5796
ADRA1B	36.7107	ADRA1B	24.2547
removed	removed	ADRA1D	7.0743
ADRA2A	65.5898	ADRA2A	834.765
removed	removed	ADRA2B	56.0889
ADRA2C	20.558	ADRA2C	58.1102
removed	removed	ADRB1	24.76
ADRB2	45.5213	ADRB2	283.4765
ADRBK1	2901.6153	ADRBK1	1759.9798
ADRBK2	755.7513	ADRBK2	1237.999
ADRM1	1147.3324	ADRM1	830.2173
ADSL	933.9207	ADSL	707.428
ADSSL1	93.49	ADSSL1	92.9763
ADSS	975.0367	ADSS	1264.7802
AEBP1	4130.6902	AEBP1	9125.8211
AEBP2	628.977	AEBP2	881.7585
AEN	315.2227	AEN	476.5033
AES	8255.5066	AES	5384.5376
AFAP1L1	240.8223	AFAP1L1	569.4795
AFAP1L2	262.3593	AFAP1L2	1129.8636
AFAP1	490.4552	AFAP1	1257.1804
AFARP1	7.8316	removed	removed
AFF1	2563.8767	AFF1	2747.8525
AFF2	9.7895	AFF2	134.4113
AFF3	8740.0881	AFF3	2081.8595
AFF4	3958.884	AFF4	3600.8085
AFG3L1	318.1596	AFG3L1	292.0667
AFG3L2	1501.537	AFG3L2	1095.0834
AFMID	1896.7205	AFMID	2516.4224
AFP	62.653	AFP	175.3411
AFTPH	2617.719	AFTPH	1673.0672
AG2	250.1224	AG2	254.1688
AGAP11	152.232	AGAP11	197.0793
AGAP1	379.3441	AGAP1	434.5629
AGAP2	69.6231	AGAP2	69.7827
AGAP3	2090.5531	AGAP3	1167.7615
AGAP4	209.0064	AGAP4	242.0414
AGAP5	58.6931	AGAP5	73.9565
AGAP6	107.6848	AGAP6	131.3795
AGAP7	32.7949	AGAP7	44.4669
AGAP8	26.4317	AGAP8	15.6645
AGA	515.908	AGA	573.522
AGBL2	13.2159	AGBL2	17.1804
AGBL3	6.8527	AGBL3	7.0743
AGBL4	23.0054	removed	removed
AGBL5	957.4351	AGBL5	580.6316
AGER	22.0264	AGER	71.2481
AGFG1	1618.698	AGFG1	1711.9757
AGFG2	704.8458	AGFG2	530.0657
AGGF1	960.3524	AGGF1	1017.1804
AGK	569.7504	AGK	519.4543
AGL	997.0631	AGL	1004.5478
AGMAT	13.7053	AGMAT	11.622
AGPAT1	2425.8639	AGPAT1	1897.3168
AGPAT2	834.0675	AGPAT2	643.7595
AGPAT3	3557.024	AGPAT3	2156.1395
AGPAT4	44.0529	AGPAT4	352.1981
AGPAT5	1208.5169	AGPAT5	953.0066
AGPAT6	1831.1307	AGPAT6	1465.3866
AGPAT9	46.9897	AGPAT9	214.2496
AGPHD1	6.8527	AGPHD1	56.0889
AGPS	1545.766	AGPS	1419.909
AGR2	587.3715	AGR2	3600.3032
AGR3	9.3	AGR3	439.616
AGRN	5476.7499	AGRN	3023.7494
AGTPBP1	275.5751	AGTPBP1	431.5311
AGTR1	54.8213	AGTR1	288.5296
AGTRAP	611.8453	AGTRAP	756.4426
AGT	150.2692	AGT	72.2587
AGXT2L2	454.0969	AGXT2L2	531.1925
AHCTF1	1372.002	AHCTF1	1334.0071
AHCYL1	8513.4606	AHCYL1	3883.2744
AHCYL2	1109.6427	AHCYL2	712.9864
AHCY	2956.9261	AHCY	2225.8717
AHDC1	1578.0715	AHDC1	1034.3608
AHI1	712.6774	AHI1	482.567
AHNAK2	295.6437	AHNAK2	1171.2986
AHNAK	33845.3255	AHNAK	61865.5887
AHRR	39.1581	AHRR	49.52
AHR	810.0832	AHR	5166.7509
AHSA1	1661.2824	AHSA1	1433.5523
AHSA2	383.2599	AHSA2	651.3391
AIDA	868.3847	AIDA	1144.5932
AIF1L	300.5384	AIF1L	1823.6483
AIF1	589.8189	AIF1	771.6018
AIFM1	1084.6794	AIFM1	724.6084
AIFM2	149.2903	AIFM2	380.4952
AIFM3	69.0162	AIFM3	23.0622
AIG1	1401.86	AIG1	886.8115
AIM1	459.6182	AIM1	3663.9717
AIM2	31.3265	AIM2	13.6433
AIMP1	1300.1566	AIMP1	1087.3067
AIMP2	453.6515	AIMP2	233.7898
AIP	1093.9794	AIP	769.5806
AJAP1	96.9163	AJAP1	16.1698
AK1	668.1351	AK1	497.2208
AK2	1993.6368	AK2	1782.2132
AK3L1	233.4802	AK3L1	398.1809
AK3	1321.5859	AK3	1806.4679
AK5	640.7244	AK5	2302.1728
AK7	40.6265	AK7	54.0677
AKAP10	614.7822	AKAP10	587.1652
AKAP11	1716.5932	AKAP11	2275.3916
AKAP12	316.6911	AKAP12	1970.187
AKAP13	2014.6843	AKAP13	3381.5058
AKAP1	953.9892	AKAP1	1719.5553
AKAP2	421.1258	AKAP2	1451.8343
AKAP3	14.1948	AKAP3	44.9722
AKAP5	377.8757	AKAP5	163.2137
AKAP6	59.2266	AKAP6	148.0546
AKAP7	84.1899	AKAP7	201.1117
AKAP8L	718.0617	AKAP8L	492.6731
AKAP8	594.7137	AKAP8	529.5604
AKAP9	2707.7827	AKAP9	2555.8363
AKD1	311.3069	AKD1	158.1607
AKIRIN1	1137.5428	AKIRIN1	1329.9646
AKIRIN2	738.6197	AKIRIN2	652.3497
AKNAD1	5.3842	removed	removed
AKNA	691.1405	AKNA	774.6337
AKR1A1	1820.3622	AKR1A1	3248.1051
removed	removed	AKR1B10	13.6433
removed	removed	AKR1B15	1807.4785
AKR1B1	650.514	AKR1B1	1246.0839
AKR1C1	24.4738	AKR1C1	1052.0465
AKR1C2	19.0896	AKR1C2	2594.2395
AKR1C3	569.7504	AKR1C3	1169.7827
removed	removed	AKR1D1	248.6104
AKR1E2	23.9843	AKR1E2	53.5624
AKR7A2	4167.4009	AKR7A2	1054.573
AKR7A3	5406.7548	AKR7A3	275.8969
AKR7L	160.0587	AKR7L	20.2122
AKT1S1	1127.2638	AKT1S1	627.5897
AKT1	4799.3147	AKT1	2693.7847
AKT2	2900.6363	AKT2	1857.5038
AKT3	264.8067	AKT3	1283.9818
AKTIP	675.115	AKTIP	681.8393
ALAD	1166.4219	ALAD	1493.6837
ALAS1	1127.2638	ALAS1	965.1339
ALB	57.7582	ALB	4537.14
ALCAM	14713.1669	ALCAM	6756.4426
ALDH16A1	469.4077	ALDH16A1	381.0005
ALDH18A1	2659.3245	ALDH18A1	1551.2885
ALDH1A1	184.0431	ALDH1A1	2459.3229
ALDH1A2	13.7053	ALDH1A2	304.6993
ALDH1A3	109.7112	ALDH1A3	1790.8944
ALDH1B1	313.7543	ALDH1B1	504.2951
removed	removed	ALDH1L1	135.4219
ALDH1L2	95.4479	ALDH1L2	453.2592
ALDH2	609.8874	ALDH2	2319.3532
removed	removed	ALDH3A1	26.2759
ALDH3A2	766.5198	ALDH3A2	1959.0702
ALDH3B1	200.1958	ALDH3B1	351.6928
ALDH3B2	3418.0127	ALDH3B2	5752.9055
ALDH4A1	432.697	ALDH4A1	1480.5457
ALDH5A1	657.8561	ALDH5A1	458.3123
ALDH6A1	463.6662	ALDH6A1	600.384
ALDH7A1	1756.2408	ALDH7A1	1998.9894
ALDH8A1	5.8737	ALDH8A1	5.5584
ALDH9A1	2253.0592	ALDH9A1	2682.1627
ALDOA	47842.3886	ALDOA	12505.3057
ALDOC	967.6946	ALDOC	555.8363
ALG10B	436.1233	ALG10B	465.8919
ALG10	94.4689	ALG10	112.1779
ALG11	13.7053	ALG11	14.6539
ALG12	827.2149	ALG12	443.1531
ALG13	423.8864	ALG13	514.9065
ALG14	187.9589	ALG14	160.1819
ALG1	732.8243	ALG1	447.1602
ALG2	1011.258	ALG2	1016.1698
ALG3	661.2824	ALG3	499.7473
ALG5	653.9403	ALG5	540.1718
ALG6	277.0436	ALG6	278.9288
ALG8	549.1924	ALG8	678.6256
ALG9	558.0029	ALG9	591.2077
ALKBH1	261.8698	ALKBH1	234.9672
ALKBH2	202.6432	ALKBH2	181.4047
ALKBH3	290.2594	ALKBH3	292.0667
ALKBH4	299.5448	ALKBH4	183.2542
ALKBH5	3230.9936	ALKBH5	2261.6675
ALKBH6	152.7166	ALKBH6	79.8383
ALKBH7	556.045	ALKBH7	345.6291
ALKBH8	361.2335	ALKBH8	291.0561
removed	removed	ALK	21.7281
removed	removed	ALMS1P	6.0637
ALMS1	807.6358	ALMS1	588.6812
ALOX12B	35.5996	removed	removed
removed	removed	ALOX12P2	26.7812
removed	removed	ALOX12	9.0955
removed	removed	ALOX15B	14646.7913
removed	removed	ALOX15	245.0733
ALOX5AP	725.4038	ALOX5AP	351.6928
ALOX5	467.9393	ALOX5	615.9677
ALOXE3	26.9212	removed	removed
ALPK1	182.5746	ALPK1	731.1774
ALPK2	12.7264	ALPK2	19.2016
ALPK3	147.3324	ALPK3	462.3547
ALPL	227.117	ALPL	1000.5053
ALS2CL	85.6583	ALS2CL	402.2233
removed	removed	ALS2CR11	5.5584
ALS2CR4	516.8869	ALS2CR4	1268.8226
ALS2CR8	232.5012	ALS2CR8	323.901
ALS2	587.861	ALS2	684.1839
removed	removed	ALX1	5.5584
ALX3	23.4949	ALX3	18.6963
removed	removed	ALX4	29.813
AMACR	528.1449	AMACR	400.2021
removed	removed	AMBP	21.7281
AMBRA1	1165.9325	AMBRA1	782.7185
AMD1	1226.4072	AMD1	2137.4432
removed	removed	AMDHD1	24.2547
AMDHD2	240.1664	AMDHD2	173.6534
AMFR	5818.8938	AMFR	3186.4578
AMH	11.258	removed	removed
AMICA1	91.5321	AMICA1	408.7923
AMIGO1	174.743	AMIGO1	126.3264
AMIGO2	478.7078	AMIGO2	1998.9894
AMIGO3	107.1953	AMIGO3	68.7216
AMMECR1L	764.0724	AMMECR1L	786.761
AMMECR1	153.2061	AMMECR1	243.5574
AMN1	261.8698	AMN1	189.9949
AMOTL1	395.4968	AMOTL1	2493.1784
AMOTL2	447.8708	AMOTL2	2871.6523
AMOT	173.2746	AMOT	1072.2587
removed	removed	AMPD1	105.1036
AMPD2	723.9354	AMPD2	698.3325
AMPD3	355.8492	AMPD3	333.5018
