gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
AKAP8	780.1383	AKAP8	1116.507
AKAP9	5766.4112	AKAP9	4890.77
AKD1	91.5343	AKD1	210.2918
AKIRIN1	947.6633	AKIRIN1	902.0569
AKIRIN2	416.2218	AKIRIN2	646.6177
AKNA	859.5831	AKNA	740.1797
AKR1A1	2908.6181	AKR1A1	1599.1683
AKR1B1	747.8176	AKR1B1	684.9335
AKR1C1	64.6414	AKR1C1	156.0229
AKR1C2	36.0216	AKR1C2	109.0072
AKR1C3	438.4269	AKR1C3	286.3295
AKR1E2	24.919	AKR1E2	67.3379
AKR7A2	1035.4967	AKR7A2	682.5574
AKR7A3	672.3203	AKR7A3	113.1655
AKR7L	66.1218	AKR7L	32.0784
AKT1S1	694.032	AKT1S1	525.1355
AKT1	3456.59	AKT1	2282.3197
AKT2	1807.7398	AKT2	1559.3673
AKT3	612.8601	AKT3	860.1767
AKTIP	393.7897	AKTIP	603.3445
ALAD	1105.3193	ALAD	1427.4894
ALAS1	1779.6134	ALAS1	785.6241
ALAS2	6.4148	removed	removed
removed	removed	ALB	36.8308
ALCAM	15430.0599	ALCAM	6110.9378
ALDH16A1	653.3227	ALDH16A1	426.8211
ALDH18A1	2559.7517	ALDH18A1	1686.7899
ALDH1A1	736.9618	ALDH1A1	999.4802
ALDH1A2	325.4277	ALDH1A2	153.2635
ALDH1A3	667.3908	ALDH1A3	4762.2188
ALDH1B1	1197.8404	ALDH1B1	435.7318
removed	removed	ALDH1L1	68.6122
ALDH1L2	653.3227	ALDH1L2	195.4407
ALDH2	1388.8041	ALDH2	1314.6209
removed	removed	ALDH3A1	35.3457
ALDH3A2	1806.0128	ALDH3A2	1668.9686
ALDH3B1	433.2457	ALDH3B1	152.9665
ALDH3B2	2499.0578	ALDH3B2	1284.3246
ALDH4A1	514.1708	ALDH4A1	335.6353
ALDH5A1	374.2789	ALDH5A1	629.3904
ALDH6A1	663.5469	ALDH6A1	620.5807
ALDH7A1	1934.8022	ALDH7A1	2702.0123
removed	removed	ALDH8A1	7.1285
ALDH9A1	2424.3007	ALDH9A1	4908.5914
ALDOA	19614.4829	ALDOA	8362.0702
ALDOC	56.4996	ALDOC	524.5415
ALG10B	403.6389	ALG10B	482.0673
ALG10	181.5882	ALG10	146.135
ALG11	13.0763	ALG11	8.9107
ALG12	447.0622	ALG12	388.8023
ALG13	477.1624	ALG13	620.1827
ALG14	226.9852	ALG14	161.5802
removed	removed	ALG1L	5.489
ALG1	630.9597	ALG1	395.9961
ALG2	654.0628	ALG2	730.675
ALG3	619.2749	ALG3	403.6534
ALG5	954.5715	ALG5	738.9916
ALG6	489.4985	ALG6	449.6918
ALG8	1096.9307	ALG8	787.1092
ALG9	648.6349	ALG9	565.8276
ALKBH1	289.8996	ALKBH1	361.1792
ALKBH2	271.1486	ALKBH2	371.2779
ALKBH3	297.548	ALKBH3	385.535
ALKBH4	168.7462	ALKBH4	203.9385
ALKBH5	2120.1381	ALKBH5	1767.4523
ALKBH6	61.6808	ALKBH6	59.1074
ALKBH7	410.3004	ALKBH7	356.1298
ALKBH8	353.5541	ALKBH8	445.5335
ALK	5.1812	ALK	28.8112
removed	removed	ALMS1P	13.663
ALMS1	675.281	ALMS1	1130.4671
removed	removed	ALOX12P2	19.3065
removed	removed	ALOX12	6.5345
ALOX15B	14.5567	ALOX15B	215.6382
removed	removed	ALOX15	6.8315
ALOX5AP	380.447	ALOX5AP	242.0732
ALOX5	945.6895	ALOX5	405.4355
removed	removed	ALOXE3	9.8017
ALPK1	699.7066	ALPK1	953.4417
ALPK2	59.707	removed	removed
ALPK3	178.134	ALPK3	140.7886
ALPL	176.9004	ALPL	893.4432
ALS2CL	213.6622	ALS2CL	536.1253
ALS2CR11	7.4017	ALS2CR11	8.3166
ALS2CR12	5.4279	removed	removed
ALS2CR4	305.1964	ALS2CR4	1475.607
ALS2CR8	116.7	ALS2CR8	425.039
ALS2	403.8856	ALS2	812.0591
ALX3	12.0894	ALX3	32.0784
removed	removed	ALX4	70.3943
AMACR	509.4831	AMACR	342.1697
AMBRA1	995.5275	AMBRA1	1150.3676
AMD1	1900.7544	AMD1	2083.1841
AMDHD1	5.9214	AMDHD1	13.366
AMDHD2	207.314	AMDHD2	165.2692
AMFR	2276.7604	AMFR	2441.5237
AMICA1	161.1102	AMICA1	131.5809
AMIGO1	102.3901	AMIGO1	169.0057
AMIGO2	376.7362	AMIGO2	3256.5531
AMIGO3	61.434	AMIGO3	49.3057
AMMECR1L	642.9603	AMMECR1L	971.2631
AMMECR1	448.5425	AMMECR1	250.6869
AMN1	253.1379	AMN1	273.8546
removed	removed	AMN	6.5345
AMOTL1	834.9108	AMOTL1	2533.0066
AMOTL2	936.8074	AMOTL2	3439.2218
AMOT	548.9588	AMOT	1496.3986
removed	removed	AMPD1	11.8809
AMPD2	519.8455	AMPD2	630.8755
AMPD3	1156.8844	AMPD3	313.0616
AMPH	3270.5608	AMPH	722.3584
AMT	80.0666	AMT	306.2182
removed	removed	AMY1A	57.0283
AMY2B	111.5312	AMY2B	609.2018
removed	removed	AMZ1	5.6434
AMZ2P1	157.4093	AMZ2P1	234.0536
AMZ2	1138.3802	AMZ2	972.1542
ANAPC10	122.1279	ANAPC10	179.9955
ANAPC11	693.2918	ANAPC11	469.8894
ANAPC13	1427.5766	ANAPC13	1166.8672
ANAPC16	2166.7219	ANAPC16	3053.3898
ANAPC1	695.759	ANAPC1	1160.7633
ANAPC2	624.7028	ANAPC2	711.6656
ANAPC4	416.2218	ANAPC4	824.8311
ANAPC5	2552.5967	ANAPC5	2569.2433
ANAPC7	903.9933	ANAPC7	950.1745
ANGEL1	682.436	ANGEL1	752.9517
ANGEL2	714.7567	ANGEL2	885.1266
ANGPT1	89.067	ANGPT1	123.8583
ANGPT2	283.5711	ANGPT2	278.607
removed	removed	ANGPT4	6.8315
ANGPTL1	201.326	ANGPTL1	216.8263
ANGPTL2	1266.6762	ANGPTL2	1062.746
ANGPTL4	68.8357	ANGPTL4	350.1894
ANGPTL6	24.2603	removed	removed
removed	removed	ANGPTL7	196.3318
ANG	112.2516	ANG	299.7995
ANK1	60.9406	ANK1	5.0494
ANK2	371.0715	ANK2	236.1328
ANK3	1441.6028	ANK3	1875.6961
ANKAR	35.0347	ANKAR	114.6506
ANKDD1A	54.5258	ANKDD1A	102.1757
ANKFN1	73.5235	ANKFN1	6.5345
ANKFY1	2022.8823	ANKFY1	2238.6575
ANKHD1-EIF4EBP3	2308.4791	ANKHD1-EIF4EBP3	1169.4483
ANKHD1	2186.2599	ANKHD1	3765.7919
ANKH	7633.3646	ANKH	1474.716
ANKIB1	1599.999	ANKIB1	1529.6651
removed	removed	ANKK1	47.2266
