gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
ALDH16A1	1246.1423	ALDH16A1	605.3736
ALDH18A1	2848.3252	ALDH18A1	1571.7884
ALDH1A1	131.7275	ALDH1A1	1889.1688
ALDH1A2	19.1946	ALDH1A2	313.1822
ALDH1A3	410.685	ALDH1A3	460.2351
ALDH1B1	842.3033	ALDH1B1	695.2141
ALDH1L1	59.8419	ALDH1L1	1405.1217
ALDH1L2	132.8566	ALDH1L2	199.8321
ALDH2	3014.6782	ALDH2	11410.5793
removed	removed	ALDH3A1	1104.9538
ALDH3A2	3633.4212	ALDH3A2	3867.7582
ALDH3B1	605.9466	ALDH3B1	283.3753
ALDH3B2	2891.2307	ALDH3B2	1621.3266
ALDH4A1	752.7286	ALDH4A1	1570.529
ALDH5A1	550.9974	ALDH5A1	580.1847
ALDH6A1	929.3	ALDH6A1	492.1075
ALDH7A1	1073.7674	ALDH7A1	3201.9312
removed	removed	ALDH8A1	16.7926
ALDH9A1	2798.6451	ALDH9A1	4305.2057
ALDOA	30770.4178	ALDOA	20434.089
removed	removed	ALDOB	7.1369
ALDOC	463.3045	ALDOC	2191.8556
ALG10B	617.9902	ALG10B	132.2418
ALG10	226.9477	ALG10	49.1184
ALG11	5.6455	ALG11	13.8539
ALG12	577.3429	ALG12	586.9018
ALG13	529.921	ALG13	338.7909
ALG14	364.697	ALG14	277.9177
ALG1L	22.7851	ALG1L	12.8086
ALG1	1762.6308	ALG1	604.7313
ALG2	655.2503	ALG2	814.4416
ALG3	936.7708	ALG3	603.2746
ALG5	652.6157	ALG5	790.0924
ALG6	803.9142	ALG6	159.11
ALG8	2134.7384	ALG8	1028.1276
ALG9	421.1517	ALG9	757.3468
ALKBH1	489.2736	ALKBH1	232.9975
ALKBH2	311.2533	ALKBH2	423.5936
ALKBH3	268.7241	ALKBH3	570.1092
ALKBH4	295.6003	ALKBH4	365.9656
ALKBH5	3056.4546	ALKBH5	3128.7741
ALKBH6	102.3711	ALKBH6	96.9773
ALKBH7	901.3925	ALKBH7	829.9748
ALKBH8	156.9439	ALKBH8	201.9312
ALMS1	733.5341	ALMS1	511.335
removed	removed	ALOX12P2	8.3963
removed	removed	ALOX12	7.5567
ALOX15B	9083.5529	ALOX15B	612.9303
ALOX15	5.2691	ALOX15	363.56
ALOX5AP	765.1487	ALOX5AP	365.6591
ALOX5	252.9168	ALOX5	671.2846
ALOXE3	141.513	ALOXE3	27.7078
ALPK1	781.7087	ALPK1	684.7187
ALPK2	6.3982	ALPK2	12.5945
ALPK3	143.0184	ALPK3	436.1881
ALPL	57.2074	ALPL	3534.8447
ALS2CL	46.2928	ALS2CL	372.3762
removed	removed	ALS2CR11	9.6558
ALS2CR4	404.968	ALS2CR4	1510.9152
ALS2CR8	63.9819	ALS2CR8	141.0579
ALS2	400.0753	ALS2	374.895
ALX3	13.5491	ALX3	37.3636
removed	removed	ALX4	28.9673
AMACR	497.5536	AMACR	295.55
AMBP	47.0455	AMBP	13.0143
AMBRA1	1105.382	AMBRA1	1024.3493
AMD1	847.1961	AMD1	1152.8128
AMDHD1	32.7437	AMDHD1	23.9295
AMDHD2	568.7467	AMDHD2	251.8766
AMFR	4570.5683	AMFR	3980.2687
AMHR2	5.6455	removed	removed
AMH	15.0546	AMH	13.0143
AMICA1	36.8837	AMICA1	196.0537
AMIGO1	24.84	AMIGO1	135.1805
AMIGO2	1205.4912	AMIGO2	5248.9421
AMIGO3	130.2221	AMIGO3	62.9723
AMMECR1L	702.2958	AMMECR1L	661.6289
AMMECR1	574.332	AMMECR1	210.7473
AMN1	169.3639	AMN1	150.7137
AMOTL1	391.0425	AMOTL1	2262.3846
AMOTL2	3541.5883	AMOTL2	3989.0848
AMOT	967.6327	AMOT	895.0462
AMPD1	52.3146	AMPD1	30.2267
AMPD2	476.8536	AMPD2	665.4072
AMPD3	216.7858	AMPD3	251.4694
AMPH	31.2382	AMPH	46.1797
AMT	14.6782	AMT	289.6725
removed	removed	AMY1A	31.906
removed	removed	AMY2A	9.6558
AMY2B	55.7019	AMY2B	292.7078
AMZ1	234.8513	AMZ1	6.717
AMZ2P1	104.6293	AMZ2P1	263.2242
AMZ2	1847.9488	AMZ2	1589.8405
ANAPC10	111.0275	ANAPC10	135.6003
ANAPC11	1212.2695	ANAPC11	1031.4861
ANAPC13	1933.0034	ANAPC13	1448.665
ANAPC16	2070.7565	ANAPC16	2569.6893
ANAPC1	617.6139	ANAPC1	408.9001
ANAPC2	764.3959	ANAPC2	719.5634
ANAPC4	378.6225	ANAPC4	497.9009
ANAPC5	2359.8043	ANAPC5	2342.1495
ANAPC7	855.8525	ANAPC7	973.5516
ANGEL1	841.5506	ANGEL1	492.4433
ANGEL2	499.8118	ANGEL2	467.6742
ANGPT1	42.9055	ANGPT1	223.7615
ANGPT2	76.0256	ANGPT2	458.0185
