gene_id	TCGA-BH-A0BZ-01A-31R-A12P-07	gene_id	TCGA-BH-A0BZ-11A-61R-A12P-07
TIGD2	84.8366	TIGD2	162.1085
TIGD3	40.7578	removed	removed
TIGD4	8.4535	TIGD4	9.7482
TIGD5	384.6328	TIGD5	38.9927
TIGD6	176.0133	TIGD6	198.2128
TIGD7	201.3163	TIGD7	249.3294
TIGIT	230.6589	TIGIT	19.8574
TIMD4	5.7363	TIMD4	6.8598
TIMELESS	1532.493	TIMELESS	345.8796
TIMM10	1033.4365	TIMM10	381.2618
TIMM13	1211.2582	TIMM13	428.5585
TIMM16	223.9595	TIMM16	79.4765
TIMM17A	1375.8019	TIMM17A	785.6305
TIMM17B	1076.3076	TIMM17B	310.4973
TIMM22	467.9598	TIMM22	426.0312
TIMM44	618.9146	TIMM44	298.5829
TIMM50	1143.0297	TIMM50	560.3394
TIMM8A	70.9488	TIMM8A	88.8167
TIMM8B	536.1914	TIMM8B	387.0385
TIMM9	368.9335	TIMM9	440.834
TIMP1	11272.096	TIMP1	4428.5585
TIMP2	10395.0487	TIMP2	19554.8335
TIMP3	23927.8436	TIMP3	29265.4572
TIMP4	9.963	TIMP4	2779.6733
TINAGL1	280.474	TINAGL1	2530.1923
TINF2	1325.685	TINF2	1405.181
TIPARP	439.2784	TIPARP	2758.0107
TIPIN	144.3128	TIPIN	64.6268
TIPRL	1021.3601	TIPRL	797.5449
TIRAP	169.6732	TIRAP	218.0702
TJAP1	527.436	TJAP1	587.4176
TJP1	1185.297	TJP1	3515.1187
TJP2	1388.7841	TJP2	2651.8639
TJP3	2337.6859	TJP3	265.728
TK1	2272.7753	TK1	140.0848
TK2	629.1796	TK2	2496.6152
removed	removed	TKTL1	9.0261
TKT	5756.208	TKT	5223.2151
TLCD1	239.4143	TLCD1	47.6577
TLE1	893.9543	TLE1	1566.2063
TLE2	499.0565	TLE2	1213.828
removed	removed	TLE3	1336.2217
TLE4	334.8177	TLE4	457.442
TLE6	19.926	TLE6	20.9405
TLK1	979.6966	TLK1	1509.1615
TLK2	811.231	TLK2	594.6385
TLL1	59.7781	TLL1	420.6156
TLL2	18.4165	removed	removed
TLN1	10691.222	TLN1	17746.006
TLN2	532.2636	TLN2	4342.2655
TLR10	16.9069	TLR10	31.4108
TLR1	166.956	TLR1	317.3572
TLR2	393.0863	TLR2	358.5161
TLR3	192.9202	TLR3	470.0785
removed	removed	TLR4	1543.8216
TLR5	172.9942	TLR5	406.1738
TLR6	24.1528	TLR6	54.8786
TLR7	309.7592	TLR7	243.3433
TLR8	151.8605	TLR8	75.4581
TLR9	15.8623	TLR9	21.8179
TM2D1	324.2509	TM2D1	346.9627
TM2D2	1280.3985	TM2D2	864.3379
TM2D3	666.6163	TM2D3	800.4333
TM4SF18	87.8557	TM4SF18	632.5481
TM4SF19	9.5886	TM4SF19	66.0385
TM4SF1	3293.8335	TM4SF1	8141.168
TM6SF1	138.8784	TM6SF1	183.7711
TM6SF2	21.4356	removed	removed
TM7SF2	987.8481	TM7SF2	567.1992
TM7SF3	1295.494	TM7SF3	1373.0481
TM7SF4	26.2661	TM7SF4	6.1377
removed	removed	TM9SF1	1827.2118
TM9SF2	3164.6162	TM9SF2	4601.4983
TM9SF3	5305.7589	TM9SF3	5626.1395
TM9SF4	2743.7542	TM9SF4	2010.6508
TMBIM1	3278.738	TMBIM1	7513.3135
TMBIM4	1905.303	TMBIM4	1475.9563
TMBIM6	36530.4551	TMBIM6	23233.1438
removed	removed	TMC1	5.4157
removed	removed	TMC2	21.6626
removed	removed	TMC3	59.9332
TMC4	1315.1181	TMC4	861.8106
TMC5	81.8175	TMC5	650.9613
TMC6	1454.2984	TMC6	579.4747
TMC7	32.0024	TMC7	132.5029
TMC8	340.8559	TMC8	171.4956
TMCC1	628.5757	TMCC1	1174.1132
TMCC2	32.6062	TMCC2	70.0424
TMCC3	185.6744	TMCC3	720.2816
TMCO1	3890.7087	TMCO1	1937.72
TMCO3	1014.7181	TMCO3	1665.8543
TMCO4	702.5436	TMCO4	580.1968
TMCO6	191.4107	TMCO6	180.5217
TMCO7	251.1888	TMCO7	397.5088
TMED10P1	81.2137	TMED10P1	56.6838
TMED10	5962.7142	TMED10	8215.1819
TMED1	612.333	TMED1	405.9825
TMED2	8617.4051	TMED2	5110.5695
TMED3	4678.0889	TMED3	1195.0537
TMED4	1059.0988	TMED4	934.7414
TMED5	1555.1362	TMED5	1758.6425
TMED7-TICAM2	117.8836	TMED7-TICAM2	139.2292
TMED7	2495.02	TMED7	1878.1226
TMED8	304.0229	TMED8	459.6083
TMED9	7392.256	TMED9	1994.7649
TMEFF1	47.4149	TMEFF1	34.5988
TMEM100	5.4344	TMEM100	483.4371
TMEM101	919.6166	TMEM101	547.3418
TMEM102	134.6517	TMEM102	128.1704
TMEM104	1076.3076	TMEM104	490.658
TMEM105	50.4189	TMEM105	5.0546
TMEM106A	207.11	TMEM106A	193.5193
TMEM106B	1470.6016	TMEM106B	1262.2078
TMEM106C	3239.4898	TMEM106C	915.6061
TMEM107	91.4786	TMEM107	230.7067
TMEM108	38.3425	TMEM108	50.9071
TMEM109	3615.3672	TMEM109	3464.9337
TMEM110	204.1513	TMEM110	301.8323
TMEM111	1632.4251	TMEM111	1631.5552
TMEM115	710.6951	TMEM115	1103.3487
TMEM116	169.9751	TMEM116	226.0132
TMEM117	102.9512	TMEM117	120.5885
TMEM119	813.3444	TMEM119	595.3606
TMEM11	435.0517	TMEM11	460.6914
TMEM120A	654.2381	TMEM120A	959.6534
TMEM120B	282.062	TMEM120B	563.7296
TMEM121	43.1731	TMEM121	20.5795
TMEM123	3941.4295	TMEM123	4250.9252
TMEM125	360.48	TMEM125	241.538
TMEM126A	212.2424	TMEM126A	264.6448
TMEM126B	389.7653	TMEM126B	496.4347
TMEM127	4105.9703	TMEM127	2994.8551
TMEM128	552.7964	TMEM128	521.7077
TMEM129	969.1297	TMEM129	738.6948
TMEM130	100.8378	TMEM130	6.4988
removed	removed	TMEM131	1756.4762
TMEM132A	3987.9236	TMEM132A	197.4907
TMEM132B	7.2458	TMEM132B	19.1353
TMEM132C	6.642	TMEM132C	897.915
TMEM133	36.833	TMEM133	129.6146
TMEM134	605.3287	TMEM134	356.3499
TMEM135	265.3785	TMEM135	1145.9518
TMEM136	75.4774	TMEM136	183.4101
TMEM138	581.7798	TMEM138	613.7738
TMEM139	47.7017	TMEM139	424.226
TMEM140	968.5773	TMEM140	1711.6057
TMEM141	2466.9032	TMEM141	483.0761
TMEM143	79.1003	TMEM143	181.9659
TMEM144	344.1769	TMEM144	468.2733
TMEM145	51.0227	removed	removed
TMEM147	1749.566	TMEM147	965.4301
TMEM149	303.1776	TMEM149	117.7326
TMEM14A	533.4742	TMEM14A	297.8608
TMEM14B	1064.8351	TMEM14B	776.9654
TMEM14C	1962.7142	TMEM14C	1726.1486
TMEM150A	566.6843	TMEM150A	420.6156
TMEM150B	48.0036	TMEM150B	21.3016
TMEM150C	964.903	TMEM150C	260.3123
TMEM151B	9.1026	TMEM151B	6.6649
TMEM154	78.4965	TMEM154	114.8118
TMEM155	6.8805	removed	removed
TMEM156	27.4738	TMEM156	50.5461
TMEM158	247.2639	TMEM158	47.6577
TMEM159	836.2895	TMEM159	965.4301
TMEM160	87.8557	TMEM160	14.0807
TMEM161A	473.3942	TMEM161A	376.5683
TMEM161B	171.7865	TMEM161B	227.4574
TMEM163	27.7757	TMEM163	27.4393
TMEM164	591.4409	TMEM164	898.9981
TMEM165	1227.2624	TMEM165	1097.572
TMEM167A	2172.8432	TMEM167A	2195.8661
TMEM167B	1693.1089	TMEM167B	1440.9243
TMEM168	321.2318	TMEM168	789.2409
TMEM169	16.605	TMEM169	35.3823
TMEM170A	283.795	TMEM170A	565.394
TMEM170B	248.7735	TMEM170B	522.7909
TMEM173	924.4471	TMEM173	792.8513
TMEM175	435.6555	TMEM175	446.6107
TMEM176A	827.2322	TMEM176A	656.0159
TMEM176B	2882.6327	TMEM176B	1687.878
TMEM177	260.548	TMEM177	113.3676
TMEM178	6.642	TMEM178	76.1802
TMEM179B	1266.8126	TMEM179B	949.5442
TMEM17	25.9642	TMEM17	71.8476
TMEM180	128.3116	TMEM180	81.2348
TMEM181	725.7906	TMEM181	1801.6066
TMEM182	99.6302	TMEM182	131.4198
TMEM183A	1481.1684	TMEM183A	788.1578
TMEM184A	1092.2032	TMEM184A	158.9927
TMEM184B	1807.7742	TMEM184B	2121.8197
TMEM184C	478.8286	TMEM184C	690.6761
TMEM185A	637.9349	TMEM185A	640.13
TMEM185B	467.0541	TMEM185B	702.9515
TMEM186	257.227	TMEM186	197.1297
TMEM187	226.4322	TMEM187	241.8991
TMEM188	326.9681	TMEM188	277.2813
TMEM189	2715.3747	TMEM189	1011.4523
TMEM18	514.7528	TMEM18	610.1634
TMEM191A	22.9451	removed	removed
TMEM192	493.3203	TMEM192	762.5237
TMEM194A	682.6176	TMEM194A	483.7982
TMEM194B	84.8366	TMEM194B	123.8379
removed	removed	TMEM195	34.6602
TMEM198	140.086	TMEM198	31.4108
TMEM199	839.6105	TMEM199	397.238
TMEM19	717.6391	TMEM19	884.9174
TMEM200A	369.2354	TMEM200A	120.2275
TMEM200B	75.3355	TMEM200B	226.4464
TMEM200C	19.3222	TMEM200C	16.247
removed	removed	TMEM201	276.1982
TMEM203	1600.1208	TMEM203	684.1773
TMEM204	333.3082	TMEM204	348.4069
TMEM205	3130.5004	TMEM205	1101.5435
TMEM206	241.2258	TMEM206	101.0922
TMEM208	798.2489	TMEM208	422.4208
TMEM209	855.9137	TMEM209	458.5251
TMEM20	55.2495	TMEM20	150.9161
removed	removed	TMEM213	116.9781
TMEM214	2969.5826	TMEM214	3085.8381
TMEM216	345.0826	TMEM216	294.9725
TMEM217	5.5823	TMEM217	11.3043
TMEM218	182.9572	TMEM218	354.5446
TMEM219	1787.9085	TMEM219	2020.76
TMEM220	27.7757	TMEM220	252.3693
TMEM222	878.255	TMEM222	804.0437
TMEM223	497.547	TMEM223	232.1509
TMEM229B	959.4686	TMEM229B	296.0556
TMEM22	47.7017	TMEM22	292.8062
TMEM231	76.3741	TMEM231	248.387
removed	removed	TMEM232	10.4703
TMEM233	6.3401	TMEM233	10.1092
TMEM25	715.8276	TMEM25	1189.9991
TMEM26	58.978	TMEM26	518.7436
TMEM27	6.3401	TMEM27	11.1923
TMEM2	1870.9337	TMEM2	2306.7064
TMEM30A	4213.752	TMEM30A	4342.9912
TMEM30B	566.3824	TMEM30B	703.3126
TMEM33	1569.6279	TMEM33	1168.6975
TMEM35	6.9439	TMEM35	59.9332
TMEM37	136.765	TMEM37	1833.7395
TMEM38A	36.5311	TMEM38A	27.4393
TMEM38B	122.8772	TMEM38B	100.7311
TMEM39A	526.2284	TMEM39A	620.9947
TMEM39B	234.8857	TMEM39B	344.7965
TMEM40	245.7544	TMEM40	27.4393
TMEM41A	771.6809	TMEM41A	494.2684
TMEM41B	591.7428	TMEM41B	520.2636
TMEM42	149.1433	TMEM42	223.1248
TMEM43	2445.1657	TMEM43	4183.4101
TMEM44	139.1803	TMEM44	225.6521
TMEM45A	467.6579	TMEM45A	267.5332
TMEM45B	40.4559	TMEM45B	84.8452
TMEM47	502.9814	TMEM47	1739.8682
TMEM48	257.227	TMEM48	371.1526
TMEM49	2135.7084	TMEM49	1856.8463
TMEM50A	3247.6413	TMEM50A	2800.6138
TMEM50B	851.385	TMEM50B	1127.1775
TMEM51	638.2368	TMEM51	155.6097
TMEM52	66.4201	TMEM52	10.8313
TMEM53	169.2022	TMEM53	236.2379
TMEM54	1879.0852	TMEM54	579.1136
TMEM55A	157.5968	TMEM55A	336.1314
TMEM55B	845.3468	TMEM55B	501.1283
TMEM56	46.1922	TMEM56	432.0751
TMEM57	1467.2805	TMEM57	788.5188
TMEM59L	24.7566	removed	removed
TMEM59	5388.7841	TMEM59	6789.7825
TMEM5	331.1948	TMEM5	308.3311
TMEM60	402.4455	TMEM60	273.6709
removed	removed	TMEM61	25.273
TMEM62	797.947	TMEM62	587.7787
TMEM63A	2711.7518	TMEM63A	1773.8063
TMEM63B	1961.2046	TMEM63B	903.3306
TMEM63C	713.1104	TMEM63C	203.6285
TMEM64	486.9801	TMEM64	798.267
TMEM65	699.8264	TMEM65	331.4379
TMEM66	7413.9935	TMEM66	6754.4002
TMEM67	210.431	TMEM67	215.904
TMEM68	464.3369	TMEM68	359.9603
TMEM69	494.5279	TMEM69	443.3613
TMEM70	699.5245	TMEM70	467.1902
TMEM71	24.4547	TMEM71	57.0449
TMEM79	415.1257	TMEM79	150.1941
TMEM80	292.5504	TMEM80	378.0125
TMEM81	59.7781	TMEM81	32.855
removed	removed	TMEM84	255.6187
TMEM85	875.1966	TMEM85	1096.7957
TMEM86A	550.9638	TMEM86A	278.3175
TMEM86B	51.0227	TMEM86B	29.9666
TMEM87A	2354.2909	TMEM87A	2475.6747
TMEM87B	2565.0238	TMEM87B	1304.4499
TMEM88	19.926	TMEM88	173.3008
TMEM8A	2299.3433	TMEM8A	736.1675
TMEM8B	610.7631	TMEM8B	561.4225
TMEM90B	303.721	TMEM90B	20.9405
TMEM91	53.6916	TMEM91	175.3191
TMEM92	7.8496	TMEM92	5.4157
TMEM93	280.6038	TMEM93	168.7806
TMEM97	1499.2075	TMEM97	185.1575
TMEM98	494.226	TMEM98	1003.3397
TMEM99	318.2127	TMEM99	350.2121
TMEM9B	1028.9078	TMEM9B	1056.052
TMEM9	1861.5745	TMEM9	1287.4808
TMF1	608.0459	TMF1	1360.0505
removed	removed	TMIE	10.8313
TMIGD2	10.2649	removed	removed
TMLHE	150.9548	TMLHE	311.9415
TMOD1	76.7847	TMOD1	373.438
TMOD2	217.6768	TMOD2	908.7463
TMOD3	1360.1026	TMOD3	1377.7417
TMPO	2113.8048	TMPO	837.4546
TMPPE	38.0406	TMPPE	49.4629
TMPRSS13	42.2673	TMPRSS13	277.6424
TMPRSS2	155.4834	TMPRSS2	473.689
TMPRSS3	24.4547	TMPRSS3	332.882
TMPRSS4	153.0682	removed	removed
TMPRSS6	23.8509	TMPRSS6	59.5722
TMPRSS9	21.4386	removed	removed
TMSB10	24069.4392	TMSB10	10317.5377
removed	removed	TMSB15A	6.1377
TMSB15B	14.0992	TMSB15B	44.282
TMSL3	24464.6388	TMSL3	26735.987
TMTC1	204.3928	TMTC1	2430.9053
TMTC2	148.2376	TMTC2	483.4371
TMTC3	786.4745	TMTC3	726.0583
TMTC4	350.517	TMTC4	386.6775
TMUB1	826.9303	TMUB1	262.8396
TMUB2	740.2823	TMUB2	879.1407
TMX1	1049.4377	TMX1	910.1905
TMX2	2073.2131	TMX2	1858.4926
TMX3	741.4899	TMX3	1327.9177
TMX4	616.8013	TMX4	977.3445
TNC	2686.6933	TNC	5632.6383
TNFAIP1	1956.7454	TNFAIP1	1967.6686
TNFAIP2	1031.0212	TNFAIP2	2057.2254
TNFAIP3	819.0807	TNFAIP3	1070.4937
TNFAIP6	354.1399	TNFAIP6	123.4768
TNFAIP8L1	163.0312	TNFAIP8L1	119.8664
TNFAIP8L2	168.4655	TNFAIP8L2	103.9805
TNFAIP8L3	68.8354	TNFAIP8L3	83.04
TNFAIP8	359.8762	TNFAIP8	529.6507
TNFRSF10A	176.3152	TNFRSF10A	135.7523
TNFRSF10B	882.1798	TNFRSF10B	954.2377
TNFRSF10C	53.438	TNFRSF10C	84.8452
TNFRSF10D	11.7745	TNFRSF10D	344.0744
TNFRSF11A	34.7196	TNFRSF11A	110.1182
TNFRSF11B	104.4607	TNFRSF11B	546.2587
TNFRSF12A	1339.8747	TNFRSF12A	276.5593
TNFRSF14	803.9701	TNFRSF14	784.1827
TNFRSF17	17.5108	TNFRSF17	21.3016
TNFRSF18	116.2352	TNFRSF18	13.3586
TNFRSF19	315.4955	TNFRSF19	367.1812
TNFRSF1A	2174.3528	TNFRSF1A	2958.7508
TNFRSF1B	1287.0405	TNFRSF1B	1907.7534
TNFRSF21	678.0889	TNFRSF21	1924.3614
TNFRSF25	35.0215	TNFRSF25	61.0163
TNFRSF4	95.4034	TNFRSF4	22.3847
TNFRSF6B	74.9792	TNFRSF6B	28.1217
TNFRSF8	50.117	TNFRSF8	90.9829
TNFRSF9	57.6647	removed	removed
TNFSF10	3385.9159	TNFSF10	4196.4076
TNFSF11	24.1528	removed	removed
TNFSF12-TNFSF13	193.7444	TNFSF12-TNFSF13	93.8857
TNFSF12	465.1491	TNFSF12	1013.0409
TNFSF13B	343.5731	TNFSF13B	58.489
TNFSF13	890.8114	TNFSF13	772.669
TNFSF14	16.9069	TNFSF14	15.1638
TNFSF15	7.2458	TNFSF15	25.9951
TNFSF4	407.8798	TNFSF4	31.4108
TNFSF8	83.629	TNFSF8	57.4059
TNFSF9	52.2304	TNFSF9	82.6789
TNF	20.5299	TNF	45.8525
TNIK	109.8951	TNIK	247.3147
TNIP1	2456.9401	TNIP1	5353.1907
TNIP2	813.6463	TNIP2	365.737
TNIP3	17.2088	removed	removed
TNK1	341.7616	TNK1	268.6163
TNK2	993.989	TNK2	788.7715
TNKS1BP1	6340.403	TNKS1BP1	3942.5941
TNKS2	1446.7507	TNKS2	2010.6508
TNKS	1360.2083	TNKS	1395.9563
removed	removed	TNMD	1212.3838
removed	removed	TNNC1	5.0546
removed	removed	TNNC2	16.969
TNNI1	41.6635	TNNI1	22.7457
removed	removed	TNNI2	8.665
removed	removed	TNNI3K	64.4462
TNNT1	171.7865	removed	removed
TNNT2	9.3592	removed	removed
removed	removed	TNNT3	231.7899
TNN	246.3582	TNN	270.0605
TNPO1	2606.3854	TNPO1	2742.4858
TNPO2	1521.6243	TNPO2	1913.8911
TNPO3	1612.1971	TNPO3	1102.9876
TNRC18	4216.4692	TNRC18	1600.1444
TNRC6A	920.8242	TNRC6A	1532.6293
TNRC6B	425.9944	TNRC6B	1068.3275
TNRC6C	1013.8365	TNRC6C	949.685
TNS1	2868.141	TNS1	31405.3615
TNS3	2136.6141	TNS3	4988.8979
TNS4	124.3867	TNS4	1140.1751
TNXB	203.01	TNXB	11123.1736
TOB1	2794.3271	TOB1	2583.5906
TOB2	1007.4723	TOB2	2464.1213
TOE1	256.9945	TOE1	221.6518
TOLLIP	810.0234	TOLLIP	1396.5159
TOM1L1	962.0802	TOM1L1	781.464
TOM1L2	886.1046	TOM1L2	2218.9728
TOM1	1234.8102	TOM1	1159.6715
TOMM20	4589.6294	TOMM20	4231.4288
TOMM22	1063.9294	TOMM22	938.7129
TOMM34	1284.6253	TOMM34	576.9474
TOMM40L	620.6385	TOMM40L	436.6279
TOMM40	1333.5346	TOMM40	440.1119
TOMM5	1705.4631	TOMM5	696.0845
TOMM6	1966.5424	TOMM6	1480.3935
TOMM70A	2134.1837	TOMM70A	2166.6035
TOMM7	1758.0195	TOMM7	2267.3526
TOP1MT	761.7179	TOP1MT	232.512
TOP1P1	124.3867	TOP1P1	67.8762
TOP1P2	9.3592	removed	removed
TOP1	3524.7943	TOP1	2116.0755
TOP2A	4434.146	TOP2A	100.3701
TOP2B	2989.8106	TOP2B	3946.5656
TOP3A	473.3942	TOP3A	412.3116
TOP3B	202.5813	TOP3B	250.5641
TOPBP1	914.4841	TOPBP1	771.5498
TOPORS	578.1568	TOPORS	787.4357
TOR1AIP1	1530.3797	TOR1AIP1	2429.4611
TOR1AIP2	313.3821	TOR1AIP2	520.6246
TOR1A	1430.7495	TOR1A	837.6207
TOR1B	857.4232	TOR1B	496.7957
TOR2A	451.9586	TOR2A	171.8567
TOR3A	1909.2762	TOR3A	758.9133
TOX2	82.7232	TOX2	92.7882
TOX3	281.6816	TOX3	185.2153
TOX4	1999.6105	TOX4	2045.5167
TOX	100.8378	TOX	70.7645
removed	removed	TP53AIP1	31.0497
TP53BP1	976.9794	TP53BP1	1410.5966
TP53BP2	952.8266	TP53BP2	935.4635
TP53I11	5197.9772	TP53I11	2881.4875
TP53I13	524.4169	TP53I13	232.512
TP53I3	218.2806	TP53I3	228.5405
TP53INP1	1267.7183	TP53INP1	1148.1181
TP53INP2	1268.0202	TP53INP2	997.2019
TP53RK	1002.6417	TP53RK	432.53
TP53TG1	314.2879	TP53TG1	213.0156
removed	removed	TP53TG3B	5.7767
TP53	953.4304	TP53	1190.7212
TP63	189.5992	TP63	1122.845
TP73	143.407	TP73	33.577
TPBG	1788.5123	TPBG	701.1463
TPCN1	877.9531	TPCN1	1724.3434
TPCN2	418.504	TPCN2	449.2138
TPD52L1	1041.89	TPD52L1	860.7275
TPD52L2	6805.3438	TPD52L2	2770.6472
TPD52	10301.1035	TPD52	1456.2975
TPI1P2	12.6802	TPI1P2	12.9976
TPI1	8793.7203	TPI1	3749.0748
TPK1	69.1373	TPK1	91.344
TPM1	5340.4453	TPM1	6532.6329
TPM2	3133.2176	TPM2	2212.4741
TPM3	23035.3989	TPM3	4712.6997
TPM4	17967.8466	TPM4	10979.6913
TPMT	670.8431	TPMT	414.1168
removed	removed	TPO	50.185
removed	removed	TPP1	4717.7543
TPP2	622.5376	TPP2	1076.6315
TPPP3	205.9023	TPPP3	948.8221
TPPP	106.2722	TPPP	465.746
TPRA1	755.0759	TPRA1	615.9401
TPRG1L	1561.1744	TPRG1L	1986.8219
TPRG1	98.7244	TPRG1	296.7777
TPRKB	377.9908	TPRKB	231.0678
TPRN	1136.0857	TPRN	135.3913
TPRXL	124.6887	TPRXL	10.8313
TPR	3516.7394	TPR	3673.0607
TPSAB1	205.2985	TPSAB1	248.7589
TPSB2	393.992	TPSB2	596.0827
TPSG1	19.3222	TPSG1	10.8313
TPST1	321.8356	TPST1	425.3091
TPST2	585.7046	TPST2	1209.4954
TPT1	30180.9948	TPT1	53723.2602
removed	removed	TPTE2P1	7.943
removed	removed	TPTE	5.3651
TPX2	2206.6571	TPX2	70.4035
TRA2A	1515.5861	TRA2A	1038.3609
TRA2B	2207.5628	TRA2B	2199.4765
TRABD	472.7904	TRABD	260.3123
TRADD	359.2724	TRADD	234.3172
TRAF1	429.3154	TRAF1	191.353
TRAF2	1242.3579	TRAF2	159.2201
TRAF3IP1	619.5185	TRAF3IP1	501.1283
TRAF3IP2	312.7783	TRAF3IP2	856.756
TRAF3IP3	249.6792	TRAF3IP3	64.6268
TRAF3	184.1648	TRAF3	256.7019
TRAF4	2832.8176	TRAF4	852.0625
TRAF5	473.3942	TRAF5	429.6417
TRAF6	214.0539	TRAF6	311.2194
TRAF7	2663.5037	TRAF7	1385.8688
TRAFD1	2234.1309	TRAFD1	874.4472
TRAIP	61.5896	TRAIP	27.4393
TRAK1	1215.7899	TRAK1	2136.2939
TRAK2	1162.9557	TRAK2	2514.6674
TRAM1L1	67.0239	TRAM1L1	89.1777
TRAM1	7096.6865	TRAM1	3890.2428
TRAM2	1283.4176	TRAM2	2147.1252
TRANK1	1045.8148	TRANK1	754.2197
TRAP1	2145.9129	TRAP1	1124.1339
TRAPPC10	1054.8721	TRAPPC10	1272.317
TRAPPC1	1328.7041	TRAPPC1	1133.3153
TRAPPC2L	582.3836	TRAPPC2L	476.9384
TRAPPC2P1	149.3909	TRAPPC2P1	114.0644
TRAPPC2	179.0324	TRAPPC2	264.2838
TRAPPC3	1295.494	TRAPPC3	1080.6029
TRAPPC4	664.2011	TRAPPC4	698.9801
TRAPPC5	626.7643	TRAPPC5	311.2194
TRAPPC6A	471.5828	TRAPPC6A	188.1036
TRAPPC6B	623.1414	TRAPPC6B	677.3174
TRAPPC9	1756.208	TRAPPC9	643.7404
TRAT1	77.5908	TRAT1	11.9144
TRDMT1	33.512	TRDMT1	124.921
removed	removed	TRDN	114.8118
TREM1	26.568	TREM1	65.7099
TREM2	694.392	TREM2	374.041
TRERF1	161.2197	TRERF1	257.0629
TREX1	444.2962	TREX1	344.7676
removed	removed	TRHDE	163.123
removed	removed	TRH	23.8289
TRIAP1	755.6797	TRIAP1	450.2211
TRIB1	1422.296	TRIB1	4264.2838
TRIB2	912.0688	TRIB2	1243.7946
TRIB3	674.7679	TRIB3	270.7826
TRIL	713.1104	TRIL	826.0673
TRIM11	885.5008	TRIM11	253.0914
TRIM13	507.356	TRIM13	798.9782
TRIM14	2152.5157	TRIM14	924.7297
TRIM16L	88.7976	TRIM16L	264.5473
TRIM16	457.0337	TRIM16	688.0116
removed	removed	TRIM17	16.969
TRIM21	707.0722	TRIM21	410.8674
TRIM22	1477.5455	TRIM22	1545.9879
TRIM23	272.9263	TRIM23	439.3898
TRIM24	995.6978	TRIM24	665.7641
TRIM25	859.2347	TRIM25	1596.1296
TRIM26	4336.3273	TRIM26	1191.4433
TRIM27	1772.5111	TRIM27	1112.7358
TRIM28	6185.2215	TRIM28	3577.2182
TRIM29	233.3761	TRIM29	3011.4631
removed	removed	TRIM2	1296.1459
TRIM31	16.3031	removed	removed
TRIM32	595.6676	TRIM32	468.2733
TRIM33	1136.3877	TRIM33	1137.6478
TRIM34	223.715	TRIM34	340.4639
TRIM35	377.0851	TRIM35	459.2472
TRIM36	123.481	TRIM36	91.705
TRIM37	856.602	TRIM37	718.5161
TRIM38	619.5185	TRIM38	624.2441
TRIM39	643.1187	TRIM39	424.9337
TRIM3	521.6998	TRIM3	327.8274
TRIM41	578.1599	TRIM41	543.883
TRIM44	1297.3055	TRIM44	1641.3034
TRIM45	152.4643	TRIM45	156.6928
TRIM46	38.0406	TRIM46	20.9405
TRIM47	2112.1594	TRIM47	442.6392
TRIM4	704.355	TRIM4	1057.1351
removed	removed	TRIM50	5.4157
TRIM52	93.2901	TRIM52	145.8615
TRIM56	411.5028	TRIM56	319.1624
TRIM58	20.5299	TRIM58	72.5697
TRIM59	328.8158	TRIM59	54.0879
TRIM5	292.327	TRIM5	603.2061
removed	removed	TRIM61	12.9976
TRIM62	601.4039	TRIM62	231.4288
TRIM63	5.7363	removed	removed
TRIM65	978.4889	TRIM65	411.9505
TRIM66	73.364	TRIM66	365.3759
removed	removed	TRIM67	10.1092
TRIM68	132.8402	TRIM68	350.2121
TRIM69	21.3903	TRIM69	12.2755
TRIM6	50.117	TRIM6	280.1697
TRIM7	8.7554	TRIM7	25.273
TRIM8	1412.0311	TRIM8	2802.78
TRIM9	14.4917	TRIM9	51.9903
TRIOBP	1366.7447	TRIOBP	1864.0672
TRIO	1515.888	TRIO	2756.5665
TRIP10	669.3335	TRIP10	1145.9518
TRIP11	823.9112	TRIP11	1468.0025
TRIP12	3539.8898	TRIP12	4531.4559
TRIP13	755.3778	TRIP13	42.2421
TRIP4	686.8443	TRIP4	544.0924
TRIP6	1124.0094	TRIP6	714.5049
TRIT1	357.159	TRIT1	317.3572
TRMT112	3228.0172	TRMT112	1227.1866
TRMT11	136.765	TRMT11	196.4076
TRMT12	580.5721	TRMT12	318.4403
TRMT1	581.4778	TRMT1	348.0459
TRMT2A	435.0517	TRMT2A	345.5185
TRMT2B	321.8356	TRMT2B	476.9384
TRMT5	301.9096	TRMT5	464.3018
TRMT61A	391.5767	TRMT61A	201.4622
TRMT61B	233.0983	TRMT61B	244.9246
TRMT6	383.7271	TRMT6	324.578
TRMU	174.5037	TRMU	149.833
TRNAU1AP	273.5301	TRNAU1AP	278.0034
TRNP1	30.7948	TRNP1	130.6977
TRNT1	203.1278	TRNT1	266.3598
TROAP	1056.6835	TROAP	5.7767
TROVE2	1049.8423	TROVE2	991.8332
TRO	114.7256	TRO	267.1721
TRPA1	58.2353	removed	removed
TRPC1	79.1003	TRPC1	184.4932
removed	removed	TRPC3	6.8598
TRPC4AP	3222.5828	TRPC4AP	2326.5638
TRPC4	5.4344	TRPC4	5.4157
TRPC6	28.3795	TRPC6	136.1134
TRPM2	252.0945	TRPM2	136.8355
TRPM4	1614.6124	TRPM4	697.5359
removed	removed	TRPM6	78.7075
TRPM7	573.9301	TRPM7	1327.5566
TRPS1	4080.6099	TRPS1	4703.6736
