gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
ADRBK1	1360.8864	ADRBK1	1740.0943
ADRBK2	726.3454	ADRBK2	1061.3208
ADRM1	1774.8857	ADRM1	994.3396
ADSL	1323.6018	ADSL	770.283
ADSSL1	86.8801	ADSSL1	132.0755
ADSS	3347.1685	ADSS	1401.4151
AEBP1	14780.8653	AEBP1	7547.6415
AEBP2	586.0007	AEBP2	947.6415
AEN	365.459	AEN	575.9434
AES	3534.9982	AES	5836.3208
AFAP1L1	167.4288	AFAP1L1	476.4151
AFAP1L2	135.4203	AFAP1L2	1168.8679
AFAP1	679.2086	AFAP1	1604.2217
AFF1	1446.0077	AFF1	2517.9245
AFF2	15.1249	AFF2	44.8113
AFF3	2863.5244	AFF3	1475
AFF4	3942.6662	AFF4	4549.5283
AFG3L1	123.4611	AFG3L1	268.3962
AFG3L2	1126.8625	AFG3L2	1255.1934
AFMID	468.8709	AFMID	547.6415
removed	removed	AFP	36.3208
AFTPH	2758.0021	AFTPH	1772.1698
AG2	97.0805	AG2	373.5849
AGAP11	11.6075	AGAP11	147.1745
AGAP1	883.9254	AGAP1	546.2264
AGAP2	51.6145	AGAP2	75.783
AGAP3	612.0295	AGAP3	1358.0189
AGAP4	111.8537	AGAP4	218.8679
AGAP5	42.8632	AGAP5	76.8538
AGAP6	49.5955	AGAP6	127.3585
removed	removed	AGAP7	8.9623
AGAP8	12.3109	AGAP8	50
AGA	498.0654	AGA	482.0755
AGBL2	15.8284	AGBL2	11.3208
AGBL3	5.2761	AGBL3	5.6604
removed	removed	AGBL4	7.5472
AGBL5	920.5171	AGBL5	808.0236
AGER	10.5522	AGER	56.6038
AGFG1	1796.6936	AGFG1	1717.4528
AGFG2	367.9212	AGFG2	530.6604
AGGF1	1586.3524	AGGF1	823.5849
AGK	652.128	AGK	483.0189
AGL	5278.9307	AGL	1036.3208
AGMAT	43.2642	AGMAT	28.3019
AGPAT1	2020.0176	AGPAT1	1716.0708
AGPAT2	377.77	AGPAT2	1160.8491
AGPAT3	1539.5709	AGPAT3	1653.7736
AGPAT4	77.7348	AGPAT4	345.7547
AGPAT5	707.3514	AGPAT5	514.1509
AGPAT6	1166.3735	AGPAT6	1985.3774
AGPAT9	16.5318	AGPAT9	161.3208
AGPHD1	42.9124	AGPHD1	54.717
AGPS	1379.8804	AGPS	1169.3396
AGR2	19473.0918	AGR2	2275.9434
AGR3	2283.1516	AGR3	846.2264
AGRN	1641.5758	AGRN	3866.0377
AGTPBP1	407.668	AGTPBP1	395.7547
AGTR1	22.1597	AGTR1	135.3774
AGTRAP	748.5051	AGTRAP	582.5472
AGT	196.975	AGT	73.5849
AGXT2L2	250.4502	AGXT2L2	406.8774
AHCTF1	2916.2856	AHCTF1	1597.1698
AHCYL1	2734.0837	AHCYL1	4271.2264
AHCYL2	395.357	AHCYL2	568.8679
AHCY	6859.3036	AHCY	2383.0189
AHDC1	272.2476	AHDC1	1100
AHI1	290.5382	AHI1	490.566
AHNAK2	602.1808	AHNAK2	1327.3585
AHNAK	38620.4713	AHNAK	92016.5094
AHRR	24.2701	AHRR	32.0755
AHR	3247.9775	AHR	4763.2075
AHSA1	1437.9177	AHSA1	1292.4528
AHSA2	315.5118	AHSA2	690.566
AIDA	1191.0517	AIDA	931.6038
AIF1L	415.758	AIF1L	1994.8113
AIF1	296.166	AIF1	388.2075
AIFM1	805.1354	AIFM1	639.6226
AIFM2	138.9377	AIFM2	495.283
AIFM3	70.2216	AIFM3	13.2075
AIG1	1619.0644	AIG1	725.4717
AIM1L	21.4562	removed	removed
AIM1	3597.6082	AIM1	3878.7736
AIM2	32.0084	AIM2	10.3774
AIMP1	1152.3074	AIMP1	1072.8679
AIMP2	505.6314	AIMP2	220.0613
AIP	1092.1562	AIP	658.4906
removed	removed	AJAP1	28.3019
AK1	525.5012	AK1	412.7358
AK2	2839.2543	AK2	2330.6604
AK3L1	469.5744	AK3L1	531.1321
AK3	466.4087	AK3	1700.9434
AK5	20.401	AK5	2016.9811
AK7	27.7875	AK7	59.434
AKAP10	423.1446	AKAP10	503.3019
AKAP11	1178.6845	AKAP11	2065.0943
AKAP12	463.9465	AKAP12	2665.0943
AKAP13	1408.3714	AKAP13	4399.5283
AKAP1	1445.3043	AKAP1	2810.8491
AKAP2	754.5656	AKAP2	1751.0189
AKAP3	14.0696	AKAP3	44.8113
AKAP5	76.3278	AKAP5	105.6604
AKAP6	17.9388	AKAP6	337.2642
AKAP7	34.4706	AKAP7	183.4906
AKAP8L	697.5026	AKAP8L	724.0566
AKAP8	501.9346	AKAP8	750.4717
AKAP9	1599.3669	AKAP9	2957.5472
AKD1	356.6655	AKD1	139.1509
AKIRIN1	1153.3591	AKIRIN1	1820.7547
AKIRIN2	479.0714	AKIRIN2	617.9245
AKNA	287.7242	AKNA	787.2642
AKR1A1	1996.1308	AKR1A1	1526.8868
AKR1B10	5.6279	removed	removed
removed	removed	AKR1B15	5.1887
AKR1B1	541.6813	AKR1B1	846.6981
AKR1C1	258.178	AKR1C1	1143.8679
AKR1C2	523.7425	AKR1C2	970.7547
AKR1C3	113.6124	AKR1C3	975
AKR1E2	26.0288	AKR1E2	43.8679
AKR7A2	827.9986	AKR7A2	858.4906
AKR7A3	196.6233	AKR7A3	70.7547
AKR7L	13.7179	AKR7L	18.3962
AKT1S1	880.408	AKT1S1	687.7358
AKT1	2774.8857	AKT1	3243.8679
AKT2	1995.0756	AKT2	2441.5094
AKT3	404.854	AKT3	1223.5849
AKTIP	489.4372	AKTIP	642.8302
ALAD	1485.7545	ALAD	1989.1509
ALAS1	3047.1333	ALAS1	958.0189
removed	removed	ALAS2	24.5283
