gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
ALDH2	3539.1086	ALDH2	2486.3151
ALDH3A1	6.0665	ALDH3A1	19.8668
ALDH3A2	607.1176	ALDH3A2	1711.508
ALDH3B1	133.4632	ALDH3B1	118.7784
ALDH3B2	779.3132	ALDH3B2	1593.575
ALDH4A1	776.9799	ALDH4A1	672.514
ALDH5A1	627.1838	ALDH5A1	588.8196
ALDH6A1	592.3294	ALDH6A1	615.4158
ALDH7A1	1579.6259	ALDH7A1	2989.7496
removed	removed	ALDH8A1	10.1448
ALDH9A1	4083.6945	ALDH9A1	3351.5798
ALDOA	31790.3787	ALDOA	11340.167
ALDOC	172.1956	ALDOC	992.9198
ALG10B	237.0605	ALG10B	327.5917
ALG10	110.5971	ALG10	120.8919
ALG11	14.9329	ALG11	11.4129
ALG12	823.1787	ALG12	421.8535
ALG13	364.4573	ALG13	565.5712
ALG14	281.3927	ALG14	158.9348
ALG1	868.1549	ALG1	432.9409
ALG2	1024.3069	ALG2	750.2906
ALG3	860.0444	ALG3	596.0055
ALG5	730.3145	ALG5	626.4398
ALG6	325.7249	ALG6	224.4531
ALG8	937.0425	ALG8	852.5837
ALG9	542.2527	ALG9	615.8723
ALKBH1	269.2597	ALKBH1	246.4335
ALKBH2	302.3922	ALKBH2	211.3495
ALKBH3	308.4587	ALKBH3	342.3861
ALKBH4	292.0511	ALKBH4	168.585
ALKBH5	1482.879	ALKBH5	1703.8994
ALKBH6	97.0642	ALKBH6	72.2815
ALKBH7	1044.8397	ALKBH7	362.253
ALKBH8	194.1283	ALKBH8	290.3942
removed	removed	ALK	15.2172
ALMS1	821.7788	ALMS1	1127.3381
removed	removed	ALOX12P2	69.3226
ALOX15B	1230.5682	ALOX15B	1040.6848
ALOX5AP	561.8522	ALOX5AP	357.1806
ALOX5	315.9252	ALOX5	657.7195
ALOXE3	6.0665	ALOXE3	36.3521
ALPK1	602.4511	ALPK1	824.6856
ALPK2	34.5324	ALPK2	77.7766
ALPK3	106.8639	ALPK3	152.1716
ALPL	487.6541	ALPL	682.2361
ALS2CL	116.6637	ALS2CL	222.7623
removed	removed	ALS2CR11	9.7221
removed	removed	ALS2CR12	6.3405
ALS2CR4	468.5212	ALS2CR4	1621.0504
ALS2CR8	98.9308	ALS2CR8	300.1162
ALS2	483.9208	ALS2	599.3871
ALX3	13.0663	ALX3	22.403
removed	removed	ALX4	43.9607
AMACR	615.0508	AMACR	238.8249
AMBP	48.5321	AMBP	11.8356
AMBRA1	1086.3719	AMBRA1	1159.8859
AMD1	575.3851	AMD1	2190.4259
AMDHD1	9.7997	AMDHD1	25.7846
AMDHD2	500.9164	AMDHD2	149.2127
AMFR	4464.9513	AMFR	3156.2929
removed	removed	AMH	6.3405
AMICA1	230.994	AMICA1	164.0072
AMIGO1	53.1986	AMIGO1	93.8392
AMIGO2	1843.743	AMIGO2	5132.8331
AMIGO3	109.1972	AMIGO3	73.9723
AMMECR1L	726.5812	AMMECR1L	1036.8805
AMMECR1	835.3118	AMMECR1	375.3567
AMN1	128.33	AMN1	208.8133
AMOTL1	1038.7732	AMOTL1	3097.1151
AMOTL2	1258.1008	AMOTL2	2492.2329
AMOT	541.3193	AMOT	1532.7063
AMPD1	10.7331	AMPD1	50.7239
AMPD2	791.4462	AMPD2	693.2262
AMPD3	306.1254	AMPD3	223.6077
AMPH	139.9964	AMPH	166.1207
AMT	25.1993	AMT	162.1219
AMY1A	23.3327	AMY1A	19.0215
AMY2B	38.2657	AMY2B	288.7034
AMZ1	7.9331	AMZ1	8.454
AMZ2P1	158.6626	AMZ2P1	232.4844
AMZ2	1368.698	AMZ2	953.1861
ANAPC10	103.1307	ANAPC10	159.3575
ANAPC11	1128.8375	ANAPC11	376.6247
ANAPC13	1339.4014	ANAPC13	927.5198
ANAPC16	2011.748	ANAPC16	2171.4044
ANAPC1	543.6526	ANAPC1	903.7303
ANAPC2	738.7142	ANAPC2	470.8866
ANAPC4	440.9886	ANAPC4	602.346
ANAPC5	2012.2147	ANAPC5	2524.7807
ANAPC7	1119.5044	ANAPC7	928.2469
ANGEL1	459.1881	ANGEL1	736.3415
ANGEL2	827.8453	ANGEL2	625.5944
ANGPT1	46.1988	ANGPT1	191.4826
ANGPT2	229.5941	ANGPT2	205.009
removed	removed	ANGPT4	20.2895
ANGPTL1	32.6658	ANGPTL1	323.7874
ANGPTL2	3276.382	ANGPTL2	2544.6476
ANGPTL4	234.7273	ANGPTL4	348.3039
removed	removed	ANGPTL7	133.5729
ANG	392.5265	ANG	304.8927
ANK1	17.7329	ANK1	14.7945
ANK2	302.8588	ANK2	1087.6044
ANK3	1612.7583	ANK3	1749.1282
ANKAR	19.5995	ANKAR	81.5809
ANKDD1A	45.2655	ANKDD1A	109.9017
removed	removed	ANKFN1	5.9178
ANKFY1	1377.5644	ANKFY1	2159.5688
ANKHD1-EIF4EBP3	1501.6199	ANKHD1-EIF4EBP3	674.5091
ANKHD1	1621.1068	ANKHD1	3535.6948
ANKH	3601.1736	ANKH	2616.0837
ANKIB1	1031.3067	ANKIB1	1505.6536
ANKK1	7.9331	ANKK1	20.7122
removed	removed	ANKLE1	13.1037
ANKLE2	1225.9017	ANKLE2	1558.9137
ANKMY1	596.3846	ANKMY1	210.3096
ANKMY2	343.4578	ANKMY2	677.5864
ANKRA2	272.9929	ANKRA2	315.3334
ANKRD10	1067.7058	ANKRD10	1407.0083
ANKRD11	1393.0107	ANKRD11	2362.029
ANKRD12	1010.3072	ANKRD12	1856.4937
ANKRD13A	814.3123	ANKRD13A	1317.1299
ANKRD13B	192.7284	ANKRD13B	143.7176
ANKRD13C	447.0551	ANKRD13C	550.7767
ANKRD13D	444.2552	ANKRD13D	278.5586
ANKRD16	194.5576	ANKRD16	146.6765
ANKRD17	2422.8707	ANKRD17	4357.1806
ANKRD19	90.0643	ANKRD19	18.5988
removed	removed	ANKRD1	10.1448
removed	removed	ANKRD20A3	21.5576
removed	removed	ANKRD20A4	9.2994
removed	removed	ANKRD20B	17.7534
ANKRD22	144.1963	ANKRD22	130.614
ANKRD23	14.9329	ANKRD23	27.0527
ANKRD24	22.8661	ANKRD24	27.0527
removed	removed	ANKRD26P1	12.2583
ANKRD26	181.5286	ANKRD26	259.1144
ANKRD27	548.7858	ANKRD27	721.5471
ANKRD28	1548.8267	ANKRD28	1933.0022
ANKRD29	30.3325	ANKRD29	238.8249
ANKRD2	14.9329	removed	removed
ANKRD30A	280.4594	ANKRD30A	1197.0834
ANKRD30B	213.2612	ANKRD30B	89.1895
ANKRD32	131.5966	ANKRD32	154.2851
ANKRD34A	28.9326	ANKRD34A	27.0527
ANKRD35	119.4636	ANKRD35	163.1618
ANKRD36BP1	57.3985	ANKRD36BP1	191.4826
ANKRD36B	6.9998	ANKRD36B	19.0215
ANKRD36	44.3322	ANKRD36	404.9456
ANKRD37	60.0491	ANKRD37	50.5506
ANKRD39	150.2628	ANKRD39	84.5398
ANKRD40	1051.3728	ANKRD40	1688.2595
ANKRD42	367.7238	ANKRD42	230.3709
ANKRD43	101.7307	ANKRD43	15.2172
ANKRD44	106.8639	ANKRD44	119.2011
removed	removed	ANKRD45	32.5478
ANKRD46	255.7547	ANKRD46	360.2113
ANKRD49	199.2615	ANKRD49	287.858
ANKRD50	1070.9723	ANKRD50	1299.7992
ANKRD52	1101.7715	ANKRD52	1505.6536
ANKRD53	15.3996	ANKRD53	40.1564
ANKRD54	500.2537	ANKRD54	292.085
ANKRD55	7.4665	removed	removed
ANKRD56	85.3978	ANKRD56	88.7668
ANKRD57	897.8435	ANKRD57	853.4291
