gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
ALG1	583.696	ALG1	487.6153
ALG2	646.9521	ALG2	780.6373
ALG3	1629.5505	ALG3	575.2321
ALG5	537.2051	ALG5	642.5621
ALG6	301.0569	ALG6	242.9733
ALG8	2259.8484	ALG8	915.2972
ALG9	544.8916	ALG9	922.6157
ALKBH1	117.8606	ALKBH1	204.9173
ALKBH2	330.9491	ALKBH2	133.1962
ALKBH3	20.9245	ALKBH3	356.1658
ALKBH4	288.8395	ALKBH4	156.0884
ALKBH5	2436.4898	ALKBH5	2317.4779
ALKBH6	278.4243	ALKBH6	62.9389
ALKBH7	330.9491	ALKBH7	363.9721
ALKBH8	141.7743	ALKBH8	282.4931
ALK	6.4055	ALK	11.2217
ALMS1	1577.4528	ALMS1	731.8474
removed	removed	ALOX12	5.8548
ALOX15B	15.3731	ALOX15B	17.5643
removed	removed	ALOX15	20.9796
ALOX5AP	115.7254	ALOX5AP	509.8537
ALOX5	139.2121	ALOX5	476.6766
ALOXE3	14.092	removed	removed
ALPK1	746.4503	ALPK1	621.5824
ALPK2	65.3358	ALPK2	38.0561
ALPK3	109.32	ALPK3	1201.2056
ALPL	152.0231	ALPL	2389.2379
ALS2CL	119.9957	ALS2CL	248.8281
removed	removed	ALS2CR11	30.7376
removed	removed	ALS2CR12	6.3427
ALS2CR4	521.4049	ALS2CR4	676.7149
ALS2CR8	115.7254	ALS2CR8	161.9822
removed	removed	ALS2	639.1468
removed	removed	ALX1	6.3427
ALX3	15.3731	ALX3	17.5643
removed	removed	ALX4	15.6127
AMACR	142.6284	AMACR	265.9046
AMBRA1	575.2108	AMBRA1	692.8156
AMD1	4621.3302	AMD1	1307.5674
AMDHD1	8.1136	AMDHD1	9.2701
AMDHD2	272.4458	AMDHD2	151.2485
AMFR	1738.8705	AMFR	3329.4179
AMH	5.9784	removed	removed
AMICA1	20.0705	AMICA1	294.6906
AMIGO1	100.3523	AMIGO1	221.9937
AMIGO2	427.4581	AMIGO2	986.5303
AMIGO3	310.4516	AMIGO3	78.0637
AMMECR1L	833.9917	AMMECR1L	849.4309
AMMECR1	319.8463	AMMECR1	197.5988
AMN1	136.2229	AMN1	146.8574
AMN	29.4651	removed	removed
AMOTL1	819.4726	AMOTL1	2976.1796
AMOTL2	796.84	AMOTL2	5474.2188
AMOT	1439.5217	AMOT	1331.4744
removed	removed	AMPD1	11.7096
AMPD2	966.3713	AMPD2	534.7365
AMPD3	81.99	AMPD3	319.5734
AMPH	6.4055	AMPH	34.1529
AMT	51.3761	AMT	163.4459
AMY1A	137.931	removed	removed
AMY2B	32.9711	AMY2B	170.7937
AMZ1	13.665	AMZ1	12.1975
AMZ2P1	201.5587	AMZ2P1	193.2077
AMZ2	1037.2585	AMZ2	1339.7687
ANAPC10	104.1956	ANAPC10	121.9746
ANAPC11	784.029	ANAPC11	700.6219
ANAPC13	729.2324	ANAPC13	1447.038
ANAPC16	1477.1005	ANAPC16	2498.0393
ANAPC1	858.7595	ANAPC1	812.8386
ANAPC2	1508.2737	ANAPC2	419.5925
ANAPC4	390.7334	ANAPC4	423.4957
ANAPC5	2265.3998	ANAPC5	2156.9984
ANAPC7	970.6416	ANAPC7	832.8424
ANGEL1	381.3387	ANGEL1	583.5264
ANGEL2	628.1627	ANGEL2	528.8817
ANGPT1	63.6276	ANGPT1	1866.211
ANGPT2	156.7204	ANGPT2	733.799
removed	removed	ANGPT4	24.3949
ANGPTL1	15.3731	ANGPTL1	677.6907
ANGPTL2	1037.2585	ANGPTL2	9135.4076
ANGPTL4	417.2094	ANGPTL4	1689.1039
removed	removed	ANGPTL5	16.5885
ANGPTL6	7.3834	removed	removed
removed	removed	ANGPTL7	50.7414
ANG	206.5677	ANG	351.4527
removed	removed	ANK1	66.8421
ANK2	322.4085	ANK2	1680.8096
ANK3	7307.7826	ANK3	604.0181
ANKAR	21.7786	ANKAR	42.935
ANKDD1A	19.6434	ANKDD1A	399.1008
ANKFY1	1713.6757	ANKFY1	2639.0419
ANKHD1-EIF4EBP3	555.6614	ANKHD1-EIF4EBP3	850.2555
ANKHD1	1618.7979	ANKHD1	1937.8442
ANKH	1521.9387	ANKH	2641.4814
ANKIB1	2803.886	ANKIB1	1701.3013
removed	removed	ANKK1	9.2701
ANKLE1	359.1331	removed	removed
ANKLE2	1096.1887	ANKLE2	1342.6961
ANKMY1	121.2768	ANKMY1	159.0548
ANKMY2	270.7377	ANKMY2	498.6321
ANKRA2	198.5694	ANKRA2	244.9249
ANKRD10	1191.6217	ANKRD10	1071.1905
ANKRD11	2572.8366	ANKRD11	1913.4493
ANKRD12	1682.5024	ANKRD12	1431.0057
ANKRD13A	1017.615	ANKRD13A	1051.9087
ANKRD13B	462.0476	ANKRD13B	96.6039
ANKRD13C	342.9059	ANKRD13C	625.4856
ANKRD13D	374.9333	ANKRD13D	297.618
ANKRD16	563.5743	ANKRD16	92.7007
ANKRD17	3689.1214	ANKRD17	2769.3107
ANKRD19	21.3516	ANKRD19	20.9796
ANKRD1	7.6866	ANKRD1	6.3427
ANKRD22	8.9677	ANKRD22	48.7898
ANKRD23	26.4759	ANKRD23	12.6854
ANKRD24	8.9677	ANKRD24	9.2701
ANKRD26	622.1843	ANKRD26	196.1351
ANKRD27	2163.3394	ANKRD27	754.7787
ANKRD28	1493.3276	ANKRD28	1127.0451
ANKRD29	10.6758	ANKRD29	332.7466
removed	removed	ANKRD30A	259.5619
removed	removed	ANKRD30B	47.814
ANKRD32	69.6061	ANKRD32	106.8497
ANKRD34A	21.3516	ANKRD34A	19.5159
ANKRD35	239.5644	ANKRD35	110.265
