gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
RAB3GAP2	1827.2659	RAB3GAP2	1367.091
RAB3IL1	197.7154	RAB3IL1	563.0346
RAB3IP	403.1173	RAB3IP	284.4447
RAB40B	378.7766	RAB40B	298.5938
RAB40C	606.8111	RAB40C	296.6422
RAB42	63.2006	RAB42	33.665
RAB43	233.9746	RAB43	223.9453
RAB4A	1323.2412	RAB4A	798.4797
RAB4B	121.8661	RAB4B	326.8919
RAB5A	1448.4894	RAB5A	1501.263
RAB5B	2256.4322	RAB5B	4343.7585
RAB5C	2188.9612	RAB5C	3601.6652
RAB6A	2971.7092	RAB6A	3447.9772
RAB6B	68.325	RAB6B	602.0665
RAB6C	42.7031	RAB6C	75.3852
RAB7A	5881.4989	RAB7A	6829.6003
RAB7L1	1586.4204	RAB7L1	1070.9368
RAB8A	1692.4522	RAB8A	912.5015
RAB8B	241.2726	RAB8B	1200.2298
RAB9A	314.2949	RAB9A	665.9812
removed	removed	RAB9B	16.1006
RABAC1	1539.02	RABAC1	1086.0616
RABEP1	1483.5358	RABEP1	3825.5666
RABEP2	392.8686	RABEP2	145.3937
RABEPK	229.7427	RABEPK	399.5887
RABGAP1L	928.2289	RABGAP1L	300.8625
RABGAP1	1540.3011	RABGAP1	1593.9637
RABGEF1	1539.763	RABGEF1	1050.9671
RABGGTA	592.7191	RABGGTA	449.3543
RABGGTB	455.6421	RABGGTB	623.0461
RABIF	494.502	RABIF	279.0778
RABL2A	210.9533	RABL2A	216.1389
RABL2B	270.2423	RABL2B	273.7109
RABL3	433.4365	RABL3	1370.0184
RABL5	613.6436	RABL5	459.1123
RAC1	5468.9869	RAC1	5466.4125
RAC2	99.0712	RAC2	474.725
RAC3	375.3603	RAC3	66.3542
RACGAP1	789.5804	RACGAP1	191.744
RAD17	512.0102	RAD17	674.617
RAD18	431.3014	RAD18	175.1555
RAD1	684.5308	RAD1	392.7581
RAD21	11061.3644	RAD21	3658.2516
RAD23A	12611.0815	RAD23A	2132.1155
RAD23B	3284.723	RAD23B	5572.2864
RAD50	1407.0674	RAD50	1655.9268
RAD51AP1	210.0993	RAD51AP1	37.5682
RAD51AP2	17.0812	removed	removed
RAD51C	341.1978	RAD51C	265.4167
RAD51L1	184.0504	RAD51L1	104.8981
RAD51L3	149.0338	RAD51L3	210.7721
RAD51	247.251	RAD51	20.4917
RAD52	214.3312	RAD52	104.4102
RAD54B	228.2438	RAD54B	42.8472
RAD54L2	467.172	RAD54L2	282.0052
RAD54L	298.4947	RAD54L	7.3185
RAD9A	224.123	RAD9A	114.4365
RAD9B	32.8814	RAD9B	25.3707
RADIL	179.7801	RADIL	85.3822
RAE1	1090.2103	RAE1	464.9671
RAET1E	5.5514	RAET1E	25.3707
RAET1G	13.238	RAET1G	11.9389
RAET1K	5.1244	removed	removed
RAET1L	55.9411	removed	removed
RAF1	2565.0646	RAF1	2080.3983
RAG1AP1	2133.8742	RAG1AP1	511.3174
RAG1	38.8598	RAG1	62.9389
RAGE	131.5256	RAGE	154.1759
RAI14	994.9824	RAI14	915.7851
RAI1	1315.6827	RAI1	628.413
RAI2	25.6219	RAI2	823.0844
RALA	1567.631	RALA	1637.3867
RALBP1	3891.5341	RALBP1	2236.5258
RALB	629.4438	RALB	1692.5192
RALGAPA1	539.3402	RALGAPA1	470.334
RALGAPA2	273.2999	RALGAPA2	1011.4132
RALGAPB	2881.1786	RALGAPB	2088.2047
RALGDS	4872.4757	RALGDS	1519.8032
RALGPS1	247.251	RALGPS1	221.5058
RALGPS2	829.2943	RALGPS2	508.8779
RALY	3109.2132	RALY	1662.7574
RAMP1	38.0058	RAMP1	24.3949
RAMP2	85.4062	RAMP2	1333.426
RAMP3	43.1301	RAMP3	612.3124
RANBP10	771.6451	RANBP10	644.5136
RANBP17	94.3739	RANBP17	27.8102
RANBP1	866.019	RANBP1	525.4665
RANBP2	2471.2288	RANBP2	4163.724
RANBP3L	15.3731	RANBP3L	94.1644
RANBP3	821.1807	RANBP3	863.58
RANBP6	957.8307	RANBP6	817.2296
RANBP9	1404.9322	RANBP9	1084.5979
RANGAP1	2270.9512	RANGAP1	1081.6705
RANGRF	316.6265	RANGRF	438.2156
RAN	3269.7769	RAN	2373.1373
RAP1A	694.7795	RAP1A	1416.3687
RAP1B	951.4252	RAP1B	2689.2954
RAP1GAP2	1272.9796	RAP1GAP2	211.26
RAP1GAP	239.9915	RAP1GAP	123.9262
RAP1GDS1	1419.0242	RAP1GDS1	924.5673
RAP2A	1991.2459	RAP2A	1189.9839
RAP2B	702.4661	RAP2B	893.3418
RAP2C	561.5459	RAP2C	682.0818
RAPGEF1	1197.3951	RAPGEF1	2965.4458
removed	removed	RAPGEF2	1471.0134
RAPGEF3	55.0913	RAPGEF3	1083.3586
RAPGEF4	49.9626	RAPGEF4	262.4893
RAPGEF5	764.8126	RAPGEF5	1330.4986
RAPGEF6	272.8729	RAPGEF6	328.8434
RAPGEFL1	348.0303	RAPGEFL1	84.8943
RAPH1	1761.5031	RAPH1	1687.1523
RARA	382.1928	RARA	1087.5253
RARB	205.4019	RARB	248.3402
RARG	2572.0081	RARG	808.9354
RARRES1	623.0383	RARRES1	551.813
RARRES2	243.8347	RARRES2	1910.1218
RARRES3	37.5787	RARRES3	593.2843
RARS2	796.84	RARS2	757.2182
RARS	1406.2133	RARS	1162.6616
RASA1	1107.6204	RASA1	1224.6345
RASA2	232.7319	RASA2	189.3045
RASA3	225.8994	RASA3	1876.9447
RASA4P	160.5722	RASA4P	75.1412
RASA4	420.7452	RASA4	358.9321
RASAL1	382.1928	RASAL1	9.2701
RASAL2	2701.3985	RASAL2	1149.9763
RASAL3	41.849	RASAL3	65.3784
RASD1	38.8598	RASD1	3392.3568
RASD2	1009.0744	RASD2	60.9873
RASEF	234.4401	RASEF	188.3287
RASGEF1A	2269.2431	RASGEF1A	53.6688
RASGEF1B	313.8678	RASGEF1B	313.2307
RASGEF1C	5.9784	removed	removed
removed	removed	RASGRF1	12.6854
RASGRF2	45.6923	RASGRF2	1315.3738
RASGRP1	683.6767	RASGRP1	100.507
RASGRP2	7.2595	RASGRP2	96.6039
RASGRP3	510.7292	RASGRP3	420.0804
RASGRP4	13.665	RASGRP4	165.3975
RASIP1	73.0223	RASIP1	735.7506
RASL10A	23.4867	RASL10A	10.7338
RASL10B	498.3453	RASL10B	80.9911
RASL11A	13.238	RASL11A	373.7301
RASL11B	152.4501	RASL11B	58.5478
RASL12	100.3523	RASL12	391.7823
RASSF10	562.8269	RASSF10	15.1248
RASSF1	682.3956	RASSF1	571.8168
RASSF2	258.7808	RASSF2	964.087
RASSF3	243.8347	RASSF3	782.101
RASSF4	1578.7339	RASSF4	1427.5758
RASSF5	109.747	RASSF5	423.4957
RASSF6	135.7959	RASSF6	122.9504
RASSF7	421.4797	RASSF7	57.572
RASSF8	269.4566	RASSF8	638.171
removed	removed	RASSF9	157.1033
RAVER1	4281.8405	RAVER1	730.3837
RAVER2	937.3332	RAVER2	337.1377
RB1CC1	3282.5878	RB1CC1	1751.5549
RB1	1113.697	RB1	1478.3318
RBAK	779.3317	RBAK	534.1413
RBBP4	3380.5317	RBBP4	3136.1663
RBBP5	705.4553	RBBP5	513.7569
RBBP6	1612.4693	RBBP6	1083.6221
RBBP7	1460.8733	RBBP7	2123.3334
RBBP8	1520.2306	RBBP8	1210.9636
RBBP9	1350.2722	RBBP9	806.9838
RBCK1	1458.3111	RBCK1	1303.1763
RBKS	30.3192	RBKS	77.5758
RBL1	1188.0004	RBL1	101.4828
RBL2	1885.056	RBL2	2803.6344
RBM10	953.9874	RBM10	675.2512
removed	removed	RBM11	15.1248
RBM12B	509.4481	RBM12B	313.2307
RBM12	1902.291	RBM12	1645.1784
RBM14	1039.4876	RBM14	813.5997
RBM15B	2812.7554	RBM15B	1542.6954
RBM15	178.072	RBM15	127.8294
RBM16	1262.0604	RBM16	1315.2469
RBM17	3841.1444	RBM17	1201.2056
RBM18	445.8204	RBM18	811.8628
RBM19	284.4027	RBM19	392.7581
RBM20	7.2595	RBM20	58.5478
RBM22	778.4776	RBM22	1019.2195
RBM23	1013.3447	RBM23	1028.0017
RBM24	68.752	RBM24	67.8179
RBM25	1372.4778	RBM25	1512.9726
RBM26	1058.61	RBM26	721.1137
RBM27	792.5697	RBM27	821.6207
RBM28	747.3044	RBM28	344.9441
RBM33	1482.6519	RBM33	965.5507
RBM34	1424.7336	RBM34	561.083
RBM38	817.7645	RBM38	305.4243
RBM39	3198.8897	RBM39	3055.2191
RBM3	1164.9407	RBM3	3797.3124
RBM41	106.7578	RBM41	147.8332
RBM42	4035.8706	RBM42	735.7506
RBM43	131.0985	RBM43	438.6206
removed	removed	RBM44	9.758
RBM45	121.7039	RBM45	177.1071
RBM46	7.6866	RBM46	5.3669
RBM47	989.004	RBM47	1108.9928
RBM4B	157.5745	RBM4B	269.8078
RBM4	1351.4594	RBM4	1509.772
RBM5	1555.2941	RBM5	1924.6905
RBM6	1625.0112	RBM6	930.7685
RBM7	446.2475	RBM7	548.8856
RBM8A	2579.7374	RBM8A	1221.0289
RBM9	2340.5573	RBM9	2978.1312
RBMS1	1221.3089	RBMS1	2757.1133
RBMS2	932.7341	RBMS2	2054.8568
RBMS3	11.9569	RBMS3	305.4243
RBMX2	245.5429	RBMX2	257.6103
removed	removed	RBMXL1	581.2967
RBMX	2823.1024	RBMX	2203.3487
RBP1	1070.9939	RBP1	305.4243
RBP4	109.747	RBP4	9668.6805
RBP5	6.8325	RBP5	79.5274
RBP7	758.4072	RBP7	1341.2324
RBPJ	614.9247	RBPJ	1210.4757
RBPMS2	29.0381	RBPMS2	652.8079
RBPMS	274.581	RBPMS	2156.5105
RBX1	723.3522	RBX1	741.5127
RC3H1	1099.605	RC3H1	999.7036
RC3H2	445.8204	RC3H2	650.3684
RCAN1	3725.419	RCAN1	1794.4899
RCAN2	60.2114	RCAN2	960.6717
RCAN3	453.08	RCAN3	82.4548
RCBTB1	491.9398	RCBTB1	674.7633
RCBTB2	72.1683	RCBTB2	776.2462
RCC1	1213.0842	RCC1	169.6178
RCC2	6119.7822	RCC2	1785.7078
RCCD1	230.5968	RCCD1	120.023
RCE1	347.6033	RCE1	188.8166
RCHY1	334.7924	RCHY1	533.2728
RCL1	635.4222	RCL1	452.7696
RCN1	1604.7827	RCN1	2921.0471
RCN2	1054.7667	RCN2	1047.5176
RCN3	1344.7208	RCN3	514.2448
RCOR1	931.3548	RCOR1	872.3621
RCOR2	480.4099	RCOR2	13.1733
RCOR3	1159.8164	RCOR3	793.3226
RCSD1	95.655	RCSD1	528.8817
removed	removed	RCVRN	9.758
RDBP	1910.8658	RDBP	767.8299
RDH10	1585.9934	RDH10	901.1481
RDH11	1147.8595	RDH11	1217.3062
RDH13	221.6291	RDH13	108.3134
RDH14	506.8859	RDH14	359.581
RDH5	11.4786	RDH5	2639.5298
RDX	1161.0975	RDX	2216.5219
REC8	46.1194	REC8	16.1006
RECK	97.7901	RECK	1296.3458
RECQL4	570.0865	RECQL4	24.3949
RECQL5	699.4769	RECQL5	321.0371
RECQL	1472.749	RECQL	1238.7933
removed	removed	REEP1	151.7364
REEP2	665.3144	REEP2	139.051
REEP3	1430.5541	REEP3	808.4475
REEP4	272.8729	REEP4	219.0663
REEP5	2082.9679	REEP5	5875.725
REEP6	84.9792	REEP6	547.9098
RELA	1507.4197	RELA	1780.8288
RELB	290.8082	RELB	238.0944
RELL1	226.4119	RELL1	934.5204
RELL2	102.0903	RELL2	5.7035
removed	removed	RELN	362.0205
RELT	76.8656	RELT	60.0115
REL	224.6183	REL	107.3376
REM1	38.0058	REM1	96.116
REM2	8.9677	removed	removed
RENBP	180.6341	RENBP	191.744
REP15	17.9353	REP15	20.4917
REPIN1	2146.6852	REPIN1	1674.9548
REPS1	1903.2775	REPS1	652.8079
REPS2	42.7031	REPS2	402.0282
RER1	2035.1788	RER1	2407.8561
RERE	2545.9592	RERE	4390.5967
removed	removed	RERGL	263.4651
RERG	1557.3823	RERG	1167.0527
REST	509.4481	REST	524.4907
RETSAT	2745.3827	RETSAT	17141.8186
RET	22.6326	RET	81.9669
removed	removed	REV1	719.65
REV3L	1027.8638	REV3L	1536.3917
REXO1	787.0183	REXO1	378.6091
REXO2	885.2354	REXO2	836.2577
REXO4	1447.2083	REXO4	330.3071
RFC1	1115.4051	RFC1	1572.9841
RFC2	740.4719	RFC2	311.767
RFC3	358.2791	RFC3	212.7237
RFC4	456.9232	RFC4	131.7325
RFC5	281.4135	RFC5	227.8485
RFESD	25.6219	RFESD	12.6854
RFFL	961.849	RFFL	691.8837
RFK	327.5328	RFK	446.9148
RFNG	892.0679	RFNG	565.4741
RFPL1S	5.7222	RFPL1S	14.5735
removed	removed	RFPL4B	9.758
RFT1	554.7134	RFT1	452.2817
RFTN1	232.7319	RFTN1	3023.0178
RFTN2	9.8217	RFTN2	182.474
RFWD2	1677.8051	RFWD2	821.6207
RFWD3	1044.091	RFWD3	453.7454
RFX1	769.51	RFX1	264.9288
RFX2	13.665	RFX2	160.0306
removed	removed	RFX3	78.5516
RFX4	46.1194	removed	removed
RFX5	1730.3299	RFX5	757.2182
RFX7	520.5509	RFX7	665.9812
removed	removed	RFX8	6.8306
RFXANK	1278.104	RFXANK	431.9608
RFXAP	43.1301	RFXAP	92.2128
RG9MTD1	660.19	RG9MTD1	436.669
RG9MTD2	185.7585	RG9MTD2	122.4625
RG9MTD3	311.7327	RG9MTD3	147.8332
removed	removed	RGAG1	22.4433
RGAG4	35.8706	RGAG4	358.6052
RGL1	557.7026	RGL1	2665.8763
RGL2	1896.445	RGL2	1035.3202
RGL3	20.4975	RGL3	83.9185
removed	removed	RGL4	9.7872
RGMA	1480.9437	RGMA	678.1786
RGMB	435.5717	RGMB	725.1681
RGNEF	854.0621	RGNEF	682.5697
RGN	54.2329	RGN	350.7989
RGP1	465.4553	RGP1	218.5784
RGPD1	215.2621	RGPD1	252.5703
removed	removed	RGPD3	383.4881
RGPD4	87.9684	RGPD4	177.1071
RGPD5	15.6208	RGPD5	221.1057
RGPD6	428.0517	RGPD6	620.6066
RGR	17.5083	removed	removed
RGS10	455.6421	RGS10	490.3378
RGS11	21.1893	RGS11	197.189
RGS12	371.09	RGS12	517.6601
removed	removed	RGS13	10.2459
RGS14	117.0065	RGS14	160.0306
RGS16	331.3761	RGS16	264.9288
RGS17	6.4055	RGS17	6.8306
RGS18	6.8325	RGS18	70.7453
RGS19	337.7816	RGS19	205.8931
RGS1	445.8204	RGS1	248.8281
removed	removed	RGS20	12.6854
RGS22	5.5514	RGS22	203.4536
RGS2	433.8636	RGS2	891.8781
RGS3	545.3187	RGS3	1409.0503
RGS4	45.6923	RGS4	97.5797
RGS5	522.686	RGS5	8287.9283
removed	removed	RGS6	121.4867
removed	removed	RGS7BP	74.1605
RGS9BP	73.4493	removed	removed
removed	removed	RGS9	7.3185
RHBDD1	246.824	RHBDD1	453.2575
RHBDD2	4314.2949	RHBDD2	1733.5026
RHBDD3	175.9368	RHBDD3	189.7924
RHBDF1	1118.3944	RHBDF1	591.3327
RHBDF2	1394.6835	RHBDF2	362.5084
RHBDL1	49.5356	RHBDL1	8.7822
RHBDL2	153.7312	RHBDL2	52.2051
removed	removed	RHBDL3	15.1248
RHCE	49.1086	RHCE	6.8306
RHCG	700.3309	removed	removed
RHEBL1	26.903	removed	removed
RHEB	1711.1135	RHEB	947.0106
RHOA	10515.213	RHOA	15838.1544
RHOBTB1	1346.429	RHOBTB1	793.8105
RHOBTB2	100.3438	RHOBTB2	510.1465
RHOBTB3	2037.3652	RHOBTB3	4180.8005
RHOB	8079.0007	RHOB	10540.0668
RHOC	3046.0126	RHOC	4878.495
RHOD	194.2991	RHOD	230.7759
RHOF	247.8488	RHOF	17.9205
RHOG	792.9967	RHOG	1225.6005
RHOH	20.4975	RHOH	69.7695
RHOJ	46.5464	RHOJ	576.6958
RHOQ	1456.2955	RHOQ	7657.7101
RHOT1	923.6682	RHOT1	815.278
RHOT2	1164.5137	RHOT2	532.297
RHOU	99.9253	RHOU	1275.3661
RHOV	1862.2825	RHOV	100.0192
removed	removed	RHOXF1	37.5682
RHPN1	612.7896	RHPN1	77.0879
RHPN2	1103.8753	RHPN2	231.2638
RIBC1	26.903	RIBC1	21.9554
RIBC2	34.1625	removed	removed
removed	removed	RIC3	87.8217
RIC8A	1651.7177	RIC8A	1595.808
RIC8B	359.9872	RIC8B	503.511
RICH2	22.2056	RICH2	169.7886
RICTOR	1149.9947	RICTOR	894.8055
RIF1	1265.2931	RIF1	994.3367
RILPL1	214.5404	RILPL1	242.3001
RILPL2	212.2344	RILPL2	401.0524
RILP	43.5572	RILP	322.9887
removed	removed	RIMBP2	28.2981
RIMBP3	20.0705	RIMBP3	22.9312
removed	removed	RIMKLA	32.6892
RIMKLB	1325.4318	RIMKLB	935.9743
removed	removed	RIMS1	8.7822
removed	removed	RIMS2	8.7822
RIMS3	670.0117	RIMS3	196.1351
removed	removed	RIMS4	91.237
RIN1	110.174	RIN1	48.7898
RIN2	1494.6087	RIN2	1798.881
RIN3	578.6271	RIN3	551.813
RING1	594.8543	RING1	513.269
RINL	321.9814	RINL	117.0956
RINT1	616.9916	RINT1	368.7584
RIOK1	1146.1514	RIOK1	434.2295
RIOK2	328.3869	RIOK2	502.0473
RIOK3	3572.1149	RIOK3	1282.1967
RIPK1	738.3367	RIPK1	1216.3304
RIPK2	1044.091	RIPK2	300.0575
RIPK3	91.8117	RIPK3	171.2523
RIPK4	497.9182	RIPK4	186.865
RIT1	716.1311	RIT1	659.1506
removed	removed	RLF	603.0423
RLIM	1100.8861	RLIM	1417.3445
RLN2	31.6003	RLN2	11.2217
RLTPR	20.0705	RLTPR	8.7822
RMI1	347.1763	RMI1	156.6154
RMND1	544.0376	RMND1	535.7123
RMND5A	3173.6949	RMND5A	2201.885
RMND5B	489.3776	RMND5B	661.1022
RMRP	6.8325	RMRP	16.1006
RNASE1	2357.6385	RNASE1	17485.299
removed	removed	RNASE2	12.6854
RNASE4	662.8675	RNASE4	2783.2939
RNASE6	99.4982	RNASE6	506.4384
removed	removed	RNASE7	9.758
RNASEH1	672.5739	RNASEH1	244.9249
RNASEH2A	2513.9319	RNASEH2A	124.4141
RNASEH2B	235.2941	RNASEH2B	338.1135
RNASEH2C	363.6298	RNASEH2C	430.7849
RNASEK	1927.362	RNASEK	2216.0097
RNASEL	114.8714	RNASEL	609.385
RNASEN	1731.611	RNASEN	1073.3762
RNASET2	682.3956	RNASET2	711.3557
RND1	6.4055	RND1	70.7453
RND2	475.7126	RND2	60.0115
RND3	631.5789	RND3	1985.2582
RNF103	1143.6276	RNF103	1149.059
RNF10	2281.627	RNF10	4057.8501
RNF111	552.1512	RNF111	807.9596
RNF112	10.6758	RNF112	15.6127
RNF113A	223.7643	RNF113A	154.6638
RNF114	1237.536	RNF114	1412.4656
RNF115	462.9017	RNF115	420.0804
RNF11	1735.4543	RNF11	3912.9443
RNF121	322.8355	RNF121	383.0002
RNF122	215.2237	RNF122	178.5708
RNF123	974.0579	RNF123	656.7111
RNF125	605.103	RNF125	665.9812
RNF126	470.5882	RNF126	271.2715
RNF128	18.3623	RNF128	80.9911
RNF130	1830.2552	RNF130	3973.9316
RNF135	872.8515	RNF135	754.2908
RNF138P1	23.4867	RNF138P1	10.2459
RNF138	1050.4964	RNF138	313.7186
RNF139	1196.9681	RNF139	1119.7266
RNF13	1261.8768	RNF13	1933.5409
RNF141	453.507	RNF141	2235.0621
RNF144A	994.1283	RNF144A	701.5977
RNF144B	1232.8387	RNF144B	1200.7177
RNF145	1918.6506	RNF145	2161.8773
RNF146	623.4654	RNF146	883.5838
RNF149	732.7853	RNF149	759.1697
removed	removed	RNF14	2058.4429
RNF150	11.1028	RNF150	846.9914
RNF152	992.8472	RNF152	56.5962
RNF157	16.2272	RNF157	992.8584
RNF160	1313.9746	RNF160	918.2246
RNF165	14.092	RNF165	59.7578
RNF166	164.407	RNF166	183.9377
RNF167	2976.8336	RNF167	1882.3116
RNF168	315.1489	RNF168	261.0256
RNF169	531.7818	RNF169	575.5785
RNF170	787.8723	RNF170	597.6754
RNF175	22.6326	RNF175	11.2217
RNF180	53.8059	RNF180	261.0256
RNF181	1181.1679	RNF181	902.6118
RNF182	440.269	RNF182	22.4433
RNF183	6.8325	RNF183	9.758
RNF185	727.93	RNF185	1441.2808
removed	removed	RNF186	13.1733
RNF187	5064.1614	RNF187	1780.3409
RNF19A	1763.6383	RNF19A	1989.1613
RNF19B	685.3849	RNF19B	477.6524
RNF207	216.0777	RNF207	72.6968
RNF208	179.7801	RNF208	86.358
RNF20	1433.1163	RNF20	1483.6987
removed	removed	RNF212	61.4752
RNF213	3367.1229	RNF213	3750.4449
RNF214	303.6191	RNF214	362.0205
RNF215	190.0288	RNF215	187.3529
RNF216L	284.4027	RNF216L	217.0806
RNF216	1697.0215	RNF216	1131.4361
RNF217	17.5083	RNF217	118.0567
RNF219	401.4092	RNF219	450.8131
RNF220	1607.5328	RNF220	942.1072
RNF24	1888.3314	RNF24	360.5568
RNF25	315.576	RNF25	325.9161
RNF26	1202.9465	RNF26	920.1762
RNF2	719.1203	RNF2	434.7174
RNF31	730.6502	RNF31	672.3238
RNF32	88.3954	RNF32	18.5401
RNF34	495.0101	RNF34	542.9283
RNF38	2084.3386	RNF38	1489.5535
RNF39	132.8067	RNF39	76.6
RNF40	2785.0966	RNF40	1360.7483
RNF41	729.7961	RNF41	1271.463
RNF43	378.3495	RNF43	207.3568
RNF44	1462.1544	RNF44	701.1098
RNF4	1082.5238	RNF4	1383.6796
RNF5P1	230.5968	RNF5P1	145.3937
RNF5	763.9586	RNF5	585.478
RNF6	784.8831	RNF6	946.0348
RNF7	1211.4871	RNF7	936.7647
RNF8	434.7176	RNF8	281.0294
RNFT1	427.0311	RNFT1	395.6855
RNFT2	73.8764	RNFT2	46.3503
RNGTT	401.8362	RNGTT	471.3098
RNH1	2632.2195	RNH1	3186.4637
RNLS	12.8109	RNLS	211.26
RNMTL1	418.0634	RNMTL1	210.7721
RNMT	2449.8772	RNMT	1058.7393
RNPC3	127.2553	RNPC3	156.3129
RNPEPL1	1129.4972	RNPEPL1	2017.4594
RNPEP	2023.7002	RNPEP	1257.3139
RNPS1	3615.672	RNPS1	1534.928
ROBLD3	1085.513	ROBLD3	593.7722
ROBO1	182.3423	ROBO1	1068.0094
removed	removed	ROBO2	30.7376
ROBO3	38.8598	ROBO3	128.3173
ROBO4	165.6881	ROBO4	2597.0826
ROCK1	2519.0563	ROCK1	2380.9437
ROCK2	2180.4206	ROCK2	2497.0635
ROD1	4052.0978	ROD1	1773.0224
ROGDI	435.9987	ROGDI	227.3606
ROM1	44.8383	ROM1	55.6204
ROMO1	551.2971	ROMO1	433.2537
ROPN1B	1642.3615	ROPN1B	17.5643
ROPN1	362.1223	ROPN1	19.028
ROR1	98.2171	ROR1	205.4052
removed	removed	ROR2	247.3644
RORA	71.7412	RORA	463.0155
removed	removed	RORB	28.786
RORC	815.2023	RORC	167.3491
RP1L1	7.2595	removed	removed
RP2	183.6234	RP2	442.5238
RP9P	251.0943	RP9P	135.1478
RP9	242.1266	RP9	93.6765
RPA1	3263.3714	RPA1	2056.9792
RPA2	1046.6531	RPA2	861.6284
RPA3	372.7981	RPA3	231.7517
RPAIN	607.5286	RPAIN	330.3657
RPAP1	855.7703	RPAP1	555.2283
RPAP2	194.2991	RPAP2	226.8727
RPAP3	447.1015	RPAP3	509.8537
RPE	762.6732	RPE	735.6774
RPF1	433.4365	RPF1	505.9505
RPF2	498.7723	RPF2	286.3963
RPGRIP1L	295.5055	RPGRIP1L	171.2523
RPGRIP1	8.1136	RPGRIP1	10.7338
RPGR	76.0115	RPGR	191.744
RPH3AL	39.7139	RPH3AL	241.9976
removed	removed	RPH3A	5.3669
RPIA	658.4819	RPIA	325.9161
RPL10A	7974.3781	RPL10A	7296.0311
RPL10	7929.4587	RPL10	11963.1588
RPL11	12716.9852	RPL11	11782.2559
RPL12	6503.6831	RPL12	7330.1839
RPL13AP20	21.3516	RPL13AP20	43.9108
RPL13AP3	5.9784	RPL13AP3	8.2943
RPL13AP6	8.1136	removed	removed
RPL13A	8614.0707	RPL13A	10668.3841
RPL13P5	23.4867	RPL13P5	13.6612
RPL13	15853.1013	RPL13	8902.1922
RPL14	7390.6267	RPL14	6120.6841
RPL15	14146.2581	RPL15	16464.6158
RPL17	11067.3257	RPL17	5586.5574
RPL18A	3053.2721	RPL18A	1127.0451
RPL18	8378.7766	RPL18	6698.3557
RPL19P12	89.2495	RPL19P12	63.9147
RPL19	14462.6882	RPL19	11773.9616
RPL22L1	409.5228	RPL22L1	254.6829
RPL22	4833.5646	RPL22	6584.1875
RPL23AP53	65.3358	RPL23AP53	157.5911
RPL23AP7	118.2876	RPL23AP7	140.0268
RPL23AP82	91.0259	RPL23AP82	137.0994
RPL23A	3366.7129	RPL23A	3231.3504
RPL23P8	123.839	RPL23P8	55.6204
RPL23	8478.2748	RPL23	8182.5423
RPL24	7803.1387	RPL24	5805.9897
RPL26L1	170.8124	RPL26L1	137.0994
RPL26	13588.5556	RPL26	10205.8565
RPL27A	7683.57	RPL27A	7448.7432
RPL27	6233.3725	RPL27	8254.2633
RPL28	5117.9673	RPL28	6328.5288
RPL29	10229.1022	RPL29	7571.6936
RPL30	13201.2384	RPL30	9336.9096
RPL31	6516.4941	RPL31	8178.1512
RPL32P3	236.1823	RPL32P3	106.5765
RPL32	13773.8871	RPL32	13658.7127
RPL34	5910.11	RPL34	5588.387
RPL35A	9737.1624	RPL35A	7071.5979
RPL35	3375.2535	RPL35	4055.8985
RPL36AL	1169.2111	RPL36AL	2641.9693
RPL36A	111.0281	RPL36A	69.7695
RPL36	6106.9713	RPL36	3377.7199
RPL37A	9075.2642	RPL37A	10669.3599
RPL37	15592.6124	RPL37	8810.4674
RPL38	5638.9452	RPL38	3663.6283
RPL39L	298.4947	RPL39L	68.7937
RPL39	402.2633	RPL39	429.3505
RPL3	21386.9969	RPL3	24210.977
RPL41	9415.608	RPL41	11284.5996
RPL4	16500.4804	RPL4	22315.98
RPL5	11040.0342	RPL5	13922.6657
RPL6	5931.8885	RPL6	7022.3201
RPL7A	39912.0316	RPL7A	10699.1217
RPL7L1	1252.0551	RPL7L1	1057.2756
RPL7	2612.5761	RPL7	1327.0834
RPL8	36474.0045	RPL8	12298.9402
RPL9	176.7909	RPL9	202.4778
RPLP0P2	54.2329	RPLP0P2	10.7338
removed	removed	RPLP0	15129.7261
RPLP1	10613.4301	RPLP1	17715.0991
RPLP2	8184.4774	RPLP2	13002.4895
RPN1	8058.9303	RPN1	4908.7447
RPN2	13040.6747	RPN2	7151.1106
RPP14	535.497	RPP14	540.1034
RPP21	280.0598	RPP21	182.474
RPP25	503.0426	RPP25	128.3173
RPP30	282.2675	RPP30	461.0639
RPP38	879.2527	RPP38	223.9453
RPP40	140.9203	RPP40	97.0918
RPPH1	17.5083	RPPH1	15.1248
RPRD1A	2445.6069	RPRD1A	1493.4567
RPRD1B	995.8364	RPRD1B	871.8742
RPRD2	2628.3762	RPRD2	1548.5892
RPS10P7	79.8548	RPS10P7	42.4472
RPS10	6246.1834	RPS10	4430.1165
RPS11	13714.5297	RPS11	16764.1853
RPS12	14041.6355	RPS12	10987.9575
RPS13	5103.0212	RPS13	6532.4702
RPS14	8471.0153	RPS14	10451.7572
RPS15A	9597.5232	RPS15A	9445.223
RPS15	2194.9397	RPS15	2080.3983
RPS16	93143.5892	RPS16	7659.0274
RPS17	6609.1598	RPS17	6998.901
RPS18	30072.8088	RPS18	16157.2399
RPS19BP1	565.3891	RPS19BP1	585.9658
RPS19	8795.9859	RPS19	6245.586
