gene_id	TCGA-BH-A0BV-01A-11R-A00Z-07	gene_id	TCGA-BH-A0BV-11A-31R-A089-07
ALG13	443.9754	ALG13	580.2875
ALG14	139.2939	ALG14	156.537
ALG1L	7.053	ALG1L	9.3769
ALG1	980.5372	ALG1	455.2383
ALG2	607.8281	ALG2	854.533
ALG3	1261.7038	ALG3	441.4832
ALG5	490.4068	ALG5	525.8664
ALG6	373.7529	ALG6	321.9403
ALG8	592.8626	ALG8	655.8044
ALG9	368.3807	ALG9	583.0391
ALKBH1	504.6048	ALKBH1	234.4997
ALKBH2	257.099	ALKBH2	312.4625
ALKBH3	262.855	ALKBH3	305.4306
ALKBH4	208.8335	ALKBH4	204.7699
ALKBH5	2669.9002	ALKBH5	1912.3806
ALKBH6	121.2586	ALKBH6	70.9308
ALKBH7	449.7314	ALKBH7	517.3058
ALKBH8	202.9931	ALKBH8	265.0734
removed	removed	ALK	12.5352
removed	removed	ALMS1P	8.5606
ALMS1	915.5794	ALMS1	886.6353
ALOX12P2	50.6523	ALOX12P2	27.2105
removed	removed	ALOX12	7.0625
ALOX15B	39.5242	ALOX15B	326.8321
removed	removed	ALOX15	22.6245
ALOX5AP	1015.7329	ALOX5AP	118.0142
ALOX5	356.1013	ALOX5	269.9652
removed	removed	ALOXE3	5.1975
ALPK1	386.0322	ALPK1	840.4691
ALPK2	68.3039	ALPK2	18.9557
ALPK3	175.3645	ALPK3	310.6281
ALPL	40.2916	ALPL	1828.6088
ALS2CL	131.6193	ALS2CL	349.1509
removed	removed	ALS2CR11	12.8409
ALS2CR4	411.3584	ALS2CR4	1087.1983
ALS2CR8	117.4213	ALS2CR8	318.5772
ALS2	566.3853	ALS2	841.9978
ALX3	10.7444	ALX3	38.217
removed	removed	ALX4	117.097
AMACR	484.2671	AMACR	261.4045
removed	removed	AMBP	6.4205
AMBRA1	723.3308	AMBRA1	1107.6826
AMD1	809.2863	AMD1	2062.3595
AMDHD1	6.1397	AMDHD1	35.7711
AMDHD2	172.6784	AMDHD2	181.0234
AMFR	6674.9808	AMFR	3466.7439
AMH	52.9547	AMH	10.395
AMICA1	93.2464	AMICA1	70.3193
AMIGO1	45.6639	AMIGO1	130.2437
AMIGO2	314.6585	AMIGO2	1760.7354
AMIGO3	89.7928	AMIGO3	68.7907
AMMECR1L	603.9908	AMMECR1L	1201.8494
AMMECR1	400.2302	AMMECR1	286.7807
AMN1	174.9808	AMN1	220.4359
AMOTL1	718.3423	AMOTL1	2325.1246
AMOTL2	761.32	AMOTL2	4195.6193
AMOT	1074.0599	AMOT	1841.144
AMPD1	6.1397	AMPD1	15.5926
AMPD2	625.4797	AMPD2	727.9581
AMPD3	265.9248	AMPD3	199.9515
AMPH	730.6216	AMPH	43.7203
AMT	24.716	AMT	243.2835
removed	removed	AMY1A	8.5606
AMY2B	32.8895	AMY2B	196.5701
AMZ1	45.6639	AMZ1	37.6056
AMZ2P1	128.9332	AMZ2P1	174.5754
AMZ2	2232.5403	AMZ2	1058.1533
ANAPC10	94.3975	ANAPC10	130.5494
ANAPC11	1247.122	ANAPC11	502.9362
ANAPC13	1213.4651	ANAPC13	1033.1777
ANAPC16	1373.3691	ANAPC16	2112.0264
ANAPC1	805.8327	ANAPC1	912.0114
ANAPC2	651.957	ANAPC2	620.339
ANAPC4	381.0437	ANAPC4	528.0066
ANAPC5	2905.6025	ANAPC5	2180.817
ANAPC7	1082.5019	ANAPC7	875.6288
ANGEL1	481.9647	ANGEL1	697.3845
ANGEL2	1273.9831	ANGEL2	745.9966
ANGPT1	33.0008	ANGPT1	419.1645
ANGPT2	461.627	ANGPT2	252.8439
removed	removed	ANGPT4	7.0319
ANGPTL1	24.175	ANGPTL1	504.7706
ANGPTL2	1409.056	ANGPTL2	2932.3169
ANGPTL4	31.8496	ANGPTL4	825.488
ANGPTL6	7.7437	removed	removed
removed	removed	ANGPTL7	27.5163
ANG	537.9048	ANG	269.8948
ANK1	11.8956	ANK1	5.5033
ANK2	178.8181	ANK2	644.1864
ANK3	118.9563	ANK3	1813.9335
ANKAR	14.5817	ANKAR	57.4784
ANKDD1A	40.6754	ANKDD1A	127.492
ANKFN1	11.8956	removed	removed
ANKFY1	2384.1136	ANKFY1	2123.6443
ANKHD1-EIF4EBP3	1340.4758	ANKHD1-EIF4EBP3	1124.92
ANKHD1	3113.8795	ANKHD1	2660.7527
ANKH	2608.9793	ANKH	1702.9512
ANKIB1	1962.0107	ANKIB1	1685.2185
removed	removed	ANKK1	25.9876
removed	removed	ANKLE1	20.096
ANKLE2	1445.5104	ANKLE2	1873.2463
ANKMY1	204.9117	ANKMY1	231.7481
ANKMY2	397.1604	ANKMY2	694.3271
ANKRA2	378.3576	ANKRA2	395.6228
ANKRD10	749.5856	ANKRD10	1178.5248
ANKRD11	1809.954	ANKRD11	2865.5899
ANKRD12	1245.2034	ANKRD12	1485.5727
ANKRD13A	852.264	ANKRD13A	1542.1339
ANKRD13B	218.726	ANKRD13B	204.8433
ANKRD13C	543.3615	ANKRD13C	646.3265
ANKRD13D	2172.6784	ANKRD13D	498.3502
ANKRD16	160.3991	ANKRD16	202.9141
ANKRD17	2668.0737	ANKRD17	4303.8499
ANKRD19	16.8841	ANKRD19	63.5932
removed	removed	ANKRD20A3	28.4335
removed	removed	ANKRD20A4	9.4778
removed	removed	ANKRD20B	12.8409
ANKRD22	69.8388	ANKRD22	45.8604
ANKRD23	27.2448	ANKRD23	41.2744
ANKRD24	43.3615	ANKRD24	33.631
ANKRD26	1028.7797	ANKRD26	403.8777
ANKRD27	588.2579	ANKRD27	792.1628
ANKRD28	993.0929	ANKRD28	1458.9736
ANKRD29	8.0583	ANKRD29	169.0722
ANKRD30A	1639.2939	ANKRD30A	1277.0605
ANKRD30B	2382.5787	ANKRD30B	38.8285
removed	removed	ANKRD31	5.1975
ANKRD32	221.7959	ANKRD32	243.3661
ANKRD34A	8.0583	ANKRD34A	27.2105
ANKRD35	26.8611	ANKRD35	208.8179
ANKRD36BP1	88.2579	ANKRD36BP1	183.4418
