gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
AFF2	12.8961	AFF2	248.7442
AFF3	907.5166	AFF3	769.0807
AFF4	3348.9315	AFF4	3856.181
AFG3L1	385.0405	AFG3L1	343.1548
AFG3L2	1932.1113	AFG3L2	1240.535
AFMID	531.3191	AFMID	383.6782
removed	removed	AFP	23.7104
AFTPH	3076.2712	AFTPH	1812.7715
AG2	32.4245	AG2	255.6417
AGAP11	8.843	AGAP11	127.1828
AGAP1	737.2881	AGAP1	712.6067
AGAP2	133.0103	AGAP2	374.0862
AGAP3	785.1879	AGAP3	1269.1556
AGAP4	56.0059	AGAP4	277.6278
AGAP5	39.5726	AGAP5	73.4938
AGAP6	48.6367	AGAP6	200.4611
removed	removed	AGAP7	15.9507
AGAP8	5.8954	AGAP8	40.9544
AGA	777.8187	AGA	422.9082
AGBL2	19.1599	AGBL2	17.6751
removed	removed	AGBL3	8.622
AGBL5	1176.8828	AGBL5	633.2974
AGER	17.3176	AGER	98.7217
AGFG1	2838.2461	AGFG1	2123.5939
AGFG2	204.8637	AGFG2	496.6261
AGGF1	858.143	AGGF1	1013.5139
AGK	345.9838	AGK	626.3869
AGL	1350.7738	AGL	1068.6946
AGMAT	40.1621	AGMAT	67.2515
AGPAT1	1520.4274	AGPAT1	1467.9268
AGPAT2	419.6758	AGPAT2	584.1392
AGPAT3	1882.8298	AGPAT3	2060.2224
AGPAT4	372.5129	AGPAT4	414.7173
removed	removed	AGPAT5	746.2325
AGPAT6	1046.7944	AGPAT6	1705.4279
AGPAT9	270.0811	AGPAT9	191.408
AGPHD1	25.0553	AGPHD1	28.4525
AGPS	1495.5785	AGPS	1362.273
AGR2	176.8607	AGR2	387.5581
AGR3	21.7391	AGR3	132.3474
AGRN	13188.283	AGRN	4311.4216
AGTPBP1	1310.6116	AGTPBP1	669.4968
removed	removed	AGTR1	131.9163
AGTRAP	929.6242	AGTRAP	466.0181
AGT	163.2277	AGT	247.4509
AGXT2L1	29.1083	AGXT2L1	8.622
AGXT2L2	198.3382	AGXT2L2	489.9268
AHCTF1	4559.322	AHCTF1	1937.3592
AHCYL1	3331.2454	AHCYL1	3017.6934
