gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
ADORA3	86.4553	ADORA3	90.1222
ADO	890.0782	ADO	483.7067
ADPGK	4121.0251	ADPGK	754.5825
ADPRHL1	111.1569	ADPRHL1	48.8798
ADPRHL2	548.3738	ADPRHL2	387.9837
ADPRH	89.7489	ADPRH	488.7984
removed	removed	ADRA1A	92.1589
ADRA1B	18.1145	ADRA1B	87.0672
ADRA1D	11.5274	removed	removed
ADRA2A	156.0313	ADRA2A	3266.2933
ADRA2B	18.9378	ADRA2B	58.554
ADRA2C	466.0354	ADRA2C	79.4297
removed	removed	ADRB1	145.112
ADRB2	17.7028	ADRB2	486.2525
removed	removed	ADRB3	67.2098
ADRBK1	1829.1478	ADRBK1	1272.4033
ADRBK2	809.3866	ADRBK2	5116.5988
ADRM1	3076.9864	ADRM1	1050.4073
ADSL	864.1416	ADSL	658.3503
ADSSL1	92.219	ADSSL1	342.1589
ADSS	1715.1091	ADSS	616.5988
AEBP1	12229.7242	AEBP1	7876.2729
AEBP2	524.4957	AEBP2	515.2749
AEN	440.9222	AEN	160.8961
AES	4122.6842	AES	5755.6008
AFAP1L1	208.7279	AFAP1L1	966.9043
AFAP1L2	368.4644	AFAP1L2	417.0061
AFAP1	1309.1725	AFAP1	1504.5621
AFARP1	5.352	AFARP1	7.6375
AFF1	1570.6052	AFF1	3957.7393
AFF2	20.9963	AFF2	206.721
AFF3	9164.2651	AFF3	863.0346
AFF4	3788.802	AFF4	2791.2424
AFG3L1	442.569	AFG3L1	147.1487
AFG3L2	1874.3269	AFG3L2	1174.2872
AFMID	311.6509	AFMID	231.1609
AFTPH	3381.2268	AFTPH	930.7536
AG2	63.4006	AG2	586.0489
AGAP11	143.734	AGAP11	339.109
AGAP1	680.9387	AGAP1	392.057
AGAP2	63.0918	AGAP2	70.6365
AGAP3	2328.5303	AGAP3	851.3238
AGAP4	254.014	AGAP4	152.2403
AGAP5	36.6077	AGAP5	14.2566
AGAP6	173.734	AGAP6	69.7556
AGAP7	20.5846	removed	removed
AGAP8	24.7015	AGAP8	25.9674
AGA	482.0914	AGA	471.4868
AGBL2	17.2911	removed	removed
removed	removed	AGBL3	9.165
AGBL4	13.9975	removed	removed
AGBL5	650.0618	AGBL5	652.2607
AGER	33.7587	AGER	28.5132
AGFG1	2268.8349	AGFG1	3210.2851
AGFG2	669.4113	AGFG2	394.0937
AGGF1	1261.4245	AGGF1	965.3768
AGK	1157.6781	AGK	456.721
AGL	2742.2808	AGL	1876.7821
AGMAT	47.3446	removed	removed
AGPAT1	1578.3779	AGPAT1	1584.3075
AGPAT2	450.3911	AGPAT2	12525.9674
AGPAT3	2152.7378	AGPAT3	2937.8819
AGPAT4	159.7365	AGPAT4	266.8024
AGPAT5	735.6937	AGPAT5	272.4033
AGPAT6	32130.5064	AGPAT6	1851.833
AGPAT9	115.2738	AGPAT9	105.9063
AGPHD1	527.3775	AGPHD1	106.4155
AGPS	1659.119	AGPS	1760.6925
AGR2	2647.5916	AGR2	61.609
AGR3	34.9938	removed	removed
AGRN	8039.1107	AGRN	776.4766
AGTPBP1	480.4446	AGTPBP1	581.4664
AGTR1	30.8769	AGTR1	1206.2118
AGTRAP	553.3141	AGTRAP	403.2587
AGT	92.6307	AGT	88.0855
AGXT2L2	406.4389	AGXT2L2	902.0876
AGXT	39.5224	removed	removed
AHCTF1	2370.9345	AHCTF1	1870.6721
AHCYL1	4291.478	AHCYL1	6849.2872
AHCYL2	1647.5916	AHCYL2	831.9756
AHCY	3236.7229	AHCY	1510.1833
AHDC1	559.4895	AHDC1	457.7393
AHI1	637.711	AHI1	365.5804
AHNAK2	825.0309	AHNAK2	2498.9817
AHNAK	54321.9432	AHNAK	240497.4542
AHRR	78.6332	AHRR	15.2749
AHR	1679.2919	AHR	2207.7393
AHSA1	2695.7596	AHSA1	1557.5356
AHSA2	375.0515	AHSA2	302.9532
removed	removed	AHSP	6.11
AIDA	850.634	AIDA	2278.7627
AIF1L	2849.3207	AIF1L	2577.3931
AIF1	139.5636	AIF1	804.9898
AIFM1	1383.2853	AIFM1	1029.5316
AIFM2	539.3166	AIFM2	5123.2179
AIFM3	9.4689	AIFM3	5.3921
AIG1	920.9551	AIG1	1590.1222
AIM1L	39.1107	removed	removed
AIM1	749.6912	AIM1	2614.053
removed	removed	AIM2	10.6925
AIMP1	1295.6525	AIMP1	874.7454
AIMP2	582.6966	AIMP2	294.6283
AIP	482.0914	AIP	837.0672
AJAP1	54.3434	removed	removed
AK1	367.641	AK1	728.6151
AK2	2239.1931	AK2	2468.4216
AK3L1	425.6896	AK3L1	886.4562
AK3	1081.9267	AK3	3478.6151
AK5	47.7563	AK5	32.0774
AK7	30.0535	AK7	8.6558
AKAP10	1097.571	AKAP10	592.1589
AKAP11	1960.0659	AKAP11	2151.222
AKAP12	916.4265	AKAP12	14489.3075
AKAP13	3223.5488	AKAP13	3752.5458
AKAP1	605.1873	AKAP1	2272.9124
AKAP2	469.3866	AKAP2	3284.3941
AKAP3	17.7028	AKAP3	62.6273
AKAP5	74.1046	AKAP5	16.2933
AKAP6	16.056	AKAP6	53.9715
AKAP7	101.2762	AKAP7	371.6904
AKAP8L	1524.9074	AKAP8L	655.2953
AKAP8	729.93	AKAP8	438.391
AKAP9	3937.8345	AKAP9	1675.1527
AKD1	351.1733	AKD1	127.8004
AKIRIN1	1289.4195	AKIRIN1	1447.0468
AKIRIN2	498.5591	AKIRIN2	1123.7271
AKNA	265.5414	AKNA	933.2994
AKR1A1	959.6542	AKR1A1	1317.7189
AKR1B10	853.0259	AKR1B10	308.0448
AKR1B15	6.1754	AKR1B15	55.499
AKR1B1	629.8888	AKR1B1	1203.666
AKR1C1	2035.4055	AKR1C1	13358.9613
AKR1C2	516.2618	AKR1C2	17770.3666
AKR1C3	714.6974	AKR1C3	5519.8574
AKR1E2	18.9378	AKR1E2	45.8248
AKR7A2	1470.1523	AKR7A2	1192.9735
AKR7A3	1367.641	removed	removed
AKR7L	58.872	removed	removed
AKT1S1	1020.1729	AKT1S1	1018.3299
AKT1	6481.6797	AKT1	3800.9165
AKT2	2252.3672	AKT2	5591.1405
AKT3	349.1149	AKT3	1199.0835
AKTIP	808.5385	AKTIP	906.1914
ALAD	1065.8707	ALAD	4832.9939
ALAS1	1257.7192	ALAS1	1323.8289
removed	removed	ALAS2	126.7821
ALB	5.352	removed	removed
ALCAM	10007.8221	ALCAM	609.9796
ALDH16A1	390.6958	ALDH16A1	405.8045
ALDH18A1	2734.0469	ALDH18A1	1275.9674
ALDH1A1	385.7555	ALDH1A1	6486.2525
ALDH1A2	34.5821	ALDH1A2	421.5886
ALDH1A3	226.4636	ALDH1A3	762.1487
ALDH1B1	787.9786	ALDH1B1	604.3788
ALDH1L1	18.9378	ALDH1L1	1870.6721
ALDH1L2	340.4693	ALDH1L2	584.5214
ALDH2	1613.4212	ALDH2	34484.7251
ALDH3A1	764.1005	ALDH3A1	292.7699
ALDH3A2	2331.0004	ALDH3A2	6505.0916
ALDH3B1	401.8114	ALDH3B1	332.9939
ALDH3B2	1601.0704	ALDH3B2	22.4033
ALDH4A1	2345.4096	ALDH4A1	4447.0468
ALDH5A1	1622.8901	ALDH5A1	771.8941
ALDH6A1	638.2174	ALDH6A1	1168.8951
ALDH7A1	2454.0963	ALDH7A1	1682.7902
ALDH8A1	8.6455	ALDH8A1	8.1466
ALDH9A1	2105.3932	ALDH9A1	7743.89
ALDOA	23254.8374	ALDOA	16072.8106
removed	removed	ALDOB	17.3116
ALDOC	422.8077	ALDOC	4602.8513
ALG10B	195.5537	ALG10B	230.1426
ALG10	58.4603	ALG10	96.2322
ALG11	47.3446	ALG11	7.6375
ALG12	739.3989	ALG12	342.1589
ALG13	478.3862	ALG13	469.4501
ALG14	153.9728	ALG14	344.1955
ALG1L	15.8296	ALG1L	9.3483
ALG1	725.1667	ALG1	400.2699
ALG2	448.7443	ALG2	556.5173
ALG3	755.0432	ALG3	497.4542
ALG5	756.2783	ALG5	752.5458
ALG6	362.7007	ALG6	153.7678
ALG8	1165.9119	ALG8	984.7251
ALG9	741.8691	ALG9	971.9959
ALKBH1	205.0226	ALKBH1	187.3727
ALKBH2	226.4306	ALKBH2	127.2912
ALKBH3	130.0947	ALKBH3	424.1344
ALKBH4	346.5994	ALKBH4	143.0092
ALKBH5	4312.0338	ALKBH5	2393.3452
ALKBH6	102.923	ALKBH6	57.0265
ALKBH7	333.0589	ALKBH7	278.5132
ALKBH8	300.5352	ALKBH8	198.0652
removed	removed	ALK	6.11
ALMS1P	6.1754	removed	removed
ALMS1	1406.7517	ALMS1	862.5255
ALOX12P2	58.4603	removed	removed
ALOX12	6.1754	ALOX12	5.611
ALOX15B	26.76	ALOX15B	16.2933
ALOX15	48.9914	removed	removed
ALOX5AP	103.7464	ALOX5AP	589.613
ALOX5	342.5278	ALOX5	272.4033
ALOXE3	69.9876	removed	removed
ALPK1	492.3837	ALPK1	522.4033
ALPK2	27.1717	ALPK2	63.1365
ALPK3	218.1968	ALPK3	1334.0122
ALPL	167.5587	ALPL	346.2322
ALS2CL	365.1709	ALS2CL	245.9267
removed	removed	ALS2CR11	25.9674
removed	removed	ALS2CR12	5.0916
ALS2CR4	382.8736	ALS2CR4	546.8432
ALS2CR8	189.3783	ALS2CR8	138.4929
ALS2	713.874	ALS2	609.9796
ALX3	33.7587	ALX3	25.4582
AMACR	482.0914	AMACR	291.7515
AMBRA1	1062.1655	AMBRA1	745.4175
AMD1	1185.6731	AMD1	909.8778
removed	removed	AMDHD1	13.2383
AMDHD2	267.8386	AMDHD2	154.0275
AMFR	4249.4854	AMFR	3091.6497
AMICA1	62.5772	AMICA1	500.5092
AMIGO1	230.9592	AMIGO1	133.9104
AMIGO2	216.126	AMIGO2	823.3096
AMIGO3	76.9864	AMIGO3	37.169
AMMECR1L	1107.0399	AMMECR1L	901.7312
AMMECR1	460.6834	AMMECR1	161.9145
AMN1	565.2532	AMN1	128.3096
AMOTL1	723.7546	AMOTL1	2685.336
AMOTL2	1249.8971	AMOTL2	5971.4868
AMOT	566.0766	AMOT	1386.9654
AMPD2	480.8563	AMPD2	598.2688
AMPD3	659.9424	AMPD3	456.2118
AMPH	140.387	AMPH	205.1935
AMT	53.273	AMT	103.7271
removed	removed	AMY1A	6.6191
AMY2B	39.7077	AMY2B	305.5601
AMZ1	430.6299	removed	removed
AMZ2P1	154.3845	AMZ2P1	243.89
AMZ2	1712.2273	AMZ2	1808.554
ANAPC10	139.1519	ANAPC10	146.6395
ANAPC11	319.473	ANAPC11	670.0611
ANAPC13	679.2384	ANAPC13	1092.22
ANAPC16	1993.4129	ANAPC16	2576.8839
ANAPC1	916.0148	ANAPC1	894.6029
ANAPC2	473.0342	ANAPC2	477.0876
ANAPC4	490.3252	ANAPC4	516.2933
ANAPC5	2532.3178	ANAPC5	2349.7963
ANAPC7	1426.513	ANAPC7	759.165
ANGEL1	826.266	ANGEL1	537.6782
ANGEL2	696.9946	ANGEL2	552.444
ANGPT1	60.5187	ANGPT1	2260.1833
ANGPT2	409.2219	ANGPT2	337.5764
removed	removed	ANGPT4	43.7882
ANGPTL1	33.7587	ANGPTL1	1347.7597
ANGPTL2	1490.7369	ANGPTL2	13314.664
ANGPTL4	289.8312	ANGPTL4	2758.1466
removed	removed	ANGPTL5	159.8778
ANGPTL6	5.0556	removed	removed
removed	removed	ANGPTL7	11.2016
ANG	28.7279	ANG	637.8564
ANK1	1136.2701	ANK1	52.9532
ANK2	170.4405	ANK2	2179.7352
ANK3	2083.1618	ANK3	166.4969
ANKAR	16.4677	ANKAR	63.6456
ANKDD1A	202.9642	ANKDD1A	474.0326
ANKFY1	1207.0811	ANKFY1	2808.554
ANKHD1-EIF4EBP3	722.7625	ANKHD1-EIF4EBP3	518.5438
ANKHD1	3895.0926	ANKHD1	2407.7037
ANKH	1848.0856	ANKH	1720.9776
ANKIB1	2682.9971	ANKIB1	1621.1813
ANKLE1	5.7637	ANKLE1	9.165
ANKLE2	2261.4245	ANKLE2	1698.5743
ANKMY1	188.9667	ANKMY1	157.332
ANKMY2	529.0243	ANKMY2	680.2444
ANKRA2	341.7044	ANKRA2	267.8208
ANKRD10	1048.0362	ANKRD10	1041.5122
ANKRD11	2166.9946	ANKRD11	2288.0092
ANKRD12	1478.7979	ANKRD12	1634.4196
ANKRD13A	1581.7209	ANKRD13A	900.7128
ANKRD13B	133.7999	ANKRD13B	110.998
ANKRD13C	696.1713	ANKRD13C	699.0835
ANKRD13D	493.6188	ANKRD13D	314.1548
ANKRD16	154.3845	ANKRD16	107.4338
ANKRD17	3726.6365	ANKRD17	2542.2607
ANKRD19	70.3993	ANKRD19	59.0631
removed	removed	ANKRD1	6.6191
ANKRD20A3	9.8806	ANKRD20A3	6.11
ANKRD20B	5.352	ANKRD20B	6.6191
ANKRD22	54.755	ANKRD22	6.6191
ANKRD23	671.8814	ANKRD23	11.7108
ANKRD24	17.2911	ANKRD24	20.8758
ANKRD26	337.1758	ANKRD26	195.5193
ANKRD27	1281.1857	ANKRD27	905.8045
ANKRD28	1344.1746	ANKRD28	1257.1283
ANKRD29	40.3458	ANKRD29	359.9796
removed	removed	ANKRD30A	17.3116
ANKRD32	117.7439	ANKRD32	100.8147
ANKRD34A	9.0572	ANKRD34A	14.2566
ANKRD35	21.408	ANKRD35	259.165
ANKRD36BP1	65.459	ANKRD36BP1	81.4664
ANKRD36B	33.7587	ANKRD36B	31.5682
ANKRD36	230.9592	ANKRD36	140.5295
ANKRD37	34.3022	ANKRD37	48.9969
ANKRD39	805.6814	ANKRD39	126.7821
ANKRD40	722.1079	ANKRD40	5557.5356
ANKRD42	500.2058	ANKRD42	178.2077
ANKRD43	9.0572	ANKRD43	26.4766
ANKRD44	32.9354	ANKRD44	164.9695
removed	removed	ANKRD45	5.6008
ANKRD46	1322.569	ANKRD46	970.4684
ANKRD49	369.2878	ANKRD49	258.1466
ANKRD50	4281.1857	ANKRD50	794.2974
ANKRD52	1693.2894	ANKRD52	1123.7271
ANKRD53	6.5871	ANKRD53	171.5886
ANKRD54	395.6361	ANKRD54	263.2383
removed	removed	ANKRD55	5.6008
ANKRD56	200.494	ANKRD56	11.7108
ANKRD57	657.0605	ANKRD57	364.5621
ANKRD58	11.9391	removed	removed
