gene_id	TCGA-BH-A1FN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FN-11A-34R-A13Q-07
ADRA2C	31.6051	ADRA2C	65.169
removed	removed	ADRB1	22.7803
ADRB2	14.1007	ADRB2	456.1829
ADRBK1	1380.8998	ADRBK1	1195.822
ADRBK2	678.2941	ADRBK2	845.4666
ADRM1	1030.3263	ADRM1	527.4074
ADSL	980.2444	ADSL	950.1407
ADSSL1	142.4661	ADSSL1	68.0526
ADSS	2982.5491	ADSS	1538.68
AEBP1	15156.8342	AEBP1	6346.19
AEBP2	638.9093	AEBP2	1065.1957
AEN	298.0604	AEN	380.633
AES	4297.8076	AES	5313.2905
AFAP1L1	192.0618	AFAP1L1	614.78
AFAP1L2	196.4379	AFAP1L2	1060.5819
AFAP1	1130.4902	AFAP1	1445.8258
AFARP1	6.321	removed	removed
AFF1	2476.8675	AFF1	2421.9216
AFF2	25.2841	AFF2	91.1212
AFF3	645.2303	AFF3	1034.3413
AFF4	4660.5369	AFF4	2695.2853
AFG3L1	207.6212	AFG3L1	201.2741
AFG3L2	1514.3463	AFG3L2	1264.9328
AFMID	774.5681	AFMID	502.6086
AFTPH	1695.0059	AFTPH	1715.4437
AG2	225.1256	AG2	532.0211
AGAP11	190.6079	AGAP11	91.6979
AGAP1	555.7636	AGAP1	488.479
AGAP2	21.2143	AGAP2	58.0581
AGAP3	559.1672	AGAP3	771.6469
AGAP4	275.6937	AGAP4	153.9833
AGAP5	179.4538	AGAP5	35.2086
AGAP6	154.6219	AGAP6	93.1397
AGAP7	9.2384	AGAP7	6.9206
AGAP8	98.7052	AGAP8	49.886
AGA	583.965	AGA	488.7674
AGBL2	10.2109	AGBL2	7.7857
AGBL3	7.2935	AGBL3	6.0555
AGBL4	21.8805	AGBL4	6.0555
AGBL5	890.306	AGBL5	747.7276
AGER	19.4493	AGER	35.7564
AGFG1	2490.482	AGFG1	1933.4426
AGFG2	149.2733	AGFG2	607.2826
AGGF1	763.871	AGGF1	1037.2249
AGK	400.1692	AGK	616.5101
AGL	14034.1238	AGL	798.7526
AGMAT	10.6971	AGMAT	17.3015
AGPAT1	2675.1579	AGPAT1	2068.7547
AGPAT2	296.1155	AGPAT2	279.1309
AGPAT3	2932.9534	AGPAT3	1485.0454
AGPAT4	339.8764	AGPAT4	301.3345
AGPAT5	1587.0623	AGPAT5	854.4057
AGPAT6	2742.3503	AGPAT6	1577.0317
AGPAT9	146.3559	AGPAT9	254.0437
AGPHD1	28.6877	AGPHD1	52.1929
AGPS	1285.1121	AGPS	1233.0202
AGR2	1521.421	AGR2	373.7124
AGR3	336.959	AGR3	135.2401
AGRN	4789.8747	AGRN	1382.1015
AGTPBP1	512.9751	AGTPBP1	568.931
AGTR1	55.4305	AGTR1	438.8814
removed	removed	AGTR2	16.7248
AGTRAP	865.9798	AGTRAP	657.1686
AGT	464.8381	AGT	52.1929
AGXT2L2	277.1767	AGXT2L2	385.8263
AHCTF1	3630.6968	AHCTF1	1406.6119
AHCYL1	3326.3154	AHCYL1	3465.202
AHCYL2	365.6467	AHCYL2	583.9256
AHCY	5030.0735	AHCY	2684.616
AHDC1	1089.1604	AHDC1	936.2995
AHI1	754.1463	AHI1	356.1225
AHNAK2	2903.7795	AHNAK2	1392.4824
AHNAK	23010.9451	AHNAK	50020.942
AHRR	47.6508	AHRR	15.8597
AHR	3385.6357	AHR	3800.5627
AHSA1	2044.1207	AHSA1	1393.3474
AHSA2	161.4291	AHSA2	231.8401
AIDA	2443.8475	AIDA	1719.5413
AIF1L	452.1961	AIF1L	2008.9925
AIF1	211.5111	AIF1	1207.068
AIFM1	512.0026	AIFM1	483.8653
AIFM2	553.8186	AIFM2	281.1494
AIFM3	21.1949	removed	removed
AIG1	716.2202	AIG1	696.3854
AIM1L	30.6326	removed	removed
AIM1	4792.3059	AIM1	2620.0237
AIM2	34.5225	AIM2	37.4866
AIMP1	1556.0796	AIMP1	1312.8955
AIMP2	807.4909	AIMP2	387.8016
AIP	420.1047	AIP	510.6826
removed	removed	AJAP1	8.3624
AK1	165.319	AK1	229.5332
AK2	4706.729	AK2	2428.5538
AK3L1	1939.5808	AK3L1	287.7816
AK3	1618.6674	AK3	2175.9519
AK5	67.5863	AK5	1112.1981
AK7	9.7246	AK7	25.3755
AKAP10	451.2236	AKAP10	502.8969
AKAP11	1218.4982	AKAP11	1592.3147
AKAP12	1020.1154	AKAP12	2623.7724
AKAP13	1893.8749	AKAP13	4394.0042
AKAP1	1374.5788	AKAP1	2206.5179
AKAP2	282.7976	AKAP2	1092.3705
AKAP3	7.7797	AKAP3	47.5791
AKAP5	236.7951	AKAP5	74.1081
AKAP6	25.7703	AKAP6	200.6974
AKAP7	116.2095	AKAP7	276.5356
AKAP8L	495.957	AKAP8L	457.6247
AKAP8	591.2585	AKAP8	612.4731
AKAP9	1148.967	AKAP9	1943.2468
AKD1	301.9503	AKD1	130.6263
AKIRIN1	2982.5491	AKIRIN1	1295.594
AKIRIN2	1251.562	AKIRIN2	1219.179
removed	removed	AKNAD1	6.0555
AKNA	228.043	AKNA	852.6756
AKR1A1	2459.3631	AKR1A1	1771.3852
AKR1B10	27.7152	AKR1B10	7.7857
AKR1B1	434.2055	AKR1B1	1568.3809
AKR1C1	26.2565	AKR1C1	506.3572
AKR1C2	18.4768	AKR1C2	286.9165
AKR1C3	64.1827	AKR1C3	1132.3831
removed	removed	AKR1E2	30.566
AKR7A2	1106.6648	AKR7A2	797.5991
AKR7A3	102.1088	AKR7A3	17.0131
AKR7L	19.9355	AKR7L	9.2275
AKT1S1	776.0268	AKT1S1	722.9143
AKT1	3449.8184	AKT1	1780.901
AKT2	1882.2054	AKT2	1053.9497
AKT3	397.738	AKT3	1350.6704
AKTIP	549.6273	AKTIP	773.7432
ALAD	516.865	ALAD	891.8923
ALAS1	726.4311	ALAS1	897.9478
ALCAM	1082.3532	ALCAM	2996.3314
ALDH16A1	114.2646	ALDH16A1	208.4831
ALDH18A1	2409.7674	ALDH18A1	1425.3552
ALDH1A1	48.6232	ALDH1A1	4287.8883
ALDH1A2	28.6877	ALDH1A2	560.2802
ALDH1A3	479.1674	ALDH1A3	2073.5069
ALDH1B1	1320.607	ALDH1B1	523.6587
ALDH1L1	5.8348	ALDH1L1	74.6848
ALDH1L2	346.1974	ALDH1L2	290.9536
ALDH2	534.8556	ALDH2	1804.5464
removed	removed	ALDH3A1	31.4311
ALDH3A2	2197.2839	ALDH3A2	1787.8216
ALDH3B1	119.6132	ALDH3B1	178.7822
ALDH3B2	1053.6655	ALDH3B2	228.6682
ALDH4A1	252.8408	ALDH4A1	282.5912
ALDH5A1	297.088	ALDH5A1	535.1931
ALDH6A1	576.0638	ALDH6A1	271.6624
ALDH7A1	1203.9113	ALDH7A1	2002.9369
ALDH8A1	241.1712	ALDH8A1	10.9576
ALDH9A1	3429.3966	ALDH9A1	3418.7763
ALDOA	60862.1872	ALDOA	7248.4632
ALDOC	221.7219	ALDOC	733.0069
ALG10B	362.2431	ALG10B	389.5721
ALG10	108.916	ALG10	77.5684
ALG11	31.6051	ALG11	9.5158
ALG12	421.0772	ALG12	363.6198
ALG13	297.5742	ALG13	484.1536
ALG14	115.2371	ALG14	194.3535
ALG1L	36.9634	removed	removed
ALG1	484.2485	ALG1	385.5581
ALG2	761.9261	ALG2	1111.6213
ALG3	1021.5741	ALG3	741.3693
ALG5	429.3431	ALG5	830.472
ALG6	636.4781	ALG6	340.8395
ALG8	724.4862	ALG8	850.6571
ALG9	621.8912	ALG9	662.3591
ALKBH1	317.9959	ALKBH1	321.5195
ALKBH2	178.4473	ALKBH2	258.9458
ALKBH3	349.601	ALKBH3	394.1858
ALKBH4	131.555	ALKBH4	174.9528
ALKBH5	3389.9632	ALKBH5	2584.5413
ALKBH6	90.9254	ALKBH6	44.1188
ALKBH7	232.9053	ALKBH7	247.1231
ALKBH8	157.053	ALKBH8	358.4294
removed	removed	ALK	8.9391
ALMS1	722.5412	ALMS1	616.7985
ALOX12B	6.321	removed	removed
ALOX12P2	23.8254	ALOX12P2	8.9391
ALOX15B	150.732	ALOX15B	659.4755
ALOX15	46.1921	ALOX15	6.0555
ALOX5AP	327.7206	ALOX5AP	853.2523
ALOX5	178.4473	ALOX5	764.1496
ALOXE3	35.495	ALOXE3	18.7433
ALPK1	277.1524	ALPK1	770.4934
ALPK2	130.3103	ALPK2	7.209
ALPK3	122.0443	ALPK3	294.9906
ALPL	203.2451	ALPL	597.7668
ALS2CL	72.9348	ALS2CL	221.7476
ALS2CR11	6.8073	ALS2CR11	6.9206
ALS2CR12	16.0457	removed	removed
ALS2CR4	1008.9321	ALS2CR4	1665.5577
ALS2CR8	122.5305	ALS2CR8	184.5493
ALS2	1246.2135	ALS2	713.1101
ALX3	12.1558	ALX3	12.3994
ALX4	5.3486	ALX4	11.246
AMACR	291.2532	AMACR	196.372
AMBRA1	835.8334	AMBRA1	615.3567
AMD1	4989.7162	AMD1	2696.4387
removed	removed	AMDHD1	7.7857
AMDHD2	132.8824	AMDHD2	114.6657
AMFR	3866.5195	AMFR	2699.3223
AMICA1	12.1558	AMICA1	498.5715
AMIGO1	35.495	AMIGO1	100.0603
AMIGO2	441.9852	AMIGO2	2694.9969
AMIGO3	57.3754	AMIGO3	29.1242
AMMECR1L	1141.1873	AMMECR1L	925.9186
AMMECR1	813.9529	AMMECR1	261.8294
AMN1	317.9959	AMN1	266.1547
AMOTL1	590.2861	AMOTL1	2567.5425
AMOTL2	1447.9999	AMOTL2	3949.0673
AMOT	564.5157	AMOT	1393.6358
removed	removed	AMPD1	166.6711
AMPD2	538.2592	AMPD2	576.7167
AMPD3	332.5829	AMPD3	423.8867
AMPH	312.1612	AMPH	233.2819
AMT	26.3587	AMT	121.1711
removed	removed	AMY1A	13.2645
AMY2B	36.9537	AMY2B	316.4214
AMZ1	62.724	removed	removed
AMZ2P1	205.6763	AMZ2P1	245.6813
AMZ2	2574.6002	AMZ2	1168.7163
ANAPC10	181.8509	ANAPC10	193.2001
ANAPC11	1068.2524	ANAPC11	374.0007
ANAPC13	1120.0799	ANAPC13	1515.0981
ANAPC16	3457.1119	ANAPC16	2814.954
ANAPC1	1006.0147	ANAPC1	769.34
ANAPC2	229.0154	ANAPC2	282.0144
ANAPC4	493.0396	ANAPC4	742.5227
ANAPC5	1351.2396	ANAPC5	2410.0989
ANAPC7	576.6715	ANAPC7	829.6069
ANGEL1	431.7743	ANGEL1	765.8797
ANGEL2	763.871	ANGEL2	798.4642
ANGPT1	37.9261	ANGPT1	278.8425
ANGPT2	583.965	ANGPT2	1104.9891
ANGPTL1	50.0819	ANGPTL1	557.685
ANGPTL2	2279.9434	ANGPTL2	5033.5829
ANGPTL4	2115.1106	ANGPTL4	188.8747
removed	removed	ANGPTL5	9.2275
removed	removed	ANGPTL7	279.7076
ANG	306.1076	ANG	409.9215
removed	removed	ANK1	13.8412
ANK2	115.2371	ANK2	1695.8353
ANK3	882.9979	ANK3	983.5902
ANKAR	22.8529	ANKAR	43.2537
ANKDD1A	62.2377	ANKDD1A	142.7374
ANKFN1	21.3942	removed	removed
ANKFY1	1691.116	ANKFY1	2371.1705
ANKHD1-EIF4EBP3	511.1469	ANKHD1-EIF4EBP3	1388.0618
ANKHD1	3156.2508	ANKHD1	2330.016
ANKH	944.2632	ANKH	2019.9501
ANKIB1	2362.1167	ANKIB1	1268.7766
ANKK1	9.7246	ANKK1	20.1851
ANKLE1	10.6971	ANKLE1	7.7857
ANKLE2	1377.01	ANKLE2	1486.1988
ANKMY1	97.7327	ANKMY1	174.1684
ANKMY2	505.6816	ANKMY2	703.8827
ANKRA2	153.6494	ANKRA2	410.3339
ANKRD10	2570.934	ANKRD10	1939.4174
ANKRD11	1932.7638	ANKRD11	1517.6847
ANKRD12	1464.0456	ANKRD12	1826.1733
ANKRD13A	745.3942	ANKRD13A	1549.3493
ANKRD13B	297.088	ANKRD13B	120.8221
ANKRD13C	1124.1692	ANKRD13C	731.8534
ANKRD13D	354.9496	ANKRD13D	320.0777
ANKRD16	123.0168	ANKRD16	131.203
ANKRD17	2938.7882	ANKRD17	2665.0076
ANKRD19	41.816	ANKRD19	27.9708
removed	removed	ANKRD1	5.4788
removed	removed	ANKRD20A3	9.5158
removed	removed	ANKRD20B	6.9206
ANKRD22	516.3787	ANKRD22	73.8197
ANKRD23	21.3942	ANKRD23	18.7433
ANKRD24	11.1833	ANKRD24	10.3809
ANKRD26	224.6393	ANKRD26	251.4485
ANKRD27	1208.7736	ANKRD27	977.5347
ANKRD28	1787.8763	ANKRD28	1506.3839
ANKRD29	6.8073	ANKRD29	324.4031
ANKRD30A	317.9959	ANKRD30A	71.8012
ANKRD30B	1339.0838	ANKRD30B	10.3809
ANKRD32	295.6293	ANKRD32	220.5941
ANKRD33	6.321	ANKRD33	5.1904
ANKRD34A	12.642	ANKRD34A	27.1057
ANKRD35	10.2109	ANKRD35	104.6741
ANKRD36BP1	175.0436	ANKRD36BP1	130.0496
ANKRD36B	43.7609	ANKRD36B	51.3278
ANKRD36	173.5849	ANKRD36	177.9171
ANKRD37	99.1233	ANKRD37	278.5368
ANKRD39	123.503	ANKRD39	86.7959
ANKRD40	1535.5217	ANKRD40	1932.8659
ANKRD42	269.8589	ANKRD42	283.4562
ANKRD43	41.3297	ANKRD43	7.209
ANKRD44	92.3841	ANKRD44	81.6054
ANKRD45	35.495	ANKRD45	13.5528
ANKRD46	623.9236	ANKRD46	721.0688
ANKRD49	271.8039	ANKRD49	453.5876
ANKRD50	3153.2167	ANKRD50	1087.3992
ANKRD52	1258.3693	ANKRD52	744.8296
removed	removed	ANKRD53	22.4919
ANKRD54	297.088	ANKRD54	342.858
ANKRD56	110.3747	ANKRD56	54.4997
ANKRD57	634.5332	ANKRD57	1058.5634
ANKRD58	6.321	ANKRD58	8.6507
ANKRD5	451.7098	ANKRD5	168.1129
ANKRD6	323.4077	ANKRD6	338.2991
ANKRD9	37.4399	ANKRD9	21.6269
ANKS1A	1022.0604	ANKS1A	1301.0728
ANKS1B	98.2189	ANKS1B	85.9308
ANKS3	200.3277	ANKS3	108.7111
ANKS6	184.2821	ANKS6	302.7762
ANKZF1	580.0752	ANKZF1	535.1931
ANLN	1822.3988	ANLN	111.5947
ANO10	251.8683	ANO10	909.4822
