gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
ALKBH6	147.4903	ALKBH6	71.1893
ALKBH7	170.6447	ALKBH7	327.0519
ALKBH8	163.9838	ALKBH8	253.7688
removed	removed	ALK	15.0754
ALMS1	1927.5236	ALMS1	779.3132
ALOX12B	9.1983	removed	removed
ALOX12P2	6.3437	removed	removed
ALOX15B	12243.2797	ALOX15B	159.5477
ALOX15	405.9948	ALOX15	19.263
ALOX5AP	291.1744	ALOX5AP	407.0352
ALOX5	191.5788	ALOX5	284.7571
ALOXE3	15.2248	removed	removed
ALPK1	360.0032	ALPK1	490.7873
ALPK2	74.2209	ALPK2	45.2261
ALPK3	136.0717	ALPK3	2441.3735
ALPL	106.5736	ALPL	906.1977
ALS2CL	219.1737	ALS2CL	327.8894
ALS2CR11	38.6964	ALS2CR11	33.5008
ALS2CR4	647.6885	ALS2CR4	946.8174
ALS2CR8	129.4108	ALS2CR8	209.3802
ALS2	536.04	ALS2	610.9715
removed	removed	ALX1	5.4439
ALX3	26.9606	ALX3	15.0754
ALX4	22.52	ALX4	15.4941
AMACR	662.5961	AMACR	268.0067
AMBRA1	366.9812	AMBRA1	758.794
AMD1	3100.785	AMD1	1406.1977
AMDHD1	8.564	AMDHD1	8.794
AMDHD2	349.8438	AMDHD2	137.4456
AMFR	3021.4892	AMFR	2968.1742
AMICA1	33.3043	AMICA1	110.9715
AMIGO1	88.8114	AMIGO1	245.8124
AMIGO2	594.3985	AMIGO2	975.2931
AMIGO3	120.5297	AMIGO3	43.1323
AMMECR1L	790.4211	AMMECR1L	830.8208
AMMECR1	664.1821	AMMECR1	213.1491
AMN1	158.2745	AMN1	158.7102
AMOTL1	559.5115	AMOTL1	3167.0854
AMOTL2	5309.9675	AMOTL2	3409.9665
AMOT	61.5336	AMOT	1133.1658
removed	removed	AMPD1	19.6817
AMPD2	298.1524	AMPD2	538.526
AMPD3	234.3985	AMPD3	148.2412
AMPH	347.633	AMPH	247.0687
AMTN	26.3262	removed	removed
AMT	12.8079	AMT	127.8224
removed	removed	AMY1A	23.8693
AMY2B	6.0899	AMY2B	421.7253
AMZ1	7.6124	AMZ1	7.9564
AMZ2P1	245.1828	AMZ2P1	267.1692
AMZ2	3333.2805	AMZ2	1892.3786
ANAPC10	195.0678	ANAPC10	116.8342
ANAPC11	738.0858	ANAPC11	695.5611
ANAPC13	1654.1591	ANAPC13	1388.6265
ANAPC16	5704.5437	ANAPC16	3105.5276
ANAPC1	1720.4028	ANAPC1	757.1189
ANAPC2	427.5632	ANAPC2	467.7554
ANAPC4	436.7616	ANAPC4	500
ANAPC5	1850.448	ANAPC5	2002.0938
ANAPC7	1227.817	ANAPC7	770.1005
ANGEL1	356.5142	ANGEL1	451.8425
ANGEL2	475.7751	ANGEL2	666.2479
ANGPT1	180.1602	ANGPT1	1186.3484
ANGPT2	461.5019	ANGPT2	335.0084
removed	removed	ANGPT4	49.8325
removed	removed	ANGPTL1	1073.2831
ANGPTL2	1804.7736	ANGPTL2	10406.1977
ANGPTL4	1875.8227	ANGPTL4	3657.0352
removed	removed	ANGPTL5	141.9598
removed	removed	ANGPTL7	42.2948
ANG	123.5905	ANG	756.6206
ANK1	22.2028	ANK1	28.4757
ANK2	115.1376	ANK2	2908.7102
ANK3	2197.1295	ANK3	457.7052
ANKAR	14.5904	ANKAR	56.1139
ANKDD1A	39.6479	ANKDD1A	166.2479
ANKFY1	1930.3782	ANKFY1	2579.9832
ANKHD1-EIF4EBP3	587.43	ANKHD1-EIF4EBP3	779.376
ANKHD1	2050.0896	ANKHD1	2158.7018
ANKH	1421.2989	ANKH	1725.7119
ANKIB1	3055.4278	ANKIB1	1638.191
removed	removed	ANKK1	5.8626
ANKLE1	24.1059	ANKLE1	5.8626
