gene_id	TCGA-E2-A15M-01A-11R-A12D-07	gene_id	TCGA-E2-A15M-11A-22R-A12D-07
ADAP2	653.0528	ADAP2	246.0053
ADARB1	651.1964	ADARB1	1408.8976
ADAR	12047.4422	ADAR	6183.2395
ADAT1	261.3449	ADAT1	237.2687
ADAT2	103.5479	ADAT2	70.3529
removed	removed	ADAT3	23.9108
ADA	207.7145	ADA	184.389
ADCK1	106.4356	ADCK1	106.2191
ADCK2	486.1799	ADCK2	646.5111
ADCK4	355.198	ADCK4	364.6396
ADCK5	53.8366	ADCK5	33.1073
ADCY1	2979.5792	ADCY1	446.9479
ADCY2	127.0627	ADCY2	68.5136
ADCY3	971.8791	ADCY3	1960.538
ADCY4	312.7063	ADCY4	694.7925
ADCY5	356.8482	ADCY5	552.2474
ADCY6	1346.3284	ADCY6	1966.6628
ADCY7	1133.4571	ADCY7	344.4074
ADCY9	1228.7541	ADCY9	1231.4059
ADCYAP1R1	7.632	ADCYAP1R1	21.6117
ADC	144.3894	ADC	108.0584
ADD1	4591.9967	ADD1	6874.3534
ADD2	76.7327	ADD2	68.0538
ADD3	3197.6073	ADD3	3195.3098
ADH1A	74.4637	ADH1A	143.9246
ADH1B	10735.9736	ADH1B	17572.1347
ADH1C	49.2987	ADH1C	246.0053
removed	removed	ADH4	22.0715
ADH5	2161.0974	ADH5	3639.9586
ADHFE1	84.3647	ADHFE1	167.8354
ADI1	870.2558	ADI1	1425.911
ADIPOQ	14654.4967	ADIPOQ	16431.3139
ADIPOR1	5666.4604	ADIPOR1	2132.6589
ADIPOR2	2767.1205	ADIPOR2	2179.101
ADK	270.2145	ADK	260.2598
ADM2	103.9604	ADM2	88.286
ADM	153.2591	ADM	860.3288
ADNP2	1052.599	ADNP2	649.27
ADNP	4775.9901	ADNP	2420.5081
ADORA1	99.6287	ADORA1	112.6566
ADORA2A	137.3742	ADORA2A	77.2503
ADORA2B	40.8416	ADORA2B	72.1922
ADORA3	426.3614	ADORA3	74.4913
ADO	657.3845	ADO	670.8817
ADPGK	1183.1683	ADPGK	701.23
ADPRHL1	25.9901	ADPRHL1	55.1788
ADPRHL2	468.6469	ADPRHL2	404.6442
ADPRH	371.4934	ADPRH	454.7649
ADRA1A	18.7706	ADRA1A	45.9823
ADRA1B	11.7574	ADRA1B	57.4779
removed	removed	ADRA1D	22.5313
ADRA2A	623.5561	ADRA2A	1265.4328
removed	removed	ADRA2B	38.6251
ADRA2C	25.9901	ADRA2C	123.2326
ADRB1	16.9142	ADRB1	35.8662
ADRB2	113.4488	ADRB2	455.6846
ADRB3	7.4257	removed	removed
ADRBK1	1957.7145	ADRBK1	1536.7284
ADRBK2	1512.5825	ADRBK2	1540.4069
ADRM1	889.0264	ADRM1	874.5833
ADSL	726.6914	ADSL	669.5022
ADSSL1	50.7426	ADSSL1	91.0449
ADSS	3639.2327	ADSS	1382.6877
AEBP1	8623.7624	AEBP1	12703.989
AEBP2	983.7046	AEBP2	1082.4233
AEN	279.9092	AEN	449.247
AES	4532.5908	AES	5471.8933
AFAP1L1	457.302	AFAP1L1	609.2654
AFAP1L2	446.3696	AFAP1L2	1167.4905
AFAP1	1378.7479	AFAP1	1532.1301
AFF1	2664.3977	AFF1	3292.7923
AFF2	69.7195	AFF2	83.228
AFF3	740.7178	AFF3	1730.3138
AFF4	5107.8795	AFF4	3706.1731
AFG3L1	188.3251	AFG3L1	130.5897
AFG3L2	1065.8457	AFG3L2	960.2943
AFMID	226.2789	AFMID	389.4701
AFP	27.2277	AFP	143.4648
AFTPH	2336.0149	AFTPH	1787.3319
AG2	183.5809	AG2	3984.8258
AGAP11	28.4653	AGAP11	74.0315
AGAP1	362.83	AGAP1	473.1578
AGAP2	168.5107	AGAP2	49.6379
AGAP3	670.3795	AGAP3	1131.6243
AGAP4	138.4076	AGAP4	125.5317
AGAP5	48.3849	AGAP5	46.0513
AGAP6	83.9521	AGAP6	46.9019
AGAP7	24.7525	AGAP7	30.3483
AGAP8	18.9769	AGAP8	13.3349
AGA	290.2228	AGA	376.595
AGBL2	14.0264	AGBL2	11.0358
AGBL3	5.363	removed	removed
AGBL4	7.632	removed	removed
AGBL5	252.894	AGBL5	627.6675
AGER	35.6848	AGER	21.6117
AGFG1	2346.9472	AGFG1	1866.4214
AGFG2	245.462	AGFG2	552.2474
AGGF1	1382.632	AGGF1	872.2842
removed	removed	AGK	409.2424
AGL	1324.0512	AGL	1149.5574
AGMAT	57.962	AGMAT	6.8973
AGPAT1	1559.9299	AGPAT1	1889.3804
AGPAT2	780.5281	AGPAT2	2166.226
AGPAT3	1949.8762	AGPAT3	1679.7333
AGPAT4	173.0611	AGPAT4	287.8492
AGPAT5	2565.1815	AGPAT5	543.0509
AGPAT6	2256.8069	AGPAT6	1561.099
AGPAT9	153.8779	AGPAT9	120.0138
AGPHD1	27.0215	AGPHD1	62.0761
AGPS	1809.1997	AGPS	1187.7227
AGR2	23853.3416	AGR2	2285.78
AGR3	3703.7954	AGR3	629.4976
AGRN	2189.1502	AGRN	3193.4705
AGTPBP1	564.3564	AGTPBP1	416.1398
AGTR1	397.071	AGTR1	739.3953
AGTRAP	580.4455	AGTRAP	754.5695
AGT	694.5132	AGT	129.2103
AGXT2L2	310.9323	AGXT2L2	397.0893
AHCTF1	3080.6518	AHCTF1	1649.385
AHCYL1	3438.1188	AHCYL1	3914.4729
AHCYL2	620.8746	AHCYL2	549.4884
AHCY	3326.9389	AHCY	1743.6487
AHDC1	397.896	AHDC1	924.704
AHI1	428.0116	AHI1	323.2555
AHNAK2	777.6403	AHNAK2	1609.3804
AHNAK	53082.5083	AHNAK	89294.4017
AHRR	112.83	AHRR	18.3929
AHR	4206.2706	AHR	5024.0258
AHSA1	1371.2871	AHSA1	1104.4948
AHSA2	316.0066	AHSA2	125.0718
AIDA	3185.6848	AIDA	1450.7966
AIF1L	961.2211	AIF1L	2337.74
AIF1	811.8812	AIF1	376.595
AIFM1	1168.1106	AIFM1	594.5511
AIFM2	433.9934	AIFM2	818.4849
AIFM3	12.5825	AIFM3	7.3572
AIG1	905.1155	AIG1	936.1996
AIM1L	10.5198	removed	removed
AIM1	1167.0792	AIM1	3290.4932
AIM2	134.6947	AIM2	6.8973
AIMP1	1138.9975	AIMP1	959.3103
AIMP2	316.9039	AIMP2	215.8823
AIP	736.1799	AIP	879.1815
AJAP1	8.4571	AJAP1	19.3126
AK1	302.599	AK1	513.1624
AK2	2228.9604	AK2	1653.5234
AK3L1	307.962	AK3L1	458.9033
AK3	1380.5693	AK3	1913.7832
AK5	282.797	AK5	1009.3114
AK7	5.5693	AK7	29.8885
AKAP10	592.6155	AKAP10	532.0152
AKAP11	2218.6469	AKAP11	2143.6947
AKAP12	2261.1386	AKAP12	4648.8102
AKAP13	3916.4604	AKAP13	3608.6907
AKAP1	1053.4241	AKAP1	2118.4044
AKAP2	1094.3111	AKAP2	2610.0471
AKAP3	28.2591	AKAP3	38.6251
AKAP5	691.2129	AKAP5	60.2368
AKAP6	82.7145	AKAP6	507.6446
AKAP7	193.8944	AKAP7	193.1256
AKAP8L	577.1452	AKAP8L	597.7699
AKAP8	662.335	AKAP8	525.5777
AKAP9	3221.5347	AKAP9	2524.8879
AKD1	156.1469	AKD1	134.2683
AKIRIN1	1368.6056	AKIRIN1	1698.1262
AKIRIN2	963.0776	AKIRIN2	843.3153
removed	removed	AKNAD1	6.4375
AKNA	1123.3498	AKNA	713.1854
AKR1A1	1468.2343	AKR1A1	1313.7142
AKR1B1	992.9868	AKR1B1	895.2753
AKR1C1	668.1106	AKR1C1	1453.5004
AKR1C2	479.9917	AKR1C2	1148.6378
AKR1C3	633.2508	AKR1C3	1463.6165
AKR1E2	10.9323	AKR1E2	15.1742
AKR7A2	643.5644	AKR7A2	841.9359
AKR7A3	174.7112	AKR7A3	98.4021
AKR7L	25.7838	AKR7L	9.1965
AKT1S1	833.3333	AKT1S1	749.5114
AKT1	1682.137	AKT1	2652.2589
AKT2	1594.4719	AKT2	2159.3287
AKT3	1213.0776	AKT3	1835.1535
AKTIP	851.1819	AKTIP	743.6763
ALAD	1173.4736	ALAD	1670.9967
ALAS1	988.4488	ALAS1	1037.3606
removed	removed	ALAS2	59.3172
ALB	13.2013	ALB	601.4484
ALCAM	2835.1898	ALCAM	3785.2627
ALDH16A1	552.8053	ALDH16A1	392.6888
ALDH18A1	2120.2558	ALDH18A1	1204.2764
ALDH1A1	1161.5099	ALDH1A1	2825.1523
ALDH1A2	65.1815	ALDH1A2	469.9391
ALDH1A3	1093.3292	ALDH1A3	1483.6418
ALDH1B1	449.8762	ALDH1B1	766.0651
ALDH1L1	261.9637	ALDH1L1	579.8368
ALDH1L2	714.5215	ALDH1L2	302.5635
ALDH2	4071.3696	ALDH2	7410.9668
removed	removed	ALDH3A1	50.5805
ALDH3A2	1381.3944	ALDH3A2	2569.4907
ALDH3B1	179.868	ALDH3B1	182.5497
ALDH3B2	2520.6271	ALDH3B2	1405.219
ALDH4A1	330.033	ALDH4A1	971.6059
ALDH5A1	339.7277	ALDH5A1	450.1667
ALDH6A1	447.6361	ALDH6A1	603.4073
ALDH7A1	1227.3102	ALDH7A1	1829.1758
ALDH8A1	57.962	ALDH8A1	10.1161
ALDH9A1	3542.0792	ALDH9A1	2768.5941
ALDOA	14703.7954	ALDOA	12007.817
removed	removed	ALDOB	5.5179
ALDOC	221.7409	ALDOC	982.6417
ALG10B	255.7756	ALG10B	349.9253
ALG10	171.4109	ALG10	118.1745
ALG11	25.165	ALG11	6.4375
ALG12	204.2079	ALG12	371.537
ALG13	555.4868	ALG13	390.8495
ALG14	169.967	ALG14	168.755
removed	removed	ALG1L	8.2722
ALG1	604.703	ALG1	391.7462
ALG2	762.7888	ALG2	797.7928
ALG3	527.8465	ALG3	418.8987
ALG5	566.0066	ALG5	544.8902
ALG6	572.6073	ALG6	268.5366
ALG8	831.8894	ALG8	585.8145
ALG9	508.4571	ALG9	571.1001
ALKBH1	283.2096	ALKBH1	210.5989
ALKBH2	156.5594	ALKBH2	136.1076
ALKBH3	261.5512	ALKBH3	356.3628
ALKBH4	103.0549	ALKBH4	135.2937
ALKBH5	1412.0668	ALKBH5	2452.6543
ALKBH6	45.7921	ALKBH6	37.7055
ALKBH7	174.9175	ALKBH7	319.577
ALKBH8	236.3861	ALKBH8	222.0945
ALK	6.8069	ALK	8.2768
ALMS1	1299.9175	ALMS1	775.2615
removed	removed	ALOX12P2	15.634
ALOX12	63.0755	removed	removed
ALOX15B	27.2277	ALOX15B	76.3306
ALOX15	30.5281	ALOX15	18.8527
ALOX5AP	684.6122	ALOX5AP	333.8315
ALOX5	454.8267	ALOX5	433.1532
removed	removed	ALOXE3	8.2768
ALPK1	397.071	ALPK1	507.1847
ALPK2	67.863	ALPK2	20.692
ALPK3	369.0182	ALPK3	507.1847
ALPL	158.8284	ALPL	2216.3467
ALS2CL	73.6386	ALS2CL	269.4563
ALS2CR11	6.1881	removed	removed
ALS2CR12	7.8383	ALS2CR12	5.0581
ALS2CR4	777.0215	ALS2CR4	1390.9645
ALS2CR8	162.1287	ALS2CR8	183.9292
ALS2	810.6436	ALS2	725.1408
ALX3	9.2822	ALX3	23.451
removed	removed	ALX4	28.9688
AMACR	425.33	AMACR	260.7196
AMBRA1	939.3564	AMBRA1	894.8155
AMD1	1437.0875	AMD1	1939.0735
AMDHD1	17.1205	AMDHD1	15.1742
AMDHD2	103.8098	AMDHD2	139.8598
AMFR	3516.7079	AMFR	3433.9579
AMH	6.3944	removed	removed
AMICA1	445.7508	AMICA1	103.92
AMIGO1	64.9752	AMIGO1	146.2237
AMIGO2	531.9719	AMIGO2	4060.2368
AMIGO3	47.236	AMIGO3	36.7858
AMMECR1L	754.1254	AMMECR1L	870.4449
AMMECR1	778.2591	AMMECR1	327.8538
AMN1	143.5644	AMN1	231.291
AMOTL1	1379.3317	AMOTL1	3090.4702
AMOTL2	860.5611	AMOTL2	6777.7906
AMOT	1183.7871	AMOT	971.1461
AMPD1	8.8696	AMPD1	10.1161
AMPD2	359.5297	AMPD2	588.5734
AMPD3	355.8168	AMPD3	134.2683
AMPH	637.995	AMPH	101.1611
AMT	33.6221	AMT	36.326
AMY1A	96.7409	AMY1A	5.9777
AMY2B	133.1477	AMY2B	130.5851
AMZ1	22.896	AMZ1	15.1742
AMZ2P1	161.0974	AMZ2P1	177.0318
AMZ2	1175.5363	AMZ2	997.8158
ANAPC10	119.0182	ANAPC10	163.697
ANAPC11	386.7574	ANAPC11	476.3766
ANAPC13	893.4633	ANAPC13	1048.4791
ANAPC16	1889.6452	ANAPC16	2435.2224
ANAPC1	838.9026	ANAPC1	676.3996
ANAPC2	338.4901	ANAPC2	438.6711
ANAPC4	556.9307	ANAPC4	483.2739
ANAPC5	2153.2591	ANAPC5	1873.7786
ANAPC7	987.005	ANAPC7	725.1408
ANGEL1	344.2657	ANGEL1	591.7922
ANGEL2	1020.4208	ANGEL2	651.1093
ANGPT1	190.1815	ANGPT1	518.6803
ANGPT2	407.5908	ANGPT2	996.8962
removed	removed	ANGPT4	42.3037
ANGPTL1	195.5446	ANGPTL1	890.2173
ANGPTL2	1627.4752	ANGPTL2	6628.8079
ANGPTL4	432.5495	ANGPTL4	1069.5482
ANGPTL5	12.17	ANGPTL5	22.5313
removed	removed	ANGPTL7	671.8014
ANG	202.1432	ANG	503.7499
ANK1	30.5281	ANK1	30.3483
ANK2	1090.5528	ANK2	1988.2745
ANK3	1412.1287	ANK3	855.7305
ANKAR	37.1287	ANKAR	41.8439
ANKDD1A	65.3878	ANKDD1A	121.3933
ANKFY1	1854.5792	ANKFY1	2167.6055
ANKHD1-EIF4EBP3	727.9167	ANKHD1-EIF4EBP3	1151.3783
ANKHD1	4080.9777	ANKHD1	2056.6548
ANKH	2012.7888	ANKH	1994.2522
ANKIB1	1942.863	ANKIB1	1453.9602
removed	removed	ANKK1	25.7501
ANKLE1	7.0132	removed	removed
ANKLE2	1347.3597	ANKLE2	1436.487
ANKMY1	157.5908	ANKMY1	198.6435
ANKMY2	554.868	ANKMY2	531.5554
ANKRA2	312.5	ANKRA2	374.7557
ANKRD10	1339.934	ANKRD10	1151.8565
ANKRD11	1387.8156	ANKRD11	2176.5122
ANKRD12	2017.3267	ANKRD12	1696.2869
ANKRD13A	1051.7739	ANKRD13A	1201.0576
ANKRD13B	97.566	ANKRD13B	132.8888
ANKRD13C	915.6353	ANKRD13C	678.6987
ANKRD13D	443.2756	ANKRD13D	369.2378
ANKRD16	100.4538	ANKRD16	125.0718
ANKRD17	3284.0347	ANKRD17	3105.1845
ANKRD19	26.4026	ANKRD19	31.268
ANKRD20A3	5.5693	removed	removed
ANKRD20B	5.1568	removed	removed
ANKRD22	226.4851	ANKRD22	41.8439
ANKRD23	18.3581	ANKRD23	18.8527
ANKRD24	9.2822	ANKRD24	21.6117
ANKRD26	752.8878	ANKRD26	258.8803
ANKRD27	1154.9092	ANKRD27	890.2173
ANKRD28	1593.6469	ANKRD28	1386.8261
ANKRD29	69.5132	ANKRD29	340.7288
ANKRD30A	1647.2772	ANKRD30A	307.6216
ANKRD30B	10.5198	ANKRD30B	18.8527
ANKRD32	467.4092	ANKRD32	169.2149
ANKRD34A	14.2327	ANKRD34A	22.5313
ANKRD34C	7.2195	ANKRD34C	31.7278
ANKRD35	27.0215	ANKRD35	112.6566
ANKRD36BP1	198.8449	ANKRD36BP1	125.5317
ANKRD36B	57.3432	ANKRD36B	23.451
ANKRD36	198.2261	ANKRD36	141.6255
ANKRD37	45.6724	ANKRD37	303.474
ANKRD39	70.3383	ANKRD39	97.0226
ANKRD40	1192.6568	ANKRD40	2106.9088
ANKRD42	303.8366	ANKRD42	313.1394
ANKRD43	1186.4686	ANKRD43	38.1653
ANKRD44	212.665	ANKRD44	84.6074
