gene_id	TCGA-E2-A15I-01A-21R-A137-07	gene_id	TCGA-E2-A15I-11A-32R-A137-07
ADORA2A	170.8902	ADORA2A	44.7106
ADORA2B	19.4286	ADORA2B	23.9521
ADORA3	166.3792	ADORA3	61.2109
ADO	599.1065	ADO	582.8343
ADPGK	1147.084	ADPGK	790.4192
ADPRHL1	268.8208	ADPRHL1	61.7432
ADPRHL2	431.6675	ADPRHL2	343.8456
ADPRH	266.7013	ADPRH	396.008
removed	removed	ADRA1A	201.7299
removed	removed	ADRA1B	63.8723
removed	removed	ADRA1D	6.3872
ADRA2A	1108.8415	ADRA2A	1523.3533
ADRA2B	18.3688	ADRA2B	44.1783
ADRA2C	6.7117	ADRA2C	46.3074
ADRB1	37.4442	ADRB1	201.7299
ADRB2	80.187	ADRB2	895.2761
removed	removed	ADRB3	14.3713
ADRBK1	1718.5454	ADRBK1	1150.2329
ADRBK2	784.9142	ADRBK2	5163.5396
ADRM1	804.3428	ADRM1	654.6906
ADSL	420.0104	ADSL	847.9042
ADSSL1	216.5402	ADSSL1	398.6693
ADSS	1584.3116	ADSS	901.6633
AEBP1	8251.1372	AEBP1	5059.7472
AEBP2	889.4753	AEBP2	860.1464
AEN	283.3039	AEN	241.65
AES	4816.5192	AES	3882.3686
AFAP1L1	198.5247	AFAP1L1	1550.499
AFAP1L2	522.4519	AFAP1L2	506.7199
AFAP1	1263.9027	AFAP1	1092.7319
AFF1	4346.3478	AFF1	6038.5895
AFF2	55.1065	AFF2	27.1457
AFF3	2812.5505	AFF3	509.9135
AFF4	5875.9062	AFF4	3844.5775
AFG3L1	203.8234	AFG3L1	177.2455
AFG3L2	1485.4449	AFG3L2	1272.6813
AFMID	1087.9999	AFMID	231.5369
AFP	14.4831	removed	removed
AFTPH	2570.5765	AFTPH	1307.7844
AG2	142.0052	AG2	633.9321
AGAP11	98.2097	AGAP11	372.0612
AGAP1	590.6285	AGAP1	396.008
AGAP2	88.7214	AGAP2	102.6747
AGAP3	1481.8701	AGAP3	774.4511
AGAP4	257.5169	AGAP4	122.4218
AGAP5	127.2607	AGAP5	45.6154
AGAP6	203.8234	AGAP6	64.4045
AGAP7	8.8312	removed	removed
AGAP8	62.8779	AGAP8	50.0333
AGA	780.6753	AGA	407.7179
AGBL2	83.3662	removed	removed
removed	removed	AGBL3	5.3227
AGBL4	10.9506	AGBL4	10.1131
AGBL5	645.3959	AGBL5	699.4118
AGER	36.7377	AGER	20.2262
AGFG1	1995.4908	AGFG1	2196.1411
AGFG2	1581.8389	AGFG2	391.7498
AGGF1	1108.135	AGGF1	950.6321
AGK	682.1194	AGK	580.7053
AGL	2050.9505	AGL	1773.5196
AGMAT	20.4883	AGMAT	7.984
AGPAT1	1472.4207	AGPAT1	1959.4997
AGPAT2	658.4519	AGPAT2	5422.7545
AGPAT3	2394.6596	AGPAT3	1757.0193
AGPAT4	109.5065	AGPAT4	180.9714
AGPAT5	898.3064	AGPAT5	417.831
AGPAT6	1385.4337	AGPAT6	1426.4804
AGPAT9	59.3455	AGPAT9	1034.1983
AGPHD1	40.9766	AGPHD1	102.7279
AGPS	3076.4258	AGPS	1759.1484
AGR2	5842.701	AGR2	163.4065
AGR3	3050.2856	AGR3	13.3067
AGRN	4573.4855	AGRN	713.2402
AGTPBP1	240.9143	AGTPBP1	738.2568
AGTR1	211.5948	AGTR1	1624.4844
AGTRAP	535.1688	AGTRAP	363.5396
AGT	58.2857	AGT	411.4438
AGXT2L1	24.0208	removed	removed
AGXT2L2	528.8492	AGXT2L2	687.2016
AGXT2	12.3636	removed	removed
removed	removed	AGXT	7.4518
AHCTF1	1374.483	AHCTF1	1926.2808
AHCYL1	4691.8231	AHCYL1	5081.0379
AHCYL2	928.3324	AHCYL2	836.1943
AHCY	2169.6414	AHCY	1596.2741
AHDC1	533.0493	AHDC1	437.525
AHI1	527.3974	AHI1	509.3812
AHNAK2	759.1272	AHNAK2	843.646
AHNAK	46131.9041	AHNAK	107041.9162
AHRR	78.4208	AHRR	12.7745
AHR	2527.4804	AHR	2951.4305
AHSA1	1923.0752	AHSA1	1045.3759
AHSA2	1021.9428	AHSA2	513.6394
AIDA	653.57	AIDA	2522.012
AIF1L	199.9377	AIF1L	2413.3067
AIF1	289.6623	AIF1	184.165
AIFM1	695.5428	AIFM1	803.1936
AIFM2	363.1376	AIFM2	2063.6061
AIFM3	9.8909	removed	removed
AIG1	459.2208	AIG1	1504.1916
