gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
AKAP7	122.6641	AKAP7	207.8793
AKAP8L	549.1136	AKAP8L	1175.9506
AKAP8	486.8232	AKAP8	932.4087
AKAP9	1369.909	AKAP9	5713.6326
AKD1	111.1644	AKD1	197.8206
AKIRIN1	700.5271	AKIRIN1	993.98
AKIRIN2	649.7365	AKIRIN2	565.7243
removed	removed	AKNAD1	5.1817
AKNA	582.6545	AKNA	694.3534
AKR1A1	2693.3397	AKR1A1	1344.5096
AKR1B10	18.208	removed	removed
AKR1B15	26.3536	AKR1B15	180.4465
AKR1B1	1300.4312	AKR1B1	697.7063
AKR1C1	208.9123	AKR1C1	236.3697
AKR1C2	371.3464	AKR1C2	171.3023
AKR1C3	480.5942	AKR1C3	390.7643
removed	removed	AKR1D1	31.3953
AKR1E2	15.333	AKR1E2	38.2626
AKR7A2	1037.3742	AKR7A2	828.1643
AKR7A3	14.3747	AKR7A3	191.1148
removed	removed	AKR7L	40.5395
AKT1S1	1249.1615	AKT1S1	625.7715
AKT1	3646.8615	AKT1	2696.6395
AKT2	2129.8515	AKT2	2130.0008
AKT3	1116.4351	AKT3	1191.8007
AKTIP	561.955	AKTIP	578.761
ALAD	1911.356	ALAD	2276.004
ALAS1	677.0484	ALAS1	658.6908
ALB	49.3531	ALB	33669.4353
ALCAM	2037.8534	ALCAM	5128.0957
ALDH16A1	427.8869	ALDH16A1	417.5874
ALDH18A1	3389.5544	ALDH18A1	1571.8967
ALDH1A1	813.608	ALDH1A1	1271.6604
ALDH1A2	215.6205	ALDH1A2	1052.5032
ALDH1A3	791.8687	ALDH1A3	1236.3728
ALDH1B1	1409.679	ALDH1B1	389.8499
ALDH1L1	42.1658	ALDH1L1	62.7905
ALDH1L2	1944.4178	ALDH1L2	554.1416
ALDH2	1727.839	ALDH2	1683.4565
removed	removed	ALDH3A1	44.8068
ALDH3A2	1314.3268	ALDH3A2	2655.4904
ALDH3B1	289.4106	ALDH3B1	139.6022
ALDH3B2	376.138	ALDH3B2	1566.7149
ALDH4A1	306.6603	ALDH4A1	773.9084
ALDH5A1	685.6732	ALDH5A1	669.3591
ALDH6A1	228.7398	ALDH6A1	799.6373
ALDH7A1	2476.2817	ALDH7A1	4736.1122
ALDH8A1	26.8328	ALDH8A1	27.4328
ALDH9A1	4506.4686	ALDH9A1	3330.0312
ALDOA	28943.9387	ALDOA	10317.1531
ALDOB	6.229	removed	removed
ALDOC	379.4921	ALDOC	483.426
ALG10B	266.4111	ALG10B	529.4521
ALG10	82.4149	ALG10	148.1369
ALG11	11.0206	ALG11	11.8875
ALG12	906.0853	ALG12	447.4587
ALG13	543.8428	ALG13	611.4456
ALG14	186.392	ALG14	128.3243
removed	removed	ALG1L	8.0957
ALG1	663.6703	ALG1	390.6028
ALG2	1277.4317	ALG2	687.038
