gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
ADH5	1815.9367	ADH5	2697.173
ADHFE1	196.7972	ADHFE1	158.1217
ADI1	2006.5599	ADI1	1528.5098
ADIPOQ	1828.2848	ADIPOQ	2363.2008
ADIPOR1	6498.9388	ADIPOR1	2575.4672
ADIPOR2	2108.4314	ADIPOR2	1870.6277
ADK	375.0724	ADK	334.9305
ADM2	1106.695	ADM2	120.7475
ADM	149.7202	ADM	151.8927
ADNP2	219.1781	ADNP2	718.735
ADNP	2000.3859	ADNP	3094.873
ADORA1	653.6755	ADORA1	725.4432
ADORA2A	239.2437	ADORA2A	81.9262
ADORA2B	197.569	ADORA2B	38.3325
ADORA3	68.6861	ADORA3	122.6641
ADO	500.8682	ADO	796.8376
ADPGK	1329.3305	ADPGK	907.9828
ADPRHL1	157.4378	ADPRHL1	183.0379
ADPRHL2	906.039	ADPRHL2	688.5482
ADPRH	414.4318	ADPRH	341.1596
removed	removed	ADRA1A	8.1457
ADRA1B	45.5335	ADRA1B	5.2707
ADRA2A	398.9967	ADRA2A	381.4087
ADRA2B	55.5663	ADRA2B	22.5204
ADRA2C	60.1968	ADRA2C	34.9784
ADRB1	8.4893	ADRB1	17.7288
ADRB2	34.7289	ADRB2	167.7048
ADRBK1	3183.4845	ADRBK1	1774.7964
ADRBK2	486.9767	ADRBK2	924.2932
ADRM1	5614.509	ADRM1	1122.6641
ADSL	1452.4407	ADSL	697.6521
ADSSL1	21.6091	ADSSL1	119.31
ADSS	1741.8484	ADSS	1435.5534
AEBP1	9039.5524	AEBP1	2094.3939
AEBP2	447.6172	AEBP2	854.3364
AEN	923.7893	AEN	562.0508
AES	7688.2115	AES	7560.1342
AFAP1L1	381.2464	AFAP1L1	149.4969
AFAP1L2	551.0322	AFAP1L2	1430.7619
AFAP1	1133.6755	AFAP1	1266.8759
AFF1	756.3187	AFF1	2527.5515
AFF2	59.425	AFF2	38.3325
AFF3	64.8273	AFF3	3283.1816
AFF4	971.638	AFF4	3284.6191
AFG3L1	337.2564	AFG3L1	264.9736
AFG3L2	1056.3843	AFG3L2	1364.3843
AFMID	395.9097	AFMID	850.5031
removed	removed	AFP	635.3618
AFTPH	833.4941	AFTPH	1985.6253
AG2	545.6299	AG2	114.0393
AGAP11	8.4893	AGAP11	102.6593
AGAP1	391.2792	AGAP1	590.8002
AGAP2	177.8507	AGAP2	83.4739
AGAP3	2417.9047	AGAP3	1774.3172
AGAP4	191.3949	AGAP4	240.0575
AGAP5	22.3809	AGAP5	72.2616
AGAP6	168.2423	AGAP6	108.2894
AGAP7	12.3481	AGAP7	9.5831
AGAP8	20.8374	AGAP8	27.3119
AGA	221.4933	AGA	517.9684
AGBL2	6.174	AGBL2	27.3119
removed	removed	AGBL4	6.229
AGBL5	400.5479	AGBL5	985.6253
AGER	119.6218	AGER	31.1452
AGFG1	1553.5404	AGFG1	1468.6152
AGFG2	269.3421	AGFG2	569.2381
AGGF1	574.9566	AGGF1	916.6267
AGK	824.2331	AGK	446.0949
AGL	361.1808	AGL	1396.7417
AGMAT	33.9572	AGMAT	21.5621
AGPAT1	1516.8281	AGPAT1	1680.0144
AGPAT2	5007.1387	AGPAT2	761.8591
AGPAT3	2187.1503	AGPAT3	2113.081
AGPAT4	750.9165	AGPAT4	186.8711
AGPAT5	751.6882	AGPAT5	584.5712
AGPAT6	1582.0953	AGPAT6	1834.6909
AGPAT9	734.7096	AGPAT9	85.2899
AGPHD1	30.8702	AGPHD1	38.8117
AGPS	742.4272	AGPS	699.0896
AGR2	20.0656	AGR2	3702.4437
removed	removed	AGR3	537.6138
AGRN	11697.4725	AGRN	5371.3464
AGTPBP1	308.7015	AGTPBP1	291.8064
AGTR1	10.0328	AGTR1	250.5989
AGTRAP	2343.0446	AGTRAP	912.3143
AGT	57.8815	AGT	15.8122
removed	removed	AGXT2L1	11.0206
AGXT2L2	563.4112	AGXT2L2	433.5026
AHCTF1	1912.4059	AHCTF1	1461.907
removed	removed	AHCYL1	3904.6478
AHCYL2	357.322	AHCYL2	566.8424
AHCY	2669.4964	AHCY	2756.5884
AHDC1	699.209	AHDC1	1404.4082
AHI1	98.0127	AHI1	385.7211
AHNAK2	2385.491	AHNAK2	427.4078
AHNAK	11537.7195	AHNAK	64422.137
AHRR	97.241	AHRR	11.9789
AHR	1650.7814	AHR	3286.5357
AHSA1	3738.3755	AHSA1	1566.3632
AHSA2	357.322	AHSA2	443.6991
AICDA	8.4893	removed	removed
AIDA	2033.5713	AIDA	860.1246
AIF1L	6824.6189	AIF1L	2448.0115
AIF1	818.8308	AIF1	292.2856
AIFM1	844.2987	AIFM1	770.9631
AIFM2	618.9466	AIFM2	413.0331
AIFM3	23.9244	AIFM3	15.333
AIG1	595.0222	AIG1	799.7125
AIM1L	37.0442	removed	removed
AIM1	3233.6485	AIM1	4151.8927
AIM2	154.3508	AIM2	13.8955
AIMP1	742.0259	AIMP1	1069.8323
AIMP2	340.5981	AIMP2	234.7916
AIP	2123.0947	AIP	791.5668
AJAP1	20.8374	AJAP1	20.6037
AK1	758.634	AK1	493.5314
AK2	4300.984	AK2	1946.8136
AK3L1	115.7631	AK3L1	390.0335
AK3	565.6955	AK3	1502.1562
AK5	31.6419	AK5	2343.0762
AK7	9.261	AK7	52.2281
AKAP10	141.2309	AKAP10	552.9468
AKAP11	513.2163	AKAP11	1624.8203
AKAP12	199.1125	AKAP12	504.0728
AKAP13	2662.5506	AKAP13	3516.0517
AKAP1	1449.3537	AKAP1	2391.471
AKAP2	569.917	AKAP2	750.9104
AKAP3	71.0014	AKAP3	90.5606
AKAP5	84.1212	AKAP5	298.5146
removed	removed	AKAP6	321.9933
AKAP7	77.9471	AKAP7	218.9746
AKAP8L	991.7036	AKAP8L	840.4408
AKAP8	698.4372	AKAP8	736.943
AKAP9	628.2076	AKAP9	3280.3067
AKD1	150.492	AKD1	153.3301
AKIRIN1	616.6313	AKIRIN1	1037.3742
AKIRIN2	1139.8804	AKIRIN2	718.2559
AKNA	1269.535	AKNA	861.5237
AKR1A1	3496.0448	AKR1A1	1946.3345
removed	removed	AKR1B15	13.8955
AKR1B1	994.7907	AKR1B1	862.9612
AKR1C1	403.1642	AKR1C1	387.6378
AKR1C2	148.1767	AKR1C2	238.1409
AKR1C3	301.7557	AKR1C3	508.8644
AKR1E2	196.4885	AKR1E2	30.666
AKR7A2	1124.4453	AKR7A2	1234.3076
AKR7A3	23.1526	AKR7A3	179.2046
AKR7L	6.174	AKR7L	15.333
