gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
ANGPTL7	71.6424	ANGPTL7	461.8696
ANG	443.834	ANG	521.5806
ANK1	24.9819	ANK1	12.9151
ANK2	965.2111	ANK2	1324.1082
ANK3	1219.5726	ANK3	1579.3358
ANKAR	90.4305	ANKAR	69.4957
ANKDD1A	142.459	ANKDD1A	215.8672
ANKFN1	10.1167	removed	removed
ANKFY1	2278.9305	ANKFY1	2610.7011
ANKHD1-EIF4EBP3	1942.6014	ANKHD1-EIF4EBP3	1821.0886
ANKHD1	4453.3024	ANKHD1	2499.5387
ANKH	1244.3481	ANKH	3274.2927
ANKIB1	1953.546	ANKIB1	1696.802
removed	removed	ANKK1	30.7503
ANKLE1	7.6391	ANKLE1	7.3801
ANKLE2	1548.0541	ANKLE2	1504.305
ANKMY1	201.5072	ANKMY1	219.5572
ANKMY2	525.8594	ANKMY2	667.8967
ANKRA2	522.7625	ANKRA2	357.3186
ANKRD10	1718.2554	ANKRD10	2088.5916
ANKRD11	1712.6355	ANKRD11	2148.2595
ANKRD12	2664.1891	ANKRD12	2841.9434
ANKRD13A	1323.2167	ANKRD13A	1835.7934
ANKRD13B	81.3461	ANKRD13B	86.1009
ANKRD13C	699.2877	ANKRD13C	768.7577
ANKRD13D	358.4185	ANKRD13D	351.1685
ANKRD16	112.4538	ANKRD16	134.0713
ANKRD17	3399.1948	ANKRD17	3576.8758
ANKRD19	37.7826	ANKRD19	25.8303
ANKRD20A3	25.8078	ANKRD20A3	14.1451
ANKRD20B	7.8456	ANKRD20B	6.1501
ANKRD22	49.7574	ANKRD22	48.5855
ANKRD23	30.7629	ANKRD23	43.6654
ANKRD24	17.7558	ANKRD24	12.3001
ANKRD26	662.9503	ANKRD26	306.2731
ANKRD27	618.9739	ANKRD27	940.3444
ANKRD28	1820.1714	ANKRD28	1722.0172
ANKRD29	105.9151	ANKRD29	277.3678
ANKRD30A	4108.1862	ANKRD30A	819.1882
ANKRD30B	13.833	ANKRD30B	80.5658
ANKRD31	7.6391	removed	removed
ANKRD32	374.5226	ANKRD32	183.2718
ANKRD34A	13.0071	ANKRD34A	18.4502
ANKRD35	45.6282	ANKRD35	116.2362
ANKRD36BP1	234.5411	ANKRD36BP1	266.2977
ANKRD36B	86.3012	ANKRD36B	58.4256
ANKRD36	439.7646	ANKRD36	445.8795
ANKRD37	54.5928	ANKRD37	107.5707
ANKRD39	68.7519	ANKRD39	55.3506
ANKRD40	1482.6056	ANKRD40	2279.2128
ANKRD42	695.9843	ANKRD42	332.7183
ANKRD43	486.6316	ANKRD43	79.9508
ANKRD44	413.7504	ANKRD44	138.3764
ANKRD45	7.6391	ANKRD45	17.2202
ANKRD46	628.5166	ANKRD46	604.551
ANKRD49	624.9613	ANKRD49	481.5498
ANKRD50	2783.7308	ANKRD50	1552.8905
