gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
AIDA	1516.4637	AIDA	794.5752
AIF1L	414.2383	AIF1L	3516.3399
AIF1	437.1918	AIF1	395.8333
AIFM1	1189.2764	AIFM1	668.3007
AIFM2	231.6865	AIFM2	303.1046
AIFM3	25.2667	AIFM3	6.1275
AIG1	486.3265	AIG1	775.7353
AIM1	1312.2927	AIM1	3897.8758
AIMP1	882.5105	AIMP1	1203.5172
AIMP2	435.8863	AIMP2	279.7181
AIP	712.6334	AIP	736.9281
removed	removed	AJAP1	26.1438
AK1	562.3599	AK1	323.9379
AK2	2457.0967	AK2	1896.6503
AK3L1	307.3612	AK3L1	524.1013
AK3	1266.7444	AK3	1665.8497
AK5	500.3138	AK5	2717.7288
AK7	6.8143	AK7	31.8627
AKAP10	539.0478	AKAP10	608.6601
AKAP11	1585.2237	AKAP11	1791.2582
AKAP12	1044.024	AKAP12	2240.1961
AKAP13	3790.191	AKAP13	5657.6797
AKAP1	893.0333	AKAP1	2438.317
AKAP2	585.3851	AKAP2	1204.1503
AKAP3	12.194	AKAP3	64.951
AKAP5	244.5979	AKAP5	177.2876
AKAP6	139.1554	AKAP6	356.6176
AKAP7	110.8222	AKAP7	238.1536
AKAP8L	706.1777	AKAP8L	941.585
AKAP8	538.3305	AKAP8	738.1536
AKAP9	5682.0586	AKAP9	3446.8954
AKD1	179.3239	AKD1	177.6961
AKIRIN1	1297.9467	AKIRIN1	1306.3725
AKIRIN2	511.4319	AKIRIN2	825.9804
AKNA	610.0601	AKNA	638.4804
AKR1A1	2342.3294	AKR1A1	1352.5327
removed	removed	AKR1B10	177.2876
AKR1B1	707.2537	AKR1B1	831.2908
AKR1C1	104.0079	AKR1C1	876.634
AKR1C2	117.9952	AKR1C2	249.183
AKR1C3	577.7818	AKR1C3	804.3301
AKR1E2	43.755	AKR1E2	32.2712
AKR7A2	1317.3137	AKR7A2	875.817
AKR7A3	292.298	AKR7A3	118.0556
AKR7L	19.7256	AKR7L	16.3399
AKT1S1	1333.4529	AKT1S1	629.902
AKT1	2977.4948	AKT1	2822.7124
AKT2	2699.1841	AKT2	1670.3431
AKT3	574.9126	AKT3	1189.134
AKTIP	598.2713	AKTIP	561.6789
ALAD	1414.5073	ALAD	2097.2222
ALAS1	751.726	ALAS1	1022.4673
removed	removed	ALAS2	7.3529
removed	removed	ALB	61.2745
ALCAM	3016.5875	ALCAM	3069.0359
ALDH16A1	1344.571	ALDH16A1	409.7222
ALDH18A1	2581.5476	ALDH18A1	1904.0033
ALDH1A1	437.5504	ALDH1A1	1178.5131
ALDH1A2	46.2656	ALDH1A2	141.3399
ALDH1A3	551.1665	ALDH1A3	3535.098
ALDH1B1	998.8344	ALDH1B1	645.8333
ALDH1L1	40.8859	ALDH1L1	46.9771
ALDH1L2	408.8586	ALDH1L2	283.0882
ALDH2	1543.2619	ALDH2	1824.3464
removed	removed	ALDH3A1	205.4739
ALDH3A2	1562.2702	ALDH3A2	1581.6993
ALDH3B1	199.4082	ALDH3B1	121.732
ALDH3B2	1684.2105	ALDH3B2	854.9837
ALDH4A1	522.55	ALDH4A1	499.183
ALDH5A1	716.2199	ALDH5A1	714.4608
ALDH6A1	421.0957	ALDH6A1	428.2639
ALDH7A1	1768.1341	ALDH7A1	3454.2484
removed	removed	ALDH8A1	17.1569
ALDH9A1	4431.4534	ALDH9A1	3937.0915
ALDOA	19873.3973	ALDOA	9905.2288
ALDOC	87.8687	ALDOC	665.4412
ALG10B	298.3951	ALG10B	270.8333
ALG10	128.7546	ALG10	88.2353
ALG11	5.3797	ALG11	12.6634
ALG12	480.9468	ALG12	353.7582
ALG13	344.6606	ALG13	463.2353
ALG14	162.1088	ALG14	167.0752
ALG1L	14.0626	ALG1L	12.5163
ALG1	605.1609	ALG1	404.5711
ALG2	899.4889	ALG2	942.402
ALG3	640.1865	ALG3	435.4575
ALG5	614.0052	ALG5	501.2255
ALG6	353.6268	ALG6	221.4052
ALG8	1305.4783	ALG8	616.8301
ALG9	914.5521	ALG9	551.8791
ALKBH1	243.8806	ALKBH1	291.2582
ALKBH2	239.5768	ALKBH2	371.3235
ALKBH3	444.0061	ALKBH3	510.2124
ALKBH4	305.568	ALKBH4	227.5735
ALKBH5	1666.9954	ALKBH5	2243.4314
ALKBH6	92.5312	ALKBH6	50.2451
ALKBH7	1174.5719	ALKBH7	279.4118
ALKBH8	338.9223	ALKBH8	332.5163
removed	removed	ALK	22.0588
ALMS1	1118.6228	ALMS1	896.6503
ALOX12P2	5.0211	ALOX12P2	26.5523
removed	removed	ALOX12	9.3954
ALOX15B	12.5527	ALOX15B	165.0327
ALOX15	22.2362	ALOX15	5.719
ALOX5AP	409.9345	ALOX5AP	223.0392
ALOX5	277.9521	ALOX5	684.6405
ALOXE3	19.7256	ALOXE3	12.2549
ALPK1	332.108	ALPK1	799.0196
ALPK2	7.8903	ALPK2	62.5
ALPK3	228.4587	ALPK3	141.3399
ALPL	227.0241	ALPL	2045.3431
ALS2CL	86.0755	ALS2CL	379.4935
ALS2CR4	690.0386	ALS2CR4	1447.3039
ALS2CR8	89.3033	ALS2CR8	212.8268
ALS2	509.6387	ALS2	709.5588
ALX3	9.6835	ALX3	45.3431
removed	removed	ALX4	100.8987
AMACR	586.748	AMACR	314.951
removed	removed	AMBP	14.2974
AMBRA1	1380.4358	AMBRA1	1213.6438
AMD1	770.2286	AMD1	2091.8423
removed	removed	AMDHD1	29.4118
AMDHD2	213.0369	AMDHD2	121.0498
AMFR	6738.994	AMFR	3197.3039
AMICA1	144.5351	AMICA1	223.4477
