gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
AMFR	2727.1281	AMFR	2204.3874
AMH	7.1599	removed	removed
AMICA1	50.9149	AMICA1	98.4484
AMIGO1	99.4431	AMIGO1	129.8377
AMIGO2	591.0899	AMIGO2	228.2861
AMIGO3	84.3278	AMIGO3	39.2367
AMMECR1L	1029.4352	AMMECR1L	896.7362
AMMECR1	562.4503	AMMECR1	134.8315
AMN1	245.0278	AMN1	99.8752
removed	removed	AMN	100.5886
AMOTL1	1075.5768	AMOTL1	2479.7574
AMOTL2	1817.0247	AMOTL2	3247.3694
AMOT	331.7422	AMOT	414.4819
AMPD2	410.5012	AMPD2	299.6255
AMPD3	119.3317	AMPD3	38.5233
AMPH	101.8298	AMPH	231.1396
AMT	20.8194	AMT	96.4651
AMY2B	136.2689	AMY2B	504.5836
AMZ1	11.1376	removed	removed
AMZ2P1	280.0318	AMZ2P1	297.4853
AMZ2	1276.8496	AMZ2	1793.4724
ANAPC10	108.9897	ANAPC10	152.6663
ANAPC11	474.9403	ANAPC11	1418.9406
ANAPC13	1740.2387	ANAPC13	1364.4801
ANAPC16	2186.9531	ANAPC16	4505.0829
ANAPC1	573.5879	ANAPC1	422.3292
ANAPC2	606.2053	ANAPC2	660.6028
ANAPC4	428.7987	ANAPC4	477.974
ANAPC5	2362.7685	ANAPC5	1667.2017
ANAPC7	991.249	ANAPC7	572.142
ANGEL1	403.3413	ANGEL1	355.2702
ANGEL2	883.8504	ANGEL2	459.4257
ANGPT1	129.6738	ANGPT1	539.3258
ANGPT2	233.0947	ANGPT2	179.0619
removed	removed	ANGPT4	22.8286
ANGPTL1	101.0342	ANGPTL1	593.5438
ANGPTL2	1552.1082	ANGPTL2	4514.3571
ANGPTL4	482.1002	ANGPTL4	3370.7865
ANGPTL5	9.5465	ANGPTL5	224.0057
ANGPTL7	7.1599	ANGPTL7	30.6759
ANG	190.9308	ANG	1562.3328
ANK1	5.5688	ANK1	32.8161
ANK2	339.6977	ANK2	1476.0121
ANK3	1618.934	ANK3	303.1924
ANKAR	36.5951	ANKAR	54.9313
ANKDD1A	61.257	ANKDD1A	82.0403
ANKFY1	1479.7136	ANKFY1	1467.4514
ANKHD1-EIF4EBP3	1601.9809	ANKHD1-EIF4EBP3	1057.5709
ANKHD1	2274.3596	ANKHD1	1661.623
ANKH	1126.4916	ANKH	1109.3276
ANKIB1	1253.7788	ANKIB1	1033.7079
ANKK1	13.5243	ANKK1	14.2679
ANKLE2	1427.2076	ANKLE2	1702.8714
ANKMY1	192.5219	ANKMY1	192.6164
ANKMY2	715.1949	ANKMY2	604.9581
ANKRA2	301.5115	ANKRA2	273.2299
ANKRD10	1657.9157	ANKRD10	1207.0626
ANKRD11	1390.1352	ANKRD11	2539.9251
ANKRD12	2335.72	ANKRD12	1424.6478
ANKRD13A	1205.2506	ANKRD13A	739.7895
ANKRD13B	75.5768	ANKRD13B	160.5136
ANKRD13C	772.4741	ANKRD13C	671.3037
ANKRD13D	187.7486	ANKRD13D	423.756
ANKRD16	170.2466	ANKRD16	135.0027
ANKRD17	3503.58	ANKRD17	1895.4878
ANKRD19	71.599	ANKRD19	137.685
removed	removed	ANKRD20A3	13.5545
ANKRD20B	7.1599	ANKRD20B	19.975
ANKRD22	42.1639	removed	removed
ANKRD23	36.5951	ANKRD23	19.2616
ANKRD24	18.2975	ANKRD24	69.1992
ANKRD26	312.6492	ANKRD26	168.361
ANKRD27	637.2315	ANKRD27	632.7805
ANKRD28	2533.0151	ANKRD28	1792.0457
ANKRD29	45.3461	ANKRD29	224.0057
ANKRD30A	6657.1201	removed	removed
ANKRD30B	233.0947	removed	removed
ANKRD32	248.21	ANKRD32	71.3394
ANKRD34A	37.3906	ANKRD34A	59.2117
removed	removed	ANKRD34C	5.7072
ANKRD35	49.3238	ANKRD35	316.7469
ANKRD36BP1	104.2164	ANKRD36BP1	67.059
ANKRD36B	31.0263	ANKRD36B	15.6947
ANKRD36	186.9531	ANKRD36	85.6073
ANKRD37	69.4352	ANKRD37	84.8867
ANKRD39	62.8481	ANKRD39	140.5386
ANKRD40	1342.8799	ANKRD40	2660.2461
ANKRD42	618.934	ANKRD42	216.1584
ANKRD43	959.4272	ANKRD43	87.7475
ANKRD44	38.1862	ANKRD44	77.0465
ANKRD46	366.7462	ANKRD46	858.9263
ANKRD49	407.319	ANKRD49	211.878
ANKRD50	3133.6516	ANKRD50	517.2106
ANKRD52	1018.2975	ANKRD52	722.6681
ANKRD53	23.8663	ANKRD53	585.6965
ANKRD54	416.07	ANKRD54	269.6629
ANKRD55	5.5688	ANKRD55	7.8473
ANKRD56	104.2164	ANKRD56	14.2679
ANKRD57	2046.9372	ANKRD57	278.937
removed	removed	ANKRD58	6.4205
ANKRD5	342.0843	ANKRD5	327.4478
ANKRD6	311.4956	ANKRD6	154.8136
ANKRD9	63.6436	ANKRD9	78.4733
ANKS1A	920.4455	ANKS1A	866.7737
ANKS1B	243.4368	ANKS1B	8.5607
ANKS3	194.9085	ANKS3	236.8468
ANKS6	161.4956	ANKS6	435.8837
ANKZF1	431.9809	ANKZF1	552.1669
ANLN	64.4391	ANLN	9.2741
ANO10	1060.4614	ANO10	1227.0376
ANO1	1170.2466	ANO1	297.4853
