gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
RHOU	616.2805	RHOU	2514.2508
RHOV	100.9341	RHOV	784.202
RHPN1	923.4502	RHPN1	323.6971
RHPN2	1657.6489	RHPN2	972.3127
RIBC1	59.687	RIBC1	55.7818
RIBC2	301.3466	RIBC2	22.3941
RIC3	6.3084	RIC3	286.2378
RIC8A	1332.1849	RIC8A	1904.1164
RIC8B	932.1849	RIC8B	528.0945
RICH2	176.6347	RICH2	230.0489
RICTOR	821.0603	RICTOR	1026.873
RIF1	1730.9232	RIF1	1358.3062
RILPL1	106.4418	RILPL1	380.741
RILPL2	237.7775	RILPL2	656.759
RILP	39.3061	RILP	131.5147
removed	removed	RIMBP2	28.5016
RIMBP3C	7.2789	removed	removed
RIMBP3	47.0702	RIMBP3	11.8078
RIMKLA	445.9541	RIMKLA	43.1596
RIMKLB	238.9518	RIMKLB	687.4878
RIMS1	5.3379	RIMS1	9.3648
RIMS2	1094.2618	RIMS2	10.9935
RIMS3	49.0113	RIMS3	372.9642
RIMS4	5919.2042	RIMS4	97.7199
RIN1	262.0405	RIN1	241.0423
RIN2	724.0082	RIN2	1209.2834
RIN3	416.3533	RIN3	789.0879
RING1	465.8498	RING1	896.1726
RINL	250.8795	RINL	139.658
RINT1	304.5153	RINT1	354.487
RIOK1	351.8137	RIOK1	563.5179
RIOK2	432.3669	RIOK2	511.4007
RIOK3	2423.3895	RIOK3	1317.5896
RIPK1	695.3779	RIPK1	1100.1629
RIPK2	361.5189	RIPK2	356.2704
RIPK3	188.281	RIPK3	210.0977
RIPK4	274.172	RIPK4	938.5179
RIT1	504.6706	RIT1	538.6808
RLF	542.5209	RLF	975.9772
RLIM	2191.4352	RLIM	1691.7752
RLN2	18.9251	RLN2	26.873
RLTPR	120.8298	RLTPR	32.5733
RMI1	1014.1939	RMI1	208.8762
RMND1	1219.9442	RMND1	511.4007
RMND5A	2599.539	RMND5A	1444.2182
RMND5B	890.4525	RMND5B	600.1629
RMRP	11.161	RMRP	21.987
removed	removed	RMST	21.987
RNASE1	2061.3854	RNASE1	4860.7492
RNASE2	12.1315	RNASE2	9.772
RNASE4	1498.042	RNASE4	1957.1621
RNASE6	296.9793	RNASE6	534.202
removed	removed	RNASE7	56.1889
RNASEH1	310.0813	RNASEH1	215.3909
RNASEH2A	1688.7056	RNASEH2A	276.873
RNASEH2B	553.6819	RNASEH2B	403.0945
RNASEH2C	730.0594	RNASEH2C	547.7077
RNASEK	1199.0489	RNASEK	1542.3819
RNASEL	226.1313	RNASEL	385.9935
RNASEN	1655.2226	RNASEN	1175.0814
RNASET2	1064.1757	RNASET2	1195.4397
RND1	518.7432	RND1	131.9218
RND2	96.5668	RND2	94.8697
RND3	536.6978	RND3	4067.9967
RNF103	1511.2216	RNF103	1330.7248
RNF10	2273.9294	RNF10	3381.5147
RNF111	427.5143	RNF111	791.1238
removed	removed	RNF112	14.658
RNF113A	296.0087	RNF113A	236.1564
RNF114	2472.4008	RNF114	1366.8567
RNF115	501.2738	RNF115	608.3062
RNF11	1822.6374	RNF11	2405.9446
RNF121	629.8678	RNF121	532.9805
RNF122	102.8752	RNF122	256.5147
RNF123	529.4189	RNF123	776.4658
RNF125	217.3966	RNF125	436.8893
removed	removed	RNF126P1	7.329
RNF126	610.4574	RNF126	448.2899
RNF128	12.1315	RNF128	302.1173
RNF130	1221.4	RNF130	1650.6515
RNF135	355.6957	RNF135	580.6189
RNF138P1	24.263	RNF138P1	15.4723
RNF138	1539.2454	RNF138	570.0326
RNF139	1497.9983	RNF139	789.9023
RNF13	1827.0047	RNF13	1445.4397
RNF141	688.099	RNF141	1157.1661
RNF144A	481.8634	RNF144A	597.7199
RNF144B	705.0831	RNF144B	3304.1531
RNF145	1622.7102	RNF145	1592.4267
RNF146	523.1105	RNF146	837.9479
removed	removed	RNF148	8.5505
RNF149	732.2577	RNF149	902.6873
RNF14	1024.3843	RNF14	1072.0684
RNF150	24.263	RNF150	222.7199
RNF152	192.6483	RNF152	47.6384
RNF157	294.0337	RNF157	68.3428
RNF160	828.8245	RNF160	990.228
RNF165	169.0841	RNF165	198.6116
RNF166	176.1495	RNF166	226.7915
RNF167	1962.3923	RNF167	2006.1075
RNF168	425.5732	RNF168	181.1889
RNF169	748.8827	RNF169	909.0024
RNF170	355.6957	RNF170	460.5049
removed	removed	RNF175	22.3941
RNF180	31.0567	RNF180	250.8143
RNF181	976.8288	RNF181	781.759
RNF182	26.2041	RNF182	15.0651
RNF183	127.1382	RNF183	65.1466
RNF185	1104.3018	RNF185	1367.2394
removed	removed	RNF186	32.9805
RNF187	2973.1894	RNF187	2185.6678
RNF19A	1790.6102	RNF19A	1655.5375
RNF19B	1053.4999	RNF19B	626.6287
RNF207	108.6983	RNF207	192.1824
RNF208	90.7437	RNF208	56.5961
RNF20	1096.2028	RNF20	1401.4658
RNF212	10.1905	RNF212	26.873
RNF213	4829.4359	RNF213	3919.5155
RNF214	232.4396	RNF214	398.6156
RNF215	189.2515	RNF215	292.3453
RNF216L	136.8434	RNF216L	248.7785
RNF216	606.09	RNF216	1607.899
RNF217	61.6183	RNF217	125.8021
RNF219	696.6541	RNF219	374.4096
RNF220	1465.4713	RNF220	1214.0798
removed	removed	RNF222	8.5505
RNF24	306.6845	RNF24	339.5765
RNF25	511.4643	RNF25	409.202
RNF26	917.6271	RNF26	840.3909
RNF2	430.9111	RNF2	543.1596
RNF31	1606.6529	RNF31	1156.5147
RNF32	18.9251	RNF32	33.7948
RNF34	587.2231	RNF34	504.9715
RNF38	1440.7376	RNF38	1449.5114
RNF39	36.8798	RNF39	260.5863
RNF40	2334.1017	RNF40	2570.4397
RNF41	898.7019	RNF41	945.8469
RNF43	463.9088	RNF43	962.9479
RNF44	1654.2521	RNF44	989.8208
RNF4	2111.3672	RNF4	1511.4007
RNF5P1	88.8026	RNF5P1	86.7264
RNF5	700.7158	RNF5	736.1564
RNF6	960.8152	RNF6	736.5635
RNF7	1304.3795	RNF7	999.1857
RNF8	130.0497	RNF8	307.8176
RNFT1	374.1356	RNFT1	251.6287
RNFT2	109.1835	RNFT2	22.3941
RNGTT	484.775	RNGTT	470.2769
RNH1	1182.0939	RNH1	3148.2085
RNLS	60.6575	RNLS	151.0586
RNMTL1	181.4873	RNMTL1	317.1824
RNMT	1079.2187	RNMT	1148.2085
RNPC3	164.018	RNPC3	207.6181
RNPEPL1	1559.1411	RNPEPL1	1356.6775
RNPEP	1907.5579	RNPEP	1719.0554
RNPS1	2439.4031	RNPS1	2326.9544
ROBLD3	778.8427	ROBLD3	517.9153
ROBO1	435.7637	ROBO1	642.101
ROBO2	24.263	removed	removed
ROBO3	72.789	ROBO3	254.4788
ROBO4	260.0995	ROBO4	1166.9381
ROCK1	1591.1683	ROCK1	1651.0586
ROCK2	681.3053	ROCK2	1361.1564
ROD1	2006.0658	ROD1	2405.1303
ROGDI	410.0449	ROGDI	554.5603
ROM1	109.1835	ROM1	96.4984
ROMO1	731.2872	ROMO1	486.5635
removed	removed	ROPN1B	158.3876
ROPN1L	22.322	ROPN1L	11.4007
removed	removed	ROPN1	212.1336
ROR1	18.4399	ROR1	138.4365
ROR2	379.4735	ROR2	519.1368
RORA	292.1267	RORA	682.8176
RORB	43.6734	RORB	6.5147
RORC	470.7024	RORC	496.3355
RP1L1	7.2789	RP1L1	13.4365
RP1	27.1746	RP1	27.2801
RP2	371.7093	RP2	403.9088
RP9P	157.2243	RP9P	142.101
RP9	178.0905	RP9	134.3648
RPA1	2217.6392	RPA1	2270.7655
RPA2	1101.0554	RPA2	982.899
RPA3	187.3104	RPA3	216.6124
RPAIN	605.4349	RPAIN	582.4308
RPAP1	454.2036	RPAP1	664.9023
RPAP2	289.2151	RPAP2	295.1954
RPAP3	740.5071	RPAP3	628.2573
removed	removed	RPE65	7.7362
RPE	1013.0486	RPE	653.4243
RPF1	915.2008	RPF1	660.4235
RPF2	591.5322	RPF2	385.5863
RPGRIP1L	136.8434	RPGRIP1L	208.8762
RPGRIP1	19.4104	RPGRIP1	19.9511
RPGR	224.1902	RPGR	346.0912
RPH3AL	153.3422	RPH3AL	401.0586
RPIA	540.0946	RPIA	364.8208
RPL10A	7405.5562	RPL10A	14836.3192
RPL10	14885.3087	RPL10	19211.1604
RPL11	13747.4221	RPL11	20015.0651
RPL12	10062.3559	RPL12	13383.1433
RPL13AP20	25.7188	RPL13AP20	27.2801
RPL13AP3	8.2494	RPL13AP3	7.7362
removed	removed	RPL13AP6	10.9935
removed	removed	RPL13A	19486.9707
RPL13P5	8.2494	RPL13P5	14.658
RPL13	8485.2602	RPL13	22324.1042
RPL14	8453.233	RPL14	8895.7655
RPL15	16523.1105	RPL15	20690.9609
RPL17	7357.3699	RPL17	7498.3062
RPL18A	2140.9681	RPL18A	2569.2182
RPL18	9915.8074	RPL18	14278.9088
RPL19P12	46.585	RPL19P12	95.2769
RPL19	10219.095	RPL19	18083.8762
removed	removed	RPL21P44	5.7003
removed	removed	RPL21	13.8436
RPL22L1	355.2105	RPL22L1	543.9739
RPL22	7018.8038	RPL22	9311.8893
RPL23AP53	165.4737	RPL23AP53	315.1466
removed	removed	RPL23AP64	5.7003
RPL23AP7	147.5191	RPL23AP7	101.7915
RPL23AP82	92.6847	RPL23AP82	109.9349
RPL23A	2733.9561	RPL23A	4738.5993
RPL23P8	33.483	RPL23P8	76.1401
RPL23	4661.8949	RPL23	11561.0749
RPL24	6315.6618	RPL24	9195.4397
RPL26L1	225.646	RPL26L1	168.5668
RPL26	5595.0503	RPL26	10806.5961
RPL27A	7411.3794	RPL27A	12720.684
RPL27	3388.0869	RPL27	6956.8404
RPL28	8384.8114	RPL28	10892.9153
RPL29	6233.6528	RPL29	10848.127
RPL30	13120.9511	RPL30	12284.202
RPL31	8212.0587	RPL31	17323.2899
RPL32P3	121.9702	RPL32P3	185.4316
RPL32	14683.0038	RPL32	18655.5375
RPL34	3217.7605	RPL34	13002.443
RPL35A	8087.8321	RPL35A	10449.1042
RPL35	7765.1341	RPL35	6122.1498
RPL36AL	3078.4908	RPL36AL	2624.5928
RPL36A	31.0567	RPL36A	46.0098
RPL36	6572.3644	RPL36	8797.6384
RPL37A	11839.3789	RPL37A	15263.8436
RPL37	8028.6304	RPL37	12285.4235
RPL38	5899.7938	RPL38	5324.9186
RPL39L	235.8365	RPL39L	153.0945
RPL39	477.9813	RPL39	583.0619
RPL3	26342.8363	RPL3	55054.9674
RPL41	13359.6991	RPL41	18145.7655
RPL4	28065.0249	RPL4	27562.2964
RPL5	16082.4942	RPL5	22188.4976
RPL6	8798.2531	RPL6	9846.4984
RPL7A	10608.2737	RPL7A	18270.3583
RPL7L1	1521.2908	RPL7L1	1052.9316
RPL7	1383.9621	RPL7	1742.671
RPL8	51835.4968	RPL8	27834.2834
RPL9	234.3807	RPL9	287.4593
RPLP0P2	36.8798	RPLP0P2	17.101
RPLP0	17249.5451	RPLP0	26549.6743
RPLP1	24503.2148	RPLP1	22771.987
RPLP2	5880.3834	RPLP2	11743.4853
RPN1	10571.3939	RPN1	5540.3094
RPN2	19163.4065	RPN2	6950.7288
RPP14	404.2218	RPP14	495.5212
RPP21	435.7637	RPP21	197.9642
RPP25	677.9085	RPP25	157.1661
RPP30	345.9905	RPP30	473.9414
RPP38	345.5053	RPP38	322.0684
RPP40	74.7301	RPP40	102.1987
RPPH1	35.424	RPPH1	16.2866
RPRD1A	2784.4231	RPRD1A	1144.9511
RPRD1B	1106.8786	RPRD1B	812.7036
RPRD2	2137.086	RPRD2	1508.1433
RPRML	17.4694	removed	removed
RPRM	53.3786	removed	removed
RPS10P7	41.2471	RPS10P7	76.1401
RPS10	2703.3847	RPS10	6580.6189
RPS11	17032.6337	RPS11	25478.013
RPS12	11746.6942	RPS12	16109.5277
RPS13	7985.9275	RPS13	8383.1433
RPS14	10492.2965	RPS14	16124.5928
RPS15A	5558.1706	RPS15A	11456.4332
RPS15	4089.2879	RPS15	4334.6906
RPS16	9917.7484	RPS16	11142.5081
RPS17	13328.1572	RPS17	11816.7752
RPS18	13947.8345	RPS18	31710.0977
RPS19BP1	986.0488	RPS19BP1	756.5147
RPS19	16169.8411	RPS19	15508.9577
RPS20	12081.0385	RPS20	14947.0684
RPS21	5184.0349	RPS21	5841.6124
RPS23	9515.4677	RPS23	14358.3062
RPS24	20140.7255	RPS24	18204.8046
RPS25	4389.1787	RPS25	10691.7752
RPS26	610.9426	RPS26	1234.9349
RPS27A	7784.5445	RPS27A	12358.3062
RPS27L	866.6748	RPS27L	1127.443
RPS27	866.6748	RPS27	1153.5016
RPS28	819.6045	RPS28	936.0749
RPS29	5462.5743	RPS29	6543.5668
removed	removed	RPS2P32	11.4007
RPS2	6996.5935	RPS2	12905.5375
RPS3A	3360.427	RPS3A	6989.0065
RPS3	19338.1051	RPS3	25283.3876
RPS4X	27389.5426	RPS4X	43905.5375
RPS5	13293.7037	RPS5	13085.5049
RPS6KA1	963.7268	RPS6KA1	1092.4267
RPS6KA2	486.2307	RPS6KA2	1571.2541
RPS6KA3	850.6612	RPS6KA3	1568.8111
RPS6KA4	554.6524	RPS6KA4	560.6678
RPS6KA5	400.8249	RPS6KA5	634.772
RPS6KA6	81.0385	RPS6KA6	53.7459
RPS6KB1	792.9152	RPS6KB1	858.7134
RPS6KB2	1358.2434	RPS6KB2	575.7329
RPS6KC1	611.4279	RPS6KC1	546.4169
RPS6KL1	8.2494	RPS6KL1	120.9283
RPS6	25586.8009	RPS6	34706.8404
RPS7	5496.5425	RPS7	6586.7264
RPS8	17451.4133	RPS8	23008.5505
RPS9	11569.5742	RPS9	17863.5993
RPSAP58	11874.3176	RPSAP58	8127.8502
RPSAP9	28.1451	RPSAP9	16.6938
RPSA	7977.1928	RPSA	5177.9316
RPTOR	1390.2705	RPTOR	853.4202
RPUSD1	356.181	RPUSD1	338.355
RPUSD2	124.2266	RPUSD2	162.0521
RPUSD3	383.8408	RPUSD3	317.9967
RPUSD4	270.2899	RPUSD4	491.4495
RQCD1	413.927	RQCD1	202.7687
RRAD	9.2199	RRAD	66.3681
RRAGA	1568.361	RRAGA	2151.0586
RRAGB	193.1336	RRAGB	344.4625
RRAGC	339.6822	RRAGC	364.7557
RRAGD	151.4012	RRAGD	370.114
RRAS2	137.3286	RRAS2	432.4104
RRAS	267.8636	RRAS	848.9414
RRBP1	4535.242	RRBP1	5896.5798
RREB1	792.4299	RREB1	1450.7329
RRM1	1742.5695	RRM1	1355.0489
RRM2B	757.0059	RRM2B	747.1498
RRM2	5415.9893	RRM2	148.2085
RRN3P1	32.9977	RRN3P1	54.5603
RRN3P2	13.5873	RRN3P2	19.9511
RRN3P3	37.2534	RRN3P3	62.1132
removed	removed	RRN3	1256.5147
RRP12	773.0195	RRP12	949.9186
RRP15	574.0628	RRP15	510.9935
RRP1B	1479.5584	RRP1B	980.0489
RRP1	896.7609	RRP1	622.557
RRP7A	1251.9714	RRP7A	956.4332
RRP7B	171.8209	RRP7B	163.2044
RRP8	171.7821	RRP8	354.6417
RRP9	296.9793	RRP9	435.2606
RRS1	709.4504	RRS1	402.2801
RSAD1	756.0354	RSAD1	857.899
RSAD2	662.8655	RSAD2	289.4951
RSBN1L	653.9512	RSBN1L	529.5765
RSBN1	540.5799	RSBN1	695.4397
RSC1A1	229.6931	RSC1A1	198.5261
RSF1	1053.0147	RSF1	983.3062
RSL1D1	2862.0648	RSL1D1	4175.0814
RSL24D1	1496.5425	RSL24D1	2048.4528
RSPH10B2	7.7642	removed	removed
RSPH1	200.8977	RSPH1	65.5537
RSPH3	129.0792	RSPH3	173.8599
RSPH4A	30.0861	RSPH4A	13.8436
RSPH9	8.2494	RSPH9	12.215
RSPO1	12.1315	RSPO1	177.5244
RSPO3	21.8367	RSPO3	528.0945
RSPO4	60.1723	RSPO4	19.9511
RSPRY1	335.8001	RSPRY1	440.9609
RSRC1	246.5122	RSRC1	207.2476
RSRC2	1619.3134	RSRC2	1606.2704
RSU1	1443.6492	RSU1	1541.1238
RTBDN	325.6096	removed	removed
RTCD1	984.1077	RTCD1	418.5668
RTEL1	728.8511	RTEL1	402.4389
RTF1	1543.1275	RTF1	1863.1922
RTKN2	309.1108	RTKN2	53.7459
RTKN	1168.0214	RTKN	760.1792
RTN1	791.9447	RTN1	479.2345
RTN2	684.7022	RTN2	308.2248
RTN3	12749.727	RTN3	3343.241
RTN4IP1	199.442	RTN4IP1	132.7362
RTN4RL1	131.5055	RTN4RL1	522.8013
RTN4RL2	31.5419	RTN4RL2	19.1368
RTN4R	250.8795	RTN4R	51.7101
RTN4	4351.3284	RTN4	5453.9902
RTP4	180.0315	RTP4	247.9642
RTTN	526.5073	RTTN	363.1922
RUFY1	897.2461	RUFY1	1204.8046
RUFY2	331.918	RUFY2	447.0765
RUFY3	462.9383	RUFY3	915.3094
RUFY4	6.3084	RUFY4	20.3583
RUNDC1	442.0721	RUNDC1	774.8371
RUNDC2A	20.8662	RUNDC2A	51.7101
RUNDC2C	17.1442	RUNDC2C	27.671
RUNDC3A	774.9606	RUNDC3A	16.6938
RUNDC3B	8.7347	RUNDC3B	133.5505
RUNX1T1	37.365	RUNX1T1	57.4104
RUNX1	6607.7884	RUNX1	6149.0228
RUNX2	329.0064	RUNX2	247.1498
RUNX3	340.1674	RUNX3	413.2736
RUSC1	1135.0237	RUSC1	681.1889
removed	removed	RUSC2	814.7394
RUVBL1	1187.1697	RUVBL1	861.2093
RUVBL2	2818.3914	RUVBL2	1390.4723
RWDD1	1067.5725	RWDD1	801.7101
RWDD2A	111.1246	RWDD2A	76.5472
RWDD2B	379.4735	RWDD2B	353.4202
RWDD3	283.4017	RWDD3	278.0945
RWDD4A	388.6934	RWDD4A	480.8632
RXRA	1257.3092	RXRA	1840.798
RXRB	671.6001	RXRB	1094.0554
removed	removed	RXRG	6.1075
RYBP	769.1374	RYBP	1658.7948
RYK	1430.5471	RYK	1561.0749
removed	removed	RYR1	324.1042
RYR2	22.322	RYR2	16.6938
removed	removed	RYR3	181.5961
S100A10	1517.894	S100A10	2667.3453
S100A11	6006.551	S100A11	4090.798
S100A13	2129.3218	S100A13	1517.101
S100A14	833.6771	S100A14	1151.873
S100A16	646.3666	S100A16	2695.0326
S100A1	487.6865	S100A1	456.8404
S100A2	33.9682	S100A2	105.0489
S100A3	7.2789	S100A3	10.1792
S100A4	637.6319	S100A4	1206.0261
S100A6	1506.2477	S100A6	7162.8664
S100A7A	72.3038	removed	removed
S100A7	555.1377	S100A7	76.5472
S100A8	205.2651	S100A8	142.101
S100A9	1202.4748	S100A9	397.8013
S100B	71.3333	S100B	465.3909
S100PBP	1019.0465	S100PBP	548.4528
S100P	10.1905	S100P	9.772
S1PR1	409.5596	S1PR1	3644.544
S1PR2	303.2876	S1PR2	411.645
S1PR3	466.3157	S1PR3	491.3803
S1PR4	60.6575	S1PR4	30.5375
S1PR5	94.1405	S1PR5	26.4658
SAA1	218.3671	SAA1	5687.2964
SAA2	75.2153	SAA2	2772.8013
removed	removed	SAA4	83.8762
SAAL1	284.3625	SAAL1	186.4821
SAC3D1	451.292	SAC3D1	84.6906
SACM1L	930.7291	SACM1L	1149.0228
SACS	242.6301	SACS	855.8632
SAE1	2648.5503	SAE1	1466.2052
SAFB2	1829.9163	SAFB2	1583.4691
SAFB	2613.6115	SAFB	2034.6091
SALL1	82.4942	SALL1	19.9511
SALL2	783.21	SALL2	614.4137
SALL4	22.8072	removed	removed
SAMD10	221.2787	SAMD10	114.4137
SAMD11	880.6405	SAMD11	83.4976
SAMD12	502.2443	SAMD12	376.2215
removed	removed	SAMD13	40.7166
SAMD14	8.7347	SAMD14	8.5505
SAMD1	688.099	SAMD1	240.228
SAMD3	80.0679	SAMD3	32.5733
SAMD4A	153.3422	SAMD4A	422.6384
SAMD4B	1817.2995	SAMD4B	1700.3257
SAMD5	246.0269	SAMD5	1097.3127
SAMD8	149.9454	SAMD8	155.1303
SAMD9L	1009.3413	SAMD9L	1064.3322
SAMD9	1397.5494	SAMD9	492.671
SAMHD1	1256.3533	SAMHD1	1696.1441
SAMM50	1230.1347	SAMM50	829.3974
SAMSN1	276.5983	SAMSN1	149.0228
SAP130	726.4346	SAP130	695.8469
SAP18	2175.9068	SAP18	2135.5863
SAP30BP	1613.4902	SAP30BP	1200.3257
SAP30L	1215.5769	SAP30L	1262.6221
SAP30	248.4532	SAP30	192.1824
SAPS1	3231.3478	SAPS1	1680.7818
SAPS2	697.0326	SAPS2	1188.9251
SAPS3	2679.1217	SAPS3	2287.4593
SAR1A	4177.6052	SAR1A	2259.772
SAR1B	961.3005	SAR1B	430.3746
SARDH	93.17	SARDH	135.9935
SARM1	98.4544	SARM1	623.3958
SARNP	826.0827	SARNP	795.794
SARS2	474.8223	SARS2	378.8559
SARS	2835.8607	SARS	2740.228
SART1	1865.8255	SART1	1458.4691
SART3	2435.0358	SART3	1649.43
SASH1	423.6322	SASH1	2462.5407
SASH3	485.2602	SASH3	297.6384
SASS6	383.3556	SASS6	135.5863
SAT1	4312.0223	SAT1	4039.9023
SAT2	215.4555	SAT2	572.0684
SATB1	186.3399	SATB1	730.8632
SATB2	99.9636	SATB2	63.9251
SATL1	19.4104	SATL1	31.759
SAV1	704.5978	SAV1	1582.2476
SBDSP1	397.9134	SBDSP1	531.759
SBDS	1358.7286	SBDS	2285.8306
SBF1	1943.7535	SBF1	1287.4593
SBF2	522.863	SBF2	1093.7541
SBK1	1109.3049	SBK1	208.4691
SBK2	6.3084	removed	removed
SBNO1	375.5914	SBNO1	500.4072
SBNO2	2085.6484	SBNO2	2165.7166
removed	removed	SBSN	40.7166
SC4MOL	569.2102	SC4MOL	1063.1107
SC5DL	561.4461	SC5DL	1294.7883
SC65	489.6276	SC65	352.1987
SCAF1	1536.8191	SCAF1	1410.0163
SCAI	499.3328	SCAI	339.1694
SCAMP1	1371.8306	SCAMP1	1431.5961
SCAMP2	2251.1222	SCAMP2	2186.4821
SCAMP3	1234.9873	SCAMP3	1049.2671
SCAMP4	1658.1342	SCAMP4	1838.7622
SCAMP5	2695.1353	SCAMP5	476.3844
SCAND1	556.5935	SCAND1	470.2769
SCAND2	399.3692	SCAND2	317.1824
SCAND3	166.4443	SCAND3	94.8697
SCAPER	360.0631	SCAPER	512.215
SCAP	2170.6903	SCAP	2113.3998
SCARA3	1382.5064	SCARA3	1370.114
SCARA5	31.0567	SCARA5	322.0684
SCARB1	738.0808	SCARB1	1605.456
SCARB2	3962.1497	SCARB2	6403.0945
SCARF1	116.9477	SCARF1	385.5863
SCARF2	153.8275	SCARF2	182.8176
SCARNA10	7.2789	removed	removed
SCARNA12	9.2199	removed	removed
SCARNA17	8.2494	SCARNA17	6.1075
SCARNA9	5.3379	SCARNA9	6.1075
SCCPDH	642.4845	SCCPDH	1108.3062
SCD5	433.3374	SCD5	458.4691
SCD	19117.7969	SCD	3655.5375
SCFD1	1075.8219	SCFD1	936.4821
SCFD2	266.8931	SCFD2	433.2248
SCG2	412.4712	SCG2	50.8958
SCG5	87.8321	SCG5	296.0098
SCGB1D2	73.7596	SCGB1D2	635.9935
SCGB2A1	77.6416	SCGB2A1	50.4886
SCGB2A2	300.3761	SCGB2A2	1839.1694
SCGB3A1	430.9111	SCGB3A1	1326.5472
SCGN	118.4035	removed	removed
SCHIP1	123.1736	SCHIP1	366.0423
SCIN	47.5555	SCIN	72.0684
SCLT1	193.1336	SCLT1	213.7622
SCLY	312.5076	SCLY	193.8111
SCMH1	1365.5223	SCMH1	1125.4072
SCML1	57.2607	SCML1	178.3388
SCML2	117.9182	SCML2	43.5668
SCML4	81.0385	SCML4	62.7036
SCN11A	5.8231	SCN11A	44.7883
SCN1A	19.4104	removed	removed
SCN1B	84.4353	SCN1B	233.3062
removed	removed	SCN2A	357.4919
removed	removed	SCN2B	164.9023
SCN3A	11.161	SCN3A	74.1042
SCN3B	110.6393	SCN3B	56.1889
SCN4A	11.6462	SCN4A	85.5049
SCN4B	73.2743	SCN4B	823.6971
SCN5A	6.7936	SCN5A	25.2443
SCN7A	11.6462	SCN7A	103.013
SCN8A	188.281	SCN8A	62.2964
SCN9A	9.2199	SCN9A	35.4235
SCNM1	953.0511	SCNM1	280.9446
SCNN1A	3092.5634	SCNN1A	2780.5375
SCNN1B	471.1877	SCNN1B	402.6873
SCNN1D	66.9659	SCNN1D	48.8599
SCNN1G	289.7004	SCNN1G	336.7264
SCO1	288.7298	SCO1	440.1466
SCO2	584.2533	SCO2	317.9967
SCOC	1011.2823	SCOC	1527.6873
SCP2	2280.2378	SCP2	2468.241
SCPEP1	1921.6305	SCPEP1	4300.8958
removed	removed	SCRG1	65.1466
SCRIB	3336.164	SCRIB	1804.9674
SCRN1	2094.3831	SCRN1	1399.0228
SCRN2	336.7706	SCRN2	836.7264
SCRN3	327.5506	SCRN3	261.4007
SCRT1	20.8662	removed	removed
SCRT2	21.3514	removed	removed
SCT	13.5873	removed	removed
SCUBE1	243.6006	SCUBE1	149.43
SCUBE2	168.8706	SCUBE2	4154.7231
SCUBE3	81.0385	SCUBE3	26.873
SCYL1	2173.8736	SCYL1	1710.4397
SCYL2	1042.8242	SCYL2	1057.4104
SCYL3	520.4076	SCYL3	485.3135
SDAD1	705.5684	SDAD1	1090.3909
SDC1	8674.0264	SDC1	3147.3941
SDC2	8444.0131	SDC2	1674.6743
SDC3	4805.532	SDC3	6864.8208
SDC4	4705.5684	SDC4	7493.0782
SDCBP2	96.0281	SDCBP2	77.7158
SDCBP	2707.752	SDCBP	3478.8274
SDCCAG1	946.7427	SDCCAG1	970.2769
SDCCAG3	519.2284	SDCCAG3	538.6808
SDCCAG8	321.7275	SDCCAG8	645.3583
SDF2L1	461.4825	SDF2L1	293.5668
SDF2	535.7273	SDF2	736.9707
SDF4	2875.1668	SDF4	2531.759
SDHAF1	230.4986	SDHAF1	211.7264
SDHAF2	726.4346	SDHAF2	640.0651
SDHAP1	234.8659	SDHAP1	273.6156
SDHAP2	195.5599	SDHAP2	235.342
SDHAP3	172.2674	SDHAP3	100.57
SDHA	3185.2481	SDHA	1907.1661
SDHB	1323.7899	SDHB	918.1596
SDHC	1536.3339	SDHC	1520.3583
SDHD	1043.7947	SDHD	1408.3876
SDK1	19.8957	SDK1	170.6026
SDK2	736.1398	SDK2	535.0163
SDPR	256.7027	SDPR	4122.1498
SDR16C5	271.2605	SDR16C5	52.5244
SDR39U1	1004.7216	SDR39U1	596.4577
SDR42E1	200.8977	SDR42E1	267.9153
SDSL	153.3422	SDSL	276.4658
SDS	122.7708	SDS	28.0945
SEC11A	2816.4503	SEC11A	1941.7752
SEC11C	2648.5503	SEC11C	744.7068
SEC13	2361.7615	SEC13	1660.8306
SEC14L1	1786.2429	SEC14L1	3720.2769
SEC14L2	481.9022	SEC14L2	1926.5187
SEC14L5	12.1315	SEC14L5	17.5081
SEC16A	2890.2099	SEC16A	3755.7003
SEC16B	64.6027	SEC16B	209.1612
removed	removed	SEC1	10.1792
SEC22A	293.5824	SEC22A	287.4593
SEC22B	1726.5559	SEC22B	1270.3583
SEC22C	647.8224	SEC22C	655.1303
SEC23A	877.3505	SEC23A	1228.8274
SEC23B	2494.7228	SEC23B	1737.785
SEC23IP	852.6022	SEC23IP	1264.658
SEC24A	890.9378	SEC24A	916.5309
SEC24B	609.4868	SEC24B	1512.6221
SEC24C	5743.54	SEC24C	3115.6352
SEC24D	1585.3451	SEC24D	1692.1824
SEC31A	2919.3255	SEC31A	4180.2036
SEC31B	70.848	SEC31B	150.513
SEC61A1	11592.7308	SEC61A1	7589.5725
SEC61A2	312.362	SEC61A2	105.4967
SEC61B	1309.2321	SEC61B	1225.9772
SEC61G	1780.4198	SEC61G	651.873
SEC62	2435.521	SEC62	3129.0717
