gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
AGER	23.5235	AGER	33.7238
AGFG1	3920.4204	AGFG1	2520.0212
AGFG2	160.1602	AGFG2	352.803
AGGF1	441.4414	AGGF1	973.9141
AGK	1684.6847	AGK	652.6114
AGL	421.9219	AGL	2066.0468
AGMAT	30.5305	AGMAT	9.2648
AGPAT1	2675.0551	AGPAT1	1855.6028
AGPAT2	324.8248	AGPAT2	11865.2233
AGPAT3	3579.5796	AGPAT3	2553.3744
AGPAT4	617.6176	AGPAT4	176.0309
AGPAT5	476.4765	AGPAT5	246.0727
AGPAT6	1157.6577	AGPAT6	1825.9036
AGPAT9	333.3333	AGPAT9	860.1425
AGPHD1	95.5956	AGPHD1	85.236
AGPS	818.8188	AGPS	1993.7815
AGR2	106.1061	removed	removed
AGR3	14.5145	removed	removed
AGRN	8735.7357	AGRN	804.1832
AGTPBP1	549.049	AGTPBP1	675.588
AGTR1	6.006	AGTR1	1092.5033
AGTRAP	899.3994	AGTRAP	220.1313
AGT	668.6687	AGT	579.2343
AGXT2L2	134.3944	AGXT2L2	847.1829
removed	removed	AGXT	10.006
AHCTF1	3091.0911	AHCTF1	1761.7913
AHCYL1	2037.5375	AHCYL1	6145.887
AHCYL2	786.2863	AHCYL2	758.9711
AHCY	5185.1852	AHCY	1247.0399
AHDC1	1160.1602	AHDC1	393.1974
AHI1	559.0591	AHI1	540.6928
AHNAK2	93.5936	AHNAK2	841.9836
AHNAK	10540.04	AHNAK	128116.7733
AHRR	20.02	AHRR	120.4422
AHR	229.7297	AHR	1892.61
AHSA1	1926.9269	AHSA1	1634.3079
AHSA2	382.3824	AHSA2	366.1443
AIDA	3585.5856	AIDA	2617.1606
AIF1L	2991.992	AIF1L	2278.3956
AIF1	158.6587	AIF1	175.6603
AIFM1	1401.4014	AIFM1	1481.6242
AIFM2	198.6987	AIFM2	3454.6526
AIFM3	34.1942	AIFM3	5.4514
AIG1	645.6456	AIG1	1410.1001
AIM1L	6.5065	removed	removed
AIM1	3909.9099	AIM1	2196.4949
AIMP1	1942.8478	AIMP1	1163.6568
AIMP2	215.9359	AIMP2	243.6638
AIP	492.993	AIP	685.2234
removed	removed	AJAP1	10.006
AK1	181.6817	AK1	874.5956
AK2	4254.7548	AK2	2533.3588
AK3L1	93.0931	AK3L1	1168.1039
AK3	1221.7217	AK3	4116.1582
AK5	33.5335	AK5	23.3473
AK7	8.008	AK7	5.5589
AKAP10	183.1832	AKAP10	700.7882
AKAP11	1101.1011	AKAP11	3528.7709
AKAP12	100.6006	AKAP12	11157.3939
AKAP13	5432.4324	AKAP13	2878.0124
AKAP1	1361.8619	AKAP1	4990.0126
AKAP2	323.1331	AKAP2	3063.6602
AKAP3	84.0841	AKAP3	52.624
AKAP5	13.5135	AKAP5	23.7178
AKAP6	47.047	AKAP6	147.4954
AKAP7	164.1642	AKAP7	407.2799
AKAP8L	491.992	AKAP8L	526.2397
AKAP8	502.002	AKAP8	525.4985
AKAP9	3897.3974	AKAP9	2821.312
AKD1	92.0921	AKD1	113.0304
AKIRIN1	775.2753	AKIRIN1	1759.1972
AKIRIN2	1786.2863	AKIRIN2	1394.1647
AKNA	178.1782	AKNA	949.0845
AKR1A1	1610.6106	AKR1A1	1278.9108
removed	removed	AKR1B10	5.5589
AKR1B1	567.5676	AKR1B1	718.9472
AKR1C1	38.5385	AKR1C1	10965.0569
AKR1C2	15.5155	AKR1C2	8485.8008
AKR1C3	501.001	AKR1C3	5304.274
AKR1E2	47.5475	AKR1E2	51.8828
AKR7A2	738.7387	AKR7A2	1260.0106
AKR7A3	11.011	removed	removed
AKR7L	16.016	removed	removed
AKT1S1	1171.6717	AKT1S1	985.4024
AKT1	2219.2192	AKT1	3460.5821
AKT2	1203.7037	AKT2	6148.4811
AKT3	124.1241	AKT3	981.6965
AKTIP	784.1041	AKTIP	804.3018
ALAD	1338.3383	ALAD	4202.1353
ALAS1	1496.997	ALAS1	1180.704
removed	removed	ALAS2	7.4118
ALB	23.023	ALB	5.9295
ALCAM	2882.8829	ALCAM	293.5084
ALDH16A1	192.6927	ALDH16A1	293.1378
ALDH18A1	4287.2873	ALDH18A1	1583.1663
ALDH1A1	307.3073	ALDH1A1	5767.5132
ALDH1A2	7.007	ALDH1A2	244.9609
ALDH1A3	1468.4234	ALDH1A3	242.2407
ALDH1B1	500	ALDH1B1	912.7665
removed	removed	ALDH1L1	6109.569
ALDH1L2	558.0581	ALDH1L2	364.2913
ALDH2	184.6847	ALDH2	37979.6842
removed	removed	ALDH3A1	8.8942
ALDH3A2	435.9359	ALDH3A2	6293.7529
ALDH3B1	129.6296	ALDH3B1	100.0597
ALDH3B2	5160.1602	ALDH3B2	62.6299
ALDH4A1	225.2252	ALDH4A1	2145.3533
ALDH5A1	675.1752	ALDH5A1	1099.9151
ALDH6A1	416.2513	ALDH6A1	2371.1695
ALDH7A1	2501.001	ALDH7A1	1987.852
ALDH8A1	5.005	ALDH8A1	13.7119
ALDH9A1	19827.3273	ALDH9A1	9884.4126
ALDOA	11150.6507	ALDOA	17121.3205
ALDOB	8.008	ALDOB	9.2648
ALDOC	484.4845	ALDOC	3251.5685
ALG10B	420.4204	ALG10B	290.5436
ALG10	145.1451	ALG10	102.6538
ALG11	21.5215	ALG11	13.3413
ALG12	579.5796	ALG12	329.4557
ALG13	506.5065	ALG13	423.9565
ALG14	161.6617	ALG14	339.0911
ALG1L	69.0641	ALG1L	9.4983
ALG1	528.3283	ALG1	323.7375
ALG2	1994.995	ALG2	664.4703
ALG3	2400.4004	ALG3	445.8214
ALG5	1424.4244	ALG5	618.517
ALG6	474.975	ALG6	214.943
ALG8	10163.6637	ALG8	987.2554
ALG9	491.992	ALG9	1088.7974
ALKBH1	129.6296	ALKBH1	214.5724
ALKBH2	380.3804	ALKBH2	140.8247
ALKBH3	597.0971	ALKBH3	314.2615
ALKBH4	281.7518	ALKBH4	128.0653
ALKBH5	1285.2853	ALKBH5	2104.7847
ALKBH6	94.0941	ALKBH6	46.6945
ALKBH7	411.4114	ALKBH7	241.9962
ALKBH8	106.1061	ALKBH8	203.4547
ALK	10.01	ALK	25.2002
ALMS1	642.1421	ALMS1	732.2885
ALOX12P2	13.5135	removed	removed
removed	removed	ALOX15B	5.5589
ALOX15	8.5085	removed	removed
ALOX5AP	75.0751	ALOX5AP	170.8426
ALOX5	55.5556	ALOX5	34.465
ALPK1	1333.8338	ALPK1	380.2267
removed	removed	ALPK2	18.9002
ALPK3	68.0681	ALPK3	7176.131
ALPL	1672.1722	ALPL	393.1974
ALS2CL	115.1151	ALS2CL	329.4557
ALS2CR11	24.5245	ALS2CR11	35.2062
ALS2CR4	1581.5816	ALS2CR4	639.2701
ALS2CR8	143.1431	ALS2CR8	146.013
ALS2	651.1512	ALS2	682.2587
removed	removed	ALX1	25.5708
ALX3	25.025	ALX3	14.0825
removed	removed	ALX4	9.2648
AMACR	90.5906	AMACR	207.9017
AMBRA1	437.9379	AMBRA1	735.9944
AMD1	3455.951	AMD1	1105.1034
removed	removed	AMDHD1	5.9295
AMDHD2	34.5345	AMDHD2	99.1554
AMFR	2874.3744	AMFR	2372.8964
AMH	37.037	removed	removed
AMICA1	21.021	AMICA1	50.0298
AMIGO1	34.5345	AMIGO1	280.5377
AMIGO2	211.2112	AMIGO2	659.282
AMIGO3	254.7548	AMIGO3	31.5003
AMMECR1L	904.9049	AMMECR1L	1086.9444
AMMECR1	673.1732	AMMECR1	131.1893
AMN1	473.4735	AMN1	148.2365
AMOTL1	371.8719	AMOTL1	2867.6359
AMOTL2	1310.8108	AMOTL2	7504.1043
AMOT	1516.016	AMOT	817.1539
AMPD2	410.4104	AMPD2	562.9283
AMPD3	264.2643	AMPD3	108.9539
AMPH	6.5065	AMPH	91.9067
AMTN	35.5355	removed	removed
AMT	54.7147	AMT	145.8648
AMY1A	775.7758	AMY1A	20.3825
AMY2A	14.014	AMY2A	5.1883
AMY2B	336.0561	AMY2B	426.9138
AMZ2P1	166.6667	AMZ2P1	235.6961
AMZ2	864.3644	AMZ2	1744.3735
ANAPC10	220.2202	ANAPC10	150.8307
ANAPC11	434.4344	ANAPC11	743.7768
ANAPC13	2156.7067	ANAPC13	1055.8296
ANAPC16	2048.5485	ANAPC16	3258.6098
ANAPC1	593.5936	ANAPC1	980.5847
ANAPC2	318.3183	ANAPC2	393.1974
