gene_id	TCGA-BH-A0H9-01A-11R-A056-07	gene_id	TCGA-BH-A0H9-11A-22R-A466-07
ADORA2A	48.8711	ADORA2A	110.8328
ADORA2B	33.2323	ADORA2B	5.3925
ADORA3	181.8004	ADORA3	25.7639
ADO	782.7192	ADO	530.8568
ADPGK	760.434	ADPGK	568.604
ADPRHL1	96.9602	ADPRHL1	86.2792
ADPRHL2	663.4738	ADPRHL2	632.115
ADPRH	123.9371	ADPRH	710.6052
removed	removed	ADRA1A	131.8155
ADRA1B	12.12	ADRA1B	37.7472
removed	removed	ADRA1D	25.7639
ADRA2A	217.3786	ADRA2A	3144.997
ADRA2B	11.3381	ADRA2B	122.2289
ADRA2C	463.6888	ADRA2C	459.5566
removed	removed	ADRB1	236.0695
ADRB2	26.5859	ADRB2	1020.9706
removed	removed	ADRB3	20.3715
ADRBK1	1908.7088	ADRBK1	1795.686
ADRBK2	532.8902	ADRBK2	2878.9694
ADRM1	3833.8383	ADRM1	2422.4086
ADSL	770.2082	ADSL	903.5351
ADSSL1	392.1415	ADSSL1	408.0288
ADSS	3385.7883	ADSS	639.305
AEBP1	8637.6698	AEBP1	11162.3727
AEBP2	708.8261	AEBP2	480.5273
AEN	472.2901	AEN	411.6237
AES	8951.6176	AES	12726.1833
AFAP1L1	103.6067	AFAP1L1	1276.8125
AFAP1L2	119.6364	AFAP1L2	696.8244
AFAP1	1695.9906	AFAP1	890.9467
AFF1	2375.5254	AFF1	1869.3829
AFF2	8.9923	AFF2	43.1396
AFF3	1278.8584	AFF3	346.3152
AFF4	4509.0411	AFF4	1075.4943
AFG3L1	231.8444	AFG3L1	112.6423
AFG3L2	1611.4397	AFG3L2	895.728
AFMID	213.4689	AFMID	243.2594
AFTPH	1979.4741	AFTPH	741.1624
AG2	146.6132	AG2	2446.3751
AGAP11	15.2478	AGAP11	167.166
AGAP1	489.4927	AGAP1	180.3475
AGAP2	30.2962	AGAP2	61.7855
AGAP3	1037.2398	AGAP3	1583.583
AGAP4	46.9162	AGAP4	101.2582
AGAP5	23.505	AGAP5	13.1815
AGAP6	24.631	AGAP6	65.9077
AGAP7	7.4284	AGAP7	20.9706
AGAP8	6.6465	AGAP8	13.7807
AGA	1066.5624	AGA	499.1013
AGBL2	12.12	removed	removed
removed	removed	AGBL3	6.5908
AGBL4	21.1123	AGBL4	5.9916
AGBL5	345.2292	AGBL5	705.8298
AGER	16.0297	AGER	39.5446
AGFG1	2083.4718	AGFG1	1760.9347
AGFG2	312.7749	AGFG2	717.7951
AGGF1	1119.3432	AGGF1	592.5704
AGK	570.0323	AGK	375.6741
AGL	4177.8907	AGL	767.5255
AGMAT	46.1343	removed	removed
AGPAT1	1604.3671	AGPAT1	2323.0557
AGPAT2	1533.7699	AGPAT2	22863.3913
AGPAT3	2939.6931	AGPAT3	2586.5788
AGPAT4	57.8634	AGPAT4	253.4452
AGPAT5	1299.5797	AGPAT5	290.5932
AGPAT6	2242.596	AGPAT6	1767.5255
AGPAT9	40.6607	AGPAT9	329.5386
AGPHD1	17.5936	AGPHD1	82.0851
AGPS	1010.6539	AGPS	1056.3212
AGR2	26647.6395	removed	removed
AGR3	575.5058	removed	removed
AGRN	7232.9196	AGRN	2425.4044
AGTPBP1	387.0589	AGTPBP1	399.6405
AGTR1	44.5704	AGTR1	1156.3811
AGTRAP	1087.2837	AGTRAP	841.2223
AGT	374.157	AGT	162.3727
AGXT2L2	234.5225	AGXT2L2	1216.1534
removed	removed	AGXT	22.169
AHCTF1	2408.7577	AHCTF1	796.2852
AHCYL1	3497.2143	AHCYL1	3883.1636
AHCYL2	556.3484	AHCYL2	479.9281
AHCY	2236.3405	AHCY	1823.8466
AHDC1	509.4321	AHDC1	497.3038
AHI1	214.2508	AHI1	143.7987
AHNAK2	923.0769	AHNAK2	1169.5626
AHNAK	42190.9882	AHNAK	81747.154
AHRR	54.3446	AHRR	12.5824
AHR	2388.8183	AHR	1103.0557
AHSA1	2641.775	AHSA1	1593.7687
AHSA2	93.4415	AHSA2	224.6854
AIDA	1757.4665	AIDA	2658.0348
AIF1L	2347.3756	AIF1L	4033.553
AIF1	199.003	AIF1	429.5986
AIFM1	1284.7229	AIFM1	1164.7693
AIFM2	276.4148	AIFM2	5913.7208
AIFM3	42.4983	AIFM3	8.3883
AIG1	1047.4049	AIG1	1844.8173
AIM1	1091.5844	AIM1	1083.8826
removed	removed	AIM2	8.3883
AIMP1	1033.3301	AIMP1	872.9778
AIMP2	462.8404	AIMP2	357.4416
AIP	560.649	AIP	1829.2391
removed	removed	AJAP1	22.169
AK1	439.4487	AK1	1434.991
AK2	1537.2886	AK2	2263.6309
AK3L1	295.9632	AK3L1	555.4224
AK3	961.0009	AK3	3119.8322
AK5	252.1748	AK5	13.7807
AK7	18.7665	AK7	14.3799
AKAP10	425.7648	AKAP10	315.7579
AKAP11	1661.6167	AKAP11	1110.2457
AKAP12	530.9354	AKAP12	5502.6962
AKAP13	1792.9821	AKAP13	1656.6806
AKAP1	1251.8815	AKAP1	2830.4374
AKAP2	323.593	AKAP2	2157.2319
AKAP3	8.2103	AKAP3	61.1144
AKAP5	267.4225	AKAP5	5.3925
AKAP6	23.4581	AKAP6	55.722
AKAP7	78.9757	AKAP7	286.9982
AKAP8L	878.1155	AKAP8L	757.9389
AKAP8	528.1986	AKAP8	359.4967
AKAP9	2071.7427	AKAP9	494.9071
AKD1	90.3138	AKD1	45.5362
AKIRIN1	1193.2362	AKIRIN1	1091.0725
AKIRIN2	1029.4204	AKIRIN2	1099.4608
AKNA	260.7761	AKNA	641.1025
AKR1A1	1293.7152	AKR1A1	1872.9778
AKR1B10	17.9846	removed	removed
AKR1B1	374.5479	AKR1B1	1282.2049
AKR1C1	171.6352	AKR1C1	11403.8346
AKR1C2	274.46	AKR1C2	13176.1534
AKR1C3	295.5723	AKR1C3	5584.1821
AKR1E2	35.5781	AKR1E2	38.3463
AKR7A2	1646.7598	AKR7A2	1788.4961
AKR7A3	916.8214	AKR7A3	7.1899
AKR7L	40.6607	AKR7L	5.9916
AKT1S1	1256.1822	AKT1S1	1626.7226
AKT1	6787.9973	AKT1	4742.9599
AKT2	3003.03	AKT2	5254.6435
AKT3	213.8598	AKT3	802.876
AKTIP	726.4041	AKTIP	759.8562
ALAD	1058.3521	ALAD	2945.4763
ALAS1	1001.2706	ALAS1	1402.0371
ALB	347.5711	removed	removed
ALCAM	3807.6434	ALCAM	298.9814
ALDH16A1	893.3633	ALDH16A1	1121.0306
ALDH18A1	2446.6817	ALDH18A1	979.0294
removed	removed	ALDH1A1	4077.2918
ALDH1A2	22.2852	ALDH1A2	796.8844
ALDH1A3	174.5988	ALDH1A3	350.3595
ALDH1B1	718.6003	ALDH1B1	661.4739
ALDH1L1	54.3446	ALDH1L1	5312.7621
ALDH1L2	210.7321	ALDH1L2	110.2457
ALDH2	2130.779	ALDH2	56255.8418
removed	removed	ALDH3A1	36.5488
ALDH3A2	779.9824	ALDH3A2	3587.178
ALDH3B1	105.1706	ALDH3B1	212.1031
ALDH3B2	11417.4567	removed	removed
ALDH4A1	1466.5233	ALDH4A1	3205.5123
ALDH5A1	580.9794	ALDH5A1	712.4026
ALDH6A1	699.4116	ALDH6A1	747.9688
ALDH7A1	2345.8117	ALDH7A1	1326.5428
removed	removed	ALDH8A1	8.3883
ALDH9A1	3378.7509	ALDH9A1	5873.577
ALDOA	48046.9162	ALDOA	25240.2636
removed	removed	ALDOB	6.5908
ALDOC	138.4029	ALDOC	8489.5147
ALG10B	303.3917	ALG10B	185.74
ALG10	88.7499	ALG10	59.317
ALG11	32.0594	ALG11	9.5866
ALG12	750.2688	ALG12	526.0635
ALG13	375.7208	ALG13	314.5596
ALG14	163.4249	ALG14	330.737
ALG1L	11.7682	removed	removed
ALG1	431.5238	ALG1	543.3313
ALG2	756.1333	ALG2	619.5327
ALG3	926.2047	ALG3	635.71
ALG5	654.0905	ALG5	832.834
ALG6	306.5194	ALG6	186.9383
ALG8	1162.7407	ALG8	787.8969
ALG9	605.6104	ALG9	759.1372
ALKBH1	278.7606	ALKBH1	177.9509
ALKBH2	184.9282	ALKBH2	219.293
ALKBH3	184.9282	ALKBH3	378.6699
ALKBH4	316.149	ALKBH4	246.5428
ALKBH5	1979.4741	ALKBH5	2527.6932
ALKBH6	118.0725	ALKBH6	114.4398
ALKBH7	680.2854	ALKBH7	1310.9646
ALKBH8	216.2056	ALKBH8	150.9886
removed	removed	ALK	9.5866
ALMS1P	7.0374	removed	removed
ALMS1	815.5606	ALMS1	280.4074
ALOX12P2	16.4207	removed	removed
ALOX15B	486.7559	removed	removed
ALOX15	10.1652	removed	removed
ALOX5AP	159.9062	ALOX5AP	207.9089
ALOX5	148.1771	ALOX5	91.0725
ALOXE3	8.2103	removed	removed
ALPK1	510.996	ALPK1	253.4452
ALPK2	21.8942	ALPK2	8.3883
ALPK3	66.8556	ALPK3	832.2349
ALPL	128.2377	ALPL	323.547
ALS2CL	50.435	ALS2CL	370.8808
ALS2CR11	102.0428	removed	removed
ALS2CR4	513.3418	ALS2CR4	566.8065
ALS2CR8	94.6144	ALS2CR8	54.5237
ALS2	602.0917	ALS2	375.6741
removed	removed	ALX1	18.574
ALX3	12.902	ALX3	21.5698
removed	removed	ALX4	7.7891
AMACR	561.4309	AMACR	369.0833
AMBP	28.1497	removed	removed
AMBRA1	1646.3689	AMBRA1	617.7352
AMD1	1246.408	AMD1	935.2906
AMDHD1	11.3381	AMDHD1	12.5824
AMDHD2	1226.3278	AMDHD2	303.7747
AMFR	4519.5973	AMFR	3213.3014
AMICA1	91.4867	AMICA1	86.8784
AMIGO1	188.8378	AMIGO1	134.2121
AMIGO2	705.2996	AMIGO2	365.4883
AMIGO3	111.0351	AMIGO3	44.3379
AMMECR1L	973.1209	AMMECR1L	698.6219
AMMECR1	379.2396	AMMECR1	113.2415
AMN1	194.3114	AMN1	116.2373
removed	removed	AMN	7.1899
AMOTL1	515.6876	AMOTL1	1767.5255
AMOTL2	785.8469	AMOTL2	6655.4823
AMOT	1156.4852	AMOT	735.7699
AMPD2	474.6359	AMPD2	508.0887
AMPD3	200.5669	AMPD3	88.0767
AMPH	580.9794	AMPH	107.2499
AMT	165.7707	AMT	147.3936
AMY2B	30.1671	AMY2B	147.3936
AMZ1	23.8491	removed	removed
AMZ2P1	91.8776	AMZ2P1	249.251
AMZ2	1451.6665	AMZ2	1958.0587
