gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
ADNP2	688.2403	ADNP2	805.4994
ADNP	2998.308	ADNP	3363.9304
ADORA1	1408.2064	ADORA1	490.4974
ADORA2A	175.5499	ADORA2A	103.518
ADORA2B	13.5364	ADORA2B	68.7424
ADORA3	177.242	ADORA3	89.7695
ADO	584.1794	ADO	687.4242
ADPGK	991.692	ADPGK	940.9624
ADPRHL1	122.6734	ADPRHL1	122.1189
ADPRHL2	661.1675	ADPRHL2	487.6668
ADPRH	293.9932	ADPRH	302.871
ADRA1A	18.1895	ADRA1A	22.2402
ADRA1B	13.5364	ADRA1B	8.4917
ADRA1D	9.7293	removed	removed
ADRA2A	1078.2572	ADRA2A	440.7602
ADRA2B	12.2673	ADRA2B	28.3057
ADRA2C	35.11	ADRA2C	22.2402
ADRB1	24.5347	ADRB1	14.5572
ADRB2	204.3147	ADRB2	123.332
ADRBK1	1440.7783	ADRBK1	1824.909
ADRBK2	1165.3976	ADRBK2	1111.6053
ADRM1	1744.0778	ADRM1	742.8225
ADSL	562.6058	ADSL	980.9947
ADSSL1	171.7428	ADSSL1	98.2612
ADSS	1166.6667	ADSS	1307.7234
AEBP1	14667.5127	AEBP1	4001.6175
AEBP2	576.9882	AEBP2	631.6215
AEN	469.9662	AEN	291.1444
AES	4149.3232	AES	5884.7554
AFAP1L1	660.7445	AFAP1L1	226.4456
AFAP1L2	510.9983	AFAP1L2	1061.0594
AFAP1	1240.681	AFAP1	1910.2224
AFF1	2989.4247	AFF1	2544.2782
AFF2	36.379	AFF2	30.3275
AFF3	6103.2149	AFF3	1522.038
AFF4	3883.6717	AFF4	3779.2155
AFG3L1	148.0541	AFG3L1	370.4003
AFG3L2	1495.2242	AFG3L2	1368.5928
AFMID	292.7242	AFMID	566.9228
removed	removed	AFP	19.0053
AFTPH	1816.8359	AFTPH	1672.4626
AG2	169.6277	AG2	52.5677
AGAP11	78.7817	AGAP11	165.2891
AGAP1	653.9763	AGAP1	542.6607
AGAP2	163.5829	AGAP2	96.7125
AGAP3	1069.3739	AGAP3	1345.7339
AGAP4	158.6294	AGAP4	285.4832
AGAP5	32.5719	AGAP5	62.5799
AGAP6	105.3299	AGAP6	162.5556
AGAP7	30.0338	AGAP7	7.683
AGAP8	31.3029	AGAP8	92.1957
AGA	338.8325	AGA	504.6502
removed	removed	AGBL2	27.497
removed	removed	AGBL3	10.9179
removed	removed	AGBL4	6.8742
AGBL5	568.5321	AGBL5	1008.1156
AGER	25.8037	AGER	90.9826
AGFG1	1958.1218	AGFG1	1428.2248
AGFG2	392.132	AGFG2	522.8467
AGGF1	1200.5076	AGGF1	849.5754
AGK	497.4619	AGK	672.867
AGL	785.533	AGL	1051.759
AGMAT	8.8832	AGMAT	12.131
AGPAT1	1860.681	AGPAT1	1948.4674
AGPAT2	2517.7665	AGPAT2	562.8791
AGPAT3	2373.5195	AGPAT3	1648.2006
AGPAT4	206.0068	AGPAT4	298.8273
AGPAT5	747.4619	AGPAT5	641.7307
AGPAT6	1620.1354	AGPAT6	1808.7343
AGPAT9	494.9239	AGPAT9	262.4343
AGPHD1	62.1827	AGPHD1	82.0865
AGPS	810.4907	AGPS	816.4173
AGR2	1980.1184	AGR2	2244.2378
removed	removed	AGR3	357.0562
AGRN	3364.6362	AGRN	4281.8439
AGTPBP1	343.9086	AGTPBP1	408.0065
AGTR1	239.0017	AGTR1	233.3199
AGTRAP	910.3215	AGTRAP	642.9438
AGT	924.2809	AGT	69.1468
AGXT2L2	429.412	AGXT2L2	712.2321
AHCTF1	1660.7445	AHCTF1	1356.6518
AHCYL1	6626.9036	AHCYL1	3995.9563
AHCYL2	629.0186	AHCYL2	634.4521
AHCY	2873.5195	AHCY	3640.5176
AHDC1	700.0846	AHDC1	1581.8844
AHI1	286.379	AHI1	586.7368
AHNAK2	1288.9171	AHNAK2	1254.3469
AHNAK	51612.0981	AHNAK	81711.2818
AHRR	72.758	AHRR	103.9224
AHR	2217.4281	AHR	3077.2341
AHSA1	1500.423	AHSA1	1357.0562
AHSA2	446.2775	AHSA2	1116.4577
AIDA	1289.9069	AIDA	790.9867
AIF1L	993.2318	AIF1L	2307.319
AIF1	450.9306	AIF1	310.554
AIFM1	1185.7022	AIFM1	539.8302
AIFM2	751.269	AIFM2	403.5584
removed	removed	AIFM3	7.0481
AIG1	343.0626	AIG1	685.4023
AIM1L	30.8799	removed	removed
AIM1	1520.7276	AIM1	3119.2883
AIM2	20.7276	AIM2	9.3004
AIMP1	880.8926	AIMP1	1114.0315
AIMP2	312.978	AIMP2	235.5762
AIP	712.3519	AIP	678.5281
AJAP1	21.9966	AJAP1	21.0271
AK1	505.0761	AK1	295.188
AK2	2038.4941	AK2	2448.8476
AK3L1	240.2707	AK3L1	372.4222
AK3	1668.3587	AK3	1598.059
AK5	19.8816	AK5	905.7825
AK7	8.8832	AK7	45.6935
AKAP10	906.9374	AKAP10	539.0214
AKAP11	2148.9002	AKAP11	2181.5609
AKAP12	2922.1658	AKAP12	1279.0133
AKAP13	3769.4585	AKAP13	5339.2641
AKAP1	2406.5144	AKAP1	2725.0303
AKAP2	1159.0525	AKAP2	1003.9507
AKAP3	25.3807	AKAP3	54.9939
AKAP5	343.9086	AKAP5	91.387
AKAP6	62.6058	AKAP6	368.7829
AKAP7	133.2487	AKAP7	200.5661
AKAP8L	897.2081	AKAP8L	726.2434
AKAP8	617.1743	AKAP8	662.3534
AKAP9	3739.0017	AKAP9	3793.7727
AKD1	77.8342	AKD1	179.9434
AKIRIN1	1244.5008	AKIRIN1	826.1221
AKIRIN2	429.357	AKIRIN2	652.2442
AKNA	1039.7631	AKNA	970.4812
AKR1A1	1892.132	AKR1A1	1928.8314
AKR1B10	19.8816	removed	removed
removed	removed	AKR1B15	49.7372
AKR1B1	704.7377	AKR1B1	824.5047
AKR1C1	636.6328	AKR1C1	289.5835
AKR1C2	934.4332	AKR1C2	189.6482
AKR1C3	870.1354	AKR1C3	504.2459
removed	removed	AKR1D1	7.2786
AKR1E2	16.0745	AKR1E2	40.3801
AKR7A2	1347.2927	AKR7A2	854.0235
AKR7A3	1208.5448	AKR7A3	63.4856
AKR7L	42.7242	AKR7L	19.0053
AKT1S1	1032.9949	AKT1S1	779.2155
AKT1	3804.1455	AKT1	2651.4355
