gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
AMIGO3	82.7319	AMIGO3	41.1141
AMMECR1L	726.434	AMMECR1L	1174.0716
AMMECR1	265.1588	AMMECR1	258.9523
AMN1	190.462	AMN1	247.3475
AMOTL1	2277.8067	AMOTL1	3476.7905
AMOTL2	2511.1227	AMOTL2	2725.7958
AMOT	874.6373	AMOT	1016.5782
AMPD1	38.0924	AMPD1	40.7825
AMPD2	804.1068	AMPD2	584.8806
AMPD3	178.8557	AMPD3	217.1751
AMPH	322.595	AMPH	49.4032
AMT	28.2717	AMT	160.9814
removed	removed	AMY1A	18.2361
AMY2B	38.9852	AMY2B	317.0524
AMZ2P1	164.5711	AMZ2P1	162.4668
AMZ2	1083.5503	AMZ2	946.2865
ANAPC10	116.3604	ANAPC10	180.7029
ANAPC11	811.8444	ANAPC11	434.0186
ANAPC13	1571.2224	ANAPC13	1049.6684
ANAPC16	1712.3726	ANAPC16	2633.2891
ANAPC1	630.3102	ANAPC1	932.3607
ANAPC2	634.179	ANAPC2	689.9867
ANAPC4	368.7226	ANAPC4	703.5809
ANAPC5	1856.4095	ANAPC5	2290.4509
ANAPC7	950.8221	ANAPC7	1046.4191
ANGEL1	592.813	ANGEL1	600.1326
ANGEL2	863.031	ANGEL2	756.2997
ANGPT1	162.7855	ANGPT1	245.0265
ANGPT2	726.434	ANGPT2	235.4111
ANGPT4	8.0351	ANGPT4	26.1936
ANGPTL1	466.0368	ANGPTL1	225.1326
ANGPTL2	3211.9634	ANGPTL2	2437.3342
ANGPTL4	542.2216	ANGPTL4	824.2706
ANGPTL5	18.451	removed	removed
ANGPTL6	8.663	removed	removed
ANGPTL7	56.5434	ANGPTL7	688.3289
ANG	255.1179	ANG	342.9244
ANK1	30.6525	ANK1	8.6207
ANK2	1270.7388	ANK2	759.6154
ANK3	1222.5281	ANK3	1660.4775
ANKAR	18.7486	ANKAR	62.6658
ANKDD1A	63.6857	ANKDD1A	110.4111
ANKFY1	2279.8899	ANKFY1	2307.6923
ANKHD1-EIF4EBP3	1334.7846	ANKHD1-EIF4EBP3	1567.2016
ANKHD1	1565.9162	ANKHD1	2941.1638
ANKH	2409.9397	ANKH	2393.8992
ANKIB1	1162.1159	ANKIB1	1594.8276
ANKK1	5.6543	ANKK1	48.0769
ANKLE2	1326.9846	ANKLE2	1680.0398
