gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
AIFM1	801.0162	AIFM1	736.035
AIFM2	318.8586	AIFM2	496.8967
AIFM3	21.9447	AIFM3	14.111
AIG1	580.8335	AIG1	749.1785
AIM1L	8.1263	removed	removed
AIM1	2209.5663	AIM1	4932.092
AIM2	14.3177	removed	removed
AIMP1	1063.0762	AIMP1	1117.6232
AIMP2	410.6852	AIMP2	311.3545
AIP	579.2856	AIP	534.8667
AJAP1	10.835	AJAP1	10.5878
AK1	342.0765	AK1	354.5089
AK2	2042.7847	AK2	2051.1135
AK3L1	225.6002	AK3L1	542.5338
AK3	1529.67	AK3	1825.1187
AK5	648.1653	AK5	2422.4169
AK7	44.1139	AK7	59.5108
AKAP10	490.6708	AKAP10	578.6783
AKAP11	1716.5738	AKAP11	2261.0442
AKAP12	1225.1291	AKAP12	2009.1274
AKAP13	3199.0341	AKAP13	3985.031
AKAP1	1748.6918	AKAP1	2308.8719
AKAP2	565.0376	AKAP2	1755.0931
AKAP3	45.2748	AKAP3	50.3834
AKAP5	62.3013	AKAP5	112.8149
AKAP6	63.8491	AKAP6	325.6663
AKAP7	99.0629	AKAP7	188.0248
AKAP8L	564.9679	AKAP8L	622.49
AKAP8	663.2569	AKAP8	695.5093
AKAP9	3500.8663	AKAP9	3957.2837
AKD1	210.5086	AKD1	161.3728
AKIRIN1	956.9628	AKIRIN1	1450.8945
AKIRIN2	533.6238	AKIRIN2	679.8101
AKNA	785.5376	AKNA	572.4717
AKR1A1	2150.3608	AKR1A1	2167.2143
removed	removed	AKR1B10	7.667
removed	removed	AKR1B15	470.9748
AKR1B1	445.7829	AKR1B1	804.6732
AKR1C1	97.902	AKR1C1	690.7631
AKR1C2	95.5802	AKR1C2	1032.4936
AKR1C3	202.3823	AKR1C3	952.1723
removed	removed	AKR1D1	216.1373
AKR1E2	5.0305	AKR1E2	29.5728
AKR7A2	1003.7855	AKR7A2	981.015
AKR7A3	376.5163	AKR7A3	321.6502
AKR7L	39.4704	AKR7L	25.5568
AKT1S1	1001.4637	AKT1S1	688.9376
AKT1	3582.1288	AKT1	2857.9774
AKT2	2198.3444	AKT2	2369.4779
AKT3	1069.9564	AKT3	1092.3695
AKTIP	517.8279	AKTIP	638.3498
ALAD	1611.7064	ALAD	1790.4345
ALAS1	591.2815	ALAS1	1022.2709
ALB	8.1263	ALB	1835.3414
ALCAM	3584.8376	ALCAM	7260.6791
ALDH16A1	578.5117	ALDH16A1	405.6225
ALDH18A1	2742.0293	ALDH18A1	1602.0445
ALDH1A1	405.1517	ALDH1A1	1122.6725
ALDH1A2	18.1873	ALDH1A2	249.3611
ALDH1A3	738.6104	ALDH1A3	3627.2034
ALDH1B1	790.1812	ALDH1B1	425.7028
ALDH1L1	29.4093	ALDH1L1	170.5002
ALDH1L2	309.5715	ALDH1L2	235.1223
ALDH2	3502.0272	ALDH2	3655.3487
removed	removed	ALDH3A1	55.8598
ALDH3A2	1001.8507	ALDH3A2	1838.6272
ALDH3B1	102.5455	ALDH3B1	126.3235
ALDH3B2	431.4652	ALDH3B2	6314.3483
ALDH4A1	540.5892	ALDH4A1	1054.7645
ALDH5A1	737.554	ALDH5A1	720.701
ALDH6A1	502.1249	ALDH6A1	602.636
ALDH7A1	1240.6077	ALDH7A1	2615.9182
ALDH8A1	7.3523	ALDH8A1	19.7152
ALDH9A1	3368.5245	ALDH9A1	2549.8357
ALDOA	27183.0835	ALDOA	15041.621
ALDOC	133.8897	ALDOC	882.8039
ALG10B	343.2374	ALG10B	474.9909
ALG10	118.0241	ALG10	152.9755
ALG11	17.0264	ALG11	16.4294
ALG12	535.5586	ALG12	443.9576
ALG13	544.0719	ALG13	566.9953
ALG14	244.9484	ALG14	180.3578
ALG1	784.7637	ALG1	423.5086
ALG2	885.3744	ALG2	971.1574
ALG3	672.157	ALG3	541.0734
ALG5	703.8881	ALG5	591.4567
ALG6	357.1681	ALG6	294.6331
ALG8	1059.1214	ALG8	839.7225
ALG9	600.5686	ALG9	571.7415
ALKBH1	269.7141	ALKBH1	260.6791
ALKBH2	263.1357	ALKBH2	257.7583
ALKBH3	342.4634	ALKBH3	392.1139
ALKBH4	308.3564	ALKBH4	184.498
ALKBH5	2177.7501	ALKBH5	2244.5382
ALKBH6	63.8491	ALKBH6	60.241
ALKBH7	369.164	ALKBH7	335.889
ALKBH8	272.8099	ALKBH8	300.4746
removed	removed	ALK	51.1135
removed	removed	ALMS1P	5.1114
ALMS1	1050.6082	ALMS1	997.4443
removed	removed	ALOX12P2	36.1446
ALOX15B	95.9672	ALOX15B	10018.2548
removed	removed	ALOX15	252.2819
ALOX5AP	385.4165	ALOX5AP	130.7046
ALOX5	988.6939	ALOX5	737.4954
ALOXE3	10.448	ALOXE3	13.5086
ALPK1	680.6703	ALPK1	865.2793
ALPK2	27.8614	ALPK2	32.1285
ALPK3	172.5861	ALPK3	274.1877
ALPL	306.8627	ALPL	760.8616
ALS2CL	147.8204	ALS2CL	257.0281
removed	removed	ALS2CR11	9.4925
ALS2CR4	531.689	ALS2CR4	1768.8938
ALS2CR8	222.5045	ALS2CR8	301.5699
ALS2	609.0819	ALS2	787.8788
ALX3	19.7352	ALX3	27.0172
ALX4	9.2871	ALX4	41.9861
AMACR	309.9584	AMACR	251.1866
AMBP	10.448	AMBP	104.0526
AMBRA1	1028.5512	AMBRA1	1102.5922
AMD1	1116.6591	AMD1	2266.8857
AMDHD1	10.835	AMDHD1	21.1756
AMDHD2	238.9234	AMDHD2	170.9967
AMFR	5754.5466	AMFR	4220.8835
AMICA1	206.639	AMICA1	89.0836
AMIGO1	116.0893	AMIGO1	183.2786
AMIGO2	2603.496	AMIGO2	2534.5016
AMIGO3	80.1016	AMIGO3	58.7806
AMMECR1L	813.0121	AMMECR1L	953.9978
AMMECR1	643.9086	AMMECR1	307.0464
AMN1	277.0665	AMN1	247.1705
AMOTL1	1172.115	AMOTL1	2745.1625
AMOTL2	1562.9489	AMOTL2	2499.8175
AMOT	1014.2335	AMOT	1198.6126
removed	removed	AMPD1	27.7474
AMPD2	608.6949	AMPD2	674.6988
AMPD3	287.9015	AMPD3	207.375
AMPH	119.9589	AMPH	52.5739
AMT	44.5976	AMT	193.5597
AMY1A	6.5784	AMY1A	10.5878
AMY2A	12.7698	removed	removed
AMY2B	109.8437	AMY2B	394.5601
AMZ1	25.9266	AMZ1	18.2548
AMZ2P1	225.6002	AMZ2P1	174.8813
AMZ2	1401.1978	AMZ2	1045.272
ANAPC10	105.6413	ANAPC10	136.1811
ANAPC11	619.9169	ANAPC11	493.9759
ANAPC13	1445.8381	ANAPC13	1209.6495
ANAPC16	2701.398	ANAPC16	2437.751
ANAPC1	783.6028	ANAPC1	1016.4294
ANAPC2	520.854	ANAPC2	594.0124
ANAPC4	510.7929	ANAPC4	620.2994
ANAPC5	2078.3854	ANAPC5	2367.6524
ANAPC7	983.2764	ANAPC7	905.805
ANGEL1	610.6297	ANGEL1	668.4922
ANGEL2	1148.1232	ANGEL2	781.307
ANGPT1	54.9489	ANGPT1	277.1084
ANGPT2	466.292	ANGPT2	292.4425
removed	removed	ANGPT4	9.1274
ANGPTL1	84.3582	ANGPTL1	341.7306
ANGPTL2	2121.3385	ANGPTL2	3045.6371
ANGPTL4	189.6125	ANGPTL4	240.5988
ANGPTL7	10.835	ANGPTL7	615.9182
ANG	341.5115	ANG	313.1143
ANK1	16.6395	ANK1	10.5878
ANK2	321.1804	ANK2	514.0562
ANK3	2055.5545	ANK3	1558.598
ANKAR	36.3746	ANKAR	43.0814
ANKDD1A	39.8573	ANKDD1A	90.544
ANKFY1	1991.7054	ANKFY1	2229.2808
ANKHD1-EIF4EBP3	1990.2775	ANKHD1-EIF4EBP3	1148.6893
ANKHD1	1853.7178	ANKHD1	2852.8916
ANKH	2332.621	ANKH	2698.4301
ANKIB1	1857.4288	ANKIB1	1514.0562
ANKK1	8.5132	ANKK1	54.7645
ANKLE1	5.0305	ANKLE1	5.1114
ANKLE2	1353.2143	ANKLE2	1536.3271
ANKMY1	421.4042	ANKMY1	273.0924
ANKMY2	489.1229	ANKMY2	681.2705
ANKRA2	416.3736	ANKRA2	352.6835
ANKRD10	1661.4314	ANKRD10	1615.8927
ANKRD11	1473.417	ANKRD11	2559.0398
ANKRD12	2164.6785	ANKRD12	1870.0256
ANKRD13A	1230.5466	ANKRD13A	1342.8258
ANKRD13B	193.0952	ANKRD13B	112.8149
ANKRD13C	569.9985	ANKRD13C	650.9675
ANKRD13D	482.9315	ANKRD13D	410.0037
ANKRD16	236.8028	ANKRD16	190.5805
ANKRD17	2887.1409	ANKRD17	3695.1442
ANKRD19	37.1486	ANKRD19	21.5407
ANKRD20A3	5.0305	ANKRD20A3	14.969
removed	removed	ANKRD20B	6.2066
ANKRD22	104.4804	ANKRD22	69.0033
ANKRD23	35.2138	ANKRD23	33.954
ANKRD24	17.4134	ANKRD24	27.0172
ANKRD26	375.3554	ANKRD26	370.5732
ANKRD27	775.4765	ANKRD27	821.8328
ANKRD28	2185.9615	ANKRD28	1579.0434
ANKRD29	44.5009	ANKRD29	263.965
ANKRD30A	979.7937	ANKRD30A	714.8594
ANKRD30B	529.3672	ANKRD30B	50.7484
removed	removed	ANKRD31	5.4765
ANKRD32	140.4681	ANKRD32	169.4049
ANKRD34A	28.2484	ANKRD34A	20.4454
ANKRD35	29.7963	ANKRD35	166.119
ANKRD36BP1	142.0159	ANKRD36BP1	174.8813
ANKRD36B	19.3482	ANKRD36B	28.4775
ANKRD36	149.7552	ANKRD36	343.556
ANKRD37	43.4406	ANKRD37	166.3892
ANKRD39	123.0547	ANKRD39	89.4487
ANKRD40	1167.4714	ANKRD40	1644.3958
ANKRD42	336.659	ANKRD42	308.8719
ANKRD43	5.4175	ANKRD43	110.2592
ANKRD44	136.5984	ANKRD44	82.877
removed	removed	ANKRD45	18.2548
ANKRD46	543.8629	ANKRD46	573.18
ANKRD49	289.8363	ANKRD49	314.7134
ANKRD50	1846.2068	ANKRD50	1380.7959
ANKRD52	1341.6053	ANKRD52	1563.7094
ANKRD53	8.5132	ANKRD53	33.2238
ANKRD54	366.0683	ANKRD54	359.6203
ANKRD55	9.6741	removed	removed
ANKRD56	99.8368	ANKRD56	119.7517
ANKRD57	628.817	ANKRD57	933.5524
