gene_id	TCGA-BH-A0BS-01A-11R-A12P-07	gene_id	TCGA-BH-A0BS-11A-11R-A12P-07
RNFT2	32.3678	RNFT2	23.5024
RNGTT	452.5022	RNGTT	468.2933
RNH1	2481.9651	RNH1	2732.2371
RNLS	102.9297	RNLS	198.1915
RNMTL1	230.4589	RNMTL1	394.2784
RNMT	864.221	RNMT	1165.2961
RNPC3	91.601	RNPC3	222.0061
RNPEPL1	1567.2502	RNPEPL1	1210.1962
RNPEP	3547.5139	RNPEP	1449.4291
RNPS1	1318.3416	RNPS1	2166.0757
ROBLD3	1318.018	ROBLD3	500.2144
ROBO1	430.8158	ROBO1	537.0465
ROBO2	30.4258	removed	removed
removed	removed	ROBO3	123.1243
ROBO4	436.3183	ROBO4	734.8872
ROCK1	2157.6394	ROCK1	1396.8119
ROCK2	1213.4699	ROCK2	1131.6211
ROD1	4883.3342	ROD1	2398.2931
ROGDI	748.3442	ROGDI	406.205
ROM1	31.3968	ROM1	82.7844
ROMO1	608.8388	ROMO1	426.9011
ROPN1B	7.1209	ROPN1B	456.0159
ROPN1L	11.3287	ROPN1L	6.6648
ROPN1	6.7972	ROPN1	444.0894
ROR1	9.7103	ROR1	94.0094
ROR2	353.133	ROR2	298.8658
RORA	194.8543	RORA	508.984
removed	removed	RORB	11.9266
RORC	1056.1622	RORC	948.864
removed	removed	RP1L1	14.0313
removed	removed	RP1	6.3141
RP2	870.3709	RP2	487.2355
RP9P	32.6915	RP9P	168.0243
RP9	81.8906	RP9	173.9876
RPA1	2569.3582	RPA1	2930.7794
RPA2	1322.5495	RPA2	1894.9216
RPA3	383.2351	RPA3	225.2017
RPAIN	336.852	RPAIN	605.5611
RPAP1	665.8062	RPAP1	828.8967
RPAP2	353.4567	RPAP2	328.3315
RPAP3	689.4347	RPAP3	674.5528
removed	removed	RPE65	15.7852
RPE	920.1785	RPE	712.1145
RPF1	835.4136	RPF1	684.0239
RPF2	249.2323	RPF2	358.8495
RPGRIP1L	129.1476	RPGRIP1L	155.747
RPGRIP1	5.1789	RPGRIP1	11.5758
RPGR	145.3315	RPGR	192.2283
RPH3AL	260.561	RPH3AL	245.8978
RPIA	165.3996	RPIA	379.1948
RPL10A	7792.5546	RPL10A	23258.918
RPL10	17433.4093	RPL10	26758.8298
RPL11	13523.9259	RPL11	35657.9915
RPL12	7414.1747	RPL12	20886.9335
RPL13AP20	28.4837	RPL13AP20	78.2243
RPL13AP3	7.4446	RPL13AP3	25.9578
removed	removed	RPL13AP6	7.0156
RPL13A	10099.7334	RPL13A	33020.4655
RPL13P5	11.9761	RPL13P5	14.382
RPL13	4756.4523	RPL13	33406.3251
RPL14	8049.5551	RPL14	16027.2066
RPL15	14193.6163	RPL15	33582.4174
RPL17	4239.4054	RPL17	15498.5158
RPL18A	1001.7843	RPL18A	3362.2407
RPL18	8420.1668	RPL18	24797.4456
RPL19P12	44.3439	RPL19P12	115.0563
RPL19	10430.5326	RPL19	29300.0769
removed	removed	RPL21	11.5758
RPL22L1	179.9651	RPL22L1	493.5496
RPL22	6045.3392	RPL22	13909.8895
removed	removed	RPL23AP32	7.0156
RPL23AP53	177.6994	RPL23AP53	320.9651
RPL23AP7	87.0695	RPL23AP7	110.847
RPL23AP82	138.2106	RPL23AP82	141.0983
RPL23A	3186.9363	RPL23A	6521.3788
RPL23P8	72.8276	RPL23P8	171.5322
RPL23	6536.0355	RPL23	21924.5451
RPL24	7355.2652	RPL24	14677.7502
RPL26L1	253.1164	RPL26L1	185.5634
RPL26	11433.9352	RPL26	23408.0001
RPL27A	7207.9916	RPL27A	19590.7958
RPL27	6829.9354	RPL27	11431.969
RPL28	4322.3998	RPL28	12261.2165
RPL29	7036.7658	RPL29	20040.1469
RPL30	8988.8695	RPL30	19530.8122
RPL31	13399.3098	RPL31	29346.7308
RPL32P3	41.7027	RPL32P3	202.3799
RPL32	10404.962	RPL32	32595.6691
RPL34	7551.0906	RPL34	21210.0032
RPL35A	8256.7092	RPL35A	17505.7506
RPL35	4541.2063	RPL35	11407.0635
RPL36AL	3525.1801	RPL36AL	4153.6037
RPL36A	11.9761	RPL36A	32.2719
RPL36	4837.0482	RPL36	15318.9788
RPL37A	5799.6674	RPL37A	24128.5053
RPL37	6047.605	RPL37	19959.818
RPL38	3671.8064	RPL38	8434.5411
RPL39L	259.9137	RPL39L	158.2025
RPL39	446.676	RPL39	1207.7407
RPL3	29916.2887	RPL3	89038.8675
RPL41	23074.7009	RPL41	31446.1581
RPL4	15040.3586	RPL4	47797.4868
RPL5	12369.0418	RPL5	39633.3983
RPL6	5317.7105	RPL6	15931.4433
RPL7A	12608.8874	RPL7A	30952.2578
RPL7L1	818.2587	RPL7L1	1120.7469
RPL7	1580.8447	RPL7	3435.9048
RPL8	17882.5776	RPL8	49979.3477
RPL9	214.5987	RPL9	506.5285
RPLP0P2	16.1839	RPLP0P2	15.0836
RPLP0	25419.1027	RPLP0	46670.4259
RPLP1	21896.8356	RPLP1	35761.8229
RPLP2	5475.3418	RPLP2	17972.9916
RPN1	10127.8934	RPN1	5155.4357
RPN2	15725.2619	RPN2	5737.3787
RPP14	445.0576	RPP14	667.1864
RPP21	199.7095	RPP21	265.8924
RPP25	105.1954	RPP25	154.6946
RPP30	411.3951	RPP30	507.9316
RPP38	242.7587	RPP38	364.1112
RPP40	156.6603	RPP40	140.6634
RPPH1	6.4736	RPPH1	63.4915
RPRD1A	2260.5691	RPRD1A	1331.2158
RPRD1B	755.4651	RPRD1B	953.0733
RPRD2	1963.1088	RPRD2	1732.8606
RPS10P7	68.6198	RPS10P7	72.261
RPS10	5531.6618	RPS10	12824.2208
RPS11	15033.5614	RPS11	37145.6559
RPS12	9521.9676	RPS12	25164.0123
RPS13	6579.0847	RPS13	12879.6442
RPS14	13073.6894	RPS14	29640.335
RPS15A	7159.4399	RPS15A	17753.4024
RPS15	2119.7691	RPS15	5493.589
RPS16	6053.7549	RPS16	17037.1065
RPS17	7704.5141	RPS17	18378.1442
RPS18	29556.0348	RPS18	67965.669
RPS19BP1	476.4544	RPS19BP1	854.1529
RPS19	5211.8677	RPS19	26659.7446
RPS20	7522.6069	RPS20	21673.3856
RPS21	3211.2122	RPS21	9780.8405
RPS23	8393.9488	RPS23	21742.1388
RPS24	13878.6773	RPS24	31713.4536
RPS25	7324.5158	RPS25	16638.6188
RPS26	297.784	RPS26	203.1025
RPS27A	6589.4424	RPS27A	19309.8199
RPS27L	1050.9834	RPS27L	1188.4477
RPS27	83.509	RPS27	2511.5955
RPS28	244.3771	RPS28	700.8614
RPS29	5448.1528	RPS29	10048.4868
removed	removed	RPS2P32	7.0156
RPS2	8281.6325	RPS2	21295.8219
RPS3A	6146.6505	RPS3A	13978.2919
RPS3	14531.5364	RPS3	44339.8336
RPS4X	30974.0693	RPS4X	76655.2283
removed	removed	RPS4Y1	7.7172
RPS5	10126.5987	RPS5	24346.6914
RPS6KA1	1602.2075	RPS6KA1	1195.1126
RPS6KA2	234.0194	RPS6KA2	961.8429
RPS6KA3	320.4415	RPS6KA3	1350.158
RPS6KA4	324.3256	RPS6KA4	490.7433
RPS6KA5	297.784	RPS6KA5	578.0879
RPS6KA6	192.5886	RPS6KA6	62.4391
RPS6KB1	791.3934	RPS6KB1	944.6546
RPS6KB2	380.322	RPS6KB2	492.4972
RPS6KC1	913.0964	RPS6KC1	525.4707
RPS6KL1	66.0304	RPS6KL1	166.6212
RPS6	21729.494	RPS6	68699.1531
RPS7	4073.4912	RPS7	11284.9916
RPS8	12497.2184	RPS8	36385.5124
RPS9	7450.103	RPS9	21820.0123
RPSAP58	5893.8578	RPSAP58	12470.9838
RPSAP9	12.2998	RPSAP9	23.8531
RPSA	5440.3845	RPSA	11047.5125
RPTOR	591.3602	RPTOR	782.2427
RPUSD1	156.0129	RPUSD1	340.2581
RPUSD2	130.1187	RPUSD2	245.1963
RPUSD3	357.3408	RPUSD3	440.5816
RPUSD4	443.7629	RPUSD4	701.563
RQCD1	301.0208	RQCD1	199.2439
removed	removed	RRAD	67.7008
RRAGA	2359.6147	RRAGA	2242.1953
RRAGB	265.4162	RRAGB	375.687
RRAGC	564.8186	RRAGC	449.0003
RRAGD	60.5278	RRAGD	587.559
RRAS2	83.8327	RRAS2	503.3714
RRAS	850.3028	RRAS	864.6764
RRBP1	4587.4923	RRBP1	3808.4347
RREB1	1866.6526	RREB1	1202.8298
RRH	6.4736	removed	removed
RRM1	2856.4608	RRM1	1682.3481
RRM2B	1329.9941	RRM2B	817.3209
RRM2	1243.2483	RRM2	85.2399
removed	removed	RRN3P1	38.586
removed	removed	RRN3P2	9.1203
RRN3P3	29.8011	RRN3P3	48.3552
RRN3	1326.1099	RRN3	1566.9409
RRP12	779.741	RRP12	927.1155
RRP15	502.996	RRP15	709.9818
RRP1B	832.1769	RRP1B	1149.8617
RRP1	233.6957	RRP1	588.9621
RRP7A	322.3836	RRP7A	588.6114
RRP7B	27.9399	RRP7B	157.9043
RRP8	226.5748	RRP8	372.53
RRP9	194.8543	RRP9	469.6964
RRS1	155.0419	RRS1	423.0425
removed	removed	RS1	5.2617
RSAD1	609.8099	RSAD1	1044.9781
RSAD2	77.6828	RSAD2	105.5852
RSBN1L	588.0684	RSBN1L	545.823
RSBN1	737.9865	RSBN1	949.2147
RSC1A1	500.7983	RSC1A1	221.9886
RSF1	949.0247	RSF1	886.0741
RSL1D1	2428.8818	RSL1D1	6345.6373
RSL24D1	2126.5663	RSL24D1	3272.4406
RSPH1	159.8971	RSPH1	62.7899
RSPH3	266.0635	RSPH3	143.4696
removed	removed	RSPH4A	17.1883
removed	removed	RSPH9	12.2774
removed	removed	RSPO1	188.7204
RSPO3	20.3917	RSPO3	199.2439
removed	removed	RSPO4	16.1359
RSPRY1	361.225	RSPRY1	440.9323
RSRC1	205.8594	RSRC1	222.3955
RSRC2	1212.1752	RSRC2	1569.0456
RSU1	882.9943	RSU1	1526.9519
RTCD1	742.1943	RTCD1	471.0996
RTEL1	238.3696	RTEL1	295.2177
RTF1	2100.3484	RTF1	1852.4771
RTKN2	92.8957	RTKN2	48.4078
RTKN	1092.4142	RTKN	737.3427
RTN1	2786.2226	RTN1	621.9356
RTN2	165.3996	RTN2	474.6074
RTN3	7125.13	RTN3	5082.8239
RTN4IP1	130.766	RTN4IP1	152.59
RTN4RL1	1456.8759	RTN4RL1	726.4685
RTN4RL2	37.5467	RTN4RL2	12.9789
RTN4R	96.1324	RTN4R	42.4446
RTN4	16366.4685	RTN4	7399.3849
RTP4	61.8226	RTP4	183.1079
RTTN	273.5081	RTTN	375.3362
RUFY1	1139.3475	RUFY1	1241.7665
RUFY2	447.3234	RUFY2	410.7651
RUFY3	801.1037	RUFY3	693.8458
RUNDC1	1452.3444	RUNDC1	943.6022
RUNDC2A	51.7885	RUNDC2A	40.3399
RUNDC2C	7.4446	RUNDC2C	25.5334
removed	removed	RUNDC3A	12.2774
RUNDC3B	16.5076	RUNDC3B	156.7993
RUNX1T1	10.3577	RUNX1T1	99.2712
RUNX1	2540.8745	RUNX1	2971.8208
RUNX2	347.6305	RUNX2	170.129
RUNX3	49.1991	RUNX3	561.952
RUSC1	1571.458	RUSC1	640.527
RUSC2	224.309	RUSC2	905.367
RUVBL1	848.5064	RUVBL1	883.2397
RUVBL2	1166.5365	RUVBL2	1499.9417
RWDD1	1430.658	RWDD1	997.2718
RWDD2A	142.7421	RWDD2A	116.4595
RWDD2B	552.1951	RWDD2B	458.4714
RWDD3	219.9232	RWDD3	336.3995
RWDD4A	507.8512	RWDD4A	688.5841
RXRA	2267.0427	RXRA	2049.9671
RXRB	833.7952	RXRB	1197.9188
removed	removed	RXRG	15.4344
RYBP	2525.6616	RYBP	1576.7628
RYK	1283.7081	RYK	1992.7897
RYR1	8.7393	RYR1	345.8706
removed	removed	RYR2	10.8742
removed	removed	RYR3	99.2712
S100A10	5890.9447	S100A10	2346.3774
S100A11	8792.3968	S100A11	4091.8662
S100A13	2686.8534	S100A13	1680.2434
S100A14	5547.1984	S100A14	1582.0246
S100A16	5508.6806	S100A16	2745.9176
S100A1	326.2677	S100A1	1179.6782
removed	removed	S100A2	105.5852
S100A4	561.2581	S100A4	1149.8617
S100A6	1608.3574	S100A6	7650.1937
S100A8	11.3287	S100A8	32.2719
S100A9	35.6046	S100A9	138.5587
S100B	30.7494	S100B	837.6662
S100PBP	521.7694	S100PBP	460.5761
removed	removed	S100P	5.2617
S1PR1	484.5464	S1PR1	2001.2084
S1PR2	141.4474	S1PR2	344.4674
S1PR3	526.2976	S1PR3	1124.5634
removed	removed	S1PR4	13.6805
S1PR5	30.4258	S1PR5	24.5547
SAA1	188.7044	SAA1	8324.7465
SAA2	30.4258	SAA2	2948.3185
removed	removed	SAA4	40.3399
SAAL1	200.3569	SAAL1	198.5423
SAC3D1	173.4916	SAC3D1	135.0509
SACM1L	1660.1459	SACM1L	1252.9915
SACS	151.1578	SACS	943.6022
SAE1	2757.7389	SAE1	1503.0987
SAFB2	732.4839	SAFB2	1272.9861
SAFB	1045.8045	SAFB	1740.9286
SALL1	8.4156	SALL1	20.3453
SALL2	379.6746	SALL2	865.7287
SAMD10	126.2345	SAMD10	148.3806
SAMD11	7.6194	SAMD11	5.4582
SAMD12	657.7143	SAMD12	385.5089
removed	removed	SAMD13	33.675
SAMD14	8.092	removed	removed
SAMD1	249.8796	SAMD1	182.7572
removed	removed	SAMD3	15.4344
SAMD4A	117.8189	SAMD4A	424.7964
SAMD4B	1193.4018	SAMD4B	1492.5753
SAMD5	33.0152	SAMD5	1086.0195
SAMD8	135.2975	SAMD8	139.611
SAMD9L	1258.4612	SAMD9L	408.6604
SAMD9	607.2205	SAMD9	280.976
SAMHD1	666.6769	SAMHD1	531.9251
SAMM50	1390.5219	SAMM50	1269.4782
SAMSN1	57.9384	SAMSN1	76.4704
SAP130	774.8858	SAP130	782.2427
SAP18	2541.5219	SAP18	2629.8089
SAP30BP	744.46	SAP30BP	1216.1595
SAP30L	1169.1259	SAP30L	1573.255
SAP30	111.9927	SAP30	130.8415
SAPS1	1096.622	SAPS1	1267.0228
SAPS2	992.3976	SAPS2	1016.9156
SAPS3	2266.3953	SAPS3	2370.5814
SAR1A	2960.6852	SAR1A	2444.947
SAR1B	1337.7623	SAR1B	376.3885
removed	removed	SARDH	60.3344
SARM1	26.8944	SARM1	465.7782
SARNP	999.402	SARNP	851.5712
SARS2	243.7297	SARS2	333.2424
SARS	3846.269	SARS	3360.8375
SART1	479.3675	SART1	1426.2776
SART3	931.5461	SART3	1593.6003
SASH1	656.7432	SASH1	2181.8609
SASH3	79.9485	SASH3	244.1439
SASS6	130.4423	SASS6	162.4118
SAT1	1363.9803	SAT1	2107.4952
SAT2	363.8144	SAT2	971.314
SATB1	228.5169	SATB1	881.8647
SATB2	34.3099	SATB2	46.3032
SATL1	32.3678	SATL1	21.3977
SAV1	945.1406	SAV1	2107.4952
SBDSP1	252.1454	SBDSP1	488.9894
SBDS	1419.3293	SBDS	2461.4338
SBF1	663.5405	SBF1	1096.543
SBF2	1304.2972	SBF2	1049.4155
SBK1	340.8332	SBK1	255.0181
SBNO1	909.536	SBNO1	513.5441
SBNO2	1064.9015	SBNO2	1123.2024
SC4MOL	1388.9035	SC4MOL	716.9974
SC5DL	1288.2396	SC5DL	1345.5978
SC65	442.1445	SC65	367.2682
SCAF1	880.4049	SCAF1	1199.6727
SCAI	270.2714	SCAI	371.1268
SCAMP1	2043.0573	SCAMP1	1959.8162
SCAMP2	2866.8185	SCAMP2	2454.7689
SCAMP3	2498.4726	SCAMP3	1161.0868
SCAMP4	2328.2179	SCAMP4	1621.3121
SCAMP5	96.4561	SCAMP5	359.9018
SCAND1	260.8847	SCAND1	350.0799
SCAND2	141.7711	SCAND2	339.9073
SCAND3	50.8175	SCAND3	145.9251
SCAPER	343.7463	SCAPER	459.8745
SCAP	1552.128	SCAP	2132.8883
SCARA3	482.6043	SCARA3	1937.0154
SCARA5	25.2469	SCARA5	259.9291
SCARB1	1081.4091	SCARB1	1912.1099
SCARB2	14653.8868	SCARB2	8151.8112
SCARF1	81.2432	SCARF1	154.6946
SCARF2	38.194	SCARF2	96.4649
removed	removed	SCARNA10	7.3664
removed	removed	SCARNA5	7.0156
SCCPDH	3828.143	SCCPDH	1304.5564
SCD5	93.2193	SCD5	538.4496
SCD	13001.5091	SCD	13667.8503
SCFD1	1653.6723	SCFD1	1081.1086
SCFD2	399.0953	SCFD2	493.5496
SCG2	15.8602	removed	removed
SCG5	22.3338	SCG5	156.0978
SCGB1D2	42.0782	SCGB1D2	1187.3954
SCGB2A1	6.1499	SCGB2A1	54.7219
SCGB2A2	119.761	SCGB2A2	5154.7341
removed	removed	SCGB3A1	227.3064
removed	removed	SCGN	227.3064
SCHIP1	101.7871	SCHIP1	424.4456
SCIN	45.9623	SCIN	166.9439
SCLT1	134.3265	SCLT1	140.6634
SCLY	156.3366	SCLY	223.4478
SCMH1	878.4629	SCMH1	1134.0766
SCML1	16.5076	SCML1	154.3439
removed	removed	SCML2	39.6383
removed	removed	SCML4	47.3555
removed	removed	SCN11A	12.2774
SCN1B	62.4699	SCN1B	45.6016
SCN2A	7.7683	SCN2A	203.1025
removed	removed	SCN2B	235.0236
SCN3A	10.034	SCN3A	113.6532
SCN3B	9.063	SCN3B	64.8946
SCN4A	60.5278	SCN4A	119.9673
SCN4B	151.1578	SCN4B	1117.9406
SCN5A	5.1789	SCN5A	101.0251
SCN7A	12.9471	SCN7A	45.6016
removed	removed	SCN8A	86.2922
removed	removed	SCN9A	18.1529
SCNM1	469.9809	SCNM1	333.5932
SCNN1A	5296.6714	SCNN1A	2021.9046
SCNN1B	20.0681	SCNN1B	173.9876
SCNN1D	8.7393	SCNN1D	43.1461
SCNN1G	12.2998	SCNN1G	166.2704
SCO1	548.6347	SCO1	431.812
SCO2	604.9547	SCO2	309.3893
SCOC	3391.501	SCOC	2110.6523
SCP2	5418.3744	SCP2	2892.1934
SCPEP1	1675.6825	SCPEP1	4468.6055
removed	removed	SCRG1	30.8688
SCRIB	846.7424	SCRIB	1121.4484
SCRN1	1111.5112	SCRN1	1513.6222
SCRN2	360.2539	SCRN2	1179.3274
SCRN3	433.0815	SCRN3	295.0072
SCUBE1	1042.8914	SCUBE1	68.7532
SCUBE2	102696.9683	SCUBE2	6617.1422
SCUBE3	2028.4918	SCUBE3	32.6227
SCYL1	1249.984	SCYL1	1516.6705
SCYL2	1485.3596	SCYL2	979.0312
SCYL3	593.8946	SCYL3	685.2552
SDAD1	881.376	SDAD1	1089.1765
SDC1	5337.4548	SDC1	4149.3943
SDC2	973.3006	SDC2	1615.3488
SDC3	3289.866	SDC3	3077.7569
SDC4	6827.0223	SDC4	11236.9345
SDCBP2	25.2275	SDCBP2	51.393
SDCBP	2950.0038	SDCBP	3037.417
SDCCAG1	945.4643	SDCCAG1	936.2358
SDCCAG3	273.8318	SDCCAG3	537.748
SDCCAG8	666.4536	SDCCAG8	575.2817
SDF2L1	295.8419	SDF2L1	223.7986
SDF2	1118.3085	SDF2	958.6858
SDF4	2808.2328	SDF4	2064.3491
SDHAF1	105.8428	SDHAF1	280.976
SDHAF2	651.2407	SDHAF2	651.4012
SDHAP1	44.0202	SDHAP1	202.0501
SDHAP2	34.3099	SDHAP2	161.0087
SDHAP3	34.6336	SDHAP3	97.868
SDHA	1691.5427	SDHA	2271.3102
SDHB	1400.8796	SDHB	1156.1758
SDHC	3841.4138	SDHC	1597.1082
SDHD	1909.7019	SDHD	2052.0718
SDK1	16.1839	SDK1	247.6517
SDK2	22.3338	SDK2	501.6175
SDPR	151.1578	SDPR	3083.3694
SDR16C5	477.4255	SDR16C5	34.7274
SDR39U1	376.03	SDR39U1	732.0389
SDR42E1	93.2193	SDR42E1	371.1268
SDSL	308.7891	SDSL	169.0767
SDS	76.3881	SDS	51.2141
SEC11A	3560.4611	SEC11A	2290.6032
SEC11C	1807.7432	SEC11C	969.5601
SEC13	1849.174	SEC13	1633.9402
SEC14L1	1216.7067	SEC14L1	2355.8485
SEC14L2	1074.1167	SEC14L2	1782.6926
removed	removed	SEC14L5	17.8899
SEC16A	6165.4239	SEC16A	3128.2694
SEC16B	64.7486	SEC16B	167.7753
removed	removed	SEC1	15.0836
SEC22A	489.0779	SEC22A	391.4722
SEC22B	2424.674	SEC22B	1287.0173
SEC22C	1211.5278	SEC22C	761.8974
SEC23A	737.3391	SEC23A	994.4655
SEC23B	3888.3472	SEC23B	2046.4593
SEC23IP	2345.3728	SEC23IP	1221.772
SEC24A	1115.0717	SEC24A	753.4787
SEC24B	1839.4637	SEC24B	1375.4143
SEC24C	4624.0679	SEC24C	3121.9553
SEC24D	5924.9309	SEC24D	1049.5382
SEC31A	7643.5817	SEC31A	3934.9406
SEC31B	7.7683	SEC31B	78.1717
SEC61A1	12543.6889	SEC61A1	6814.7339
SEC61A2	117.1327	SEC61A2	104.824
SEC61B	2088.3723	SEC61B	1144.9508
SEC61G	1215.4119	SEC61G	590.0145
SEC62	6699.1694	SEC62	3677.2424
SEC63	4694.3061	SEC63	2674.7089
SECISBP2L	933.1645	SECISBP2L	1367.3463
SECISBP2	890.7626	SECISBP2	934.4819
SECTM1	587.7998	SECTM1	172.5845
SEH1L	941.9038	SEH1L	827.8443
SEL1L3	141.7711	SEL1L3	598.784
SEL1L	5434.2346	SEL1L	3505.0087
SELENBP1	3966.3536	SELENBP1	3326.4609
SELE	21.3628	SELE	39.2875
SELK	453.7969	SELK	529.6801
SELL	71.5329	SELL	160.3071
SELM	753.523	SELM	1182.8352
SELO	227.5458	SELO	329.3838
SELPLG	201.6516	SELPLG	483.3769
SELP	50.8175	SELP	186.265
SELS	1314.4575	SELS	808.2006
SELT	4386.1644	SELT	1895.974
SEMA3A	21.3628	SEMA3A	92.6063
SEMA3B	350.5436	SEMA3B	193.2806
SEMA3C	6002.9374	SEMA3C	6666.2516
SEMA3D	20.7154	SEMA3D	371.4776
SEMA3E	2385.8326	SEMA3E	398.137
SEMA3F	2909.5441	SEMA3F	1093.3859
SEMA3G	278.3633	SEMA3G	1904.7435
SEMA4A	913.0964	SEMA4A	916.5921
SEMA4B	4022.0263	SEMA4B	2532.9932
SEMA4C	858.7185	SEMA4C	924.3092
SEMA4D	323.3546	SEMA4D	483.3769
SEMA4F	898.2072	SEMA4F	332.8916
SEMA4G	80.8743	SEMA4G	211.4686
SEMA5A	626.9648	SEMA5A	2721.0121
SEMA5B	24.9232	SEMA5B	5.6125
SEMA6A	424.3422	SEMA6A	828.1951
SEMA6B	45.9623	SEMA6B	111.8993
SEMA6C	50.4938	SEMA6C	297.1119
SEMA6D	437.9367	SEMA6D	317.4573
SEMA7A	63.1173	SEMA7A	64.5438
SENP1	490.3726	SENP1	590.716
SENP2	1069.433	SENP2	992.3609
SENP3	690.5514	SENP3	1127.5135
SENP5	438.2604	SENP5	591.0668
SENP6	1516.7564	SENP6	1985.7741
SENP7	314.2916	SENP7	441.2831
SENP8	84.1564	SENP8	71.2086
SEP15	3615.8101	SEP15	3249.289
SEPHS1	927.662	SEPHS1	1178.6258
SEPHS2	1975.7322	SEPHS2	1542.3862
SEPN1	5146.161	SEPN1	3161.5936
SEPP1	9080.0918	SEPP1	10128.5176
SEPSECS	334.036	SEPSECS	362.0065
SEPT10	2209.4279	SEPT10	2154.8507
SEPT11	1479.8571	SEPT11	1411.5447
SEPT1	15.8602	SEPT1	90.5016
SEPT2	12290.0643	SEPT2	7609.503
SEPT3	24.2759	SEPT3	192.9298
SEPT4	164.1049	SEPT4	420.2362
SEPT5	414.9556	SEPT5	661.5739
SEPT6	600.4232	SEPT6	919.7491
SEPT7P2	55.349	SEPT7P2	179.9509
SEPT7	3954.0539	SEPT7	3124.7616
SEPT8	1836.0456	SEPT8	1521.0201
SEPT9	4891.1025	SEPT9	5261.7225
SEPW1	3492.4886	SEPW1	2817.477
SEPX1	353.4567	SEPX1	322.3682
SERAC1	467.3914	SERAC1	353.5877
SERBP1	5878.9686	SERBP1	7461.1224
SERF1A	596.5391	SERF1A	541.9574
SERF2	9413.4674	SERF2	5821.233
SERGEF	299.0787	SERGEF	462.33
SERHL2	836.6048	SERHL2	270.3999
SERHL	333.3886	SERHL	262.0338
SERINC1	11797.1023	SERINC1	7770.5117
SERINC2	2388.422	SERINC2	2145.3796
SERINC3	4197.7836	SERINC3	2430.9158
SERINC5	386.1482	SERINC5	213.6259
SERP1	10489.9793	SERP1	5100.2297
SERP2	52.4359	SERP2	93.3079
SERPINA11	426.608	SERPINA11	34.3766
SERPINA1	1347.149	SERPINA1	2269.5563
SERPINA3	12252.1939	SERPINA3	7680.3609
removed	removed	SERPINA4	7.7172
removed	removed	SERPINA5	490.0418
SERPINA6	101.3113	SERPINA6	133.297
SERPINB1	2009.7184	SERPINB1	946.7593
removed	removed	SERPINB2	24.2039
SERPINB5	48.5517	SERPINB5	1484.8581
SERPINB6	3227.0725	SERPINB6	2493.0041
SERPINB8	130.4423	SERPINB8	166.6212
SERPINB9	168.9601	SERPINB9	196.4376
SERPINC1	12.6235	removed	removed
SERPINE1	1139.0239	SERPINE1	229.4111
SERPINE2	282.8948	SERPINE2	387.9643
SERPINF1	680.3717	SERPINF1	2532.2916
SERPINF2	14.5655	SERPINF2	180.3017
SERPING1	1389.8745	SERPING1	7289.5903
SERPINH1	1630.0438	SERPINH1	2014.1874
SERPINI1	1024.1181	SERPINI1	429.0058
SERTAD1	254.4111	SERTAD1	330.787
SERTAD2	1578.579	SERTAD2	1057.957
SERTAD3	1052.9254	SERTAD3	564.0566
SERTAD4	546.0453	SERTAD4	247.301
SESN1	550.5768	SESN1	1594.6527
SESN2	181.5835	SESN2	344.1166
SESN3	222.6907	SESN3	91.2032
SESTD1	1753.3652	SESTD1	1297.8915
SETBP1	744.7837	SETBP1	715.945
SETD1A	462.5363	SETD1A	874.1475
SETD1B	619.5202	SETD1B	781.1904
SETD2	2309.7682	SETD2	2374.44
SETD3	1474.6782	SETD3	1597.1082
SETD4	208.7725	SETD4	413.5714
SETD5	2084.8118	SETD5	2101.1812
SETD6	159.2918	SETD6	440.5675
SETD7	4275.1427	SETD7	2504.9307
SETD8	614.3414	SETD8	833.1061
SETDB1	1153.2657	SETDB1	1026.0359
SETDB2	374.8194	SETDB2	626.4958
SETMAR	449.5891	SETMAR	816.6193
SETX	2986.2558	SETX	2175.8976
SET	6826.0512	SET	6734.654
SEZ6L2	858.3948	SEZ6L2	932.3772
SEZ6L	130.1187	removed	removed
SF1	3890.6129	SF1	5657.7548
SF3A1	3482.7589	SF3A1	4296.7155
SF3A2	677.135	SF3A2	1242.4681
SF3A3	2004.5396	SF3A3	2279.0274
SF3B14	1266.8768	SF3B14	1217.9134
SF3B1	7528.7568	SF3B1	6534.7085
SF3B2	3973.1509	SF3B2	5163.8544
SF3B3	1786.3804	SF3B3	4523.6782
SF3B4	2208.1332	SF3B4	1558.873
SF3B5	1167.1839	SF3B5	1383.1314
SF4	401.0374	SF4	560.8996
SFI1	369.3169	SFI1	404.4511
SFMBT1	737.9865	SFMBT1	361.6557
SFMBT2	60.2042	SFMBT2	166.2704
SFN	1126.012	SFN	1128.4115
SFPQ	3692.3082	SFPQ	4205.5018
SFRP1	849.9792	SFRP1	37492.9296
SFRP2	1906.1414	SFRP2	1522.3917
SFRP4	366.4038	SFRP4	403.0479
SFRS11	2324.3337	SFRS11	2396.89
SFRS12IP1	621.4623	SFRS12IP1	563.3551
SFRS12	1356.5357	SFRS12	1341.0377
SFRS13A	1801.5933	SFRS13A	1912.4607
removed	removed	SFRS13B	45.2508
SFRS14	1247.7798	SFRS14	1105.3125
SFRS15	718.2421	SFRS15	915.8905
SFRS16	127.5292	SFRS16	517.0519
SFRS17A	347.9542	SFRS17A	753.1279
