gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
SLK	2151.3384	SLK	2751.6534
SLMAP	1605.6966	SLMAP	1777.4471
SLMO1	88.5381	SLMO1	41.6667
SLMO2	1595.0583	SLMO2	1174.9339
SLPI	191.1462	SLPI	755.6217
SLTM	3096.431	SLTM	2472.5529
SLU7	1788.9499	SLU7	1365.7407
SMAD1	602.9513	SMAD1	868.0556
SMAD2	2061.0844	SMAD2	2160.7143
SMAD3	2502.7454	SMAD3	1590.2778
SMAD4	1881.0467	SMAD4	2168.168
removed	removed	SMAD5OS	5.291
SMAD5	2049.4166	SMAD5	1904.4312
SMAD6	46.3281	SMAD6	164.6825
SMAD7	948.5244	SMAD7	983.1349
SMAD9	86.8222	SMAD9	116.7328
SMAGP	97.4605	SMAGP	211.6402
SMAP1	756.1702	SMAP1	705.7705
SMAP2	932.0522	SMAP2	949.4048
SMARCA1	495.1956	SMARCA1	1853.5053
SMARCA2	5512.011	SMARCA2	5429.5635
SMARCA4	2880.2334	SMARCA4	1945.4365
SMARCA5	2813.315	SMARCA5	2487.0007
SMARCAD1	1207.9616	SMARCAD1	1003.6376
SMARCAL1	635.5525	SMARCAL1	599.2063
SMARCB1	1182.5669	SMARCB1	1160.3836
SMARCC1	3660.604	SMARCC1	2893.8492
SMARCC2	3327.0419	SMARCC2	3506.6138
SMARCD1	1281.7433	SMARCD1	1301.2566
SMARCD2	2825.6692	SMARCD2	1903.1085
SMARCD3	425.1887	SMARCD3	453.0423
SMARCE1	3419.698	SMARCE1	2779.4312
SMC1A	2799.9314	SMC1A	2486.7725
SMC2	691.4894	SMC2	568.4524
SMC3	1547.7008	SMC3	1724.8677
SMC4	1577.5566	SMC4	715.2778
SMC5	867.1929	SMC5	1231.8122
SMC6	691.4894	SMC6	638.2275
SMCHD1	1424.5024	SMCHD1	1683.5317
SMCR7L	849.348	SMCR7L	1069.1138
SMCR7	476.6644	SMCR7	371.3624
SMCR8	1858.2498	SMCR8	1443.9385
SMEK1	1959.849	SMEK1	1762.5661
SMEK2	1678.4489	SMEK2	2076.3889
SMG1	6777.2821	SMG1	4135.9127
SMG5	1974.9485	SMG5	2094.9074
SMG6	1540.4942	SMG6	1542.9894
SMG7	2058.3391	SMG7	1854.4974
SMN1	29.2725	removed	removed
SMN2	1237.0281	SMN2	937.1958
SMNDC1	515.0995	SMNDC1	617.0635
SMOC1	5.8339	SMOC1	254.6296
SMOC2	2494.1661	SMOC2	3033.3995
SMOX	486.2732	SMOX	105.4894
SMO	431.3658	SMO	464.6164
SMPD1	636.582	SMPD1	763.5582
SMPD2	361.0158	SMPD2	196.4286
SMPD3	92.9993	SMPD3	297.2884
SMPD4	1438.9156	SMPD4	1627.9762
SMPDL3A	509.2656	SMPDL3A	297.2884
SMPDL3B	175.3603	SMPDL3B	181.2169
removed	removed	SMR3B	15.5423
SMS	1352.0933	SMS	1000
removed	removed	SMTNL2	18.5185
SMTN	438.9156	SMTN	1301.2566
SMU1	1375.429	SMU1	1645.172
SMUG1	669.1833	SMUG1	357.8042
SMURF1	760.1407	SMURF1	978.2308
SMURF2	291.6953	SMURF2	638.5582
removed	removed	SMYD1	155.4233
SMYD2	432.3953	SMYD2	611.7725
SMYD3	211.0501	SMYD3	156.4153
SMYD4	358.2704	SMYD4	472.5529
SMYD5	508.5793	SMYD5	619.0476
SNAI1	50.103	SNAI1	207.3413
SNAI2	195.9506	SNAI2	340.6085
SNAI3	5.8339	SNAI3	12.2354
SNAP23	1389.499	SNAP23	1272.8175
removed	removed	SNAP25	18.5185
SNAP29	1219.9725	SNAP29	953.373
SNAP47	613.0954	SNAP47	620.9193
removed	removed	SNAP91	7.9365
SNAPC1	104.6671	SNAPC1	243.0556
SNAPC2	708.9911	SNAPC2	300.9259
SNAPC3	574.8113	SNAPC3	537.3677
SNAPC4	287.9204	SNAPC4	358.4656
SNAPC5	112.9032	SNAPC5	83.8128
SNAPIN	418.3253	SNAPIN	550.2646
SNCAIP	10.2951	SNCAIP	154.4312
SNCA	12.6973	SNCA	191.7989
SNCG	135.8957	SNCG	1777.1164
SND1	3893.617	SND1	3659.3915
SNED1	347.2889	SNED1	979.1667
SNF8	882.2924	SNF8	612.4339
SNHG10	146.1908	SNHG10	60.5159
SNHG11	251.7536	SNHG11	177.8042
SNHG12	181.5374	SNHG12	187.5
SNHG1	540.4942	SNHG1	432.8704
SNHG3-RCC1	379.0288	SNHG3-RCC1	135.7341
SNHG3	72.4091	SNHG3	27.1164
SNHG4	9.1455	SNHG4	7.0304
SNHG5	1560.0549	SNHG5	2065.4762
SNHG6	1457.4468	SNHG6	568.1217
SNHG7	272.7145	SNHG7	330.5324
SNHG8	733.013	SNHG8	698.7434
SNHG9	100.2059	SNHG9	26.7857
SNIP1	365.8202	SNIP1	442.1296
SNN	720.3157	SNN	1465.6085
SNORA39	5.9677	removed	removed
SNORA7B	7.2821	SNORA7B	8.1151
SNORA8	231.6575	SNORA8	263.7269
SNORD116-20	15.7859	SNORD116-20	14.881
SNORD116-28	79.7563	SNORD116-28	79.6792
SNORD116-4	101.5752	SNORD116-4	107.8803
SNORD1C	15.6932	SNORD1C	14.2659
SNPH	165.4084	SNPH	166.0053
SNRK	1310.9128	SNRK	2249.6693
SNRNP200	7531.9149	SNRNP200	6346.2302
SNRNP25	1248.1126	SNRNP25	314.1534
SNRNP27	478.7234	SNRNP27	534.0608
SNRNP35	401.1256	SNRNP35	325.4563
SNRNP40	591.2835	SNRNP40	713.2937
SNRNP48	354.8387	SNRNP48	441.7989
SNRNP70	3703.1572	SNRNP70	2731.8122
SNRPA1	237.1311	SNRPA1	197.7513
SNRPA	841.1119	SNRPA	779.4312
SNRPB2	884.6946	SNRPB2	703.373
SNRPB	1948.5244	SNRPB	1193.4524
SNRPC	830.1304	SNRPC	585.3175
SNRPD1	888.4695	SNRPD1	427.9101
SNRPD2	2623.1984	SNRPD2	1420.9656
SNRPD3	1743.8469	SNRPD3	1151.0483
SNRPE	681.8806	SNRPE	445.4365
SNRPF	574.1249	SNRPF	394.1799
SNRPG	537.4056	SNRPG	329.3651
SNRPN	2527.0625	SNRPN	1534.6263
SNTA1	194.5779	SNTA1	579.6958
SNTB1	370.6246	SNTB1	385.9127
SNTB2	621.1393	SNTB2	1354.4974
removed	removed	SNTG2	27.7778
SNTN	6.1771	removed	removed
SNUPN	580.6452	SNUPN	416.9974
SNURF	216.4242	SNURF	59.9967
SNW1	1355.8682	SNW1	1420.3042
SNX10	1217.9135	SNX10	535.0529
SNX11	418.3253	SNX11	488.0952
SNX12	168.1537	SNX12	226.5212
SNX13	727.5223	SNX13	1253.3069
SNX14	1516.4722	SNX14	1244.709
SNX15	364.7907	SNX15	492.7249
SNX16	256.6918	SNX16	250.3307
SNX17	2300.2745	SNX17	2215.2778
SNX18	1071.7227	SNX18	1209.6561
SNX19	2478.3802	SNX19	2465.6085
SNX1	3922.4434	SNX1	4515.873
SNX20	14.2622	SNX20	28.1085
SNX21	270.5491	SNX21	685.5192
SNX22	113.1915	SNX22	91.9974
SNX24	572.4091	SNX24	171.627
SNX25	746.0535	SNX25	496.3624
SNX27	1214.7426	SNX27	1121.2434
SNX29	893.617	SNX29	953.373
SNX2	1735.7584	SNX2	1595.5688
SNX30	841.7982	SNX30	884.5899
removed	removed	SNX32	6.6138
SNX33	1679.4784	SNX33	1303.2407
SNX3	1575.4976	SNX3	2749.6693
SNX4	701.0981	SNX4	784.3915
SNX5	1401.51	SNX5	1895.8333
SNX6	995.5388	SNX6	1411.3757
SNX7	424.1592	SNX7	416.9974
SNX8	121.4825	SNX8	309.1931
SNX9	1981.1256	SNX9	2603.5053
SOAT1	968.7714	SOAT1	527.4471
SOBP	36.3761	SOBP	190.4762
SOCS1	6.5202	SOCS1	18.1878
SOCS2	50.103	SOCS2	712.6323
SOCS3	645.5045	SOCS3	3063.8228
SOCS4	570.0069	SOCS4	650.7937
SOCS5	534.6603	SOCS5	1117.0635
SOCS6	1380.9197	SOCS6	1149.4709
SOCS7	98.49	SOCS7	132.6058
SOD1	3665.4084	SOD1	2825.0661
SOD2	1912.8346	SOD2	7160.0529
SOD3	50.103	SOD3	1599.8677
removed	removed	SOHLH2	32.9497
SOLH	722.7179	SOLH	457.672
SON	7295.127	SON	8545.3042
SORBS1	421.4139	SORBS1	13935.5159
SORBS2	643.4454	SORBS2	2592.9233
SORBS3	1114.9623	SORBS3	2932.5397
SORCS1	524.022	SORCS1	173.6111
SORCS2	55.5937	SORCS2	137.2354
SORD	1506.1771	SORD	554.8942
SORL1	1989.0185	SORL1	3507.2751
SORT1	4051.4756	SORT1	3848.2143
SOS1	1096.0879	SOS1	2253.3069
SOS2	987.3027	SOS2	1739.0873
SOSTDC1	5.4907	SOSTDC1	272.1561
SOX10	6.5202	SOX10	1487.4339
SOX11	84.7632	SOX11	10.9127
SOX12	751.2011	SOX12	341.2698
SOX13	2175.3603	SOX13	1179.5635
removed	removed	SOX15	33.3995
SOX17	41.8668	SOX17	219.246
SOX18	129.7186	SOX18	439.4841
SOX4	1875.7721	SOX4	2826.0582
SOX5	190.803	SOX5	116.4021
removed	removed	SOX6	107.8042
SOX7	60.3981	SOX7	417.328
SOX8	10.9815	SOX8	49.9339
SOX9	32.2581	SOX9	2483.1349
SP100	1550.7893	SP100	1741.7328
SP110	351.407	SP110	432.5397
SP140L	131.0913	SP140L	334.9868
SP140	19.2176	SP140	30.4233
SP1	3839.396	SP1	4216.2698
SP2	741.9355	SP2	831.6799
SP3	2592.313	SP3	2309.5238
SP4	163.6925	SP4	388.2275
SP5	35.0034	SP5	13.5582
SP6	61.7708	SP6	92.2619
SPA17	163.3493	SPA17	133.5979
SPACA4	6.1771	removed	removed
SPAG16	452.9856	SPAG16	342.9233
SPAG17	79.6156	SPAG17	54.2328
SPAG1	850.0343	SPAG1	200.7275
SPAG4	66.5752	SPAG4	22.4868
SPAG5	334.1283	SPAG5	85.3175
removed	removed	SPAG6	61.1772
SPAG7	951.2697	SPAG7	671.627
SPAG8	35.6898	SPAG8	16.8651
SPAG9	1585.4496	SPAG9	2747.3545
SPARCL1	5255.3191	SPARCL1	19130.291
SPARC	39884.3514	SPARC	32805.5556
SPAST	508.5793	SPAST	486.4418
SPATA13	948.1778	SPATA13	696.2831
SPATA17	18.5312	SPATA17	21.164
SPATA18	25.7378	SPATA18	691.7989
removed	removed	SPATA1	5.9987
SPATA20	1118.0508	SPATA20	889.881
SPATA24	58.6822	SPATA24	25.7937
SPATA2L	146.534	SPATA2L	218.5847
SPATA2	402.8826	SPATA2	449.7354
SPATA4	15.0995	SPATA4	5.291
SPATA5L1	231.9835	SPATA5L1	226.1905
SPATA5	258.7509	SPATA5	271.164
SPATA6	162.3198	SPATA6	184.1931
SPATA7	172.2718	SPATA7	231.8122
removed	removed	SPATA9	20.248
SPATS2L	674.674	SPATS2L	1339.6164
SPATS2	698.696	SPATS2	456.3492
SPC24	5.8339	removed	removed
SPC25	61.0844	removed	removed
SPCS1	2306.7639	SPCS1	1358.7665
SPCS2	640.7001	SPCS2	491.7328
SPCS3	5854.1524	SPCS3	2660.7143
SPDEF	2163.6925	SPDEF	1686.8386
SPDYA	6.2217	SPDYA	15.3075
SPDYE1	7.8929	SPDYE1	10.5291
SPDYE3	56.3212	SPDYE3	67.9101
SPDYE5	8.5793	SPDYE5	11.2434
SPDYE6	25.0515	SPDYE6	23.1481
SPDYE7P	7.8929	SPDYE7P	6.6138
SPDYE8P	18.1881	SPDYE8P	21.4947
SPEF1	12.6973	SPEF1	8.9286
SPEF2	585.7927	SPEF2	261.2434
SPEG	225.4633	SPEG	678.9021
SPEN	2598.8332	SPEN	3403.4392
SPESP1	186.2629	SPESP1	50.2612
SPG11	2695.2642	SPG11	2347.5529
SPG20	1949.2107	SPG20	1983.4656
SPG21	1885.0377	SPG21	1378.6376
SPG7	879.8902	SPG7	1167.9894
SPHAR	53.4351	SPHAR	107.2288
SPHK1	156.582	SPHK1	231.7427
SPHK2	482.5257	SPHK2	238.4623
removed	removed	SPHKAP	36.3757
SPI1	219.2862	SPI1	272.4868
removed	removed	SPIB	5.6217
SPIN1	4542.8964	SPIN1	3582.3413
SPIN2A	8.9224	removed	removed
SPIN2B	94.0117	SPIN2B	83.8426
SPIN3	494.5093	SPIN3	319.1138
SPIN4	161.9767	SPIN4	191.1376
removed	removed	SPINK5	25.463
SPINT1	6132.8071	SPINT1	2647.4868
SPINT2	13366.8497	SPINT2	5133.5979
SPIRE1	1464.3102	SPIRE1	885.2513
SPIRE2	159.5745	SPIRE2	78.0423
SPNS1	1063.7062	SPNS1	562.9034
SPNS2	151.9698	SPNS2	719.7123
SPNS3	10.6383	SPNS3	10.582
SPN	59.7117	SPN	151.7857
SPOCD1	23.3356	SPOCD1	8.2672
SPOCK1	270.0755	SPOCK1	748.3466
SPOCK2	89.9108	SPOCK2	342.5926
removed	removed	SPOCK3	21.164
SPON1	207.6184	SPON1	1274.4709
SPON2	433.4248	SPON2	849.537
SPOPL	2633.1503	SPOPL	1390.873
SPOP	2260.1235	SPOP	1375.6614
SPP1	2242.2787	SPP1	1187.8307
SPPL2A	1254.976	SPPL2A	720.2381
SPPL2B	835.6211	SPPL2B	692.1296
SPPL3	1670.2128	SPPL3	1276.7857
SPRED1	571.0364	SPRED1	1388.8889
SPRED2	2049.7598	SPRED2	1526.455
SPRN	111.5305	SPRN	63.4921
SPRY1	420.7275	SPRY1	2900.7937
SPRY2	131.0913	SPRY2	1116.7328
SPRY3	52.5051	SPRY3	98.8757
SPRY4	1725.1201	SPRY4	894.5106
SPRYD3	2285.175	SPRYD3	1615.7407
SPRYD4	448.8675	SPRYD4	295.3042
SPR	2002.7454	SPR	560.5159
SPSB1	634.1798	SPSB1	721.2302
SPSB2	137.6115	SPSB2	88.955
SPSB3	1229.5813	SPSB3	717.2619
SPSB4	5.8339	removed	removed
removed	removed	SPTA1	5.9524
SPTAN1	8505.8339	SPTAN1	10374.6693
SPTBN1	5745.024	SPTBN1	22163.3598
SPTBN2	18.1881	SPTBN2	750.3307
SPTBN4	121.8257	SPTBN4	75.0661
SPTBN5	112.5601	SPTBN5	248.2242
SPTB	59.0254	SPTB	219.246
SPTLC1	1764.2416	SPTLC1	1643.8492
SPTLC2	1794.0975	SPTLC2	2070.1058
SPTLC3	141.3864	SPTLC3	314.1534
SPTY2D1	1154.2896	SPTY2D1	1193.9517
SQLE	506.5202	SQLE	331.0185
SQRDL	1839.0528	SQRDL	1101.8519
SQSTM1	12948.2807	SQSTM1	8056.3955
SR140	2363.7612	SR140	2348.2143
SRA1	772.4777	SRA1	446.4286
SRBD1	393.9602	SRBD1	463.6243
SRCAP	7693.2052	SRCAP	4246.3624
SRCIN1	333.2189	SRCIN1	286.3757
SRCRB4D	51.3349	SRCRB4D	36.4286
SRC	1171.5854	SRC	773.4788
SRD5A1	45.6417	SRD5A1	107.4735
SRD5A2	5.4907	removed	removed
SRD5A3	568.2464	SRD5A3	555.8499
SREBF1	11919.0117	SREBF1	4216.9312
SREBF2	1972.8895	SREBF2	3190.1455
SRFBP1	366.1633	SRFBP1	296.627
SRF	613.9327	SRF	2427.9101
SRGAP1	1518.5312	SRGAP1	501.6534
SRGAP2	756.0055	SRGAP2	711.6402
SRGAP3	66.9183	SRGAP3	284.7222
SRGN	479.4097	SRGN	1378.3069
SRI	1146.534	SRI	1371.6931
SRL	8.5793	SRL	52.9101
SRMS	80.9883	SRMS	10.9127
SRM	434.4544	SRM	724.537
SRP14	4716.1977	SRP14	3447.7513
SRP19	770.5525	SRP19	609.3353
SRP54	1203.8435	SRP54	1022.4868
SRP68	1828.7577	SRP68	1831.0185
SRP72	3272.8209	SRP72	2413.3598
SRP9	3397.7351	SRP9	3014.5503
SRPK1	1115.6486	SRPK1	884.5899
SRPK2	1611.5305	SRPK2	1113.7566
SRPK3	6.6163	SRPK3	12.6587
SRPRB	1375.7721	SRPRB	868.0556
SRPR	2632.464	SRPR	3643.8492
SRPX2	208.6479	SRPX2	663.3598
SRPX	71.7227	SRPX	1789.0212
SRRD	224.0906	SRRD	212.3016
SRRM1	1455.731	SRRM1	2415.0132
SRRM2	26418.3253	SRRM2	17084.6561
SRRM3	202.1277	SRRM3	104.1667
SRRM5	32.2992	SRRM5	25.0364
SRRT	1920.0412	SRRT	1456.0185
SRR	400.8099	SRR	217.8472
SRXN1	1254.976	SRXN1	632.9365
SS18L1	428.9636	SS18L1	414.6825
SS18L2	345.2299	SS18L2	227.5132
SS18	2412.1482	SS18	1955.6878
SSBP1	719.9725	SSBP1	664.3519
SSBP2	1200.0686	SSBP2	547.9497
SSBP3	865.1338	SSBP3	749.3386
SSBP4	387.4399	SSBP4	435.5159
SSB	1856.9218	SSB	1826.7526
SSC5D	108.442	SSC5D	556.8783
SSFA2	13598.8332	SSFA2	3391.5344
SSH1	1100.8922	SSH1	1387.5661
SSH2	402.1963	SSH2	628.9683
SSH3	910.7756	SSH3	1137.5661
SSNA1	752.2306	SSNA1	460.3175
SSPN	273.5072	SSPN	1822.0899
SSPO	37.4056	SSPO	69.7751
SSR1	3071.7227	SSR1	3372.3545
SSR2	3218.2567	SSR2	3803.2407
SSR3	4187.7145	SSR3	3810.8466
SSR4	2665.0652	SSR4	1656.4153
SSRP1	3147.9067	SSRP1	2635.582
SSSCA1	256.3487	SSSCA1	227.1825
removed	removed	SSTR1	62.8307
SSTR2	3801.304	SSTR2	83.664
SSU72	1631.0913	SSU72	2011.2434
SSX2IP	729.2382	SSX2IP	329.3651
ST13	5917.9822	ST13	6094.5767
ST14	2490.048	ST14	1745.3704
ST20	50.978	ST20	38.1614
ST3GAL1	4430.3363	ST3GAL1	1601.1905
ST3GAL2	404.5985	ST3GAL2	468.9153
ST3GAL3	430.6795	ST3GAL3	340.9392
ST3GAL4	763.8984	ST3GAL4	312.8307
ST3GAL5	186.3418	ST3GAL5	333.0026
ST3GAL6	65.8888	ST3GAL6	173.6111
ST5	482.4983	ST5	1714.6164
ST6GAL1	284.4887	ST6GAL1	1629.6296
ST6GAL2	90.2539	ST6GAL2	104.828
removed	removed	ST6GALNAC1	84.3254
ST6GALNAC2	135.8957	ST6GALNAC2	586.6402
ST6GALNAC3	33.9739	ST6GALNAC3	216.9312
ST6GALNAC4	586.1359	ST6GALNAC4	219.246
ST6GALNAC5	24.022	ST6GALNAC5	236.7725
ST6GALNAC6	1228.2086	ST6GALNAC6	2007.9365
ST7L	197.3233	ST7L	290.3439
ST7OT1	23.291	ST7OT1	37.5827
ST7	768.2636	ST7	579.4577
ST8SIA1	125.2574	ST8SIA1	274.1402
ST8SIA2	9.2656	ST8SIA2	63.1614
ST8SIA4	302.3336	ST8SIA4	253.6376
ST8SIA5	6.1771	removed	removed
ST8SIA6	149.9657	ST8SIA6	183.2011
STAB1	919.5093	STAB1	2972.5529
removed	removed	STAB2	179.5635
removed	removed	STAC2	4144.1799
STAC3	51.7982	STAC3	36.9015
removed	removed	STAC	130.9524
STAG1	1164.5504	STAG1	1210.1687
STAG2	3396.3624	STAG2	3282.4074
STAG3L1	84.7632	STAG3L1	28.7698
STAG3L2	135.5525	STAG3L2	122.3545
STAG3L3	213.4763	STAG3L3	287.6422
STAG3L4	129.3754	STAG3L4	114.0873
STAG3	14.9554	STAG3	13.6144
STAM2	1085.7927	STAM2	1199.7354
STAMBPL1	54.221	STAMBPL1	145.5026
STAMBP	584.42	STAMBP	615.7407
STAM	385.7241	STAM	527.4471
removed	removed	STAP1	5.9524
STAP2	376.4585	STAP2	334.3254
STARD10	4980.4393	STARD10	1502.3148
STARD13	2271.4482	STARD13	1066.4683
STARD3NL	435.4839	STARD3NL	576.3889
STARD3	963.9671	STARD3	687.1693
STARD4	52.8483	STARD4	61.5079
STARD5	30.199	STARD5	85.3175
STARD7	3268.8469	STARD7	2825.2976
STARD8	199.3823	STARD8	391.5344
STAT1	2790.3226	STAT1	3385.582
STAT2	1475.978	STAT2	2191.4683
STAT3	3888.1263	STAT3	7827.381
STAT4	5.1476	STAT4	58.8624
STAT5A	1192.5189	STAT5A	2140.5423
STAT5B	2641.7296	STAT5B	3402.4471
STAT6	3698.0096	STAT6	4179.5635
STAU1	4246.0535	STAU1	2877.6455
STAU2	1763.2121	STAU2	817.791
STBD1	610.2334	STBD1	1112.3347
STC1	196.6369	STC1	3727.8439
STC2	143468.7714	STC2	15289.0212
STEAP1	17.5017	STEAP1	415.0132
STEAP2	43.9259	STEAP2	1206.0185
STEAP3	314.0014	STEAP3	1624.0079
STEAP4	17.8449	STEAP4	3470.8995
STIL	152.7111	STIL	67.4603
STIM1	1586.8222	STIM1	2304.8942
STIM2	405.628	STIM2	719.5767
STIP1	3919.3548	STIP1	1930.5556
STK10	1250.8579	STK10	760.9127
STK11IP	438.2292	STK11IP	360.7804
STK11	1036.0329	STK11	823.7434
STK16	854.8387	STK16	496.3624
STK17A	323.6102	STK17A	815.8069
STK17B	614.2759	STK17B	975.1984
STK19	236.0192	STK19	312.2751
STK24	3365.1338	STK24	2154.4312
STK25	1211.3933	STK25	1418.6508
removed	removed	STK32A	26.1243
STK32B	607.7557	STK32B	173.2804
STK32C	210.0206	STK32C	72.0899
removed	removed	STK33	9.5899
STK35	1068.9774	STK35	984.4577
STK36	758.0645	STK36	544.6429
STK38L	1161.9767	STK38L	1188.8228
STK38	541.8668	STK38	1192.4603
STK39	413.8641	STK39	570.4365
STK3	1000	STK3	640.873
STK40	695.6074	STK40	1770.5026
STK4	1123.5415	STK4	961.6402
removed	removed	STL	7.6356
STMN1	1206.5889	STMN1	892.1958
STMN2	17.5017	STMN2	33.0688
STMN3	815.0309	STMN3	580.3571
STOML1	248.1126	STOML1	244.3783
STOML2	1490.3912	STOML2	1136.9048
STOM	11781.4001	STOM	8410.3836
removed	removed	STON1-GTF2A1L	35.1224
STON1	105.3535	STON1	800.1356
STON2	172.2718	STON2	347.2222
STOX1	91.9698	STOX1	249.0079
STOX2	6.5202	STOX2	79.0344
STRA13	387.0968	STRA13	223.2143
STRA6	27.1105	STRA6	30.754
STRADA	736.7879	STRADA	550.5952
STRADB	292.0384	STRADB	347.2222
STRAP	2472.8895	STRAP	1959.6561
STRBP	1599.8627	STRBP	683.2011
STRC	51.4756	STRC	26.8519
STRN3	856.4859	STRN3	798.9418
STRN4	1791.6953	STRN4	1493.0556
STRN	332.5326	STRN	568.1217
STS	143.4454	STS	1281.0847
STT3A	3278.9979	STT3A	3060.5159
STT3B	2253.2601	STT3B	1837.3016
STUB1	2503.6857	STUB1	1114.8115
STX10	323.9533	STX10	242.3942
STX11	59.7117	STX11	530.0926
STX12	1171.5854	STX12	1855.1587
STX16	1823.9533	STX16	1901.455
STX17	978.3802	STX17	1138.8889
STX18	781.4001	STX18	472.8836
removed	removed	STX19	41.9974
STX1A	122.79	STX1A	64.7851
STX1B	49.4166	STX1B	47.2884
STX2	178.1057	STX2	316.1376
STX3	1266.6438	STX3	752.6455
STX4	976.6644	STX4	619.0476
STX5	893.617	STX5	1018.1878
STX6	754.3926	STX6	922.9828
STX7	1194.2347	STX7	1876.3228
STX8	374.7426	STX8	303.2407
STXBP1	343.8572	STXBP1	1312.5
STXBP2	2368.5655	STXBP2	889.881
STXBP3	1248.7989	STXBP3	1034.7222
STXBP4	254.2896	STXBP4	168.9815
STXBP5	450.2162	STXBP5	636.4815
removed	removed	STXBP6	56.8783
STYK1	103.6376	STYK1	84.6561
STYXL1	435.827	STYXL1	498.3466
STYX	303.0199	STYX	520.5026
SUB1	4544.269	SUB1	5128.9683
SUCLA2	1004.0185	SUCLA2	1035.4101
SUCLG1	1138.2979	SUCLG1	1725.1984
SUCLG2	1428.9636	SUCLG2	1166.336
SUCNR1	6.1771	SUCNR1	18.1878
SUDS3	2003.7749	SUDS3	1461.3095
SUFU	541.5237	SUFU	695.1058
SUGT1L1	82.059	SUGT1L1	66.4484
removed	removed	SUGT1P1	5.291
SUGT1	695.6074	SUGT1	458.3333
SULF1	5923.1297	SULF1	1425.2646
SULF2	4555.2505	SULF2	2339.9471
SULT1A1	1617.7076	SULT1A1	481.1508
SULT1A2	91.9698	SULT1A2	40.6746
SULT1A3	999.3995	SULT1A3	881.1508
removed	removed	SULT1C2	33.7302
removed	removed	SULT1C3	6.9444
SULT1C4	28.8264	SULT1C4	94.246
SULT2B1	921.4139	SULT2B1	171.9577
removed	removed	SULT4A1	10.9127
SUMF1	2064.173	SUMF1	1084.3254
SUMF2	2523.3356	SUMF2	2637.8968
SUMO1P3	143.7886	SUMO1P3	98.545
SUMO1	1916.9526	SUMO1	1568.4524
SUMO2	2521.6198	SUMO2	2190.4762
SUMO3	1507.5498	SUMO3	1825.3968
SUN1	1805.3844	SUN1	3103.7996
SUN2	2475.2917	SUN2	5615.4101
SUOX	896.3624	SUOX	782.4074
SUPT16H	2888.8126	SUPT16H	3010.2513
SUPT3H	80.302	SUPT3H	93.5847
SUPT4H1	1592.5566	SUPT4H1	961.2831
SUPT5H	3005.4907	SUPT5H	2539.3519
SUPT6H	3211.0501	SUPT6H	3159.7222
SUPT7L	864.7769	SUPT7L	1022.8175
SUPV3L1	399.7941	SUPV3L1	540.0132
SURF1	1104.324	SURF1	605.4894
SURF2	148.9362	SURF2	134.2593
SURF4	4471.86	SURF4	4668.6508
SURF6	562.8003	SURF6	600.1984
SUSD1	323.267	SUSD1	250.3307
SUSD2	94.372	SUSD2	380.6217
SUSD3	4183.9396	SUSD3	650.1323
SUSD4	917.639	SUSD4	188.8228
SUSD5	59.0254	SUSD5	121.6931
SUV39H1	319.4921	SUV39H1	184.5238
SUV39H2	131.0913	SUV39H2	131.6138
SUV420H1	957.4468	SUV420H1	1444.1138
SUV420H2	155.4564	SUV420H2	113.0952
SUZ12P	166.4379	SUZ12P	120.7011
SUZ12	1133.1503	SUZ12	933.2011
SV2A	36.0329	SV2A	127.6455
removed	removed	SV2B	201.0582
SVEP1	109.1283	SVEP1	11638.3664
SVIL	795.1922	SVIL	3743.7864
SVIP	492.4502	SVIP	374.0079
removed	removed	SVOPL	9.2593
SWAP70	1620.453	SWAP70	3184.1931
SYAP1	1140.3569	SYAP1	1144.5106
SYBU	4572.6012	SYBU	824.3188
removed	removed	SYCE1L	5.6217
removed	removed	SYCE1	79.5304
SYCE2	25.0515	removed	removed
removed	removed	SYCP2L	9.2593
SYCP2	227.1791	SYCP2	398.8095
SYDE1	170.2128	SYDE1	432.8704
SYDE2	322.9238	SYDE2	252.9762
SYF2	1160.2608	SYF2	1131.2831
SYK	477.3507	SYK	760.582
SYMPK	2687.0281	SYMPK	1688.1614
SYN1	20.5903	SYN1	16.2037
removed	removed	SYN2	201.7196
SYN3	7.8929	SYN3	12.5661
SYNCRIP	3218.943	SYNCRIP	4079.0344
SYNC	389.4338	SYNC	473.3697
removed	removed	SYNE1	3437.1693
SYNE2	2893.617	SYNE2	6402.1164
SYNGAP1	619.4235	SYNGAP1	452.7116
SYNGR1	974.1695	SYNGR1	1042.2751
SYNGR2	3842.8277	SYNGR2	2471.8915
SYNGR3	8.2361	SYNGR3	7.2751
SYNJ1	315.0309	SYNJ1	443.4524
SYNJ2BP	927.5909	SYNJ2BP	1466.2698
SYNJ2	1283.116	SYNJ2	864.418
SYNM	214.4818	SYNM	14774.1402
SYNPO2L	1879.547	SYNPO2L	86.9709
SYNPO2	358.2704	SYNPO2	6349.8677
SYNPO	1222.0316	SYNPO	5795.6349
SYNRG	1151.6815	SYNRG	1390.2116
SYPL1	3854.1524	SYPL1	3045.9656
SYPL2	18.5312	SYPL2	43.9815
SYP	53.5347	SYP	36.3757
SYS1-DBNDD2	14.7735	SYS1-DBNDD2	14.5073
SYS1	1241.5065	SYS1	932.0403
SYT11	295.4701	SYT11	513.5582
