gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
removed	removed	ANGPTL7	356.4815
ANG	383.1537	ANG	437.0933
ANK1	11.3246	ANK1	26.1243
ANK2	80.9883	ANK2	1295.6349
ANK3	765.2711	ANK3	925.9259
ANKAR	41.8668	ANKAR	60.5159
ANKDD1A	66.5752	ANKDD1A	258.2672
ANKFY1	1986.9595	ANKFY1	2395.8333
ANKHD1-EIF4EBP3	2135.4084	ANKHD1-EIF4EBP3	1682.1296
ANKHD1	3139.2004	ANKHD1	2145.2976
ANKH	653.0542	ANKH	2399.8016
ANKIB1	1068.291	ANKIB1	1552.5794
ANKK1	9.952	ANKK1	24.8016
ANKLE1	14.4132	ANKLE1	11.2434
ANKLE2	1825.326	ANKLE2	1637.8968
ANKMY1	223.4043	ANKMY1	250.3307
ANKMY2	495.5388	ANKMY2	652.7778
ANKRA2	583.0474	ANKRA2	314.8148
ANKRD10	2067.4262	ANKRD10	1483.1812
ANKRD11	1448.72	ANKRD11	2764.3585
ANKRD12	1846.2594	ANKRD12	1955.3571
ANKRD13A	955.731	ANKRD13A	1337.3016
ANKRD13B	111.8737	ANKRD13B	100.8598
ANKRD13C	459.1627	ANKRD13C	570.7672
ANKRD13D	516.129	ANKRD13D	525.463
ANKRD16	206.9046	ANKRD16	179.5503
ANKRD17	2808.1675	ANKRD17	3360.4497
ANKRD19	193.8916	ANKRD19	22.1561
ANKRD20A3	5.1476	ANKRD20A3	9.5899
ANKRD20B	8.5793	ANKRD20B	8.2672
ANKRD22	94.7152	ANKRD22	44.6429
ANKRD23	55.9369	ANKRD23	35.3836
ANKRD24	61.0844	ANKRD24	40.3439
ANKRD26	414.8936	ANKRD26	411.045
ANKRD27	500.3432	ANKRD27	866.4021
ANKRD28	2688.0577	ANKRD28	1339.6164
ANKRD29	136.2388	ANKRD29	310.8466
removed	removed	ANKRD30A	1271.8254
ANKRD30B	33.2876	ANKRD30B	45.9656
ANKRD31	9.6088	removed	removed
ANKRD32	242.965	ANKRD32	152.4471
