gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
TOX4	1911.3859	TOX4	1928.5911
TOX	5.6535	TOX	75.8565
removed	removed	TP53AIP1	58.6815
removed	removed	TP53BP1	1240.1825
removed	removed	TP53BP2	1036.5865
TP53I11	3710.1837	TP53I11	1788.3532
TP53I13	418.0614	TP53I13	170.6772
TP53I3	186.5655	TP53I3	278.3791
TP53INP1	2627.3897	TP53INP1	1279.542
TP53INP2	4227.0327	TP53INP2	499.8658
TP53RK	1017.63	TP53RK	537.7941
TP53TG1	642.1186	TP53TG1	249.754
removed	removed	TP53TG3B	5.725
TP53	2368.2214	TP53	1777.2609
TP63	199.9554	TP63	2438.1429
TP73	66.0567	TP73	23.9735
TPBG	1024.7713	TPBG	754.6292
TPCN1	1165.5137	TPCN1	2005.5461
TPCN2	1258.7785	TPCN2	268.4426
TPD52L1	294.8747	TPD52L1	1390.8221
TPD52L2	3012.1253	TPD52L2	1996.243
TPD52	5850.5125	TPD52	1510.9652
removed	removed	TPH1	6.0828
TPI1P2	47.6084	TPI1P2	11.45
TPI1	5243.1749	TPI1	4094.8206
TPK1	218.1061	TPK1	178.5491
TPM1	6994.6768	TPM1	9624.7965
TPM2	1911.7756	TPM2	2933.715
TPM3	10994.5697	TPM3	5491.7256
TPM4	21821.9148	TPM4	13686.0184
TPMT	854.8687	TPMT	646.2116
removed	removed	TPO	45.8002
TPP1	4371.6432	TPP1	5032.6505
TPP2	919.1401	TPP2	1239.109
TPPP3	79.4466	TPPP3	444.0469
TPPP	141.9326	TPPP	217.5508
TPRA1	679.9078	TPRA1	642.6335
TPRG1L	1217.2878	TPRG1L	2544.0558
TPRG1	20.2336	TPRG1	144.9146
TPRKB	408.5398	TPRKB	315.9495
TPRN	540.3556	TPRN	109.491
TPRXL	91.3487	TPRXL	8.5875
removed	removed	TPR	3794.0746
TPSAB1	103.5483	TPSAB1	1237.6778
TPSB2	36.3014	TPSB2	559.2629
TPSG1	35.1112	TPSG1	5.0094
TPST1	138.9571	TPST1	663.0289
TPST2	485.0108	TPST2	399.3202
TPT1	42179.573	TPT1	106722.9627
removed	removed	TPTE2P1	31.8454
removed	removed	TPX2	109.8488
TRA2A	1087.8524	TRA2A	965.3815
TRA2B	3208.2125	TRA2B	2271.0439
TRABD	574.2766	TRABD	149.2083
TRADD	381.4625	TRADD	157.4381
TRAF1	80.9343	TRAF1	164.5943
TRAF2	313.918	TRAF2	91.9581
TRAF3IP1	696.5707	TRAF3IP1	455.8547
TRAF3IP2	936.9932	TRAF3IP2	1025.1364
removed	removed	TRAF3IP3	56.1768
TRAF3	142.8253	TRAF3	172.1084
TRAF4	2158.1492	TRAF4	560.6942
removed	removed	TRAF5	630.8257
TRAF6	276.4264	TRAF6	363.8966
TRAF7	2070.3295	TRAF7	1208.1188
TRAFD1	1110.1689	TRAFD1	885.2312
TRAIP	183.8875	TRAIP	54.7455
removed	removed	TRAK1	1753.6452
removed	removed	TRAK2	2340.102
TRAM1L1	36.3014	TRAM1L1	116.6473
removed	removed	TRAM1	6926.5587
TRAM2	1266.384	TRAM2	2184.8108
removed	removed	TRANK1	787.9059
removed	removed	TRAP1	1042.5512
TRAPPC10	1264.3011	TRAPPC10	1055.9084
TRAPPC1	1154.2067	TRAPPC1	1151.0869
TRAPPC2L	850.4054	TRAPPC2L	511.6737
TRAPPC2P1	131.0928	TRAPPC2P1	126.777
TRAPPC2	375.2139	TRAPPC2	431.5234
TRAPPC3	900.6918	TRAPPC3	1116.7367
TRAPPC4	790.2998	TRAPPC4	640.4866
TRAPPC5	362.4191	TRAPPC5	177.4756
TRAPPC6A	336.2345	TRAPPC6A	151.713
TRAPPC6B	643.3088	TRAPPC6B	764.2902
removed	removed	TRAPPC9	614.3662
removed	removed	TRAT1	12.5235
TRDMT1	49.3937	TRDMT1	232.9368
TREM1	69.3298	TREM1	6.0828
TREM2	195.1945	TREM2	210.3945
TRERF1	759.9494	TRERF1	260.1306
TREX1	320.5862	TREX1	235.0872
removed	removed	TRHDE	69.7808
TRIAP1	768.2809	TRIAP1	548.1707
removed	removed	TRIB1	1132.8384
TRIB2	2481.2914	TRIB2	1204.4011
TRIB3	3158.8187	TRIB3	240.093
TRIL	1753.7752	TRIL	921.7282
TRIM11	701.9267	TRIM11	181.7694
TRIM13	600.726	TRIM13	1011.3212
TRIM14	1020.0104	TRIM14	738.5276
TRIM16L	279.7114	TRIM16L	98.2449
TRIM16	1713.3556	TRIM16	484.5872
removed	removed	TRIM17	25.047
TRIM21	318.6789	TRIM21	508.8112
TRIM22	437.1048	TRIM22	2390.9115
TRIM23	420.7394	TRIM23	566.777
TRIM24	1283.9396	TRIM24	727.0776
TRIM25	1530.9083	TRIM25	2003.757
TRIM26	1725.5077	TRIM26	1278.1107
TRIM27	1386.2977	TRIM27	1391.1799
TRIM28	5291.9735	TRIM28	3348.4211
removed	removed	TRIM29	5616.6026
TRIM2	564.1598	TRIM2	3145.8986
TRIM32	947.11	TRIM32	590.0349
TRIM33	1568.6975	TRIM33	1548.2601
TRIM34	213.9403	TRIM34	318.4542
TRIM35	157.7029	TRIM35	407.1921
TRIM36	858.7369	TRIM36	67.9846
TRIM37	6100.2068	TRIM37	692.341
TRIM38	259.4659	TRIM38	651.9367
TRIM39	314.0222	TRIM39	425.9773
TRIM3	2320.9105	TRIM3	145.6302
TRIM41	426.0686	TRIM41	344.063
TRIM44	1995.0904	TRIM44	1652.3839
TRIM45	168.7123	TRIM45	154.2177
removed	removed	TRIM46	21.4688
TRIM47	720.0774	TRIM47	657.3039
removed	removed	TRIM4	1781.1969
TRIM50	10.1168	TRIM50	5.0094
TRIM52	101.4654	TRIM52	171.7506
TRIM56	328.7957	TRIM56	269.0759
TRIM58	13.0923	TRIM58	51.1674
TRIM59	495.8447	TRIM59	110.2174
TRIM5	1017.0676	TRIM5	631.2729
TRIM62	576.9545	TRIM62	150.2818
removed	removed	TRIM63	5.3672
TRIM65	393.3646	TRIM65	458.0016
removed	removed	TRIM66	488.4158
TRIM67	9.8192	removed	removed
TRIM68	617.7193	TRIM68	440.8265
TRIM69	7.1413	TRIM69	17.6259
removed	removed	TRIM6	200.7335
TRIM78P	12.762	TRIM78P	16.0122
removed	removed	TRIM7	20.3954
TRIM8	1272.6326	TRIM8	1648.8058
TRIM9	18.7458	TRIM9	250.8274
TRIML2	11.0094	removed	removed
removed	removed	TRIOBP	1395.1158
TRIO	2762.1811	TRIO	2341.891
TRIP10	382.9502	TRIP10	851.5967
removed	removed	TRIP11	1144.2884
removed	removed	TRIP12	4142.7677
TRIP13	237.447	TRIP13	68.3424
TRIP4	659.0791	TRIP4	573.2176
TRIP6	314.5131	TRIP6	750.3355
TRIT1	234.1739	TRIT1	427.5874
TRMT112	4538.5703	TRMT112	1380.4455
TRMT11	107.4165	TRMT11	257.2681
TRMT12	471.6209	TRMT12	255.479
TRMT1	233.8764	TRMT1	271.2228
removed	removed	TRMT2A	205.3851
TRMT2B	803.9872	TRMT2B	516.3253
TRMT5	334.4492	TRMT5	787.9059
TRMT61A	173.4732	TRMT61A	130.602
removed	removed	TRMT61B	229.7987
TRMT6	477.8695	TRMT6	314.5183
TRMU	248.1589	TRMU	139.1896
TRNAU1AP	233.8764	TRNAU1AP	244.029
TRNP1	30.0528	TRNP1	450.8453
TRNT1	402.2435	TRNT1	338.388
TROAP	241.9103	TROAP	9.3032
TROVE2	1778.6208	TROVE2	1388.3675
TRO	115.748	TRO	283.3885
removed	removed	TRPC1	407.9077
removed	removed	TRPC3	8.2297
TRPC4AP	2560.1428	TRPC4AP	2071.3838
TRPC4	6.8437	removed	removed
TRPC6	53.5595	TRPC6	259.0572
TRPM2	241.0176	TRPM2	74.4253
removed	removed	TRPM3	11.0922
removed	removed	TRPM4	471.2407
TRPM5	5.9511	removed	removed
removed	removed	TRPM6	39.7173
TRPM7	871.8292	TRPM7	1296.7171
TRPS1	7006.1742	TRPS1	5155.3806
TRPT1	480.845	TRPT1	225.4227
TRPV1	122.0204	TRPV1	123.1344
TRPV2	146.991	TRPV2	157.4381
TRPV3	8.7361	TRPV3	10.645
TRPV4	32.1357	TRPV4	148.8505
TRPV6	825.411	TRPV6	232.2211
removed	removed	TRRAP	1927.5212
TRUB1	385.0331	TRUB1	512.7471
TRUB2	916.1645	TRUB2	382.5029
TSC1	688.2392	TSC1	1227.3012
TSC22D1	6422.376	TSC22D1	6404.1506
TSC22D2	1044.7073	TSC22D2	395.742
TSC22D3	4556.4234	TSC22D3	5161.4635
TSC22D4	720.3749	TSC22D4	705.2509
removed	removed	TSC2	1279.542
TSEN15	1002.4548	TSEN15	528.8487
TSEN2	61.2958	TSEN2	166.0256
TSEN34	1026.259	TSEN34	588.9614
TSEN54	691.8099	TSEN54	155.649
TSFM	654.0207	TSFM	355.6669
TSG101	1931.4141	TSG101	1347.5266
removed	removed	TSGA10	63.333
TSGA14	265.1194	TSGA14	313.4449
removed	removed	TSHR	56.5346
TSHZ1	351.4097	TSHZ1	1112.443
TSHZ2	56.535	TSHZ2	1002.5941
TSHZ3	235.0666	TSHZ3	478.7548
TSIX	14.2438	TSIX	21.0645
removed	removed	TSKS	6.4406
TSKU	3571.5242	TSKU	1184.0057
removed	removed	TSLP	93.7472
TSNARE1	254.7051	TSNARE1	113.7848
TSNAXIP1	5.9511	TSNAXIP1	18.6063
removed	removed	TSNAX	955.7205
TSN	2948.7466	TSN	2817.4255
TSPAN11	38.6818	TSPAN11	429.0187
TSPAN12	469.538	TSPAN12	503.0861
TSPAN13	5979.0225	TSPAN13	1692.8169
TSPAN14	2131.3695	TSPAN14	2634.9405
TSPAN15	2635.7212	TSPAN15	769.6574
TSPAN17	1209.2539	TSPAN17	429.0187
TSPAN18	432.344	TSPAN18	1092.7632
TSPAN1	3963.6986	TSPAN1	363.181
TSPAN2	239.2323	TSPAN2	466.947
TSPAN31	1116.1199	TSPAN31	1667.0543
removed	removed	TSPAN32	7.8719
TSPAN33	333.2589	TSPAN33	324.5371
TSPAN3	1291.0809	TSPAN3	4526.344
TSPAN4	396.9352	TSPAN4	1002.2363
TSPAN5	161.5711	TSPAN5	173.8975
TSPAN6	161.2735	TSPAN6	2300.3846
TSPAN7	116.0455	TSPAN7	2079.9714
TSPAN8	19.6385	TSPAN8	217.193
TSPAN9	1005.4303	TSPAN9	967.5284
TSPO	1304.4707	TSPO	752.1245
TSPYL1	3148.3449	TSPYL1	3257.5257
removed	removed	TSPYL2	816.1732
TSPYL3	52.9644	TSPYL3	37.9283
removed	removed	TSPYL4	1150.0134
TSPYL5	143.4204	TSPYL5	1346.4532
removed	removed	TSR1	1251.1602
TSR2	872.7219	TSR2	520.9768
TSSC1	507.9223	TSSC1	227.2117
TSSC4	513.5758	TSSC4	146.3458
removed	removed	TSSK3	27.7986
removed	removed	TSSK4	17.8907
TSSK6	8.3315	removed	removed
TSTA3	3817.3027	TSTA3	642.2757
TSTD1	880.1547	TSTD1	468.0204
removed	removed	TSTD2	730.6628
TST	1628.8031	TST	281.5994
TTBK1	19.936	removed	removed
TTBK2	115.748	TTBK2	275.8744
TTC12	391.8768	TTC12	319.1699
removed	removed	TTC13	274.0853
TTC14	449.0069	TTC14	901.3329
TTC15	300.8257	TTC15	494.8564
removed	removed	TTC17	1769.7468
TTC18	15.4727	TTC18	156.0819
TTC19	1623.0663	TTC19	1852.341
TTC1	1253.2917	TTC1	1089.5429
removed	removed	TTC21A	76.2143
removed	removed	TTC21B	582.8786
removed	removed	TTC22	52.2408
removed	removed	TTC23L	13.5969
TTC23	110.6896	TTC23	511.3159
TTC25	6.2486	TTC25	25.047
removed	removed	TTC26	127.7395
TTC27	461.5041	TTC27	681.6352
removed	removed	TTC28	1482.0467
TTC30A	83.3147	TTC30A	393.2373
TTC30B	176.4487	TTC30B	330.6199
TTC31	493.3423	TTC31	378.9248
removed	removed	TTC32	36.1392
TTC33	120.5088	TTC33	520.619
TTC35	869.7463	TTC35	719.9213
TTC36	100.5728	TTC36	17.8907
TTC37	2055.4936	TTC37	2275.3377
TTC38	81.2319	TTC38	538.5097
TTC39A	820.6502	TTC39A	342.7856
TTC39B	91.6462	TTC39B	116.6473
TTC39C	186.8631	TTC39C	511.6737
removed	removed	TTC3	8134.1802
TTC4	431.1538	TTC4	589.5483
TTC5	270.7729	TTC5	198.2288
TTC7A	596.0306	TTC7A	802.4618
TTC7B	101.4654	TTC7B	433.3125
TTC8	574.5741	TTC8	544.2347
TTC9C	336.2345	TTC9C	256.5525
TTC9	914.0817	TTC9	566.777
TTF1	379.3796	TTF1	425.4406
TTF2	519.2293	TTF2	316.6652
TTK	376.1065	TTK	57.2502
TTLL11	38.0867	TTLL11	127.0239
TTLL12	1835.0071	TTLL12	583.5942
TTLL1	295.4698	TTLL1	167.8147
TTLL3	158.3456	TTLL3	673.1228
TTLL4	349.6243	TTLL4	544.9504
TTLL5	596.8906	TTLL5	716.3431
TTLL7	140.4448	TTLL7	107.3441
removed	removed	TTLL9	9.3032
TTL	719.7798	TTL	727.7932
removed	removed	TTN	244.7589
TTPAL	920.6278	TTPAL	563.9145
removed	removed	TTPA	5.0094
removed	removed	TTYH1	551.0332
removed	removed	TTYH2	336.6312
TTYH3	2614.2974	TTYH3	606.4943
removed	removed	TUBA1A	8680.3363
TUBA1B	25164.5853	TUBA1B	13320.4652
removed	removed	TUBA1C	1597.2806
TUBA4A	94.3242	TUBA4A	695.2321
TUBA8	18.4959	TUBA8	30.0564
removed	removed	TUBAL3	9.661
TUBB1	11.9021	TUBB1	27.9095
TUBB2A	954.8464	TUBB2A	819.0357
removed	removed	TUBB2B	225.7805
TUBB2C	9628.8031	TUBB2C	2203.4171
TUBB3	628.7287	TUBB3	38.2861
TUBB4	56.535	TUBB4	28.9829
TUBB6	702.3045	TUBB6	2344.3421
TUBB8	16.3654	removed	removed
TUBBP5	176.4487	TUBBP5	14.3126
TUBB	20080.9343	TUBB	19865.462
TUBD1	614.7437	TUBD1	235.7993
TUBE1	85.9927	TUBE1	258.3415
TUBG1	932.2324	TUBG1	414.7061
TUBG2	125.2697	TUBG2	578.227
TUBGCP2	1082.1989	TUBGCP2	1066.5498
TUBGCP3	654.3182	TUBGCP3	621.5225
TUBGCP4	477.2744	TUBGCP4	470.1673
TUBGCP5	471.3234	TUBGCP5	395.0264
TUBGCP6	599.5685	TUBGCP6	486.6267
TUB	100.5728	TUB	878.4328
removed	removed	TUFM	2159.7638
TUFT1	1208.9563	TUFT1	395.0264
TUG1	5051.8485	TUG1	6756.955
TULP3	422.5247	TULP3	1133.9118
TULP4	1506.2114	TULP4	975.0425
TUSC1	481.4402	TUSC1	348.5106
removed	removed	TUSC2	463.7266
TUSC3	101.1679	TUSC3	1116.7367
removed	removed	TUSC5	1004.741
TUT1	492.7472	TUT1	245.4602
TWF1	1943.0187	TWF1	1967.26
TWF2	1256.529	TWF2	637.8531
TWIST1	82.4221	TWIST1	396.4576
TWIST2	16.0678	TWIST2	66.9112
removed	removed	TWISTNB	712.765
TWSG1	964.3681	TWSG1	1463.8161
removed	removed	TXK	9.661
TXLNA	2612.5121	TXLNA	2249.2173
TXLNB	28.5651	TXLNB	178.1913
TXLNG	399.9107	TXLNG	322.0324
TXN2	2860.3734	TXN2	1525.0022
TXNDC11	767.3882	TXNDC11	952.1424
TXNDC12	888.7897	TXNDC12	1552.5539
TXNDC15	733.4672	TXNDC15	1620.1807
removed	removed	TXNDC16	585.0255
TXNDC17	750.8592	TXNDC17	375.1606
TXNDC5	6009.9026	TXNDC5	8683.8107
TXNDC6	5.6535	TXNDC6	9.3032
TXNDC9	1227.9997	TXNDC9	578.227
TXNIP	12192.5166	TXNIP	58131.4966
TXNL1	1272.6326	TXNL1	1491.7256
TXNL4A	702.2242	TXNL4A	559.2629
TXNL4B	429.666	TXNL4B	218.982
TXNRD1	2253.6636	TXNRD1	1618.0338
TXNRD2	524.5853	TXNRD2	150.6396
TXNRD3IT1	299.0404	TXNRD3IT1	340.6387
TXN	5965.3351	TXN	1987.2976
removed	removed	TYK2	549.2441
TYMP	770.3638	TYMP	103.766
TYMS	314.2662	TYMS	205.5354
TYRO3	214.833	TYRO3	271.9385
TYROBP	305.5866	TYROBP	536.005
TYSND1	278.8068	TYSND1	402.5405
removed	removed	TYW1B	168.1725
TYW1	557.0185	TYW1	567.1348
TYW3	409.7954	TYW3	1013.6756
U2AF1L4	72.8736	U2AF1L4	72.4573
U2AF1	1320.241	U2AF1	1073.0835
U2AF2	2919.884	U2AF2	1313.1765
UACA	1212.8245	UACA	2808.838
UAP1L1	655.2109	UAP1L1	222.918
removed	removed	UAP1	1528.2226
removed	removed	UBA1	5538.957
UBA2	2191.7727	UBA2	2361.213
UBA3	1975.1544	UBA3	978.9784
UBA52	4887.3019	UBA52	12190.3569
UBA5	1252.6966	UBA5	793.9887
UBA6	1292.2711	UBA6	1039.0912
UBA7	110.6896	UBA7	721.3525
UBAC1	667.7081	UBAC1	513.4627
UBAC2	1226.3929	UBAC2	1361.4313
removed	removed	UBAP1	1762.9484
removed	removed	UBAP2L	2856.4272
removed	removed	UBAP2	942.4814
removed	removed	UBASH3A	10.0188
removed	removed	UBASH3B	168.5303
UBB	15481.9609	UBB	12847.6608
removed	removed	UBC	33249.8435
UBD	71.1151	UBD	347.4372
UBE2A	2232.8349	UBE2A	1288.1295
UBE2B	923.3058	UBE2B	1337.15
UBE2CBP	21.7213	UBE2CBP	55.1033
UBE2C	1029.2345	UBE2C	27.1938
UBE2D1	207.9893	UBE2D1	396.4576
UBE2D2	1591.3115	UBE2D2	1821.9877
UBE2D3	4204.1211	UBE2D3	6849.271
UBE2D4	356.0217	UBE2D4	460.8462
UBE2E1	1927.2484	UBE2E1	1440.2004
UBE2E2	303.5037	UBE2E2	449.7719
UBE2E3	747.1547	UBE2E3	1428.3925
UBE2F	789.1096	UBE2F	430.0921
UBE2G1	1624.3398	UBE2G1	1488.863
UBE2G2	879.5656	UBE2G2	1436.6222
UBE2H	1689.5038	UBE2H	1503.5334
UBE2I	3233.5044	UBE2I	1725.0201
UBE2J1	1785.0182	UBE2J1	2170.4983
UBE2J2	735.5501	UBE2J2	454.7813
UBE2K	2214.6842	UBE2K	1970.1226
UBE2L3	4193.4092	UBE2L3	2114.3215
removed	removed	UBE2L6	1836.658
UBE2MP1	64.2714	UBE2MP1	65.8377
UBE2M	623.0752	UBE2M	511.3159
removed	removed	UBE2NL	5.725
UBE2N	3304.322	UBE2N	1810.8954
UBE2O	749.2375	UBE2O	529.9222
UBE2Q1	1763.2969	UBE2Q1	1528.9382
UBE2Q2P1	5.9511	UBE2Q2P1	39.7173
removed	removed	UBE2Q2	1352.536
UBE2QL1	32.7308	UBE2QL1	84.0862
UBE2R2	3383.471	UBE2R2	2126.1293
UBE2S	346.3513	UBE2S	21.111
UBE2T	684.9662	UBE2T	32.5611
UBE2V1	4538.0049	UBE2V1	3476.5865
UBE2V2	1089.0426	UBE2V2	728.8666
UBE2W	859.0344	UBE2W	657.6617
UBE2Z	5835.6022	UBE2Z	2378.388
UBE3A	4335.6394	UBE3A	2288.9346
removed	removed	UBE3B	1339.6547
UBE3C	3580.7483	UBE3C	2055.2822
UBE4A	2171.8366	UBE4A	2381.6084
removed	removed	UBE4B	1873.155
UBFD1	1976.047	UBFD1	1650.9527
UBIAD1	644.7965	UBIAD1	758.923
UBL3	1638.3248	UBL3	2530.4589
UBL4A	1081.3063	UBL4A	772.5199
removed	removed	UBL4B	8.9453
UBL5	1438.667	UBL5	1076.3038
UBL7	563.8622	UBL7	764.648
UBLCP1	156.2151	UBLCP1	819.3935
UBN1	1712.1178	UBN1	1465.6052
UBN2	861.1173	UBN2	1160.7478
UBOX5	436.9174	UBOX5	350.6217
UBP1	2502.1201	UBP1	2458.1805
UBQLN1	5827.5683	UBQLN1	3405.6713
UBQLN2	1244.9602	UBQLN2	1766.8843
UBQLN4	1998.9586	UBQLN4	1176.1338
UBQLNL	34.2186	UBQLNL	15.0282
UBR1	1737.1123	UBR1	1136.7743
removed	removed	UBR2	1133.9118
UBR3	1454.1397	UBR3	1528.2226
removed	removed	UBR4	4456.5704
UBR5	2493.7886	UBR5	3710.8865
removed	removed	UBR7	1431.6128
UBTD1	265.7145	UBTD1	170.6772
UBTD2	912.8915	UBTD2	1293.1389
removed	removed	UBTF	1692.4591
removed	removed	UBXN10	184.9897
UBXN11	144.9081	UBXN11	172.4662
UBXN1	757.8665	UBXN1	789.3372
UBXN2A	252.6222	UBXN2A	379.2826
removed	removed	UBXN2B	1065.2116
UBXN4	6244.737	UBXN4	3755.971
UBXN6	937.8859	UBXN6	949.6377
UBXN7	664.435	UBXN7	610.4303
UBXN8	128.2452	UBXN8	209.6789
removed	removed	UCA1	7.5141
UCHL1	153.8347	UCHL1	111.6379
UCHL3	502.2688	UCHL3	405.0452
UCHL5	674.1055	UCHL5	420.7389
UCK1	741.2036	UCK1	619.0178
UCK2	626.0507	UCK2	263.7087
UCKL1AS	9.5663	removed	removed
UCKL1	427.842	UCKL1	262.9824
removed	removed	UCP2	1834.5111
removed	removed	UCP3	12.1657
UEVLD	647.177	UEVLD	300.2057
UFC1	2577.4009	UFC1	2352.6255
UFD1L	2100.1175	UFD1L	915.9925
UFM1	2013.2411	UFM1	1636.6401
UFSP1	23.8042	UFSP1	6.4406
UFSP2	534.8985	UFSP2	1205.403
UGCG	289.2212	UGCG	348.5106
UGDH	7930.3727	UGDH	1306.7358
removed	removed	UGGT1	2092.137
removed	removed	UGGT2	515.6096
removed	removed	UGP2	5676.7153
UGT1A6	13.8005	removed	removed
removed	removed	UGT2B11	155.903
UGT2B15	13.3899	UGT2B15	34.7079
removed	removed	UGT2B28	59.3971
removed	removed	UGT3A2	10.3766
removed	removed	UGT8	238.304
UHMK1	1907.3124	UHMK1	510.958
UHRF1BP1L	1183.9619	UHRF1BP1L	725.2885
UHRF1BP1	1164.3234	UHRF1BP1	689.5071
removed	removed	UHRF1	33.2767
UHRF2	747.7498	UHRF2	944.6283
UIMC1	328.2006	UIMC1	471.5985
ULBP1	17.2581	ULBP1	7.1563
ULBP2	136.5767	ULBP2	8.2297
ULBP3	17.5556	ULBP3	31.8454
ULK1	2103.9946	ULK1	723.4994
removed	removed	ULK2	665.8914
removed	removed	ULK3	321.3168
removed	removed	ULK4	50.0939
UMODL1	128.751	removed	removed
removed	removed	UMPS	599.6959
UNC119B	376.7016	UNC119B	2205.564
UNC119	433.5342	UNC119	413.2749
UNC13A	5.0584	removed	removed
removed	removed	UNC13B	1340.3703
UNC13D	125.8648	UNC13D	162.8053
UNC45A	1466.3394	UNC45A	1128.1868
UNC50	596.593	UNC50	748.5464
UNC5A	446.924	UNC5A	26.836
UNC5B	2320.9105	UNC5B	450.1297
UNC5CL	7.7364	UNC5CL	24.385
UNC5C	108.0116	UNC5C	177.4756
UNC93B1	1657.0706	UNC93B1	391.8061
UNG	1790.3742	UNG	915.6454
UNKL	305.2949	UNKL	274.4575
UNK	840.2886	UNK	625.8163
UPF0639	12.1997	removed	removed
UPF1	3040.9879	UPF1	1433.4019
removed	removed	UPF2	1064.1381
UPF3A	289.5187	UPF3A	407.9077
UPF3B	494.2349	UPF3B	218.982
removed	removed	UPK1A	20.3954
UPK2	58.3203	UPK2	8.5875
removed	removed	UPK3A	11.0922
UPK3BL	629.4696	UPK3BL	148.1599
UPP1	146.991	UPP1	94.105
UPRT	691.2148	UPRT	273.7275
removed	removed	UQCC	732.4448
UQCR10	2833.5937	UQCR10	970.3909
UQCR11	1140.2217	UQCR11	791.8418
UQCRB	2380.421	UQCRB	4115.216
UQCRC1	3939.8944	UQCRC1	1639.1448
UQCRC2	1407.4239	UQCRC2	4854.1014
UQCRFS1	1934.0921	UQCRFS1	1459.8801
UQCRHL	335.9369	UQCRHL	283.7463
UQCRH	1238.1165	UQCRH	1389.033
UQCRQ	1908.205	UQCRQ	1025.852
URB1	1169.6675	URB1	1153.198
URB2	460.6115	URB2	278.0213
removed	removed	URGCP	647.6429
URM1	1033.6978	URM1	948.5643
UROD	639.143	UROD	1049.4678
UROS	501.3762	UROS	482.6908
USE1	183.2924	USE1	181.0538
USF1	595.4028	USF1	454.7813
USF2	1268.1693	USF2	892.7453
removed	removed	USH1C	18.2485
removed	removed	USH2A	12.5235
USHBP1	12.7948	USHBP1	65.4799
USMG5	395.1499	USMG5	758.923
removed	removed	USO1	2896.8602
USP10	2618.7607	USP10	1543.9664
USP11	1404.746	USP11	1835.5846
removed	removed	USP12	443.6891
USP13	1020.0104	USP13	849.092
USP14	1665.4021	USP14	1372.5736
removed	removed	USP15	1074.5147
USP16	1463.3638	USP16	1236.9622
USP18	812.9138	USP18	164.9521
USP19	1910.2879	USP19	1204.0433
USP1	1860.299	USP1	1475.2661
USP20	500.186	USP20	440.1109
USP21	320.1666	USP21	427.2296
USP22	4693.5952	USP22	6826.0131
USP24	1417.5407	USP24	2138.6528
USP25	1230.3801	USP25	1658.8246
USP27X	66.3542	USP27X	186.7788
removed	removed	USP28	710.6181
USP2	17.8532	USP2	113.427
USP30	511.7905	USP30	676.9836
removed	removed	USP31	1393.6846
USP32	5178.9035	USP32	1093.4788
USP33	1710.3325	USP33	1980.1413
removed	removed	USP34	4431.8812
USP35	72.0077	USP35	111.9957
USP36	833.4449	USP36	1217.998
removed	removed	USP37	602.9162
USP38	1481.8121	USP38	672.3321
removed	removed	USP39	1151.4447
USP3	782.1974	USP3	593.1693
removed	removed	USP40	973.969
USP42	318.0838	USP42	381.4295
USP43	149.669	USP43	86.5909
removed	removed	USP44	47.2314
USP45	301.4208	USP45	201.0913
USP46	662.0546	USP46	669.1117
USP47	2720.2261	USP47	2934.0728
USP48	1513.9478	USP48	1736.4702
USP49	14.2825	USP49	20.0376
removed	removed	USP4	1843.0987
removed	removed	USP51	124.877
USP53	1254.1843	USP53	2457.8227
USP54	658.1864	USP54	1274.8904
USP5	2085.8439	USP5	1033.7239
removed	removed	USP6NL	577.1536
USP6	61.5934	USP6	41.1486
removed	removed	USP7	3356.293
USP8	1328.0667	USP8	1470.3999
removed	removed	USP9X	5239.109
USPL1	655.5084	USPL1	651.9367
UST	127.9476	UST	1258.7888
UTP11L	677.2298	UTP11L	590.3927
removed	removed	UTP14A	488.7736
UTP14C	1593.3943	UTP14C	1437.6957
UTP15	361.824	UTP15	299.1323
UTP18	2732.4258	UTP18	781.4652
UTP20	848.6201	UTP20	878.4328
UTP23	858.1418	UTP23	639.4132
removed	removed	UTP3	655.5148
UTP6	581.4178	UTP6	624.0272
removed	removed	UTRN	7084.7124
removed	removed	UTS2D	9.3032
UVRAG	790.2998	UVRAG	987.2082
UXS1	896.2285	UXS1	726.3619
UXT	722.8952	UXT	1219.0035
VAC14	1150.636	VAC14	714.1963
VAMP1	124.9691	VAMP1	243.9646
VAMP2	872.7219	VAMP2	3199.5706
VAMP3	2133.1548	VAMP3	4073.7096
removed	removed	VAMP4	632.6147
VAMP5	186.5655	VAMP5	640.4866
VAMP7	1324.4068	VAMP7	1412.6487
VAMP8	3195.4177	VAMP8	1381.8767
VANGL1	1716.5811	VANGL1	788.2637
VANGL2	57.1301	VANGL2	825.8342
VAPA	3160.0089	VAPA	4448.6985
removed	removed	VAPB	1229.4481
VARS2	465.7204	VARS2	210.7523
VARS	963.1779	VARS	850.8811
VASH1	406.7753	VASH1	482.8518
VASH2	146.991	VASH2	257.6259
VASN	240.125	VASN	522.4081
VASP	1807.9298	VASP	1173.9869
VAT1L	5.6535	VAT1L	26.4782
VAT1	2275.385	VAT1	9672.7793
VAV1	66.0567	VAV1	119.5098
VAV2	2241.1664	VAV2	446.1938
VAV3	6592.5761	VAV3	1741.4796
VAX2	63.3787	VAX2	8.9453
