gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
AKAP3	8.0339	AKAP3	58.3236
AKAP5	1014.0594	AKAP5	78.3612
AKAP6	36.599	AKAP6	771.4465
AKAP7	58.6179	AKAP7	220.0555
AKAP8L	540.058	AKAP8L	290.187
AKAP8	425.2027	AKAP8	413.9905
removed	removed	AKAP9	2429.9132
removed	removed	AKD1	147.7771
AKIRIN1	1040.5415	AKIRIN1	1083.1022
AKIRIN2	606.1147	AKIRIN2	778.2449
removed	removed	AKNAD1	25.4048
removed	removed	AKNA	497.7189
AKR1A1	2510.4515	AKR1A1	1639.1448
AKR1B10	6.2486	removed	removed
removed	removed	AKR1B15	20.7532
AKR1B1	313.0254	AKR1B1	1474.9083
AKR1C1	23.8042	AKR1C1	1205.1167
AKR1C2	11.9021	AKR1C2	621.5225
AKR1C3	348.4341	AKR1C3	985.4191
removed	removed	AKR1E2	24.3313
AKR7A2	2052.2205	AKR7A2	876.6437
AKR7A3	48.7986	AKR7A3	18.2485
AKR7L	11.9021	AKR7L	5.0094
AKT1S1	967.9387	AKT1S1	760.712
AKT1	6032.8796	AKT1	2040.254
AKT2	1605.8915	AKT2	1535.7366
AKT3	372.2383	AKT3	1898.5598
AKTIP	468.5502	AKTIP	746.3852
ALAD	1555.6051	ALAD	1337.15
removed	removed	ALAS1	762.5011
ALB	5.3559	ALB	1116.0211
ALCAM	19997.6196	ALCAM	4254.0478
ALDH16A1	122.8892	ALDH16A1	112.3535
removed	removed	ALDH18A1	1859.9159
ALDH1A1	137.7669	ALDH1A1	4314.8761
removed	removed	ALDH1A2	502.0127
removed	removed	ALDH1A3	4199.5062
ALDH1B1	1053.9314	ALDH1B1	572.502
removed	removed	ALDH1L1	455.8547
ALDH1L2	643.6063	ALDH1L2	489.1314
ALDH2	2832.9986	ALDH2	2649.6109
removed	removed	ALDH3A1	26.4782
ALDH3A2	900.0967	ALDH3A2	2739.7799
ALDH3B1	196.3847	ALDH3B1	169.2459
ALDH3B2	13845.719	ALDH3B2	1007.9614
ALDH4A1	5131.2951	ALDH4A1	386.7967
ALDH5A1	676.9322	ALDH5A1	540.2988
ALDH6A1	537.3681	ALDH6A1	700.7067
ALDH7A1	2665.4765	ALDH7A1	1875.6597
ALDH8A1	12.7948	ALDH8A1	12.1657
ALDH9A1	6611.0243	ALDH9A1	4372.8419
ALDOA	25216.3951	ALDOA	9885.3207
removed	removed	ALDOB	8.5875
ALDOC	48.7986	ALDOC	785.759
removed	removed	ALG10B	395.742
ALG10	184.1851	ALG10	123.0879
ALG11	28.2675	ALG11	6.7985
ALG12	799.2264	ALG12	382.5029
ALG13	587.0713	ALG13	506.3065
ALG14	158.298	ALG14	197.5132
ALG1L	152.5552	ALG1L	24.7929
ALG1	711.9125	ALG1	391.1978
ALG2	1076.5454	ALG2	1106.3601
ALG3	800.119	ALG3	642.6335
removed	removed	ALG5	724.215
ALG6	275.5337	ALG6	293.0495
ALG8	817.9722	ALG8	852.6702
ALG9	500.4835	ALG9	784.6856
ALKBH1	282.3774	ALKBH1	216.4773
ALKBH2	228.818	ALKBH2	195.7241
ALKBH3	41.6574	ALKBH3	330.2621
ALKBH4	210.8428	ALKBH4	161.9215
removed	removed	ALKBH5	2346.056
ALKBH6	80.0417	ALKBH6	37.5704
ALKBH7	443.3534	ALKBH7	307.7198
ALKBH8	238.6372	ALKBH8	312.3714
removed	removed	ALK	10.3766
ALMS1P	27.3748	ALMS1P	8.2297
removed	removed	ALMS1	925.3064
ALOX12P2	45.5256	ALOX12P2	11.0922
ALOX15B	7.4388	ALOX15B	203.596
ALOX15	232.3886	ALOX15	22.5423
ALOX5AP	331.1761	ALOX5AP	508.0955
ALOX5	191.0288	ALOX5	482.6908
removed	removed	ALOXE3	11.45
ALPK1	482.3328	ALPK1	902.4063
removed	removed	ALPK2	56.8924
removed	removed	ALPK3	302.7104
ALPL	75.8759	ALPL	1962.2506
ALS2CL	111.5822	ALS2CL	164.5943
removed	removed	ALS2CR11	10.7344
ALS2CR4	633.192	ALS2CR4	1859.9159
removed	removed	ALS2CR8	215.4039
ALS2	928.9593	ALS2	675.9102
