gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
RBM15	132.1331	RBM15	150.3314
RBM16	1426.9764	RBM16	1432.0201
RBM17	1414.5636	RBM17	1555.4053
RBM18	1105.9315	RBM18	1073.5195
RBM19	565.5039	RBM19	381.4124
RBM20	6.4298	RBM20	32.4606
RBM22	1104.967	RBM22	1068.4958
RBM23	1659.8618	RBM23	944.0634
RBM24	230.5096	RBM24	57.1925
RBM25	2808.2302	RBM25	1514.0566
RBM26	1112.0399	RBM26	859.0474
RBM27	1316.8301	RBM27	1088.204
removed	removed	RBM28	327.3114
RBM33	846.4877	RBM33	1038.7402
RBM34	670.1238	RBM34	795.6719
RBM38	202.8613	RBM38	174.6691
RBM39	6308.3106	RBM39	3118.9257
RBM3	4876.7079	RBM3	6247.8988
RBM41	206.7192	RBM41	196.3095
RBM42	1056.1003	RBM42	480.7265
RBM43	564.5395	RBM43	551.4443
RBM44	7.3943	RBM44	6.183
RBM45	229.2236	RBM45	178.147
removed	removed	RBM46	10.4338
RBM47	2492.2038	RBM47	784.4653
RBM4B	333.7084	RBM4B	226.4516
RBM4	2036.679	RBM4	1385.9994
RBM5	2354.1038	RBM5	1738.7615
RBM6	1441.6975	RBM6	913.5813
RBM7	488.6674	RBM7	783.6924
RBM8A	2189.9952	RBM8A	1063.4876
RBM9	2060.7619	RBM9	2975.1715
RBMS1	1461.1799	RBMS1	2798.9566
RBMS2	1274.1714	RBMS2	3832.4529
RBMS3	70.4067	RBMS3	486.9095
RBMX2	359.4277	RBMX2	290.9864
RBMXL1	815.3384	RBMXL1	627.0273
RBMX	3725.4461	RBMX	2691.9138
RBP1	784.1183	RBP1	98.5412
RBP2	55.2966	removed	removed
RBP4	7.0728	RBP4	10432.2288
RBP5	15.7531	RBP5	27.437
RBP7	81.6589	RBP7	2079.0262
RBPJ	679.312	RBPJ	1469.23
RBPMS2	29.2557	RBPMS2	520.143
RBPMS	1701.6557	RBPMS	3937.7838
RBX1	762.7648	RBX1	805.1435
RC3H1	905.3207	RC3H1	1565.839
RC3H2	497.0262	RC3H2	1027.5336
RCAN1	769.9727	RCAN1	1389.2378
RCAN2	379.0387	RCAN2	636.4602
RCAN3	183.2503	RCAN3	46.7588
RCBTB1	1120.3986	RCBTB1	854.0238
RCBTB2	430.7989	RCBTB2	914.3078
RCC1	524.0669	RCC1	60.6434
RCC2	4640.733	RCC2	993.1408
RCCD1	152.3871	RCCD1	134.4798
RCE1	226.0087	RCE1	137.5712
RCHY1	497.9907	RCHY1	644.189
RCL1	553.2873	RCL1	864.4575
RCN1	3019.7717	RCN1	3589.9913
RCN2	1607.7801	RCN2	1628.4417
RCN3	697.9585	RCN3	300.6473
RCOR1	1308.4713	RCOR1	975.7511
RCOR2	11.8952	removed	removed
RCOR3	1653.4319	RCOR3	1312.337
RCSD1	252.6925	RCSD1	486.9095
removed	removed	RCVRN	5.0237
RD3	7.3943	removed	removed
RDBP	830.9629	RDBP	734.928
RDH10	332.7439	RDH10	1625.3502
RDH11	2099.6624	RDH11	1038.7402
RDH13	252.371	RDH13	61.8298
RDH14	482.2794	RDH14	394.9377
RDH16	21.8614	removed	removed
RDH5	10.1527	RDH5	3180.5236
RDM1	15.7531	removed	removed
RDX	1046.4556	RDX	4035.9386
REC8	23.1474	REC8	8.5016
RECK	896.9619	RECK	1695.6816
RECQL4	95.1615	removed	removed
RECQL5	748.4327	RECQL5	251.1835
RECQL	1509.3104	RECQL	1603.6673
REEP1	202.8613	REEP1	81.538
REEP2	16.7176	REEP2	159.5981
REEP3	912.072	REEP3	1545.3579
REEP4	335.6374	REEP4	156.8931
REEP5	9487.2175	REEP5	6260.4038
REEP6	389.648	REEP6	143.7542
RELA	1606.8156	RELA	1490.8704
RELB	199.3249	RELB	91.9718
RELL1	740.3986	RELL1	2072.9475
RELL2	12.7021	removed	removed
removed	removed	RELN	156.5066
RELT	107.6997	RELT	22.0269
REL	124.7388	REL	121.7274
REM1	18.6465	REM1	54.1011
REM2	18.6465	removed	removed
RENBP	64.9413	RENBP	169.259
REP15	16.7176	REP15	15.8439
REPIN1	1385.6293	REPIN1	1240.0734
REPS1	543.321	REPS1	618.6842
REPS2	3131.6509	REPS2	627.9587
RER1	2253.6891	RER1	2859.6116
RERE	2980.5498	RERE	4889.5759
removed	removed	RERGL	181.625
RERG	1304.2919	RERG	384.1175
REST	544.9285	REST	350.1111
RETSAT	1884.906	RETSAT	14928.0263
RET	18.968	RET	36.325
REV1	779.9389	REV1	949.8599
REV3L	562.6105	REV3L	2821.7564
REXO1	238.8683	REXO1	210.2212
REXO2	611.1558	REXO2	940.199
REXO4	449.1239	REXO4	241.5226
RFC1	1707.121	RFC1	2065.5009
RFC2	457.8042	RFC2	263.9359
RFC3	451.0529	RFC3	174.6691
RFC4	299.3088	RFC4	120.1816
RFC5	404.4366	RFC5	200.9468
RFESD	30.5417	RFESD	32.0742
RFFL	1021.4017	RFFL	764.7145
RFK	737.1805	RFK	569.9932
RFNG	654.5571	RFNG	492.3196
RFPL1S	45.3657	RFPL1S	13.5253
RFT1	534.9622	RFT1	462.564
RFTN1	485.4525	RFTN1	3967.9258
RFTN2	136.634	RFTN2	289.0542
RFWD2	1177.9457	RFWD2	1094.387
RFWD3	545.8929	RFWD3	381.026
RFX1	249.4776	RFX1	135.6391
RFX2	123.1313	RFX2	141.822
RFX3	69.4422	RFX3	76.1279
RFX5	1270.5353	RFX5	589.7015
RFX7	970.5835	RFX7	579.6541
RFX8	23.7904	RFX8	9.2745
RFXANK	756.7754	RFXANK	260.7787
RFXAP	117.023	RFXAP	164.2353
RG9MTD1	616.2996	RG9MTD1	454.0624
RG9MTD2	264.5877	RG9MTD2	219.1093
RG9MTD3	239.8328	RG9MTD3	160.7574
RGAG1	9.0018	RGAG1	12.366
RGAG4	328.5645	RGAG4	308.376
RGL1	648.7703	RGL1	1872.2829
RGL2	2065.2628	RGL2	659.26
RGL3	58.2189	RGL3	33.2721
RGMA	179.3924	RGMA	333.4943
RGMB	957.8299	RGMB	638.3731
RGNEF	248.8346	RGNEF	1185.1995
RGN	13.5027	RGN	348.5654
RGP1	119.9164	RGP1	196.3095
RGPD1	248.5742	RGPD1	332.0375
RGPD3	321.1702	RGPD3	468.3605
RGPD4	191.6091	RGPD4	236.4989
RGPD5	49.0275	RGPD5	179.6116
RGPD6	776.5279	RGPD6	897.691
removed	removed	RGPD8	50.4879
RGS10	610.1913	RGS10	331.1757
RGS11	141.6943	RGS11	258.7112
RGS12	416.3318	RGS12	403.0528
RGS13	13.5027	removed	removed
RGS14	139.5274	RGS14	40.5758
RGS16	681.241	RGS16	86.9481
RGS17	9.9662	RGS17	45.5995
RGS18	22.1829	RGS18	63.762
RGS19	221.5078	RGS19	137.1848
RGS1	1376.3061	RGS1	44.8266
removed	removed	RGS20	31.6878
RGS22	108.3427	RGS22	825.0411
RGS2	452.6603	RGS2	530.9632
RGS3	678.9905	RGS3	3324.8961
RGS4	449.4454	RGS4	20.0947
RGS5	4112.5221	RGS5	16411.5544
removed	removed	RGS6	722.2491
removed	removed	RGS7BP	29.7556
RGS9	68.7992	RGS9	7.7287
RHBDD1	409.259	RHBDD1	479.9536
RHBDD2	1424.2083	RHBDD2	1175.925
RHBDD3	125.3818	RHBDD3	115.158
RHBDF1	822.0543	RHBDF1	360.9313
RHBDF2	479.6656	RHBDF2	220.655
RHBDL1	33.7566	removed	removed
RHBDL2	60.7619	RHBDL2	14.2981
RHBDL3	18.0035	RHBDL3	17.7761
removed	removed	RHD	5.7965
RHEBL1	17.0391	RHEBL1	7.3423
RHEB	1105.2885	RHEB	1460.342
RHOA	12781.2249	RHOA	21162.7862
RHOBTB1	642.019	RHOBTB1	1193.7011
RHOBTB2	675.7209	RHOBTB2	378.5721
RHOBTB3	1170.8729	RHOBTB3	9215.7279
RHOB	9129.4004	RHOB	11193.5079
RHOC	4466.4845	RHOC	3188.8706
RHOD	296.4154	RHOD	178.147
RHOF	44.8385	RHOF	17.1307
RHOG	881.2088	RHOG	914.6942
RHOH	178.7494	RHOH	44.8266
RHOJ	178.1064	RHOJ	354.7483
RHOQ	1494.2517	RHOQ	19983.5765
RHOT1	2318.9198	RHOT1	1320.0657
RHOT2	837.8074	RHOT2	270.1188
RHOU	154.6375	RHOU	821.5631
RHOV	244.9767	RHOV	22.0269
removed	removed	RHOXF1	27.437
RHPN1	340.1382	RHPN1	11.9795
RHPN2	1382.0929	RHPN2	68.0128
RIBC1	83.2664	RIBC1	8.5016
RIBC2	8.6803	removed	removed
RIC3	307.9891	RIC3	41.7351
RIC8A	1919.8714	RIC8A	1237.1288
RIC8B	825.5907	RIC8B	734.2286
RICH2	92.2681	RICH2	120.1816
RICTOR	1454.75	RICTOR	1134.5764
RIF1	1044.2051	RIF1	1139.6
RILPL1	203.5525	RILPL1	238.319
RILPL2	363.6071	RILPL2	362.4771
RILP	48.2238	RILP	323.8334
RIMBP2	7.3943	RIMBP2	11.5931
RIMBP3	31.5062	RIMBP3	8.1152
RIMKLA	205.4332	RIMKLA	27.0505
RIMKLB	770.5867	RIMKLB	1229.9256
RIMS1	6.1083	RIMS1	37.0979
RIMS2	24.1119	RIMS2	10.8202
RIMS3	51.4387	RIMS3	211.767
RIMS4	1854.0428	RIMS4	21.254
RIN1	61.4049	RIN1	17.7761
RIN2	2378.0743	RIN2	1347.5027
RIN3	254.6214	RIN3	299.488
RING1	554.2517	RING1	446.3337
RINL	224.4012	RINL	76.1279
RINT1	533.8274	RINT1	552.5997
RIOK1	597.6531	RIOK1	413.8731
RIOK2	760.0064	RIOK2	641.0975
RIOK3	1335.4766	RIOK3	1958.0717
RIPK1	1120.7201	RIPK1	1456.0912
RIPK2	405.7226	RIPK2	307.6031
RIPK3	221.1863	RIPK3	104.3377
RIPK4	100.9484	RIPK4	31.6878
RIT1	727.8573	RIT1	731.91
RLF	1044.5266	RLF	804.5599
RLIM	2016.7176	RLIM	1685.2478
RLN1	6.7513	removed	removed
RLN2	66.5488	RLN2	5.0237
RLTPR	32.7922	removed	removed
RMI1	350.426	RMI1	163.076
RMND1	527.5679	RMND1	695.9714
RMND5A	1945.3464	RMND5A	3473.674
RMND5B	897.2834	RMND5B	592.4065
RMRP	23.4689	RMRP	47.5316
RMST	7.0728	removed	removed
RNASE1	1845.041	RNASE1	14399.7681
RNASE2	13.1812	RNASE2	5.4101
RNASE4	1028.6192	RNASE4	8741.6984
RNASE6	281.6267	RNASE6	355.5212
RNASE7	6.4298	removed	removed
RNASEH1	162.6748	RNASEH1	319.5826
RNASEH2A	336.2803	RNASEH2A	82.6973
RNASEH2B	441.7296	RNASEH2B	470.2927
RNASEH2C	292.4224	RNASEH2C	283.8566
RNASEK	1018.2768	RNASEK	2115.7067
RNASEL	567.1114	RNASEL	547.1935
RNASEN	1609.0661	RNASEN	1102.1157
RNASET2	911.7505	RNASET2	506.6177
RND1	330.4935	RND1	25.8912
RND2	84.8738	RND2	17.7761
RND3	1854.0428	RND3	1231.5718
RNF103	1691.7055	RNF103	1325.8893
RNF10	3990.3552	RNF10	4444.0151
RNF111	863.5268	RNF111	916.6264
removed	removed	RNF112	6.9558
RNF113A	207.6837	RNF113A	137.9577
RNF114	1221.3471	RNF114	1480.8231
RNF115	721.7489	RNF115	617.5249
RNF11	2841.3438	RNF11	8644.9618
RNF121	475.1648	RNF121	402.6664
RNF122	130.2041	RNF122	65.3077
RNF123	625.6229	RNF123	535.6004
RNF125	228.9021	RNF125	837.7934
RNF126	138.5629	RNF126	164.2353
RNF128	307.3461	RNF128	20.0947
RNF130	1412.3131	RNF130	6095.2565
RNF135	932.326	RNF135	818.8581
RNF138P1	11.8952	RNF138P1	35.5521
RNF138	593.1522	RNF138	503.5262
RNF139	1267.9633	RNF139	1750.2193
RNF13	1636.7144	RNF13	2486.3298
RNF141	1236.4572	RNF141	3606.9945
RNF144A	1222.9545	RNF144A	1616.0757
RNF144B	1356.6951	RNF144B	816.9259
RNF145	794.0846	RNF145	2527.6785
RNF146	808.8732	RNF146	1137.2814
RNF149	1124.2566	RNF149	652.6906
RNF14	2110.9146	RNF14	2977.1037
RNF150	39.865	RNF150	957.5886
RNF152	54.0106	RNF152	70.3314
RNF157	122.4883	RNF157	1772.5824
RNF160	1166.372	RNF160	1361.8008
RNF165	14.5829	RNF165	35.2855
RNF166	120.2379	RNF166	119.4088
RNF167	1426.4588	RNF167	1575.1135
RNF168	194.5025	RNF168	326.1521
RNF169	748.8571	RNF169	717.4147
RNF170	602.154	RNF170	734.2286
RNF175	26.0408	RNF175	5.7965
RNF180	299.6303	RNF180	704.0866
RNF181	866.0987	RNF181	1031.7844
RNF182	6.4298	RNF182	57.9654
RNF185	896.4636	RNF185	1510.6598
RNF187	2155.2805	RNF187	1637.3297
RNF19A	1460.8584	RNF19A	2077.4804
RNF19B	643.9479	RNF19B	358.2263
RNF207	134.062	RNF207	39.03
RNF208	84.8738	RNF208	48.6909
RNF20	1974.9236	RNF20	2058.1586
RNF212	34.0781	RNF212	85.7888
RNF213	8130.0948	RNF213	4285.8932
RNF214	322.7777	RNF214	447.493
RNF215	181.9643	RNF215	132.1611
RNF216L	312.49	RNF216L	212.1534
RNF216	1056.4218	RNF216	1022.5099
RNF217	55.5634	RNF217	144.1175
RNF219	502.1765	RNF219	593.7552
RNF220	918.9101	RNF220	641.7931
RNF24	214.435	RNF24	182.7843
RNF25	332.4224	RNF25	207.9026
RNF26	700.209	RNF26	921.6501
RNF2	1091.1429	RNF2	523.2345
RNF31	778.0775	RNF31	435.5135
RNF32	35.6856	RNF32	26.6641
RNF34	780.0836	RNF34	593.1485
RNF38	1261.212	RNF38	2381.9921
RNF39	65.5843	RNF39	28.9827
RNF40	2884.7452	RNF40	1042.991
RNF41	1084.0701	RNF41	1767.5587
RNF43	884.1022	RNF43	27.8234
RNF44	769.0082	RNF44	433.1949
RNF4	1740.2347	RNF4	1267.5104
RNF5P1	149.1722	RNF5P1	97.3819
RNF5	781.8679	RNF5	580.0406
RNF6	1234.2067	RNF6	1063.8586
RNF7	1379.1995	RNF7	945.9956
RNF8	439.4792	RNF8	294.0779
RNFT1	493.1683	RNFT1	534.0547
RNFT2	101.9129	RNFT2	44.0537
RNGTT	354.2839	RNGTT	540.6241
RNH1	1894.5507	RNH1	1935.6584
RNLS	329.529	RNLS	233.4074
RNMTL1	162.3533	RNMTL1	202.4925
RNMT	1193.3773	RNMT	984.6392
RNPC3	274.181	RNPC3	244.1967
RNPEPL1	742.9674	RNPEPL1	1476.1859
RNPEP	2085.5168	RNPEP	982.707
RNPS1	2459.0902	RNPS1	1145.0101
ROBLD3	767.4007	ROBLD3	389.914
ROBO1	1241.601	ROBO1	1665.1531
ROBO2	2695.7081	ROBO2	85.4024
ROBO3	65.9058	ROBO3	138.3441
ROBO4	236.2964	ROBO4	3147.522
ROCK1	2238.5469	ROCK1	3237.5616
ROCK2	1083.1056	ROCK2	4171.5776
ROD1	3072.1749	ROD1	1951.8887
ROGDI	760.9709	ROGDI	71.4907
ROM1	29.2557	ROM1	49.0774
ROMO1	343.9961	ROMO1	275.9154
ROPN1L	5.4654	removed	removed
ROR1	84.5523	ROR1	136.4119
ROR2	786.6902	ROR2	41.7351
RORA	683.8129	RORA	808.0379
RORB	29.8987	RORB	31.6878
RORC	637.1966	RORC	29.7556
removed	removed	RP1L1	8.1152
RP1	29.5772	removed	removed
RP2	637.5181	RP2	562.2645
RP9P	130.5256	RP9P	135.2526
RP9	135.0265	RP9	92.3582
RPA1	1544.4462	RPA1	2680.7072
RPA2	1063.4946	RPA2	852.478
RPA3	295.1294	RPA3	297.5558
RPAIN	333.927	RPAIN	330.7197
RPAP1	471.6284	RPAP1	545.2613
RPAP2	402.8291	RPAP2	295.6236
RPAP3	867.7062	RPAP3	528.2581
RPE	935.1808	RPE	803.3079
RPF1	1093.3933	RPF1	540.6241
RPF2	263.6232	RPF2	396.097
RPGRIP1L	352.6764	RPGRIP1L	141.0492
RPGRIP1	13.8241	RPGRIP1	13.5253
RPGR	154.6375	RPGR	301.4202
RPH3AL	153.9945	RPH3AL	370.9786
removed	removed	RPH3A	90.426
RPIA	359.7492	RPIA	411.168
RPL10A	7394.3096	RPL10A	6708.5306
RPL10	10600.9195	RPL10	11656.5085
RPL11	9862.4015	RPL11	12563.4238
RPL12	6485.4525	RPL12	6743.3098
RPL13AP20	37.6145	RPL13AP20	14.2981
RPL13AP3	8.0373	removed	removed
RPL13AP6	6.7513	removed	removed
RPL13A	12291.593	RPL13A	7559.0764
RPL13P5	13.1812	RPL13P5	13.9117
RPL13	6714.0331	RPL13	6903.2944
RPL14	6834.914	RPL14	6174.0895
RPL15	15463.4303	RPL15	20646.1211
RPL17	3485.7997	RPL17	3691.6742
RPL18A	991.159	RPL18A	918.945
RPL18	7457.322	RPL18	4170.8048
RPL19P12	109.3072	RPL19P12	50.2367
RPL19	15628.0341	RPL19	9388.4649
removed	removed	RPL21P44	5.0237
RPL22L1	374.8593	RPL22L1	208.6755
RPL22	7511.0111	RPL22	9121.4375
RPL23AP53	275.5184	RPL23AP53	268.5731
removed	removed	RPL23AP64	7.3423
RPL23AP7	75.2291	RPL23AP7	106.2699
RPL23AP82	72.3646	RPL23AP82	146.0728
RPL23A	4513.4223	RPL23A	3526.2293
RPL23P8	107.3782	RPL23P8	28.5963
RPL23	14386.1116	RPL23	10873.9252
RPL24	5750.2009	RPL24	6165.2014
RPL26L1	278.4118	RPL26L1	106.6564
RPL26	4462.3051	RPL26	11756.5453
RPL27A	6728.1787	RPL27A	7011.4965
RPL27	7179.8746	RPL27	6951.2124
RPL28	6109.9502	RPL28	3698.9663
RPL29	6409.9019	RPL29	5822.8191
RPL30	8533.0333	RPL30	11994.2035
removed	removed	RPL31P11	9.2745
RPL31	7700.6912	RPL31	9214.9551
RPL32P3	129.6255	RPL32P3	70.4434
RPL32	10091.3036	RPL32	15017.6795
RPL34	6354.2839	RPL34	9480.4367
RPL35A	6435.9428	RPL35A	8840.1121
RPL35	3555.6984	RPL35	2857.6949
RPL36AL	2273.268	RPL36AL	2466.2351
RPL36A	39.865	RPL36A	20.4811
RPL36	4734.6086	RPL36	2134.2865
RPL37A	7292.3967	RPL37A	10742.537
RPL37	6773.1876	RPL37	8328.8571
RPL38	4995.3384	RPL38	4982.3205
RPL39L	135.991	RPL39L	80.7651
RPL39	429.8344	RPL39	674.7174
RPL3	17081.1767	RPL3	15657.2312
RPL41	12368.108	RPL41	11729.8812
RPL4	16208.3266	RPL4	26120.7613
RPL5	14559.0741	RPL5	16179.3063
RPL6	6579.6496	RPL6	7071.3941
RPL7A	10682.5269	RPL7A	8156.8931
RPL7L1	1020.0932	RPL7L1	947.9277
RPL7	1066.0665	RPL7	1590.9574
RPL8	10984.4077	RPL8	6869.288
RPL9	1504.2598	RPL9	2560.5256
RPLP0P2	53.6891	RPLP0P2	6.5694
RPLP0	17213.9527	RPLP0	12219.1093
RPLP1	14158.4954	RPLP1	10915.6603
RPLP2	4653.9142	RPLP2	11879.0455
RPN1	5425.4943	RPN1	4257.3664
RPN2	7177.621	RPN2	4799.5092
RPP14	541.3921	RPP14	636.4602
RPP21	196.1292	RPP21	135.9328
RPP25	102.8774	RPP25	103.5649
RPP30	566.1469	RPP30	676.6496
RPP38	360.3922	RPP38	179.3063
RPP40	144.6713	RPP40	99.3141
RPPH1	12.8597	RPPH1	19.7082
RPRD1A	1190.1624	RPRD1A	2159.4049
RPRD1B	988.9085	RPRD1B	862.1389
RPRD2	1572.0945	RPRD2	1990.1459
RPS10P7	87.1243	RPS10P7	22.7997
RPS10	2993.0879	RPS10	2833.7359
RPS11	18108.6642	RPS11	16368.66
RPS12	6147.2432	RPS12	12330.0164
RPS13	5734.4478	RPS13	8997.3916
RPS14	9386.2723	RPS14	9561.2018
RPS15AP10	9.3233	RPS15AP10	5.4101
RPS15A	7485.2918	RPS15A	9084.3397
RPS15	1163.4785	RPS15	1220.3652
RPS16	9583.3467	RPS16	6893.247
RPS17	6478.0582	RPS17	7242.5853
RPS18	19124.8995	RPS18	14053.5214
RPS19BP1	303.8097	RPS19BP1	395.3241
RPS19	6919.4663	RPS19	3135.5425
RPS20	9543.1603	RPS20	25599.459
RPS21	2669.9887	RPS21	2670.2734
RPS23	9542.8388	RPS23	11288.5712
RPS24	13504.9027	RPS24	13106.753
RPS25	5948.8828	RPS25	9078.9296
RPS26	558.1096	RPS26	635.3009
RPS27A	5054.1714	RPS27A	7469.4232
RPS27L	834.914	RPS27L	1369.916
RPS27	839.4149	RPS27	93.904
RPS28	381.6107	RPS28	507.3906
RPS29	3973.6377	RPS29	5467.6843
removed	removed	RPS2P32	34.3928
RPS2	7993.8917	RPS2	4425.0797
RPS3A	4866.4202	RPS3A	5481.2095
RPS3	11790.7089	RPS3	7760.7961
RPS4X	28614.3707	RPS4X	27255.7241
RPS5	8587.3654	RPS5	5148.4881
RPS6KA1	1017.1998	RPS6KA1	189.7401
RPS6KA2	791.8341	RPS6KA2	2278.8136
RPS6KA3	1307.5068	RPS6KA3	2754.9029
RPS6KA4	322.1347	RPS6KA4	308.376
RPS6KA5	178.1064	RPS6KA5	139.5034
RPS6KA6	102.8774	removed	removed
RPS6KB1	1814.1778	RPS6KB1	1535.697
RPS6KB2	345.9251	RPS6KB2	163.8489
RPS6KC1	774.795	RPS6KC1	892.2809
RPS6KL1	64.2983	RPS6KL1	57.1925
RPS6	22449.4454	RPS6	21257.0766
RPS7	3383.0574	RPS7	5191.3825
RPS8	12362.6427	RPS8	10162.8828
RPS9	5837.6467	RPS9	4431.2627
RPSAP52	8.3588	removed	removed
RPSAP58	5437.3895	RPSAP58	3927.35
RPSAP9	19.9325	RPSAP9	11.2066
RPSA	3305.8994	RPSA	2489.8077
RPTOR	900.4983	RPTOR	551.823
RPUSD1	291.9145	RPUSD1	102.792
RPUSD2	138.5629	RPUSD2	74.9686
RPUSD3	357.1773	RPUSD3	319.9691
RPUSD4	402.1861	RPUSD4	597.0438
RQCD1	212.506	RQCD1	171.1912
RRAD	11.8952	RRAD	17.7761
RRAGA	2234.046	RRAGA	2465.0758
RRAGB	490.5964	RRAGB	389.914
RRAGC	389.8055	RRAGC	1507.7654
RRAGD	179.3924	RRAGD	1999.8068
RRAS2	311.5255	RRAS2	1873.0557
RRAS	653.9142	RRAS	2831.8037
RRBP1	3004.3401	RRBP1	1626.896
RREB1	1393.0236	RREB1	1546.5172
RRM1	1897.1226	RRM1	2295.044
RRM2B	1097.2512	RRM2B	1448.7489
RRM2	221.5078	RRM2	10.0473
RRN3P1	42.7584	RRN3P1	126.3646
RRN3P2	15.4316	RRN3P2	13.9117
RRN3P3	59.1545	RRN3P3	58.3519
RRN3	2679.955	RRN3	2057.3858
RRP12	877.3509	RRP12	184.7165
RRP15	739.431	RRP15	572.3119
RRP1B	1015.5923	RRP1B	859.4339
RRP1	276.1614	RRP1	138.7306
RRP7A	183.8933	RRP7A	220.2686
RRP7B	52.1331	RRP7B	19.2522
RRP8	381.9322	RRP8	276.6882
RRP9	216.3639	RRP9	108.975
RRS1	347.854	RRS1	138.3441
RSAD1	1178.5887	RSAD1	586.61
RSAD2	946.4716	RSAD2	319.1962
RSBN1L	567.4393	RSBN1L	331.9718
RSBN1	875.7434	RSBN1	824.6546
RSC1A1	324.5395	RSC1A1	561.5032
RSF1	1117.5052	RSF1	855.1831
RSL1D1	4911.1075	RSL1D1	4151.0965
RSL24D1	2057.547	RSL24D1	2361.1245
RSPH1	127.3107	removed	removed
RSPH3	114.1296	RSPH3	119.4088
RSPH4A	18.6465	RSPH4A	5.7965
RSPO1	76.1935	RSPO1	86.9481
RSPO3	90.3392	RSPO3	1317.7471
RSPO4	5.4654	removed	removed
RSPRY1	515.0297	RSPRY1	401.8935
RSRC1	302.5237	RSRC1	320.742
RSRC2	2215.3995	RSRC2	1037.9673
RSU1	2009.6448	RSU1	3191.9621
RTBDN	12.2167	removed	removed
RTCD1	781.5464	RTCD1	766.6892
RTEL1	331.9081	RTEL1	106.8496
RTF1	2408.616	RTF1	1376.0989
RTKN2	187.7512	RTKN2	29.3691
RTKN	509.5644	RTKN	84.2431
RTN1	105.4493	RTN1	902.7147
RTN2	284.8417	RTN2	94.6768
RTN3	3598.7783	RTN3	13825.9105
RTN4IP1	106.4138	RTN4IP1	118.2494
RTN4RL1	202.5398	RTN4RL1	174.6691
RTN4RL2	46.6163	RTN4RL2	14.2981
RTN4R	31.8277	RTN4R	15.4574
RTN4	10727.2143	RTN4	24823.1089
RTP4	232.76	RTP4	61.0569
RTTN	296.4154	RTTN	211.767
RUFY1	1651.1815	RUFY1	1345.184
RUFY2	499.5981	RUFY2	406.1443
RUFY3	874.779	RUFY3	843.2036
RUFY4	14.1456	removed	removed
RUNDC1	1991.3197	RUNDC1	632.2094
RUNDC2A	49.5097	RUNDC2A	159.9845
RUNDC2C	40.5915	RUNDC2C	43.9223
RUNDC3A	5.4654	removed	removed
RUNDC3B	25.7193	RUNDC3B	124.046
RUNX1T1	123.7743	RUNX1T1	222.5872
RUNX1	7657.2898	RUNX1	840.8849
RUNX2	1184.054	RUNX2	62.2162
RUNX3	144.3498	RUNX3	59.5112
RUSC1	908.5356	RUSC1	289.0542
RUSC2	957.7238	RUSC2	865.2304
RUVBL1	1098.2125	RUVBL1	339.5498
RUVBL2	1483.6843	RUVBL2	391.4598
RWDD1	761.6139	RWDD1	1735.4845
RWDD2A	117.3445	RWDD2A	168.8726
RWDD2B	574.1842	RWDD2B	649.9855
RWDD3	399.9357	RWDD3	280.7922
RWDD4A	841.0223	RWDD4A	665.443
RXRA	1103.6811	RXRA	3556.3714
RXRB	731.3937	RXRB	754.7097
removed	removed	RXRG	54.8739
RYBP	2153.0301	RYBP	1398.5122
RYK	1373.7341	RYK	2524.2006
RYR1	39.222	RYR1	55.6468
RYR2	34.0781	RYR2	16.6168
RYR3	24.7549	RYR3	21.254
S100A10	4989.5515	S100A10	8298.7151
S100A11	8365.2146	S100A11	5028.6929
S100A13	1231.6348	S100A13	2073.6161
S100A14	2021.5399	S100A14	52.5553
S100A16	4499.2766	S100A16	1613.3707
S100A1	90.0177	S100A1	3086.0786
S100A2	180.3569	S100A2	17.0032
S100A3	9.0018	removed	removed
S100A4	1847.2914	S100A4	2642.8364
S100A6	6984.7291	S100A6	10785.4314
S100A8	21.5399	S100A8	75.7415
S100A9	71.6927	S100A9	93.1311
S100B	13.8241	S100B	2188.774
S100PBP	877.6724	S100PBP	543.7156
S100P	39.865	removed	removed
S1PR1	258.4793	S1PR1	4862.9118
S1PR2	187.1082	S1PR2	147.2322
S1PR3	626.9089	S1PR3	189.3537
S1PR4	7.7158	S1PR4	10.8202
S1PR5	21.5399	S1PR5	7.7287
SAA1	29.8987	SAA1	22204.2315
SAA2	25.7193	SAA2	6012.5592
removed	removed	SAA4	51.7824
SAAL1	236.6179	SAAL1	115.5444
SAC3D1	89.6962	SAC3D1	55.6468
SACM1L	1329.0468	SACM1L	2037.6775
SACS	557.7881	SACS	689.7884
SAE1	2505.385	SAE1	1971.5969
SAFB2	905.9637	SAFB2	436.6728
SAFB	1333.8692	SAFB	732.2964
SALL1	100.3054	SALL1	6.5694
SALL2	612.1202	SALL2	180.8521
SALL4	85.8383	removed	removed
SAMD10	113.1651	SAMD10	27.8234
SAMD11	27.7158	removed	removed
SAMD12	874.779	SAMD12	122.1138
SAMD13	107.3782	SAMD13	30.5285
SAMD14	11.2522	removed	removed
SAMD1	141.4564	SAMD1	108.975
SAMD3	18.968	SAMD3	14.6846
SAMD4A	394.7918	SAMD4A	2213.8924
SAMD4B	2149.4937	SAMD4B	1044.1503
SAMD5	50.4742	SAMD5	100.0869
