gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
ALG1	653.6859	ALG1	352.9978
ALG2	1067.031	ALG2	749.2996
ALG3	697.637	ALG3	507.777
ALG5	730.1077	ALG5	704.473
ALG6	446.552	ALG6	310.3082
ALG8	1415.8495	ALG8	1121.824
ALG9	560.3601	ALG9	1071.5873
ALKBH1	523.3885	ALKBH1	199.401
ALKBH2	267.1596	ALKBH2	84.6295
ALKBH3	315.7049	ALKBH3	361.7042
ALKBH4	197.965	ALKBH4	100.7709
ALKBH5	1768.153	ALKBH5	2352.99
ALKBH6	136.9555	ALKBH6	35.5521
ALKBH7	289.9855	ALKBH7	199.7875
ALKBH8	403.4721	ALKBH8	272.051
removed	removed	ALK	6.5694
ALMS1P	6.7513	removed	removed
ALMS1	767.7222	ALMS1	1127.6205
ALOX15B	829.7701	ALOX15B	27.0505
ALOX5AP	588.9728	ALOX5AP	482.6587
ALOX5	452.9818	ALOX5	176.2149
ALOXE3	12.8597	removed	removed
ALPK1	586.7224	ALPK1	427.3983
ALPK2	67.5133	ALPK2	23.5726
ALPK3	140.4919	ALPK3	1675.2005
ALPL	63.9769	ALPL	901.169
ALS2CL	104.1633	ALS2CL	175.8284
removed	removed	ALS2CR11	39.4165
removed	removed	ALS2CR12	17.3896
ALS2CR4	515.0297	ALS2CR4	819.631
ALS2CR8	261.0513	ALS2CR8	211.3805
ALS2	700.209	ALS2	752.0046
ALX3	9.0018	ALX3	5.4101
AMACR	798.5854	AMACR	363.2499
AMBRA1	756.1485	AMBRA1	548.7393
AMD1	988.9085	AMD1	1279.8763
AMDHD1	35.0426	AMDHD1	7.3423
AMDHD2	123.4078	AMDHD2	57.3703
AMFR	2788.6192	AMFR	3371.2685
AMICA1	76.8365	AMICA1	138.7306
AMIGO1	70.0852	AMIGO1	214.0856
AMIGO2	1066.388	AMIGO2	1148.8745
AMIGO3	57.8685	AMIGO3	20.0947
AMMECR1L	855.4895	AMMECR1L	939.4261
AMMECR1	354.6054	AMMECR1	137.5712
AMN1	236.6179	AMN1	177.7606
AMOTL1	1084.3916	AMOTL1	3109.2648
AMOTL2	1826.3945	AMOTL2	4985.412
AMOT	485.774	AMOT	1342.479
AMPD1	12.2167	removed	removed
AMPD2	567.7544	AMPD2	273.2103
AMPD3	230.1881	AMPD3	427.3983
AMPH	197.0744	AMPH	32.8471
AMT	41.257	AMT	96.8447
AMY2B	218.3604	AMY2B	247.1684
AMZ1	18.0035	removed	removed
AMZ2P1	334.6729	AMZ2P1	351.2704
AMZ2	2514.3868	AMZ2	2527.292
ANAPC10	147.8862	ANAPC10	159.5981
ANAPC11	1174.4093	ANAPC11	465.2691
ANAPC13	1244.8417	ANAPC13	2002.6548
ANAPC16	2590.2588	ANAPC16	3423.4373
ANAPC1	667.7383	ANAPC1	970.7275
ANAPC2	554.8947	ANAPC2	269.7324
ANAPC4	646.8413	ANAPC4	655.7821
ANAPC5	2839.7364	ANAPC5	2288.861
ANAPC7	1292.7182	ANAPC7	733.0693
ANGEL1	823.6618	ANGEL1	503.5262
ANGEL2	923.9672	ANGEL2	785.6246
ANGPT1	59.7975	ANGPT1	3761.5689
ANGPT2	324.3851	ANGPT2	257.3664
removed	removed	ANGPT4	134.8662
ANGPTL1	130.2041	ANGPTL1	1844.8459
ANGPTL2	3492.6861	ANGPTL2	12300.6473
ANGPTL4	18.6465	ANGPTL4	3197.7587
removed	removed	ANGPTL5	73.8093
ANGPTL6	5.5329	removed	removed
removed	removed	ANGPTL7	14.6846
ANG	203.0156	ANG	756.5143
ANK1	5.1439	ANK1	32.4606
ANK2	277.4474	ANK2	1752.1012
ANK3	2804.3723	ANK3	314.9454
ANKAR	38.579	ANKAR	78.0601
ANKDD1A	64.9413	ANKDD1A	585.4507
