gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
ALG9	347.7345	ALG9	461.8929
ALKBH1	216.0169	ALKBH1	124.7148
ALKBH2	321.3909	ALKBH2	271.0867
ALKBH3	220.7587	ALKBH3	391.3207
ALKBH4	196.8967	ALKBH4	165.0866
ALKBH5	1390.411	ALKBH5	2356.0085
ALKBH6	92.7292	ALKBH6	57.1298
ALKBH7	633.2982	ALKBH7	547.7744
ALKBH8	171.7597	ALKBH8	157.9472
removed	removed	ALK	8.5881
ALMS1	1208.1138	ALMS1	657.1799
ALOX12B	10.5374	removed	removed
removed	removed	ALOX12P2	6.3478
ALOX12	13.6986	removed	removed
removed	removed	ALOX15B	73.5593
ALOX15	26.3435	ALOX15	35.4728
ALOX5AP	109.589	ALOX5AP	489.1509
ALOX5	871.4436	ALOX5	1153.052
ALOXE3	30.5585	ALOXE3	10.4551
ALPK1	386.7229	ALPK1	563.8305
ALPK2	26.8704	ALPK2	15.3093
ALPK3	169.1254	ALPK3	160.561
ALPL	255.0053	ALPL	978.3019
ALS2CL	70.0738	ALS2CL	311.4136
ALS2CR4	569.5469	ALS2CR4	1249.0152
ALS2CR8	101.1591	ALS2CR8	74.6795
ALS2	390.9378	ALS2	582.5003
ALX3	8.4299	ALX3	36.593
removed	removed	ALX4	18.2965
AMACR	373.0242	AMACR	231.1331
AMBRA1	829.294	AMBRA1	1018.2554
AMD1	1352.4763	AMD1	2424.8444
removed	removed	AMDHD1	8.9615
AMDHD2	154.0042	AMDHD2	229.5873
AMFR	2856.6913	AMFR	3720.9077
AMICA1	83.7724	AMICA1	87.7484
AMIGO1	81.138	AMIGO1	162.0546
AMIGO2	111.6965	AMIGO2	3224.2888
AMIGO3	63.2244	AMIGO3	56.383
AMMECR1L	726.5543	AMMECR1L	787.8691
AMMECR1	628.5564	AMMECR1	183.3382
AMN1	224.9737	AMN1	193.7934
AMOTL1	808.746	AMOTL1	2142.9292
AMOTL2	1653.8462	AMOTL2	2386.011
AMOT	562.6976	AMOT	1154.919
AMPD1	15.2792	AMPD1	14.5625
AMPD2	599.0516	AMPD2	705.7216
AMPD3	76.3962	AMPD3	171.7629
AMPH	21.6017	AMPH	89.9888
AMT	35.3003	AMT	156.827
AMY1A	6.8493	AMY1A	19.0433
AMY2B	67.2708	AMY2B	107.0942
removed	removed	AMZ1	9.3349
AMZ2P1	138.04	AMZ2P1	159.8142
AMZ2	1156.4805	AMZ2	965.6063
ANAPC10	90.6217	ANAPC10	162.0546
ANAPC11	660.1686	ANAPC11	687.7985
ANAPC13	1381.3383	ANAPC13	1163.6154
ANAPC16	2006.8493	ANAPC16	2192.2176
ANAPC1	742.8872	ANAPC1	632.1622
ANAPC2	528.9779	ANAPC2	639.6302
ANAPC4	285.0369	ANAPC4	513.7952
ANAPC5	2089.0411	ANAPC5	2366.221
ANAPC7	1361.4331	ANAPC7	946.5631
ANGEL1	412.0126	ANGEL1	567.9378
ANGEL2	1016.8599	ANGEL2	435.0083
