gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
SERGEF	306.2802	SERGEF	319.9691
SERHL2	157.7262	SERHL2	3018.5079
SERHL	113.3655	SERHL	902.6204
SERINC1	8464.7343	SERINC1	5938.5715
SERINC2	3047.0209	SERINC2	3320.134
SERINC3	3148.4702	SERINC3	2539.9123
removed	removed	SERINC4	9.6913
SERINC5	279.2271	SERINC5	304.5995
SERP1	4537.3655	SERP1	4308.3692
SERP2	91.7874	SERP2	66.2294
SERPINA11	104.3478	SERPINA11	261.5643
removed	removed	SERPINA12	5.8684
SERPINA1	1897.9066	SERPINA1	13546.5716
SERPINA3	29366.5056	SERPINA3	45176.5699
removed	removed	SERPINA4	12.0163
SERPINA5	1417.0692	SERPINA5	1841.5692
SERPINA6	9.9839	SERPINA6	1102.9854
removed	removed	SERPINB13	6.4273
SERPINB1	1312.7214	SERPINB1	888.6479
removed	removed	SERPINB4	5.8684
SERPINB5	160.3865	SERPINB5	1178.716
SERPINB6	2110.467	SERPINB6	1786.7972
SERPINB8	252.1739	SERPINB8	300.6872
SERPINB9	589.0499	SERPINB9	575.1061
SERPINE1	315.942	SERPINE1	300.9666
SERPINE2	927.2142	SERPINE2	1710.5076
SERPINF1	5744.9275	SERPINF1	3217.2968
SERPINF2	84.058	SERPINF2	244.7974
SERPING1	13632.8502	SERPING1	7653.5503
SERPINH1	3628.9855	SERPINH1	5094.356
SERPINI1	179.3881	SERPINI1	214.8963
SERTAD1	346.8599	SERTAD1	352.6647
SERTAD2	1059.9034	SERTAD2	1057.9941
SERTAD3	591.6264	SERTAD3	550.5146
SERTAD4	355.8776	SERTAD4	244.2385
SESN1	1689.533	SESN1	936.7132
SESN2	830.9179	SESN2	437.0583
SESN3	355.8776	SESN3	377.5357
SESTD1	1416.1031	SESTD1	1265.9041
SETBP1	1537.8422	SETBP1	741.9372
SETD1A	763.6071	SETD1A	840.5827
SETD1B	956.8438	SETD1B	964.9375
SETD2	2807.7295	SETD2	2449.6503
SETD3	1499.839	SETD3	1375.7276
SETD4	255.0725	SETD4	256.5342
SETD5	3200.3221	SETD5	2969.7049
SETD6	196.5411	SETD6	372.3239
SETD7	4151.0467	SETD7	3343.8872
SETD8	672.1417	SETD8	750.8796
SETDB1	1225.7649	SETDB1	1125.6207
SETDB2	503.7037	SETDB2	435.1022
SETMAR	610.628	SETMAR	645.2478
SETX	3036.715	SETX	2892.8564
SET	7450.5636	SET	7248.6286
SEZ6L2	1180.6763	SEZ6L2	947.6117
SEZ6L	19.9678	SEZ6L	13.1341
SF1	4432.2061	SF1	5014.713
SF3A1	3419.9614	SF3A1	3524.9422
SF3A2	810.9501	SF3A2	965.7759
SF3A3	2057.971	SF3A3	2147.2864
SF3B14	1120.7729	SF3B14	1073.6432
SF3B1	7285.9903	SF3B1	7630.0765
SF3B2	4057.649	SF3B2	4360.2433
SF3B3	3706.6023	SF3B3	4636.0595
SF3B4	1530.7568	SF3B4	1429.1024
SF3B5	1238.3253	SF3B5	1289.6573
SF4	394.525	SF4	471.1511
SFI1	263.4461	SFI1	345.399
SFMBT1	347.8261	SFMBT1	367.196
SFMBT2	278.905	SFMBT2	278.0518
SFN	291.7874	SFN	1059.8412
SFPQ	4241.9936	SFPQ	4971.2279
SFRP1	5008.3736	SFRP1	24321.0087
SFRP2	33523.3494	SFRP2	7739.6206
SFRP4	11914.9758	SFRP4	2580.9913
SFRP5	50.8857	removed	removed
SFRS11	3064.7343	SFRS11	2983.1185
SFRS12IP1	798.7118	SFRS12IP1	623.7303
SFRS12	1684.7021	SFRS12	1601.5224
SFRS13A	1737.1981	SFRS13A	1825.0817
SFRS13B	14.4928	SFRS13B	45.8296
SFRS14	1360.7214	SFRS14	1438.0503
SFRS15	877.6167	SFRS15	975.5566
SFRS16	229.6296	SFRS16	319.6897
SFRS17A	403.8647	SFRS17A	668.1627
SFRS18	1865.3784	SFRS18	2088.8816
SFRS1	4243.8003	SFRS1	4934.7906
SFRS2B	1589.372	SFRS2B	1769.4713
SFRS2IP	3470.5314	SFRS2IP	3221.4885
SFRS2	2903.2432	SFRS2	3288.9168
SFRS3	4715.942	SFRS3	5335.7999
SFRS4	1384.219	SFRS4	1522.7178
SFRS5	3648.9533	SFRS5	3944.9821
SFRS6	3418.6795	SFRS6	4007.2992
SFRS7	1686.6345	SFRS7	2410.248
SFRS8	751.3688	SFRS8	777.1478
SFRS9	1709.8229	SFRS9	1942.4503
SFT2D1	428.6634	SFT2D1	447.9568
SFT2D2	64.409	SFT2D2	92.2182
SFT2D3	304.9919	SFT2D3	352.1058
removed	removed	SFTA1P	5.0301
removed	removed	SFTPA2	29.3421
removed	removed	SFTPD	8.3835
SFXN1	686.9565	SFXN1	442.3678
SFXN2	1048.3092	SFXN2	473.3867
SFXN3	1300.161	SFXN3	1158.5957
SFXN4	365.2174	SFXN4	370.5494
SFXN5	221.5781	SFXN5	313.5418
SGCA	31.8841	SGCA	6.4273
SGCB	1082.4477	SGCB	1258.6385
SGCD	1225.7649	SGCD	493.7865
SGCE	836.3929	SGCE	1210.0143
SGCG	17.3913	removed	removed
SGEF	328.1804	SGEF	311.3062
SGIP1	186.4734	SGIP1	42.1968
SGK196	44.4444	SGK196	45.8296
SGK1	824.4767	SGK1	1509.5837
SGK223	2254.7504	SGK223	1034.5203
SGK269	2773.913	SGK269	1541.4409
SGK2	49.9195	SGK2	16.4875
SGK3	2670.4026	SGK3	1010.7728
SGK494	32.7633	SGK494	47.1794
SGMS1	771.0145	SGMS1	727.6853
SGMS2	454.1063	SGMS2	376.4179
SGOL1	38.9694	SGOL1	24.871
SGOL2	177.4557	SGOL2	143.0779
SGPL1	1700.8052	SGPL1	2033.2712
SGPP1	527.2142	SGPP1	615.9057
SGPP2	20.2899	SGPP2	60.6404
SGSH	923.0274	SGSH	924.4174
SGSM1	90.1771	SGSM1	95.0127
SGSM2	938.8084	SGSM2	1736.7758
SGSM3	492.7536	SGSM3	847.01
SGTA	1065.0564	SGTA	1396.1274
SGTB	241.5878	SGTB	194.9157
SH2B1	721.095	SH2B1	861.2619
SH2B2	31.8841	SH2B2	43.0352
SH2B3	1323.3494	SH2B3	1237.1209
SH2D1A	140.4187	SH2D1A	57.2871
SH2D1B	9.0177	removed	removed
SH2D2A	53.1401	SH2D2A	51.9775
SH2D3A	221.256	SH2D3A	179.1268
SH2D3C	609.0177	SH2D3C	463.0471
SH2D4A	370.0483	SH2D4A	247.0329
SH3BGRL2	810.9501	SH3BGRL2	1052.4051
SH3BGRL3	2750.0805	SH3BGRL3	2484.0225
SH3BGRL	15741.3849	SH3BGRL	4328.3778
SH3BGR	110.789	SH3BGR	186.9514
SH3BP1	262.7601	SH3BP1	439.2939
SH3BP2	1236.3929	SH3BP2	1577.7693
SH3BP4	2795.1691	SH3BP4	2320.2654
SH3BP5L	783.5749	SH3BP5L	723.4936
SH3BP5	1938.8374	SH3BP5	1963.3978
SH3D19	3579.7101	SH3D19	2078.2625
removed	removed	SH3D20	6.1479
SH3GL1	1072.1417	SH3GL1	1349.4594
removed	removed	SH3GL3	17.6053
SH3GLB1	3386.1514	SH3GLB1	2993.7375
SH3GLB2	1009.3398	SH3GLB2	1045.6983
SH3KBP1	1320.7729	SH3KBP1	1256.6823
SH3PXD2A	3675.3623	SH3PXD2A	3877.076
SH3PXD2B	3347.182	SH3PXD2B	4844.2491
SH3RF1	912.0773	SH3RF1	835.2732
SH3RF2	263.7681	SH3RF2	296.7749
SH3RF3	251.5298	SH3RF3	168.7872
SH3TC1	181.3205	SH3TC1	288.112
SH3TC2	76.0064	SH3TC2	100.8811
SH3YL1	841.2238	SH3YL1	1685.6366
SHANK1	14.8148	SHANK1	40.2407
SHANK2	900.8052	SHANK2	901.782
SHANK3	738.1643	SHANK3	688.5624
SHARPIN	657.971	SHARPIN	596.9031
SHB	279.8712	SHB	536.8216
SHC1	3136.5539	SHC1	3612.7172
SHC2	272.1417	SHC2	285.8764
SHC3	11.5942	SHC3	12.0163
SHC4	27.3752	SHC4	262.9615
SHCBP1	109.5008	SHCBP1	117.0891
SHE	761.9968	SHE	567.2815
SHFM1	1148.4702	SHFM1	1255.844
SHF	122.7053	SHF	156.4915
SHISA2	2508.8567	SHISA2	230.8249
SHISA3	22.5443	SHISA3	5.0301
SHISA4	224.1546	SHISA4	197.8499
SHISA5	4256.0386	SHISA5	3248.3156
SHISA6	8.0515	SHISA6	19.282
SHISA9	168.7601	SHISA9	154.8148
SHKBP1	829.3076	SHKBP1	714.5512
SHMT1	969.4815	SHMT1	706.8552
SHMT2	1311.7552	SHMT2	1737.8936
SHOC2	1371.3366	SHOC2	1172.0093
SHOX2	193.5588	SHOX2	103.3961
SHPK	386.9855	SHPK	436.4491
SHPRH	499.1014	SHPRH	521.7034
SHQ1	588.7279	SHQ1	505.5233
SHROOM1	108.5346	SHROOM1	276.6545
SHROOM2	397.4235	SHROOM2	285.3175
SHROOM3	2391.3043	SHROOM3	4055.6439
SHROOM4	731.401	SHROOM4	451.5896
SIAE	1102.9726	SIAE	1220.9128
SIAH1	568.6055	SIAH1	587.2398
SIAH2	1460.2254	SIAH2	909.0477
SIAH3	6.4412	removed	removed
SIDT1	689.533	SIDT1	634.3493
SIDT2	1685.0531	SIDT2	1778.8161
SIGIRR	503.7037	SIGIRR	379.4918
SIGLEC10	158.7762	SIGLEC10	279.449
SIGLEC11	7.7295	SIGLEC11	12.5752
SIGLEC12	5.7971	SIGLEC12	14.2519
SIGLEC14	67.3108	SIGLEC14	78.5252
SIGLEC15	9.6618	SIGLEC15	19.8409
SIGLEC16	5.153	SIGLEC16	5.0301
SIGLEC1	466.3446	SIGLEC1	516.7013
SIGLEC5	51.8519	SIGLEC5	66.7883
SIGLEC6	44.4444	SIGLEC6	7.2657
SIGLEC7	54.4283	SIGLEC7	84.3936
SIGLEC8	76.6506	SIGLEC8	164.8749
SIGLEC9	50.5636	SIGLEC9	71.539
SIGLECP3	65.3784	SIGLECP3	40.7996
SIGMAR1	830.2738	SIGMAR1	1158.3163
SIK1	476.3285	SIK1	471.4305
SIK2	1379.3881	SIK2	930.0064
SIK3	1307.5684	SIK3	1561.2818
SIKE1	933.6554	SIKE1	862.1003
SIL1	649.2754	SIL1	864.8948
SILV	43.8003	SILV	53.9337
SIM1	16.7472	SIM1	17.6053
SIM2	34.4605	SIM2	41.3585
SIN3A	2890.1771	SIN3A	2273.8768
SIN3B	822.2222	SIN3B	1074.2021
SIP1	172.6248	SIP1	138.0478
SIPA1L1	1327.2142	SIPA1L1	1256.6823
SIPA1L2	636.715	SIPA1L2	959.9074
SIPA1L3	1880.8374	SIPA1L3	1196.3213
SIPA1	601.9324	SIPA1	681.0173
SIRPA	1693.3977	SIRPA	3326.5614
SIRPB1	99.1948	SIRPB1	207.9101
SIRPB2	93.0757	SIRPB2	92.4976
SIRPG	66.9887	SIRPG	32.6955
SIRT1	927.8583	SIRT1	683.5323
SIRT2	962.6409	SIRT2	1017.4739
SIRT3	689.2077	SIRT3	724.8461
SIRT4	24.4767	SIRT4	20.1203
SIRT5	291.4654	SIRT5	382.0068
SIRT6	179.3881	SIRT6	171.0228
SIRT7	192.5926	SIRT7	217.9702
SIT1	108.8567	SIT1	63.4349
SIVA1	621.9002	SIVA1	626.8042
SIX1	310.467	SIX1	100.6017
SIX2	10.306	SIX2	22.9148
SIX4	245.0886	SIX4	184.7158
SIX5	473.43	SIX5	541.8517
SKA1	59.2593	SKA1	47.2269
SKA2	743.6393	SKA2	519.2163
SKA3	122.3671	SKA3	83.6559
SKAP1	144.9275	SKAP1	140.2834
SKAP2	1022.8663	SKAP2	1116.9578
SKIL	740.7407	SKIL	409.9517
SKIV2L2	2015.649	SKIV2L2	1667.4696
SKIV2L	912.248	SKIV2L	940.2007
SKI	2411.5942	SKI	2391.8043
SKP1	6844.4444	SKP1	5501.2338
SKP2	159.0982	SKP2	202.3211
SLA2	77.9388	SLA2	52.8159
SLAIN1	66.9887	SLAIN1	149.7847
SLAIN2	1606.4412	SLAIN2	1417.3655
SLAMF1	99.1948	SLAMF1	59.2432
SLAMF6	220.6119	SLAMF6	100.3222
SLAMF7	952.9791	SLAMF7	838.6266
SLAMF8	386.1224	SLAMF8	527.7591
SLA	495.0081	SLA	409.6723
SLBP	778.0998	SLBP	770.441
SLC10A3	501.4493	SLC10A3	499.096
SLC10A5	8.6957	SLC10A5	6.9862
SLC10A6	5.475	SLC10A6	5.8684
SLC10A7	286.9565	SLC10A7	249.548
SLC11A1	15.781	SLC11A1	58.1254
SLC11A2	1902.0934	SLC11A2	1787.6355
removed	removed	SLC12A1	42.4763
SLC12A2	1825.7649	SLC12A2	4626.5583
SLC12A3	9.0177	SLC12A3	10.3396
SLC12A4	867.649	SLC12A4	1172.2328
SLC12A6	1000.8599	SLC12A6	684.7731
SLC12A7	1548.1481	SLC12A7	1734.2607
SLC12A8	187.1176	SLC12A8	329.7499
SLC12A9	787.7617	SLC12A9	718.184
SLC13A2	30.9179	SLC13A2	355.4592
SLC13A3	116.9082	SLC13A3	84.6731
SLC13A4	6.7633	SLC13A4	7.8246
SLC13A5	7.7295	SLC13A5	8.6629
SLC14A1	84.058	SLC14A1	63.7144
SLC14A2	21.9002	removed	removed
removed	removed	SLC15A1	50.5803
SLC15A2	267.9549	SLC15A2	287.5531
SLC15A3	353.3011	SLC15A3	557.2214
SLC15A4	635.1047	SLC15A4	635.1877
SLC16A10	13.5266	SLC16A10	20.1203
SLC16A11	8.0515	SLC16A11	26.5477
SLC16A12	40.5797	SLC16A12	102.8372
SLC16A13	41.868	SLC16A13	88.3059
SLC16A14	407.4074	SLC16A14	230.5455
SLC16A1	485.6683	SLC16A1	1293.0107
SLC16A2	800.6441	SLC16A2	881.6617
SLC16A3	172.9469	SLC16A3	293.7009
SLC16A4	230.9179	SLC16A4	411.349
SLC16A5	364.2512	SLC16A5	186.3925
SLC16A6	710.789	SLC16A6	103.6756
SLC16A7	86.9565	SLC16A7	39.1229
SLC16A8	8.0515	SLC16A8	16.4875
SLC16A9	176.1675	SLC16A9	154.5353
SLC17A5	652.818	SLC17A5	703.0938
SLC17A7	61.1916	SLC17A7	338.4128
SLC17A9	50.8857	SLC17A9	73.2156
SLC18A2	88.8889	SLC18A2	13.693
SLC19A1	312.0773	SLC19A1	255.9753
SLC19A2	434.4605	SLC19A2	689.6802
SLC19A3	461.8357	SLC19A3	36.8873
SLC1A1	200.3221	SLC1A1	588.2402
SLC1A2	67.6329	SLC1A2	95.0127
SLC1A3	373.2689	SLC1A3	313.2624
SLC1A4	2822.2222	SLC1A4	1569.9447
SLC1A5	2017.7134	SLC1A5	2117.1059
removed	removed	SLC1A6	5.3095
SLC1A7	61.9163	SLC1A7	10.9013
SLC20A1	1841.868	SLC20A1	1127.5769
SLC20A2	951.3688	SLC20A2	1150.2122
removed	removed	SLC22A11	8.104
SLC22A15	37.037	SLC22A15	50.0214
removed	removed	SLC22A16	7.8246
SLC22A17	1869.8873	SLC22A17	940.6255
SLC22A18AS	8.0515	SLC22A18AS	13.1341
SLC22A18	257.0048	SLC22A18	260.4465
SLC22A23	1057.2754	SLC22A23	958.3817
SLC22A3	173.591	SLC22A3	207.3512
SLC22A4	50.847	SLC22A4	59.2432
SLC22A5	715.62	SLC22A5	589.9169
SLC23A1	15.4589	SLC23A1	7.8246
SLC23A2	1287.9227	SLC23A2	1445.5899
SLC23A3	5.4171	SLC23A3	13.1509
SLC24A1	696.8502	SLC24A1	605.0407
SLC24A2	60.5475	removed	removed
SLC24A3	633.4944	SLC24A3	492.3892
SLC24A4	11.9163	SLC24A4	11.7369
SLC24A5	6.525	SLC24A5	5.0189
SLC24A6	926.57	SLC24A6	712.0361
SLC25A10	674.7182	SLC25A10	601.0949
SLC25A11	651.2077	SLC25A11	885.2946
SLC25A12	760.3865	SLC25A12	597.1826
SLC25A13	515.2979	SLC25A13	677.105
SLC25A14	135.2657	SLC25A14	106.1906
SLC25A15	654.8535	SLC25A15	491.1652
SLC25A16	281.4815	SLC25A16	261.5643
SLC25A17	565.5395	SLC25A17	547.7201
SLC25A18	39.2915	SLC25A18	68.7445
SLC25A19	164.5733	SLC25A19	179.6857
SLC25A1	641.2238	SLC25A1	766.2493
SLC25A20	550.4026	SLC25A20	530.6737
SLC25A21	14.4283	SLC25A21	13.1481
SLC25A22	323.9936	SLC25A22	413.864
SLC25A23	1801.9324	SLC25A23	1163.6258
SLC25A24	1320.7729	SLC25A24	1229.8552
SLC25A25	349.7585	SLC25A25	506.3617
SLC25A26	382.8792	SLC25A26	397.7454
SLC25A27	112.3994	SLC25A27	211.8224
SLC25A28	464.0902	SLC25A28	449.3541
SLC25A29	424.1546	SLC25A29	624.848
SLC25A30	601.9324	SLC25A30	554.9858
SLC25A32	489.3011	SLC25A32	434.8758
SLC25A33	113.3655	SLC25A33	151.4614
SLC25A34	18.6795	SLC25A34	24.5915
SLC25A35	219.5588	SLC25A35	136.3711
SLC25A36	1993.5588	SLC25A36	1599.0074
SLC25A37	383.5749	SLC25A37	648.6012
SLC25A38	751.6908	SLC25A38	703.9321
SLC25A39	1984.219	SLC25A39	1914.7848
SLC25A3	6377.4557	SLC25A3	7730.3987
SLC25A40	223.0982	SLC25A40	163.7571
SLC25A42	239.2915	SLC25A42	230.5455
SLC25A43	468.277	SLC25A43	438.4555
SLC25A44	919.4847	SLC25A44	905.1354
SLC25A45	200.3221	SLC25A45	164.0366
SLC25A46	714.9758	SLC25A46	581.5334
SLC25A4	411.9163	SLC25A4	535.4244
SLC25A5	5590.6602	SLC25A5	5443.6673
SLC25A6	6952.0129	SLC25A6	11292.2562
SLC26A10	8.7375	SLC26A10	23.3228
SLC26A11	339.1304	SLC26A11	317.1747
SLC26A1	40.3446	SLC26A1	39.6957
SLC26A2	779.066	SLC26A2	1231.5319
SLC26A3	1327.8583	SLC26A3	403.5244
SLC26A4	29.3076	SLC26A4	54.772
removed	removed	SLC26A5	36.6078
SLC26A6	117.2625	SLC26A6	229.1482
SLC26A7	19.3237	SLC26A7	12.2958
SLC27A1	790.6602	SLC27A1	1190.7324
SLC27A2	282.7697	SLC27A2	337.5744
SLC27A3	338.4863	SLC27A3	660.3381
SLC27A4	530.4348	SLC27A4	721.8169
SLC27A5	118.277	SLC27A5	123.4606
SLC27A6	54.7504	SLC27A6	314.3802
removed	removed	SLC28A1	5.3095
SLC28A3	44.1224	SLC28A3	128.5466
SLC29A1	2537.8422	SLC29A1	2408.0124
SLC29A2	325.3881	SLC29A2	262.1959
SLC29A3	482.1256	SLC29A3	430.0721
SLC29A4	155.5556	SLC29A4	90.262
SLC2A10	1276.3285	SLC2A10	1029.4903
SLC2A11	136.876	SLC2A11	165.9927
SLC2A12	98.8728	SLC2A12	157.3298
SLC2A13	291.7874	SLC2A13	155.6531
SLC2A14	16.4251	SLC2A14	17.0464
SLC2A1	1484.7021	SLC2A1	1056.5968
SLC2A3	614.1707	SLC2A3	489.0358
SLC2A4RG	1039.6135	SLC2A4RG	836.6704
SLC2A4	137.5201	SLC2A4	51.9775
SLC2A5	63.7681	SLC2A5	86.6292
SLC2A6	41.2238	SLC2A6	53.3748
SLC2A8	352.3349	SLC2A8	314.9391
SLC2A9	53.7842	SLC2A9	193.6582
SLC30A1	417.3913	SLC30A1	353.2236
removed	removed	SLC30A2	6.9862
SLC30A4	182.6087	SLC30A4	114.2947
SLC30A5	1384.8631	SLC30A5	1287.7012
SLC30A6	368.1159	SLC30A6	370.8289
SLC30A7	1210.306	SLC30A7	948.7295
SLC30A9	2037.6812	SLC30A9	1747.6743
SLC31A1	1151.0467	SLC31A1	1573.2981
SLC31A2	431.2399	SLC31A2	501.0521
SLC33A1	777.4557	SLC33A1	672.9133
SLC34A2	554.9114	SLC34A2	3160.2892
SLC35A1	884.8019	SLC35A1	685.0553
SLC35A2	691.4654	SLC35A2	660.6175
SLC35A3	738.4863	SLC35A3	347.9141
SLC35A4	2356.8438	SLC35A4	2363.58
SLC35A5	825.7649	SLC35A5	726.2881
SLC35B1	823.8325	SLC35B1	707.2855
SLC35B2	1320.7729	SLC35B2	1700.4474
SLC35B3	583.2528	SLC35B3	536.8216
SLC35B4	561.0306	SLC35B4	636.3055
SLC35C1	502.4155	SLC35C1	685.209
SLC35C2	1015.4589	SLC35C2	965.7759
SLC35D1	748.1481	SLC35D1	635.1877
SLC35D2	352.0129	SLC35D2	394.3026
SLC35E1	2560.3865	SLC35E1	2316.6325
SLC35E2	4576.5056	SLC35E2	3816.2231
SLC35E2	38.3092	SLC35E2	22.8478
SLC35E3	257.971	SLC35E3	224.677
SLC35E4	31.8905	SLC35E4	59.1035
SLC35F1	13.2045	removed	removed
SLC35F2	387.4396	SLC35F2	421.4091
SLC35F3	26.409	SLC35F3	134.9739
SLC35F5	916.5862	SLC35F5	822.4185
SLC36A1	496.9404	SLC36A1	477.5784
SLC36A4	109.1787	SLC36A4	111.2207
SLC37A1	337.5201	SLC37A1	503.8466
SLC37A2	324.6377	SLC37A2	542.4106
SLC37A3	878.2609	SLC37A3	847.5689
SLC37A4	504.0258	SLC37A4	592.7114
SLC38A10	1590.9823	SLC38A10	1702.9624
SLC38A11	15.4589	removed	removed
SLC38A1	11497.5845	SLC38A1	7162.5583
SLC38A2	5467.3108	SLC38A2	4671.5496
SLC38A3	30.5958	SLC38A3	86.6292
SLC38A4	75.3623	SLC38A4	66.2294
SLC38A5	142.6731	SLC38A5	163.4777
SLC38A6	131.0789	SLC38A6	174.0968
SLC38A7	190.9823	SLC38A7	283.3613
SLC38A9	293.0757	SLC38A9	204.5567
SLC39A10	879.8712	SLC39A10	943.1405
SLC39A11	1712.3994	SLC39A11	995.3975
SLC39A13	671.8196	SLC39A13	695.5487
SLC39A14	1222.8663	SLC39A14	1462.3568
SLC39A1	2618.6795	SLC39A1	2657.2809
SLC39A2	8.0515	SLC39A2	15.9286
SLC39A3	244.4444	SLC39A3	385.0808
SLC39A4	256.3607	SLC39A4	164.0366
SLC39A6	4709.1787	SLC39A6	9979.4046
SLC39A7	2758.4541	SLC39A7	3291.6302
SLC39A8	777.4557	SLC39A8	1150.4917
SLC39A9	3151.0467	SLC39A9	2792.5342
SLC3A2	2685.9903	SLC3A2	2405.4973
SLC40A1	12951.3688	SLC40A1	7991.6836
SLC41A1	632.5282	SLC41A1	822.698
SLC41A2	463.4461	SLC41A2	364.4015
SLC41A3	1170.6924	SLC41A3	1206.102
SLC43A1	379.066	SLC43A1	366.0782
SLC43A2	630.5958	SLC43A2	906.8121
SLC43A3	1267.2303	SLC43A3	1565.549
SLC44A1	4513.3655	SLC44A1	2487.6553
SLC44A2	5224.1546	SLC44A2	5581.9945
SLC44A3	291.4654	SLC44A3	289.2298
SLC44A4	1574.8792	SLC44A4	1374.0509
SLC44A5	473.1079	SLC44A5	154.8148
SLC45A1	59.2593	SLC45A1	55.0515
SLC45A3	126.8921	SLC45A3	171.0228
SLC45A4	300.4831	SLC45A4	399.8916
SLC46A1	699.256	SLC46A1	1052.2374
SLC46A2	8.0515	SLC46A2	22.9148
SLC46A3	673.1079	SLC46A3	494.3453
SLC47A1	142.351	SLC47A1	237.8111
SLC48A1	749.7585	SLC48A1	713.1539
SLC4A10	6.4412	SLC4A10	9.7807
SLC4A11	93.3977	SLC4A11	294.2598
SLC4A1AP	538.3317	SLC4A1AP	604.1688
SLC4A2	1592.7729	SLC4A2	1313.852
SLC4A3	110.789	SLC4A3	324.4403
SLC4A4	45.7327	SLC4A4	41.9174
SLC4A5	200.8663	SLC4A5	145.1374
SLC4A7	1116.5862	SLC4A7	1506.2303
SLC4A8	1382.9308	SLC4A8	285.038
removed	removed	SLC5A11	26.8271
SLC5A1	106.9243	SLC5A1	385.6397
SLC5A3	1259.5781	SLC5A3	805.9506
SLC5A4	17.0692	SLC5A4	13.1341
removed	removed	SLC5A5	6.9862
SLC5A6	1129.5362	SLC5A6	2875.3965
SLC5A9	12.5604	SLC5A9	20.6792
removed	removed	SLC6A11	64.2733
SLC6A12	19.6457	SLC6A12	17.6053
SLC6A14	111.4332	SLC6A14	767.6465
SLC6A15	6.1192	SLC6A15	8.104
SLC6A16	21.5781	SLC6A16	25.4299
SLC6A17	11.9163	SLC6A17	22.6354
SLC6A1	25.4428	SLC6A1	9.5013
SLC6A20	46.3768	SLC6A20	12.8547
SLC6A2	6.4412	SLC6A2	31.8572
SLC6A4	81.8035	removed	removed
SLC6A6	1847.6651	SLC6A6	851.7607
removed	removed	SLC6A7	12.2958
SLC6A8	383.8969	SLC6A8	779.1039
SLC6A9	237.0821	SLC6A9	238.4175
SLC7A10	36.6216	removed	removed
SLC7A11	157.4847	SLC7A11	67.9061
removed	removed	SLC7A14	6.7068
SLC7A1	1694.0419	SLC7A1	1488.0661
SLC7A2	1750.0805	SLC7A2	7925.1747
SLC7A3	29.6296	SLC7A3	109.544
SLC7A4	6.4412	SLC7A4	42.1968
SLC7A5	335.5878	SLC7A5	872.7193
SLC7A6OS	142.5668	SLC7A6OS	179.9344
SLC7A6	986.2576	SLC7A6	768.5156
SLC7A7	455.7166	SLC7A7	609.1989
SLC7A8	3492.4316	SLC7A8	1943.0092
SLC8A1	325.6039	SLC8A1	399.8916
SLC8A2	6.4412	removed	removed
SLC8A3	20.6119	SLC8A3	5.589
SLC9A1	1366.1836	SLC9A1	1987.721
SLC9A2	12.2383	SLC9A2	110.6618
SLC9A3R1	4389.372	SLC9A3R1	3035.9344
SLC9A3R2	881.4815	SLC9A3R2	1182.3489
SLC9A5	12.5604	SLC9A5	24.0326
SLC9A6	349.4364	SLC9A6	436.2199
SLC9A7	142.029	SLC9A7	212.6607
SLC9A8	551.6908	SLC9A8	587.1224
SLC9A9	349.4364	SLC9A9	224.3976
SLCO1A2	16.1031	SLCO1A2	140.5629
SLCO1C1	13.8486	SLCO1C1	5.3095
SLCO2A1	835.4267	SLCO2A1	658.9408
SLCO2B1	2072.4638	SLCO2B1	1871.4702
SLCO3A1	536.5539	SLCO3A1	573.9883
SLCO4A1	17.3591	SLCO4A1	24.9352
SLCO4C1	10.9501	SLCO4C1	17.0464
SLCO5A1	20.2899	SLCO5A1	5.0301
SLFN11	1481.8035	SLFN11	1291.6135
SLFN12L	39.6135	SLFN12L	28.7833
SLFN12	399.0338	SLFN12	197.0116
SLFN13	809.3398	SLFN13	555.2652
SLFN5	1465.3784	SLFN5	1066.9364
removed	removed	SLFNL1	7.5451
SLIT1	8.0515	SLIT1	19.5614
SLIT2	944.9275	SLIT2	1342.1937
SLIT3	2124.9597	SLIT3	2072.6735
SLITRK2	5.7971	SLITRK2	10.6191
SLITRK3	21.5781	SLITRK3	12.8547
SLITRK4	86.3124	SLITRK4	35.7695
SLITRK5	19.3237	SLITRK5	44.1529
SLITRK6	299.1948	SLITRK6	565.6049
SLK	2622.2222	SLK	2276.1124
SLMAP	1272.1417	SLMAP	1343.8704
SLMO1	17.7134	SLMO1	34.0928
SLMO2	1225.4428	SLMO2	1244.1071
SLPI	493.3977	SLPI	1223.1484
SLTM	2094.3639	SLTM	2139.7413
SLU7	1379.3881	SLU7	1158.3163
removed	removed	SLURP1	6.1479
SMAD1	1370.0483	SMAD1	1256.6823
SMAD2	2094.686	SMAD2	2138.0646
SMAD3	1623.5105	SMAD3	1819.4927
SMAD4	1766.2963	SMAD4	2125.5481
SMAD5	2260.8696	SMAD5	2067.9229
SMAD6	86.3124	SMAD6	62.3171
SMAD7	497.2625	SMAD7	517.5396
SMAD9	114.9758	SMAD9	62.5966
SMAGP	266.6667	SMAGP	273.5806
SMAP1	932.2673	SMAP1	787.9038
SMAP2	1524.3156	SMAP2	1079.7911
SMARCA1	1470.5314	SMARCA1	1612.1415
SMARCA2	4649.5974	SMARCA2	5607.9833
