gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
ANGPT2	391.9485	ANGPT2	246.1946
ANGPT4	14.8148	ANGPT4	12.0163
ANGPTL1	502.7375	ANGPTL1	428.9543
ANGPTL2	3697.9066	ANGPTL2	1391.9357
ANGPTL4	250.2415	ANGPTL4	427.8365
ANGPTL7	48.3092	ANGPTL7	15.0902
ANG	311.3043	ANG	237.2327
ANK1	37.3591	ANK1	18.4436
ANK2	1156.1997	ANK2	471.9894
ANK3	1517.5523	ANK3	1176.4805
ANKAR	34.7826	ANKAR	31.0188
ANKDD1A	125.9259	ANKDD1A	118.4864
ANKFN1	7.4074	ANKFN1	9.5013
ANKFY1	2164.5733	ANKFY1	2499.1127
ANKHD1-EIF4EBP3	1123.8229	ANKHD1-EIF4EBP3	1460.7584
ANKHD1	3065.1111	ANKHD1	2257.1015
ANKH	1407.0853	ANKH	2287.8493
ANKIB1	1973.913	ANKIB1	1475.2115
ANKK1	9.3398	ANKK1	21.5176
ANKLE1	5.7971	ANKLE1	19.0025
ANKLE2	1438.0032	ANKLE2	1434.4119
ANKMY1	198.3897	ANKMY1	193.9376
ANKMY2	542.351	ANKMY2	692.1953
ANKRA2	311.1111	ANKRA2	245.9152
ANKRD10	1604.0161	ANKRD10	1428.7503
ANKRD11	1784.3156	ANKRD11	2441.7335
ANKRD12	1436.715	ANKRD12	1196.8802
ANKRD13A	1495.0081	ANKRD13A	1224.2662
ANKRD13B	120.1288	ANKRD13B	188.0692
ANKRD13C	694.0419	ANKRD13C	549.9557
ANKRD13D	308.2126	ANKRD13D	395.9793
ANKRD16	143.5717	ANKRD16	176.8912
ANKRD17	3947.8261	ANKRD17	3827.6135
ANKRD19	56.0386	ANKRD19	53.3748
removed	removed	ANKRD1	5.8684
removed	removed	ANKRD20A3	6.1479
removed	removed	ANKRD20B	5.0301
ANKRD22	50.8857	ANKRD22	102.8372
ANKRD23	29.9517	ANKRD23	35.2106
ANKRD24	14.1707	ANKRD24	24.871
ANKRD26	253.7842	ANKRD26	265.4766
ANKRD27	750.4026	ANKRD27	774.6327
ANKRD28	2069.2432	ANKRD28	1340.2376
ANKRD29	174.2351	ANKRD29	197.0116
ANKRD30A	1364.2512	ANKRD30A	588.5197
ANKRD30B	127.5362	ANKRD30B	33.2544
ANKRD32	182.6087	ANKRD32	193.6582
ANKRD34A	19.6457	ANKRD34A	50.8597
ANKRD35	84.7021	ANKRD35	182.7597
ANKRD36BP1	159.4203	ANKRD36BP1	200.0855
ANKRD36B	43.4783	ANKRD36B	50.8597
ANKRD36	159.0982	ANKRD36	182.7597
ANKRD37	54.467	ANKRD37	76.3874
ANKRD39	82.1256	ANKRD39	82.9964
ANKRD40	1511.4332	ANKRD40	1321.2351
ANKRD42	215.4589	ANKRD42	268.5505
ANKRD43	116.9082	ANKRD43	19.5614
ANKRD44	169.7262	ANKRD44	118.4864
ANKRD45	14.1707	ANKRD45	15.0902
ANKRD46	489.9259	ANKRD46	600.5723
ANKRD49	302.4155	ANKRD49	292.8626
ANKRD50	2024.4767	ANKRD50	1272.052
ANKRD52	1414.8148	ANKRD52	1905.0041
ANKRD53	21.9002	ANKRD53	17.6053
ANKRD54	285.6683	ANKRD54	333.3827
