gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
AGL	570.6571	AGL	1314.8728
AGMAT	31.0531	AGMAT	18.3633
AGPAT1	2004.3924	AGPAT1	1320.7666
AGPAT2	1347.4347	AGPAT2	653.2099
AGPAT3	2040.054	AGPAT3	2851.5631
AGPAT4	109.811	AGPAT4	196.75
AGPAT5	467.5968	AGPAT5	1247.8321
AGPAT6	1874.4374	AGPAT6	2040.0787
AGPAT9	154.3654	AGPAT9	103.1844
AGPHD1	51.7552	AGPHD1	44.3052
AGPS	797.0297	AGPS	956.3507
AGR2	31300.18	AGR2	5647.7447
AGR3	4576.0576	AGR3	1607.5202
AGRN	5046.3546	AGRN	5321.8684
AGTPBP1	279.0279	AGTPBP1	418.5674
AGTR1	82.3582	AGTR1	133.207
removed	removed	AGTR2	5.2467
AGTRAP	562.5563	AGTRAP	1032.1358
AGT	50.405	AGT	164.3955
AGXT2L1	9.4509	AGXT2L1	16.323
AGXT2L2	313.2718	AGXT2L2	334.4254
AHCTF1	1713.3213	AHCTF1	1681.848
AHCYL1	5188.1188	AHCYL1	5269.4017
AHCYL2	670.5671	AHCYL2	865.4084
AHCY	4275.4275	AHCY	3750.2004
AHDC1	823.1323	AHDC1	1205.8588
AHI1	212.8713	AHI1	414.7781
AHNAK2	536.4536	AHNAK2	566.3485
AHNAK	35768.2268	AHNAK	66652.1898
AHRR	21.1521	AHRR	18.0719
AHR	1730.423	AHR	2466.8075
AHSA1	2138.6139	AHSA1	1657.9465
AHSA2	127.3627	AHSA2	267.58
AIDA	1544.2844	AIDA	897.5268
AIF1L	1249.775	AIF1L	1353.9314
AIF1	748.4248	AIF1	177.2207
AIFM1	874.4374	AIFM1	1631.7132
AIFM2	489.649	AIFM2	188.0055
removed	removed	AIFM3	17.999
AIG1	700.27	AIG1	900.9692
AIM1L	42.7543	removed	removed
AIM1	1391.5392	AIM1	4456.1685
AIM2	63.0063	removed	removed
AIMP1	1095.495	AIMP1	1041.0668
AIMP2	417.7948	AIMP2	318.2599
AIP	1307.8308	AIP	563.1422
AJAP1	14.4014	AJAP1	18.6548
AK1	490.5491	AK1	458.7918
AK2	2166.0666	AK2	1880.3469
AK3L1	198.0198	AK3L1	608.9048
AK3	993.2493	AK3	1380.4562
AK5	114.3114	AK5	1376.3754
AK7	7.6508	AK7	55.09
AKAP10	330.333	AKAP10	605.6985
AKAP11	936.5437	AKAP11	1851.1987
AKAP12	1453.1953	AKAP12	1285.7247
AKAP13	3477.9478	AKAP13	3136.3405
AKAP1	1656.1656	AKAP1	1983.5313
AKAP2	1427.7768	AKAP2	1194.2228
AKAP3	7.6508	AKAP3	40.8074
AKAP5	319.532	AKAP5	138.7452
AKAP6	59.4059	AKAP6	198.2074
AKAP7	145.8146	AKAP7	145.1578
AKAP8L	683.6184	AKAP8L	676.5285
AKAP8	597.6598	AKAP8	683.2325
AKAP9	3742.5743	AKAP9	3726.5904
AKD1	103.0603	AKD1	159.1489
AKIRIN1	1047.7048	AKIRIN1	1466.7347
AKIRIN2	820.8821	AKIRIN2	475.4063
AKNA	1369.0369	AKNA	487.357
AKR1A1	2701.1701	AKR1A1	6930.5545
AKR1B10	1411.3411	AKR1B10	140.4941
AKR1B15	7.2007	AKR1B15	2311.7394
AKR1B1	1078.3078	AKR1B1	1111.7103
AKR1C1	3193.9694	AKR1C1	710.4744
AKR1C2	1130.063	AKR1C2	4545.6533
AKR1C3	1259.676	AKR1C3	1801.9384
removed	removed	AKR1D1	617.6492
AKR1E2	13.5014	AKR1E2	43.2967
AKR7A2	742.1242	AKR7A2	958.0995
removed	removed	AKR7A3	344.8226
AKR7L	6.7507	AKR7L	21.2781
AKT1S1	1659.3159	AKT1S1	799.5336
AKT1	5252.0252	AKT1	3368.9427
AKT2	3151.2151	AKT2	2083.218
AKT3	592.7093	AKT3	656.1248
AKTIP	351.4356	AKTIP	557.6477
ALAD	847.8848	ALAD	1502.0039
ALAS1	749.775	ALAS1	800.4081
ALB	11.2511	ALB	529.3303
ALCAM	3130.5131	ALCAM	10480.7987
ALDH16A1	816.8317	ALDH16A1	533.7025
ALDH18A1	2478.3978	ALDH18A1	2249.0709
