gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
AMBRA1	1154.8694	AMBRA1	872.9666
AMD1	635.876	AMD1	1190.6272
AMDHD1	9.5948	AMDHD1	6.394
AMDHD2	233.9962	AMDHD2	311.3568
AMFR	3060.3166	AMFR	3643.0654
AMICA1	41.8684	AMICA1	206.488
AMIGO1	80.6839	AMIGO1	118.4767
AMIGO2	434.8205	AMIGO2	1127.2139
AMIGO3	133.0193	AMIGO3	131.2647
AMMECR1L	784.5959	AMMECR1L	727.4095
AMMECR1	518.9934	AMMECR1	188.8105
AMN1	384.6657	AMN1	174.8942
AMOTL1	557.8089	AMOTL1	1508.2276
AMOTL2	1257.3597	AMOTL2	4525.4349
AMOT	1906.7556	AMOT	828.961
removed	removed	AMPD1	51.9041
AMPD2	530.7689	AMPD2	658.204
AMPD3	341.4889	AMPD3	323.0842
AMPH	80.2477	AMPH	127.8796
AMTN	5.2335	removed	removed
AMT	28.3484	AMT	147.8364
removed	removed	AMY1A	20.6864
AMY2B	93.6761	AMY2B	351.1876
AMZ1	12.6477	removed	removed
AMZ2P1	287.8451	AMZ2P1	242.9713
AMZ2	1371.6255	AMZ2	1230.2774
ANAPC10	127.7858	ANAPC10	127.8796
ANAPC11	811.1998	ANAPC11	1141.5139
ANAPC13	1526.9179	ANAPC13	1410.5689
ANAPC16	2176.7194	ANAPC16	2486.8829
ANAPC1	660.7353	ANAPC1	522.8021
ANAPC2	592.2631	ANAPC2	782.3225
ANAPC4	472.3276	ANAPC4	450.9638
ANAPC5	1758.0357	ANAPC5	2216.079
ANAPC7	1249.5094	ANAPC7	1013.2581
ANGEL1	446.596	ANGEL1	502.8679
ANGEL2	1590.9983	ANGEL2	524.6827
ANGPT1	26.6039	ANGPT1	657.4518
ANGPT2	275.1973	ANGPT2	384.015
removed	removed	ANGPT4	32.7221
ANGPTL1	13.9561	ANGPTL1	459.2384
ANGPTL2	967.7701	ANGPTL2	8170.0047
ANGPTL4	27.4761	ANGPTL4	2822.0028
removed	removed	ANGPTL5	19.9342
removed	removed	ANGPTL6	10.945
removed	removed	ANGPTL7	186.5538
ANG	163.5091	ANG	503.3456
ANK1	5.2335	ANK1	36.8594
ANK2	86.7897	ANK2	1257.7339
ANK3	1830.4331	ANK3	479.5487
ANKAR	25.7316	ANKAR	25.5759
ANKDD1A	34.0181	ANKDD1A	422.0028
ANKFN1	9.5948	removed	removed
ANKFY1	2189.8033	ANKFY1	1951.2929
ANKHD1-EIF4EBP3	1923.6207	ANKHD1-EIF4EBP3	952.4852
ANKHD1	2397.8586	ANKHD1	1570.6479
ANKH	3806.9693	ANKH	1958.063
ANKIB1	1392.5596	ANKIB1	828.2087
ANKK1	14.8284	ANKK1	34.6027
removed	removed	ANKLE1	8.6507
ANKLE2	1480.6577	ANKLE2	1549.2243
ANKMY1	274.3251	ANKMY1	210.2492
ANKMY2	539.9276	ANKMY2	541.6079
ANKRA2	399.058	ANKRA2	222.661
ANKRD10	1830.3589	ANKRD10	1332.4006
ANKRD11	920.7685	ANKRD11	1911.9473
ANKRD12	1693.0525	ANKRD12	755.9944
ANKRD13A	895.3727	ANKRD13A	1053.8787
ANKRD13B	58.0051	ANKRD13B	139.9154
ANKRD13C	638.4927	ANKRD13C	460.7428
ANKRD13D	411.7057	ANKRD13D	403.5731
ANKRD16	128.2219	ANKRD16	150.0705
ANKRD17	3301.4959	ANKRD17	1584.5792
ANKRD19	51.8993	ANKRD19	109.4499
ANKRD1	8.2864	removed	removed
