gene_id	TCGA-BH-A204-01A-11R-A157-07	gene_id	TCGA-BH-A204-11A-53R-A157-07
AKR1C3	264.2152	AKR1C3	4245.2611
AKR1E2	30.2667	AKR1E2	47.6828
AKR7A2	885.711	AKR7A2	1015.4739
AKR7A3	786.5169	AKR7A3	21.6634
AKR7L	33.5944	AKR7L	6.5764
AKT1S1	520.4858	AKT1S1	912.1857
AKT1	1313.5853	AKT1	2951.2573
AKT2	1407.7857	AKT2	4388.3946
AKT3	426.0583	AKT3	1641.3926
AKTIP	580.3745	AKTIP	755.4043
ALAD	873.6806	ALAD	2836.3636
ALAS1	1105.2094	ALAS1	1041.0058
ALB	206286.9141	ALB	101.7408
ALCAM	11982.0679	ALCAM	964.7969
ALDH16A1	212.0077	ALDH16A1	335.7834
ALDH18A1	3680.1725	ALDH18A1	1169.8259
ALDH1A1	466.6894	ALDH1A1	5191.8762
removed	removed	ALDH1A2	971.7602
ALDH1A3	240.9148	ALDH1A3	1641.9923
ALDH1B1	665.7587	ALDH1B1	680.4642
removed	removed	ALDH1L1	2622.4371
ALDH1L2	559.5279	ALDH1L2	504.0619
ALDH2	1191.0112	ALDH2	24833.6557
removed	removed	ALDH3A1	13.5397
ALDH3A2	2590.1714	ALDH3A2	4029.0135
ALDH3B1	115.7644	ALDH3B1	201.1605
ALDH3B2	1594.3707	ALDH3B2	213.5397
ALDH4A1	335.7167	ALDH4A1	2179.8839
ALDH5A1	1418.0002	ALDH5A1	700.5803
ALDH6A1	434.1573	ALDH6A1	1377.7911
ALDH7A1	726.8187	ALDH7A1	1488.588
ALDH8A1	18.1591	ALDH8A1	5.4159
ALDH9A1	3129.2702	ALDH9A1	5795.3578
ALDOA	14114.4025	ALDOA	13793.8104
removed	removed	ALDOB	6.9632
ALDOC	269.4359	ALDOC	2460.3482
ALG10B	739.0762	ALG10B	314.5068
ALG10	224.2651	ALG10	96.325
ALG11	182.7261	ALG11	9.2843
ALG12	171.8307	ALG12	345.8414
ALG13	628.0785	ALG13	454.9323
ALG14	318.2386	ALG14	229.4004
ALG1L	62.6308	ALG1L	5.2611
ALG1	1070.8569	ALG1	354.9826
ALG2	1081.6025	ALG2	775.6286
ALG3	1133.583	ALG3	391.4894
ALG5	975.8257	ALG5	628.6267
ALG6	443.3095	ALG6	238.2979
ALG8	1641.8114	ALG8	683.1721
ALG9	673.9303	ALG9	718.7621
