gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
ALDH16A1	528.0112	ALDH16A1	502.1683
ALDH18A1	2098.0392	ALDH18A1	1149.1761
ALDH1A1	93.1373	ALDH1A1	3902.4284
removed	removed	ALDH1A2	743.2784
ALDH1A3	105.7913	ALDH1A3	899.111
ALDH1B1	739.4958	ALDH1B1	619.2541
removed	removed	ALDH1L1	3003.0356
ALDH1L2	123.2493	ALDH1L2	467.4761
ALDH2	1234.2437	ALDH2	31672.1596
removed	removed	ALDH3A1	17.7797
ALDH3A2	3751.0504	ALDH3A2	6563.7467
ALDH3B1	184.5238	ALDH3B1	301.3877
ALDH3B2	2994.7479	ALDH3B2	36.4267
ALDH4A1	447.479	ALDH4A1	3171.7259
ALDH5A1	527.6611	ALDH5A1	905.464
ALDH6A1	344.0826	ALDH6A1	1014.8569
ALDH7A1	1691.8768	ALDH7A1	1344.3192
ALDH8A1	27.3109	ALDH8A1	8.673
ALDH9A1	2043.7675	ALDH9A1	5478.3174
ALDOA	18707.2829	ALDOA	15511.7086
removed	removed	ALDOB	5.2038
ALDOC	268.2073	ALDOC	3169.9913
ALG10B	312.6751	ALG10B	242.4111
ALG10	190.8263	ALG10	98.4389
ALG11	8.0532	ALG11	11.2749
ALG12	512.9552	ALG12	432.784
ALG13	414.2157	ALG13	372.0729
ALG14	107.493	ALG14	258.4562
ALG1	386.6492	ALG1	353.1006
ALG2	765.056	ALG2	498.2654
ALG3	678.5714	ALG3	444.4926
ALG5	195.7283	ALG5	513.8768
ALG6	391.4566	ALG6	248.0486
ALG8	1548.6695	ALG8	795.7502
ALG9	427.521	ALG9	774.935
ALKBH1	275.5602	ALKBH1	153.9462
ALKBH2	448.5294	ALKBH2	132.2637
ALKBH3	644.958	ALKBH3	329.1414
ALKBH4	240.2766	ALKBH4	160.6548
ALKBH5	962.493	ALKBH5	2052.7667
ALKBH6	103.6415	ALKBH6	62.4458
ALKBH7	346.6387	ALKBH7	320.902
ALKBH8	223.7395	ALKBH8	235.4727
ALMS1P	8.7535	removed	removed
ALMS1	1520.3081	ALMS1	818.3001
ALOX15B	52.1709	ALOX15B	10.8413
ALOX15	20.6583	removed	removed
ALOX5AP	103.2913	ALOX5AP	318.7337
ALOX5	148.4594	ALOX5	157.4154
ALPK1	456.5826	ALPK1	416.7389
ALPK2	15.4062	ALPK2	28.621
ALPK3	96.6387	ALPK3	720.2949
ALPL	66.1765	ALPL	230.7025
ALS2CL	69.3277	ALS2CL	472.2463
removed	removed	ALS2CR11	14.3105
removed	removed	ALS2CR12	7.3721
ALS2CR4	541.6667	ALS2CR4	635.7329
ALS2CR8	175.07	ALS2CR8	194.2758
ALS2	1121.8487	ALS2	743.2784
removed	removed	ALX1	12.5759
ALX3	58.4734	ALX3	23.4172
ALX4	14.3557	ALX4	12.5759
AMACR	349.4398	AMACR	212.4892
AMBP	5.2521	removed	removed
AMBRA1	741.5966	AMBRA1	756.2879
AMD1	1593.1373	AMD1	1054.6401
AMDHD1	103.9916	AMDHD1	14.3105
AMDHD2	118.8235	AMDHD2	194.5317
AMFR	3130.6022	AMFR	2767.9965
AMICA1	58.8235	AMICA1	140.503
AMIGO1	75.9804	AMIGO1	214.6574
AMIGO2	377.1008	AMIGO2	423.6774
AMIGO3	80.5322	AMIGO3	41.1969
AMMECR1L	1110.2941	AMMECR1L	939.2888
AMMECR1	790.2661	AMMECR1	141.3703
AMN1	283.2633	AMN1	130.9627
AMOTL1	316.8768	AMOTL1	3408.4996
AMOTL2	588.5854	AMOTL2	8273.2003
AMOT	842.0868	AMOT	2077.1899
AMPD2	457.9832	AMPD2	621.4224
AMPD3	337.535	AMPD3	398.9592
AMPH	30.8123	AMPH	937.5542
AMT	69.1317	AMT	122.9922
removed	removed	AMY1A	6.5048
AMY2B	254.1632	AMY2B	378.582
AMZ1	70.028	removed	removed
AMZ2P1	377.451	AMZ2P1	195.1431
AMZ2	2051.4706	AMZ2	1545.967
ANAPC10	109.2437	ANAPC10	117.9532
ANAPC11	1301.1204	ANAPC11	700.7806
ANAPC13	853.841	ANAPC13	1359.2238
ANAPC16	1402.3109	ANAPC16	2763.66
ANAPC1	923.6695	ANAPC1	747.6149
ANAPC2	646.0084	ANAPC2	616.6522
ANAPC4	382.3529	ANAPC4	540.3296
ANAPC5	2670.8683	ANAPC5	2052.4718
ANAPC7	1495.4482	ANAPC7	803.1223
ANGEL1	617.2969	ANGEL1	708.1526
ANGEL2	1320.028	ANGEL2	551.1709
