gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
SLC26A2	631.3025	SLC26A2	800.0867
SLC26A3	10.1541	removed	removed
SLC26A4	23.8095	SLC26A4	20.3816
SLC26A6	218.1688	SLC26A6	120.9887
SLC26A7	14.0056	SLC26A7	42.4978
SLC27A1	476.5406	SLC27A1	1491.7606
SLC27A2	757.7031	SLC27A2	12.5759
SLC27A3	181.0224	SLC27A3	1000.8673
SLC27A4	917.0168	SLC27A4	587.5976
SLC27A5	111.4216	SLC27A5	66.5438
removed	removed	SLC27A6	17.7797
SLC29A1	1639.3557	SLC29A1	6506.9384
SLC29A2	841.222	SLC29A2	158.2307
SLC29A3	480.3922	SLC29A3	274.0676
SLC29A4	94.5378	SLC29A4	2193.8422
SLC2A10	2057.0728	SLC2A10	517.3461
SLC2A11	155.4622	SLC2A11	153.9462
SLC2A12	47.9692	SLC2A12	59.4102
SLC2A13	453.0812	SLC2A13	302.6886
SLC2A14	8.0532	SLC2A14	32.9575
SLC2A1	1176.1204	SLC2A1	255.4206
SLC2A3	461.8347	SLC2A3	2561.5785
SLC2A4RG	1086.8347	SLC2A4RG	1525.1518
removed	removed	SLC2A4	642.2376
SLC2A5	28.3613	SLC2A5	23.4172
SLC2A6	44.1176	SLC2A6	58.1093
SLC2A8	260.1541	SLC2A8	337.8144
SLC2A9	49.3697	SLC2A9	26.4527
SLC30A1	581.2325	SLC30A1	353.4258
SLC30A2	7.7031	removed	removed
SLC30A4	82.6331	SLC30A4	216.8257
SLC30A5	1487.395	SLC30A5	1153.9462
SLC30A6	452.7311	SLC30A6	390.2862
SLC30A7	751.0504	SLC30A7	473.9809
SLC30A8	19.958	removed	removed
SLC30A9	2009.4538	SLC30A9	1055.0737
SLC31A1	1303.5714	SLC31A1	944.9263
SLC31A2	258.4034	SLC31A2	960.9714
SLC33A1	762.9552	SLC33A1	493.9289
SLC35A1	534.2192	SLC35A1	519.51
SLC35A2	816.5266	SLC35A2	311.7953
SLC35A3	584.0336	SLC35A3	320.4683
SLC35A4	1933.4734	SLC35A4	2075.0217
SLC35A5	583.6835	SLC35A5	769.7311
SLC35B1	1963.9356	SLC35B1	428.0139
SLC35B2	1553.5714	SLC35B2	698.6123
SLC35B3	466.0364	SLC35B3	647.4415
SLC35B4	357.8431	SLC35B4	761.9254
SLC35C1	194.3277	SLC35C1	1577.6236
SLC35C2	885.8543	SLC35C2	614.484
SLC35D1	629.5518	SLC35D1	566.7823
SLC35D2	254.902	SLC35D2	284.9089
SLC35D3	9.8039	removed	removed
SLC35E1	2750.6863	SLC35E1	2201.6479
SLC35E2	1596.0049	SLC35E2	2438.5733
SLC35E2	36.348	SLC35E2	77.9055
SLC35E3	398.4594	SLC35E3	199.9133
SLC35E4	37.1499	SLC35E4	62.0208
removed	removed	SLC35F1	24.7181
SLC35F2	170.5182	SLC35F2	110.5811
SLC35F3	81.2325	removed	removed
SLC35F5	872.549	SLC35F5	669.124
SLC36A1	432.7731	SLC36A1	439.2888
SLC36A4	111.3445	SLC36A4	124.0243
SLC37A1	461.1345	SLC37A1	155.6808
SLC37A2	283.6134	SLC37A2	425.8456
SLC37A3	676.4706	SLC37A3	941.8907
SLC37A4	634.4538	SLC37A4	303.5559
SLC38A10	1332.2829	SLC38A10	3965.3079
removed	removed	SLC38A11	9.1067
SLC38A1	10140.7563	SLC38A1	428.8812
SLC38A2	6344.888	SLC38A2	4633.9983
SLC38A4	8.4034	SLC38A4	6.5048
SLC38A5	11.9048	SLC38A5	5.2038
SLC38A6	141.1064	SLC38A6	215.9584
SLC38A7	377.1008	SLC38A7	302.6886
SLC38A9	207.2829	SLC38A9	232.8708
SLC39A10	1109.5938	SLC39A10	824.8049
SLC39A11	3447.8291	SLC39A11	484.3886
SLC39A13	499.6499	SLC39A13	851.2576
SLC39A14	1399.8599	SLC39A14	1416.3053
SLC39A1	2444.3277	SLC39A1	2299.6531
SLC39A3	666.3165	SLC39A3	337.3807
SLC39A4	170.1681	SLC39A4	68.9506
SLC39A6	75024.5098	SLC39A6	2815.2645
SLC39A7	2540.6162	SLC39A7	2677.3634
SLC39A8	588.5854	SLC39A8	374.2411
SLC39A9	3786.7647	SLC39A9	2043.3651
SLC3A2	4179.972	SLC3A2	1920.6418
SLC40A1	10493.3473	SLC40A1	4340.4163
SLC41A1	1030.112	SLC41A1	1080.6592
SLC41A2	59.1737	SLC41A2	444.4926
SLC41A3	987.0448	SLC41A3	1016.9124
SLC43A1	97.3389	SLC43A1	390.7199
SLC43A2	657.9132	SLC43A2	921.5091
SLC43A3	529.4118	SLC43A3	1204.9913
SLC44A1	3887.2549	SLC44A1	1813.0963
SLC44A2	5588.9356	SLC44A2	4809.6271
SLC44A3	44.8179	SLC44A3	25.1518
SLC44A4	592.7871	SLC44A4	29.9219
SLC44A5	42.3669	removed	removed
SLC45A1	43.4174	SLC45A1	39.4623
SLC45A3	109.2437	SLC45A3	64.1804
SLC45A4	236.3445	SLC45A4	218.9939
SLC46A1	1555.1506	SLC46A1	1037.9792
removed	removed	SLC46A2	17.7797
SLC46A3	137.605	SLC46A3	592.3677
SLC47A1	26.6106	SLC47A1	126.6262
SLC48A1	654.4118	SLC48A1	1153.0789
SLC4A11	10.5042	SLC4A11	9.5403
SLC4A1AP	635.1541	SLC4A1AP	590.1995
removed	removed	SLC4A1	7.8057
SLC4A2	3436.8838	SLC4A2	1702.7537
SLC4A3	7.7031	SLC4A3	88.4649
removed	removed	SLC4A4	325.2385
SLC4A5	348.4979	SLC4A5	51.9384
SLC4A7	1544.8179	SLC4A7	289.6791
SLC4A8	1118.3473	SLC4A8	20.3816
SLC5A3	1425.6197	SLC5A3	2522.5325
removed	removed	SLC5A4	13.0095
SLC5A5	339.2857	removed	removed
SLC5A6	1730.028	SLC5A6	994.6444
SLC5A7	62.6751	SLC5A7	5.2038
SLC5A9	11.9048	SLC5A9	16.4788
SLC6A10P	9.1036	SLC6A10P	6.0711
SLC6A12	65.1261	SLC6A12	8.2394
removed	removed	SLC6A15	26.8864
SLC6A16	45.1681	SLC6A16	51.6045
SLC6A1	17.8571	SLC6A1	38.595
SLC6A20	6.3025	SLC6A20	8.2394
removed	removed	SLC6A2	97.5716
SLC6A4	4949.2297	SLC6A4	79.3582
SLC6A6	895.3081	SLC6A6	1103.6427
SLC6A8	2057.7731	SLC6A8	1266.6956
SLC6A9	634.8599	SLC6A9	143.9722
removed	removed	SLC7A10	1339.4449
SLC7A11	320.7283	SLC7A11	13.8768
SLC7A13	5.9524	removed	removed
SLC7A1	1726.5406	SLC7A1	473.9809
SLC7A2	9844.5378	SLC7A2	999.1327
SLC7A4	42.7171	SLC7A4	88.4649
SLC7A5	1880.9524	SLC7A5	75.889
SLC7A6OS	165.8088	SLC7A6OS	246.9254
SLC7A6	782.3704	SLC7A6	2080.915
SLC7A7	204.4818	SLC7A7	274.935
SLC7A8	1921.2185	SLC7A8	801.3877
SLC7A9	14.3557	removed	removed
SLC8A1	179.972	SLC8A1	470.0781
removed	removed	SLC8A3	10.4076
SLC9A1	1534.6639	SLC9A1	920.6418
removed	removed	SLC9A2	7.3721
SLC9A3R1	5742.6471	SLC9A3R1	347.3547
SLC9A3R2	574.93	SLC9A3R2	2345.1865
SLC9A5	21.0084	SLC9A5	21.2489
SLC9A6	81.2325	SLC9A6	557.6756
SLC9A7	146.0084	SLC9A7	17.3461
SLC9A8	813.0252	SLC9A8	630.0954
SLC9A9	57.423	SLC9A9	757.1552
removed	removed	SLCO1C1	56.3747
SLCO2A1	254.2017	SLCO2A1	433.2177
SLCO2B1	476.1905	SLCO2B1	949.6964
SLCO3A1	142.8571	SLCO3A1	803.5559
removed	removed	SLCO4A1	113.4822
SLCO4C1	21.0084	SLCO4C1	8.673
SLFN11	396.3585	SLFN11	1467.9098
SLFN12L	7.7031	SLFN12L	28.1873
SLFN12	106.0924	SLFN12	139.6357
SLFN13	1437.3249	SLFN13	166.9558
SLFN5	615.8964	SLFN5	2026.4527
SLFNL1	5.6022	removed	removed
removed	removed	SLIT1	12.5759
SLIT2	138.3053	SLIT2	1278.4042
SLIT3	333.3333	SLIT3	6808.7598
SLITRK1	22.409	removed	removed
removed	removed	SLITRK2	82.3938
SLITRK4	202.7311	SLITRK4	337.8144
SLITRK6	2545.8683	SLITRK6	50.7372
SLK	3171.5686	SLK	2683.8682
SLMAP	1855.3922	SLMAP	979.1847
SLMO1	97.3389	SLMO1	32.9575
SLMO2	2171.9188	SLMO2	805.2905
SLPI	31.8627	SLPI	252.3851
SLTM	2776.9608	SLTM	1945.3599
SLU7	931.3725	SLU7	1311.7953
SMAD1	912.1148	SMAD1	629.6618
SMAD2	2970.9384	SMAD2	2582.3938
SMAD3	2255.6022	SMAD3	1889.4189
SMAD4	2142.402	SMAD4	1828.6557
removed	removed	SMAD5OS	10.8413
SMAD5	2150.5602	SMAD5	2000.4337
SMAD6	63.7255	SMAD6	334.7788
SMAD7	636.9048	SMAD7	1037.294
SMAD9	7.0028	SMAD9	124.8916
SMAGP	195.028	SMAGP	140.503
SMAP1	614.3627	SMAP1	911.4484
SMAP2	949.93	SMAP2	846.0538
SMARCA1	1541.3165	SMARCA1	1346.0538
SMARCA2	2495.4482	SMARCA2	5068.9506
SMARCA4	5650.2101	SMARCA4	1187.3374
SMARCA5	3077.7311	SMARCA5	1829.1414
SMARCAD1	1169.4678	SMARCAD1	744.5794
SMARCAL1	609.5938	SMARCAL1	576.3226
SMARCB1	1317.2269	SMARCB1	547.268
SMARCC1	4782.563	SMARCC1	1530.3556
SMARCC2	2806.3725	SMARCC2	3780.1388
SMARCD1	1246.8487	SMARCD1	1199.046
SMARCD2	2907.563	SMARCD2	1818.7337
SMARCD3	284.6639	SMARCD3	237.2073
SMARCE1	9775.2101	SMARCE1	2602.3417
SMC1A	5703.0812	SMC1A	1687.3374
SMC1B	21.3585	removed	removed
SMC2	2292.0168	SMC2	575.889
SMC3	2775.2101	SMC3	1549.8699
SMC4	4915.9664	SMC4	580.6592
SMC5	1310.2241	SMC5	588.8985
SMC6	1248.2493	SMC6	637.0338
SMCHD1	2623.2493	SMCHD1	1401.9948
SMCR7L	1074.2297	SMCR7L	1303.9896
SMCR7	85.084	SMCR7	192.5412
SMCR8	668.7675	SMCR8	935.4033
SMEK1	2040.2661	SMEK1	1274.5013
SMEK2	2929.2717	SMEK2	2581.0928
SMG1	4801.1204	SMG1	3603.6427
SMG5	2932.7731	SMG5	2204.6834
SMG6	919.8179	SMG6	1535.9931
SMG7	4152.3109	SMG7	1774.5013
SMN1	7.8957	removed	removed
SMN2	1223.8971	SMN2	784.6878
SMNDC1	714.2857	SMNDC1	561.5785
removed	removed	SMOC1	733.3044
SMOC2	352.9412	SMOC2	1157.4154
SMOX	63.7255	SMOX	77.1899
SMO	146.0084	SMO	396.3573
SMPD1	453.0812	SMPD1	926.2793
SMPD2	240.8964	SMPD2	89.3322
SMPD3	560.5742	SMPD3	32.0902
SMPD4	3072.8291	SMPD4	1205.1171
SMPDL3A	191.5266	SMPDL3A	133.131
SMPDL3B	157.2129	removed	removed
SMS	2928.5714	SMS	741.9775
SMTNL1	5.2521	removed	removed
removed	removed	SMTNL2	10.4076
SMTN	649.5098	SMTN	1125.3252
SMU1	1493.6975	SMU1	1434.085
SMUG1	377.8011	SMUG1	419.3408
SMURF1	1053.701	SMURF1	1289.4926
SMURF2	903.0112	SMURF2	691.2402
SMYD2	625.3501	SMYD2	596.7042
SMYD3	868.3473	SMYD3	115.7849
SMYD4	262.9552	SMYD4	602.7754
SMYD5	712.8852	SMYD5	482.6539
SNAI1	81.5826	SNAI1	168.2567
SNAI2	167.3669	SNAI2	423.2437
SNAI3	11.9048	SNAI3	7.8057
SNAP23	873.2493	SNAP23	1273.634
SNAP25	10.5042	removed	removed
SNAP29	1638.6555	SNAP29	961.8387
SNAP47	1317.2934	SNAP47	411.817
removed	removed	SNAP91	5.6375
SNAPC1	163.8655	SNAPC1	227.2333
SNAPC2	592.437	SNAPC2	313.0963
SNAPC3	495.098	SNAPC3	607.1119
SNAPC4	310.9244	SNAPC4	232.8708
SNAPC5	78.3648	SNAPC5	95.0867
SNAPIN	522.409	SNAPIN	867.7363
SNCAIP	50.07	SNCAIP	240.2428
SNCA	14.0056	SNCA	96.2706
SNCG	111.3445	SNCG	3185.6028
SND1	4146.0084	SND1	3444.9263
SNED1	652.6611	SNED1	1825.2385
SNF8	1313.0252	SNF8	912.4024
SNHG10	74.2297	SNHG10	20.8153
SNHG11	107.5455	SNHG11	83.9549
SNHG12	183.8796	SNHG12	59.8439
SNHG1	1134.1036	SNHG1	203.3825
SNHG3-RCC1	365.6828	SNHG3-RCC1	124.935
SNHG3	82.6331	SNHG3	10.8413
SNHG4	5.042	removed	removed
SNHG5	1306.3725	SNHG5	1338.248
SNHG6	1037.8151	SNHG6	651.778
SNHG7	374.1492	SNHG7	406.4137
SNHG8	758.7535	SNHG8	425.412
SNHG9	40.9664	SNHG9	40.3296
SNIP1	320.028	SNIP1	260.6245
SNN	1041.6667	SNN	3413.7034
SNORA39	7.6506	removed	removed
SNORA8	195.2836	SNORA8	150.0694
SNORD116-20	13.6555	SNORD116-20	7.8057
SNORD116-28	35.1401	SNORD116-28	18.582
SNORD116-4	94.4538	SNORD116-4	50.6548
SNORD1C	7.8186	removed	removed
SNPH	113.7955	SNPH	246.7476
SNRK	1105.3922	SNRK	3029.0546
SNRNP200	7899.5098	SNRNP200	5486.9905
SNRNP25	499.6499	SNRNP25	269.7311
SNRNP27	420.8683	SNRNP27	624.0243
SNRNP35	394.6254	SNRNP35	323.7294
SNRNP40	698.5294	SNRNP40	491.7606
SNRNP48	363.4454	SNRNP48	315.6982
SNRNP70	2352.591	SNRNP70	1475.7155
SNRPA1	366.5966	SNRPA1	171.2923
SNRPA	1123.9496	SNRPA	723.3304
SNRPB2	1027.3109	SNRPB2	689.9393
SNRPB	3521.7087	SNRPB	916.3053
SNRPC	865.8964	SNRPC	632.6973
SNRPD1	984.2437	SNRPD1	324.8049
SNRPD2	2377.8011	SNRPD2	1325.2385
SNRPD3	1311.1835	SNRPD3	881.6522
SNRPE	1240.1961	SNRPE	333.9115
SNRPF	787.1148	SNRPF	290.5464
SNRPG	587.535	SNRPG	315.2645
SNRPN	753.659	SNRPN	996.379
SNTA1	215.3361	SNTA1	1409.3669
SNTB1	188.3754	SNTB1	563.7467
SNTB2	644.2577	SNTB2	2384.2151
removed	removed	SNTG2	31.6565
SNUPN	386.9048	SNUPN	411.1015
SNURF	74.4223	SNURF	28.66
SNW1	1531.5126	SNW1	1356.4614
SNX10	453.4314	SNX10	895.9237
SNX11	572.1289	SNX11	728.1006
SNX12	261.5546	SNX12	210.3209
SNX13	1073.1793	SNX13	1405.464
SNX14	1427.8711	SNX14	934.5186
SNX15	417.3669	SNX15	879.4449
SNX16	313.0252	SNX16	400.6938
SNX17	1660.014	SNX17	2856.8951
SNX18	786.0644	SNX18	1448.3955
SNX19	2032.563	SNX19	4062.8794
SNX1	2908.6134	SNX1	6607.1119
SNX20	29.1387	SNX20	22.5499
SNX21	277.3424	SNX21	1906.6739
SNX22	330.7213	SNX22	55.6201
SNX24	288.8655	SNX24	98.8725
SNX25	157.563	SNX25	303.1223
SNX27	1895.0035	SNX27	1030.052
SNX29	581.9328	SNX29	1416.3053
SNX2	1408.9636	SNX2	1869.4709
SNX30	832.9832	SNX30	601.9081
SNX33	545.1681	SNX33	2189.072
SNX3	1769.2577	SNX3	4879.4449
SNX4	857.493	SNX4	664.3539
SNX5	2132.0028	SNX5	3094.1023
SNX6	1368.3473	SNX6	1733.3044
SNX7	371.1485	SNX7	394.1891
SNX8	430.6723	SNX8	390.2862
SNX9	1757.7031	SNX9	3476.1492
SOAT1	440.1261	SOAT1	557.242
SOBP	20.3081	SOBP	609.2801
SOCS1	21.0084	SOCS1	55.0737
SOCS2	116.5966	SOCS2	958.8031
SOCS3	253.8515	SOCS3	19680.399
SOCS4	791.6667	SOCS4	590.6331
SOCS5	550.07	SOCS5	971.8127
SOCS6	1532.563	SOCS6	597.1379
SOCS7	448.5294	SOCS7	122.2897
SOD1	2934.8739	SOD1	3786.6435
SOD2	3618.6975	SOD2	6303.5559
SOD3	24.5098	SOD3	3581.5265
SOLH	391.8067	SOLH	393.3218
SON	7897.0588	SON	7199.9133
SORBS1	581.5826	SORBS1	54788.8118
SORBS2	157.9132	SORBS2	734.6054
SORBS3	804.972	SORBS3	3249.7832
SORCS1	577.7311	SORCS1	16.9124
SORCS2	124.2997	SORCS2	211.6219
SORD	2357.493	SORD	149.6097
SORL1	1513.6555	SORL1	477.4501
SORT1	1984.5938	SORT1	8502.1683
SOS1	1731.0924	SOS1	4368.6036
SOS2	848.3894	SOS2	1522.1162
removed	removed	SOX10	12.1422
SOX11	16.8067	removed	removed
SOX12	1936.9748	SOX12	189.5056
SOX13	1445.7283	SOX13	1550.3036
removed	removed	SOX15	8.673
SOX17	13.6555	SOX17	886.817
SOX18	22.0588	SOX18	462.2723
SOX2	53.2213	removed	removed
SOX30	6.3025	SOX30	5.2038
SOX4	5285.3641	SOX4	826.9731
SOX5	10.8543	SOX5	398.9592
SOX6	46.2185	SOX6	252.3851
SOX7	33.7605	SOX7	1012.6019
removed	removed	SOX8	11.7086
SOX9	732.493	SOX9	169.5577
SP100	2302.8711	SP100	1829.575
SP110	893.9076	SP110	500
SP140L	304.972	SP140L	304.4232
SP140	53.9216	SP140	18.647
SP1	3749.2997	SP1	3890.7199
SP2	566.1765	SP2	669.124
SP3	3177.1709	SP3	1928.8812
SP4	483.5434	SP4	166.0885
SP5	5.6022	SP5	8.2394
SP6	52.1709	SP6	20.3816
SPA17	245.098	SPA17	45.0997
SPAG16	654.7619	SPAG16	311.3617
SPAG17	30.4622	SPAG17	247.1813
SPAG1	336.4846	SPAG1	80.2255
SPAG4	33.2633	SPAG4	9.5403
SPAG5	2458.3683	SPAG5	115.3513
SPAG7	349.4398	SPAG7	771.8994
SPAG8	17.1569	SPAG8	22.5542
SPAG9	4950.2801	SPAG9	3646.5742
SPANXA2	16.4566	removed	removed
SPANXB2	14.0056	removed	removed
SPARCL1	2332.9832	SPARCL1	27088.4649
SPARC	22675.07	SPARC	198097.1379
SPAST	707.9832	SPAST	418.0399
SPATA12	5.6022	removed	removed
SPATA13	611.2745	SPATA13	310.0607
SPATA17	128.8515	removed	removed
SPATA18	124.6499	SPATA18	252.3851
SPATA20	2805.3221	SPATA20	1225.9324
removed	removed	SPATA22	26.6956
SPATA24	20.3081	SPATA24	22.1162
SPATA2L	224.4398	SPATA2L	82.8274
SPATA2	515.4062	SPATA2	277.1032
SPATA5L1	210.7843	SPATA5L1	143.9722
SPATA5	488.0952	SPATA5	196.4441
SPATA6	291.3165	SPATA6	139.6357
SPATA7	155.4622	SPATA7	202.0815
SPATA9	6.6527	SPATA9	46.4701
SPATS2L	1353.9916	SPATS2L	2212.0555
SPATS2	693.6275	SPATS2	262.3591
SPC24	83.3333	removed	removed
SPC25	294.1176	SPC25	9.974
SPCS1	1661.7262	SPCS1	1051.1188
SPCS2	1316.8768	SPCS2	395.49
SPCS3	2175.07	SPCS3	1762.3591
SPDEF	2023.8095	SPDEF	27.7537
SPDYA	11.7927	removed	removed
SPDYE1	8.0532	SPDYE1	7.5108
SPDYE3	83.2423	SPDYE3	94.6401
SPDYE5	13.3053	SPDYE5	7.8057
SPDYE6	43.7675	SPDYE6	25.5854
SPDYE7P	7.7031	SPDYE7P	7.8057
SPDYE8P	21.0084	SPDYE8P	11.7086
SPEF1	24.5098	removed	removed
SPEF2	226.8908	SPEF2	74.1544
SPEG	106.7927	SPEG	49.0026
SPEN	2585.7843	SPEN	2990.8933
SPESP1	10.8543	SPESP1	130.8153
SPG11	2869.7479	SPG11	1856.4614
SPG20	397.409	SPG20	2285.7762
SPG21	1946.7787	SPG21	1624.4579
SPG7	1089.2857	SPG7	1056.3747
SPHAR	106.4356	SPHAR	88.0225
SPHK1	133.2388	SPHK1	153.7598
SPHK2	326.334	SPHK2	265.4683
SPI1	196.0784	SPI1	432.784
SPIN1	3927.8711	SPIN1	2314.8309
removed	removed	SPIN2A	24.7181
SPIN2B	57.9167	SPIN2B	144.6661
SPIN3	367.6471	SPIN3	251.5178
SPIN4	420.5182	SPIN4	65.915
removed	removed	SPINK5	29.0546
SPINT1	2278.7115	SPINT1	107.9792
SPINT2	7261.5546	SPINT2	228.5343
SPIRE1	2585.084	SPIRE1	894.6227
SPIRE2	122.8992	SPIRE2	22.1162
SPNS1	683.9321	SPNS1	633.3608
SPNS2	54.7234	SPNS2	1230.0737
SPN	99.0896	SPN	177.7971
SPOCD1	73.5294	SPOCD1	76.3226
SPOCK1	842.437	SPOCK1	880.3122
SPOCK2	307.7731	SPOCK2	357.3287
SPON1	507.7031	SPON1	4533.8248
SPON2	365.1961	SPON2	958.8031
SPOPL	2050.07	SPOPL	794.0156
SPOP	1925.07	SPOP	1159.15
SPP1	3998.5994	SPP1	687.771
SPPL2A	808.1232	SPPL2A	901.5611
SPPL2B	907.9132	SPPL2B	515.1778
SPPL3	1743.3473	SPPL3	1186.4701
SPRED1	1295.1681	SPRED1	1126.1925
SPRED2	1775.2101	SPRED2	794.4493
SPRN	98.7395	SPRN	57.6756
SPRY1	392.8571	SPRY1	4343.8855
SPRY2	46.2185	SPRY2	1374.6748
SPRY3	30.112	SPRY3	160.8846
SPRY4	523.1092	SPRY4	711.6219
SPRYD3	975.1401	SPRYD3	2532.9575
SPRYD4	155.112	SPRYD4	216.392
SPR	988.0952	SPR	687.3374
SPSB1	445.3782	SPSB1	943.1917
SPSB2	140.7563	SPSB2	107.1119
SPSB3	438.7255	SPSB3	745.4467
SPSB4	22.409	SPSB4	29.9219
removed	removed	SPTA1	29.4883
SPTAN1	5752.1008	SPTAN1	14221.5958
SPTBN1	6290.9664	SPTBN1	107063.3131
SPTBN2	2707.2829	SPTBN2	101.9081
SPTBN4	106.7927	SPTBN4	122.2897
SPTBN5	12.2549	SPTBN5	21.7173
SPTB	31.8627	SPTB	104.51
SPTLC1	1787.8151	SPTLC1	1514.3105
SPTLC2	3562.6751	SPTLC2	2223.3304
SPTLC3	209.3838	SPTLC3	334.7788
SPTY2D1	1483.5609	SPTY2D1	882.255
SQLE	3217.437	SQLE	153.5126
SQRDL	994.0476	SQRDL	1107.5455
SQSTM1	6199.9055	SQSTM1	13660.412
SR140	2094.1877	SR140	1647.0078
SRA1	338.5854	SRA1	401.9948
SRBD1	628.1513	SRBD1	473.1136
SRCAP	4654.7619	SRCAP	3583.6947
SRCIN1	2343.8375	SRCIN1	88.8985
SRCRB4D	62.6506	SRCRB4D	95.0304
SRC	1040.2661	SRC	494.7962
SRD5A1	204.1317	SRD5A1	76.3226
SRD5A3	769.9125	SRD5A3	522.0902
SREBF1	1234.2437	SREBF1	1777.1032
SREBF2	4350.1401	SREBF2	1843.4519
SRFBP1	382.0028	SRFBP1	202.0815
SRF	762.2549	SRF	1397.2246
SRGAP1	798.6695	SRGAP1	358.196
SRGAP2	1796.9188	SRGAP2	1075.4553
SRGAP3	205.1821	SRGAP3	58.1093
SRGN	544.1176	SRGN	2235.9063
SRI	992.9972	SRI	1391.1535
removed	removed	SRL	95.4033
SRMS	27.6611	removed	removed
SRM	554.2717	SRM	730.2689
SRP14	2556.3725	SRP14	3786.2099
SRP19	522.8676	SRP19	531.1578
SRP54	1419.8179	SRP54	721.5958
SRP68	1041.3165	SRP68	1852.9922
SRP72	3342.7871	SRP72	1881.6132
SRP9	6583.6835	SRP9	2352.9922
SRPK1	1820.3782	SRPK1	508.2394
SRPK2	2620.4482	SRPK2	981.353
SRPK3	10.6898	SRPK3	16.2186
SRPRB	958.3333	SRPRB	732.8708
SRPR	2294.8179	SRPR	3672.5932
SRPX2	365.8964	SRPX2	2642.6713
SRPX	148.8095	SRPX	2651.778
SRRD	283.2633	SRRD	225.4987
SRRM1	1676.4706	SRRM1	1720.2949
SRRM2	14420.8683	SRRM2	14559.8439
SRRM3	67.9272	SRRM3	83.2611
SRRM4	7.7031	removed	removed
SRRM5	56.9958	SRRM5	5.8543
SRRT	2226.8908	SRRT	932.3504
SRR	306.4986	SRR	381.34
SRXN1	1110.6443	SRXN1	819.1674
removed	removed	SRY	5.2038
SS18L1	657.9132	SS18L1	292.281
SS18L2	235.2941	SS18L2	158.2827
SS18	3245.098	SS18	1401.1275
SSBP1	1029.4118	SSBP1	632.6973
SSBP2	375.7003	SSBP2	669.9913
SSBP3	716.7367	SSBP3	685.1691
SSBP4	359.944	SSBP4	359.0633
SSB	2185.2381	SSB	2880.425
SSC5D	398.1092	SSC5D	1713.7901
SSFA2	1707.6331	SSFA2	3430.1821
SSH1	1730.042	SSH1	1666.9558
SSH2	1985.2941	SSH2	1225.4987
SSH3	1875.7003	SSH3	689.5056
SSNA1	646.3585	SSNA1	549.0026
SSPN	351.5406	SSPN	2759.3235
SSPO	31.8627	SSPO	10.8413
SSR1	4041.6667	SSR1	3047.7016
SSR2	4197.8291	SSR2	3049.0026
SSR3	3725.8403	SSR3	3026.8864
SSR4	1592.7871	SSR4	1177.7971
SSRP1	2857.493	SSRP1	1951.431
SSSCA1	288.5154	SSSCA1	249.7832
SSTR1	11.5546	SSTR1	106.2446
SSTR2	2829.8319	SSTR2	124.8916
SSU72	1422.619	SSU72	2336.5134
SSX2IP	1053.2213	SSX2IP	91.0668
ST13	5323.5294	ST13	6995.2298
ST14	1840.3361	ST14	315.2645
ST20	36.8803	ST20	22.4458
ST3GAL1	4669.8179	ST3GAL1	1966.6088
ST3GAL2	323.1793	ST3GAL2	931.4831
ST3GAL3	149.8599	ST3GAL3	558.1093
ST3GAL4	272.0588	ST3GAL4	474.8482
ST3GAL5	175.4202	ST3GAL5	538.1613
ST3GAL6	18.5574	ST3GAL6	174.3278
ST5	694.3277	ST5	584.562
ST6GAL1	306.3725	ST6GAL1	1192.9748
ST6GAL2	191.5266	removed	removed
removed	removed	ST6GALNAC1	121.4224
ST6GALNAC2	207.2829	ST6GALNAC2	138.7684
ST6GALNAC3	14.3557	ST6GALNAC3	273.634
ST6GALNAC4	67.9272	ST6GALNAC4	308.3261
ST6GALNAC5	91.7367	removed	removed
ST6GALNAC6	497.549	ST6GALNAC6	5596.2706
ST7L	127.1008	ST7L	266.6956
ST7OT1	24.4013	ST7OT1	26.2533
ST7	514.4503	ST7	777.2897
ST8SIA1	93.4874	ST8SIA1	58.5429
ST8SIA2	34.6639	removed	removed
ST8SIA4	253.8515	ST8SIA4	253.686
ST8SIA6	170.5182	ST8SIA6	10.4076
STAB1	545.8683	STAB1	3715.2949
STAC3	86.4951	STAC3	35.1258
removed	removed	STAC	33.8248
STAG1	1170.6968	STAG1	1291.1492
STAG2	4055.6723	STAG2	2929.7485
STAG3L1	119.7479	STAG3L1	51.1709
STAG3L2	41.3165	STAG3L2	152.2116
STAG3L3	155.1015	STAG3L3	158.3651
STAG3L4	84.0336	STAG3L4	157.4154
STAG3	30.2766	STAG3	13.0312
STAM2	986.6947	STAM2	990.4597
STAMBPL1	126.7507	STAMBPL1	163.4866
STAMBP	639.3557	STAMBP	634.8656
STAM	655.8123	STAM	546.8343
STAP2	664.5658	STAP2	46.4007
STARD10	2289.916	STARD10	238.0746
STARD13	235.9944	STARD13	1142.2376
STARD3NL	675.7703	STARD3NL	522.5499
STARD3	4023.4594	STARD3	660.451
STARD4	35.7143	STARD4	47.7016
STARD5	57.0728	STARD5	91.0668
STARD7	4077.6015	STARD7	2417.0252
STARD8	166.3165	STARD8	706.418
removed	removed	STAR	5.6375
STAT1	13464.986	STAT1	3656.9818
STAT2	2324.5798	STAT2	2653.0789
STAT3	5980.3922	STAT3	6632.6973
