gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
AGAP5	42.8044	AGAP5	43.932
AGAP6	49.9648	AGAP6	78.0744
AGAP7	5.278	removed	removed
AGAP8	24.2787	AGAP8	61.8932
AGA	552.076	AGA	467.6375
AGBL2	64.3913	removed	removed
AGBL5	1051.0274	AGBL5	539.2435
AGER	6.6854	AGER	29.9353
AGFG1	3187.8958	AGFG1	3302.589
AGFG2	300.4926	AGFG2	315.1294
AGGF1	1970.4433	AGGF1	1057.0388
AGK	568.2618	AGK	476.9417
AGL	842.0127	AGL	1962.7832
AGMAT	134.7643	AGMAT	8.0906
AGPAT1	1488.7368	AGPAT1	1461.699
AGPAT2	367.3469	AGPAT2	3775.89
AGPAT3	3243.1386	AGPAT3	2259.3042
AGPAT4	78.4659	AGPAT4	322.8155
AGPAT5	977.4806	AGPAT5	447.0065
removed	removed	AGPAT6	1627.0227
AGPAT9	85.5032	AGPAT9	179.6117
AGPHD1	82.6882	AGPHD1	72.8155
AGPS	1742.7868	AGPS	1947.411
AGR2	18803.6594	AGR2	413.0259
AGR3	1573.8916	AGR3	57.0388
AGRN	2741.7312	AGRN	1266.1812
AGTPBP1	337.0866	AGTPBP1	631.068
AGTR1	22.5194	AGTR1	983.8188
AGTRAP	1265.658	AGTRAP	417.0712
AGT	158.3392	AGT	108.0097
AGXT2L2	222.2308	AGXT2L2	611.784
removed	removed	AGXT	7.2816
removed	removed	AHCTF1	1994.3366
AHCYL1	3117.5229	AHCYL1	6183.657
AHCYL2	1360.6615	AHCYL2	885.5178
AHCY	2790.9923	AHCY	1446.6019
AHDC1	375.7917	AHDC1	548.9482
AHI1	3858.9022	AHI1	499.1909
AHNAK2	2825.475	AHNAK2	2876.6181
AHNAK	20966.5728	AHNAK	225132.2816
AHRR	18.297	AHRR	9.3042
AHR	812.8079	AHR	2753.6408
AHSA1	1404.6446	AHSA1	1267.3948
AHSA2	323.7157	AHSA2	540.4531
AIDA	1860.7671	AIDA	2478.9887
AIF1L	3637.931	AIF1L	2539.2395
AIF1	70.0211	AIF1	739.4822
AIFM1	1242.7868	AIFM1	743.932
AIFM2	174.525	AIFM2	2474.5146
AIFM3	47.1182	AIFM3	7.589
AIG1	781.14	AIG1	1267.3948
AIM1	990.1478	AIM1	2629.0453
removed	removed	AIM2	12.1359
AIMP1	1927.8642	AIMP1	1039.2395
AIMP2	399.0113	AIMP2	232.9045
AIP	724.1379	AIP	617.7184
removed	removed	AJAP1	18.2039
AK1	337.0866	AK1	510.5178
AK2	1887.0514	AK2	1780.7443
AK3L1	72.836	AK3L1	791.2621
AK3	1171.0063	AK3	3774.2718
AK5	10.9078	AK5	382.2816
AK7	61.9282	AK7	24.2718
AKAP10	402.1816	AKAP10	684.8706
AKAP11	2950.0352	AKAP11	3024.2718
AKAP12	586.5588	AKAP12	11607.2006
AKAP13	2838.494	AKAP13	4681.6343
AKAP1	2839.1977	AKAP1	2363.2686
AKAP2	256.6749	AKAP2	2867.7589
AKAP3	8.4448	AKAP3	33.5761
AKAP5	41.1682	AKAP5	60.2751
AKAP6	32.0197	AKAP6	235.4369
AKAP7	73.1879	AKAP7	336.9741
AKAP8L	786.0662	AKAP8L	470.8738
AKAP8	945.1091	AKAP8	445.7929
AKAP9	3213.582	AKAP9	2867.3139
AKD1	174.1731	AKD1	181.2298
AKIRIN1	6582.3364	AKIRIN1	1345.0647
AKIRIN2	528.5011	AKIRIN2	961.9741
AKNA	232.9346	AKNA	842.233
AKR1A1	1062.2801	AKR1A1	1157.767
removed	removed	AKR1B10	6.4725
removed	removed	AKR1B15	34.7896
AKR1B1	153.0612	AKR1B1	1240.6958
AKR1C1	55.9465	AKR1C1	8138.3495
AKR1C2	38.0014	AKR1C2	7954.6926
AKR1C3	112.5968	AKR1C3	4759.3042
removed	removed	AKR1E2	29.9353
AKR7A2	412.3856	AKR7A2	695.3883
removed	removed	AKR7A3	8.8997
AKT1S1	496.8332	AKT1S1	594.6602
AKT1	7387.7551	AKT1	2410.1942
AKT2	1124.2083	AKT2	2562.2977
AKT3	327.2343	AKT3	2005.6634
AKTIP	315.0211	AKTIP	886.2338
ALAD	1312.1042	ALAD	3747.1683
ALAS1	616.8191	ALAS1	1129.8544
removed	removed	ALAS2	9.3042
removed	removed	ALB	234.6278
ALCAM	1839.5496	ALCAM	1661.4078
ALDH16A1	275.1583	ALDH16A1	356.7961
ALDH18A1	1671.0063	ALDH18A1	1045.712
ALDH1A1	146.7277	ALDH1A1	6070.3883
ALDH1A2	59.1133	ALDH1A2	773.0583
ALDH1A3	182.5651	ALDH1A3	1746.7516
ALDH1B1	416.608	ALDH1B1	720.4693
removed	removed	ALDH1L1	1975.7282
ALDH1L2	251.5834	ALDH1L2	689.3204
ALDH2	1877.9029	ALDH2	18852.7508
removed	removed	ALDH3A1	25.4854
