gene_id	TCGA-BH-A1F8-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F8-11B-21R-A13Q-07
AIFM1	1305.2662	AIFM1	570.8548
AIFM2	247.1065	AIFM2	771.6581
removed	removed	AIFM3	6.0643
AIG1	1134.2593	AIG1	913.3678
AIM1L	6.9444	removed	removed
AIM1	3371.8171	AIM1	2851.4056
AIM2	16.7824	AIM2	8.6059
AIMP1	1380.0058	AIMP1	1211.899
AIMP2	513.099	AIMP2	326.5806
AIP	128.1829	AIP	668.3878
AJAP1	6.9444	AJAP1	29.8336
AK1	175.3472	AK1	442.3408
AK2	2251.7361	AK2	2354.5611
AK3L1	493.3449	AK3L1	522.6621
AK3	1504.919	AK3	2500.8606
AK5	30.3819	AK5	2378.0838
AK7	7.5231	AK7	30.4073
AKAP10	617.4769	AKAP10	535.284
AKAP11	1835.3588	AKAP11	1925.4159
AKAP12	317.9977	AKAP12	3081.4687
AKAP13	2675.6366	AKAP13	3762.4785
AKAP1	2175.3472	AKAP1	1930.5795
AKAP2	242.5174	AKAP2	1763.5628
AKAP3	6.3657	AKAP3	23.5227
AKAP5	91.1458	AKAP5	103.2702
AKAP6	18.5185	AKAP6	250.1434
AKAP7	183.7384	AKAP7	285.1406
AKAP8L	168.4028	AKAP8L	506.5978
AKAP8	278.0671	AKAP8	650.6024
AKAP9	3220.1968	AKAP9	2113.0235
AKD1	520.544	AKD1	133.6776
AKIRIN1	1568.5764	AKIRIN1	1558.8067
AKIRIN2	1883.6806	AKIRIN2	798.0493
AKNA	167.2454	AKNA	615.0316
AKR1A1	1363.1366	AKR1A1	1609.2943
AKR1B10	75.5208	removed	removed
AKR1B1	329.5718	AKR1B1	1014.9168
AKR1C1	85.9375	AKR1C1	973.6087
AKR1C2	306.1343	AKR1C2	702.8112
AKR1C3	415.2199	AKR1C3	1476.1905
AKR1E2	31.5394	AKR1E2	31.5548
AKR7A2	660.5903	AKR7A2	966.1503
removed	removed	AKR7A3	44.1767
removed	removed	AKR7L	14.9168
AKT1S1	1197.0486	AKT1S1	777.3953
AKT1	1326.0995	AKT1	2627.6535
AKT2	1687.2106	AKT2	2062.5359
AKT3	311.3426	AKT3	1222.6047
AKTIP	1338.2523	AKTIP	749.782
ALAD	439.8148	ALAD	1427.424
ALAS1	1362.2685	ALAS1	868.6173
removed	removed	ALB	4441.7671
ALCAM	3398.7269	ALCAM	3606.9994
ALDH16A1	302.3727	ALDH16A1	349.9713
ALDH18A1	3000.2894	ALDH18A1	1544.4636
ALDH1A1	267.6505	ALDH1A1	2199.6558
ALDH1A2	6.9444	ALDH1A2	402.7539
ALDH1A3	115.3733	ALDH1A3	3606.3224
ALDH1B1	993.9236	ALDH1B1	674.6988
removed	removed	ALDH1L1	407.9174
ALDH1L2	379.0509	ALDH1L2	259.8967
ALDH2	187.5	ALDH2	4399.3115
removed	removed	ALDH3A1	45.8979
ALDH3A2	1783.2755	ALDH3A2	1971.8876
ALDH3B1	67.419	ALDH3B1	180.1492
ALDH3B2	3006.9444	ALDH3B2	907.6305
ALDH4A1	600.4051	ALDH4A1	726.9076
ALDH5A1	1699.9421	ALDH5A1	586.9191
ALDH6A1	446.3947	ALDH6A1	494.6758
ALDH7A1	1823.7847	ALDH7A1	2048.7665
ALDH8A1	17.6505	ALDH8A1	20.0803
ALDH9A1	4872.1065	ALDH9A1	3528.973
ALDOA	21492.4769	ALDOA	11501.4343
ALDOC	253.4722	ALDOC	1062.5359
