gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
ADAT3	25.1439	ADAT3	14.459
ADA	243.6476	ADA	88.153
ADCK1	261.3546	ADCK1	160.4478
ADCK2	1107.3927	ADCK2	715.9515
ADCK4	579.0173	ADCK4	565.7649
ADCK5	151.2174	ADCK5	101.6791
removed	removed	ADCY10	8.3955
ADCY1	230.1903	ADCY1	159.5149
ADCY2	118.2824	ADCY2	159.0485
ADCY3	465.7317	ADCY3	1334.8507
ADCY4	120.4073	ADCY4	328.3582
ADCY5	84.6392	ADCY5	559.7015
ADCY6	1964.0549	ADCY6	4013.5261
ADCY7	449.4024	ADCY7	335.8209
ADCY9	2477.2023	ADCY9	868.4701
removed	removed	ADCYAP1R1	26.1194
removed	removed	ADCYAP1	14.459
ADC	182.0274	ADC	131.0634
ADD1	3865.4272	ADD1	6075.5597
ADD2	7.7911	ADD2	29.8507
ADD3	1522.7977	ADD3	2842.8172
ADH1A	13.8114	ADH1A	170.709
ADH1B	1133.2448	ADH1B	25991.6045
ADH1C	42.8508	ADH1C	247.6679
removed	removed	ADH4	17.7239
ADH5	2088.3577	ADH5	3100.7463
ADHFE1	94.5551	ADHFE1	436.1007
ADI1	1210.4471	ADI1	1262.1269
ADIPOQ	823.019	ADIPOQ	25444.0299
ADIPOR1	5442.7623	ADIPOR1	1994.403
ADIPOR2	2408.1452	ADIPOR2	3179.1045
ADK	544.6658	ADK	297.1082
ADM2	92.7844	ADM2	55.5037
ADM	200.7968	ADM	449.1604
ADNP2	458.61	ADNP2	798.5075
ADNP	2832.4037	ADNP	3017.2575
ADORA1	62.6826	ADORA1	365.2052
ADORA2A	206.8101	ADORA2A	70.4291
ADORA2B	25.8521	ADORA2B	59.7015
ADORA3	258.5215	ADORA3	87.2201
ADO	705.4449	ADO	635.7276
ADPGK	876.0443	ADPGK	706.4599
ADPRHL1	55.954	ADPRHL1	66.6978
ADPRHL2	707.5697	ADPRHL2	465.9515
ADPRH	223.4617	ADPRH	319.0299
removed	removed	ADRA1A	41.5112
ADRA1B	17.7069	ADRA1B	26.1194
ADRA1D	8.1452	ADRA1D	5.1306
ADRA2A	1194.1567	ADRA2A	752.7985
ADRA2B	9.9159	ADRA2B	41.5112
ADRA2C	124.6569	ADRA2C	47.1082
ADRB1	8.8535	ADRB1	88.153
ADRB2	17.7069	ADRB2	220.6157
ADRBK1	1323.4174	ADRBK1	1301.306
ADRBK2	622.5764	ADRBK2	2038.2463
ADRM1	1659.8495	ADRM1	908.1157
ADSL	624.7012	ADSL	675.8396
ADSSL1	94.9093	ADSSL1	159.5149
ADSS	3881.3634	ADSS	1114.2724
AEBP1	21906.6844	AEBP1	4242.0709
AEBP2	679.9469	AEBP2	765.8582
AEN	419.6547	AEN	292.444
AES	5156.2638	AES	5048.041
AFAP1L1	297.4768	AFAP1L1	477.1455
AFAP1L2	566.9765	AFAP1L2	1618.4701
AFAP1	1222.1266	AFAP1	1420.7043
AFF1	1718.9907	AFF1	3493.0037
AFF2	10.6242	AFF2	44.7761
AFF3	1893.2271	AFF3	4694.9627
AFF4	2826.7375	AFF4	4626.3993
AFG3L1	250.7304	AFG3L1	263.0597
AFG3L2	965.5104	AFG3L2	1267.0709
AFMID	345.6397	AFMID	551.306
AFP	431.3413	AFP	60.1679
AFTPH	1937.4945	AFTPH	1744.403
AG2	242.2311	AG2	110.0746
AGAP11	10.27	AGAP11	193.5728
AGAP1	309.5175	AGAP1	531.7164
AGAP2	39.0013	AGAP2	110.4991
AGAP3	961.8415	AGAP3	1625.9328
AGAP4	200.7968	AGAP4	232.7425
AGAP5	48.8676	AGAP5	63.3022
AGAP6	120.4073	AGAP6	120.3358
