gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
AKR7A2	1718.1355	AKR7A2	1003.3515
AKR7A3	1254.1879	AKR7A3	58.651
AKR7L	32.7749	AKR7L	8.3787
AKT1S1	1167.5164	AKT1S1	755.7604
AKT1	2870.721	AKT1	1359.0281
AKT2	2013.11	AKT2	768.7474
AKT3	148.9439	AKT3	1509.845
AKTIP	712.3343	AKTIP	1037.5869
ALAD	1487.2542	ALAD	1044.8261
ALAS1	969.0459	ALAS1	596.1458
removed	removed	ALB	7212.4005
ALCAM	651.4931	ALCAM	6347.7168
ALDH16A1	337.2178	ALDH16A1	152.9116
ALDH18A1	2252.3671	ALDH18A1	1202.765
ALDH1A1	201.0197	ALDH1A1	2684.5413
ALDH1A2	34.2316	ALDH1A2	455.8023
ALDH1A3	115.9177	ALDH1A3	8002.4675
ALDH1B1	699.563	ALDH1B1	497.2769
removed	removed	ALDH1L1	116.8831
ALDH1L2	105.6082	ALDH1L2	181.8182
ALDH2	1738.1646	ALDH2	4244.6586
removed	removed	ALDH3A1	18.8521
ALDH3A2	8345.5936	ALDH3A2	2664.4323
ALDH3B1	637.6548	ALDH3B1	149.9791
ALDH3B2	1429.716	ALDH3B2	1560.9552
ALDH4A1	736.7079	ALDH4A1	302.8907
ALDH5A1	686.0889	ALDH5A1	833.6824
ALDH6A1	624.9235	ALDH6A1	391.3574
ALDH7A1	1196.2855	ALDH7A1	861.3322
ALDH8A1	7.2833	ALDH8A1	10.8923
ALDH9A1	3584.1224	ALDH9A1	3733.9757
ALDOA	102298.9803	ALDOA	6796.3972
ALDOC	592.134	ALDOC	1215.752
ALG10B	512.0175	ALG10B	558.0226
ALG10	123.8165	ALG10	131.9648
ALG11	32.4108	removed	removed
ALG12	715.5863	ALG12	178.0478
ALG13	416.9701	ALG13	771.6799
ALG14	403.1318	ALG14	431.504
ALG1L	8.6744	removed	removed
ALG1	1936.5732	ALG1	191.6339
ALG2	1946.1034	ALG2	1751.571
ALG3	1387.8369	ALG3	883.1169
ALG5	1322.6511	ALG5	1002.9326
ALG6	727.968	ALG6	692.501
ALG8	1643.1173	ALG8	1839.1286
ALG9	647.4873	ALG9	1007.9598
ALKBH1	311.362	ALKBH1	334.7298
ALKBH2	214.4938	ALKBH2	134.8974
ALKBH3	511.6533	ALKBH3	271.8894
ALKBH4	222.3962	ALKBH4	78.8312
ALKBH5	1842.2942	ALKBH5	2242.145
ALKBH6	98.689	ALKBH6	20.5279
ALKBH7	691.9155	ALKBH7	160.8714
ALKBH8	776.0379	ALKBH8	315.8777
removed	removed	ALK	7.9598
ALMS1P	5.0983	removed	removed
ALMS1	513.8383	ALMS1	438.6259
ALOX12P2	10.925	ALOX12P2	6.703
ALOX15B	11.6533	ALOX15B	84.2061
ALOX15	63.7291	ALOX15	310.8504
ALOX5AP	260.7429	ALOX5AP	704.6502
ALOX5	189.7305	ALOX5	641.8098
ALOXE3	12.0175	ALOXE3	18.8521
ALPK1	504.37	ALPK1	434.0176
removed	removed	ALPK2	10.0545
ALPK3	55.3532	ALPK3	108.0855
ALPL	128.5506	ALPL	611.2275
ALS2CL	99.7815	ALS2CL	80.0168
removed	removed	ALS2CR11	8.7977
removed	removed	ALS2CR12	5.8651
ALS2CR4	354.3336	ALS2CR4	1948.8898
ALS2CR8	124.1806	ALS2CR8	170.088
ALS2	386.3802	ALS2	591.5375
removed	removed	ALX1	5.8651
AMACR	378.7327	AMACR	323.4185
AMBP	7.6475	removed	removed
AMBRA1	761.1071	AMBRA1	285.7143
AMD1	909.2972	AMD1	4549.225
AMDHD1	51.3474	AMDHD1	24.2983
AMDHD2	371.4348	AMDHD2	25.5551
AMFR	5871.8135	AMFR	2968.1609
AMICA1	33.1391	AMICA1	22.6225
AMIGO1	147.4873	AMIGO1	77.5031
AMIGO2	1006.555	AMIGO2	6235.442
AMIGO3	94.319	AMIGO3	14.2438
AMMECR1L	741.0779	AMMECR1L	795.1403
AMMECR1	260.3787	AMMECR1	383.7453
AMN1	320.8303	AMN1	487.6414
AMOTL1	269.8471	AMOTL1	1821.5333
AMOTL2	1621.9956	AMOTL2	3368.6636
AMOT	365.9869	AMOT	1306.2421
removed	removed	AMPD1	26.393
AMPD2	465.7684	AMPD2	272.3083
AMPD3	282.2287	AMPD3	209.468
AMPH	52.4399	AMPH	124.8429
AMT	16.3875	AMT	74.9895
removed	removed	AMY1A	108.9233
AMY2B	42.4035	AMY2B	237.1177
AMZ1	151.1289	removed	removed
AMZ2P1	321.1945	AMZ2P1	260.1592
AMZ2	3471.9592	AMZ2	1968.1609
ANAPC10	149.3081	ANAPC10	336.8245
ANAPC11	1935.1784	ANAPC11	176.372
ANAPC13	2629.2935	ANAPC13	3640.8504
ANAPC16	2709.7597	ANAPC16	4256.8077
ANAPC1	786.2345	ANAPC1	406.7868
ANAPC2	543.3358	ANAPC2	130.708
ANAPC4	410.7793	ANAPC4	633.4311
ANAPC5	2690.823	ANAPC5	2001.6757
ANAPC7	1280.772	ANAPC7	979.0532
ANGEL1	534.2316	ANGEL1	563.8877
ANGEL2	790.2403	ANGEL2	1056.5563
ANGPT1	13.8383	ANGPT1	278.5924
ANGPT2	152.5856	ANGPT2	559.6984
removed	removed	ANGPT4	7.5408
ANGPTL1	19.665	ANGPTL1	383.7453
ANGPTL2	592.134	ANGPTL2	4618.3494
ANGPTL4	29.4975	ANGPTL4	205.2786
removed	removed	ANGPTL5	11.7302
removed	removed	ANGPTL7	421.4495
ANG	530.7138	ANG	560.5153
removed	removed	ANK1	15.9196
ANK2	68.4632	ANK2	1074.5706
ANK3	1296.4312	ANK3	816.925
ANKAR	22.9425	ANKAR	67.8676
ANKDD1A	19.665	ANKDD1A	142.0193
ANKFY1	1261.8354	ANKFY1	1647.256
ANKHD1-EIF4EBP3	1289.2098	ANKHD1-EIF4EBP3	788.253
ANKHD1	1642.6293	ANKHD1	2443.0205
ANKH	538.9658	ANKH	2363.6364
ANKIB1	1603.7873	ANKIB1	1501.8852
removed	removed	ANKK1	8.7977
ANKLE2	1335.7611	ANKLE2	1263.0917
ANKMY1	260.3787	ANKMY1	116.4642
ANKMY2	521.1216	ANKMY2	799.7486
ANKRA2	226.8755	ANKRA2	550.4818
ANKRD10	1111.504	ANKRD10	2098.4499
ANKRD11	650.091	ANKRD11	749.4763
ANKRD12	1379.8252	ANKRD12	1934.2271
ANKRD13A	1039.6941	ANKRD13A	2305.4043
ANKRD13B	133.2848	ANKRD13B	48.1776
ANKRD13C	709.3955	ANKRD13C	1035.1906
ANKRD13D	322.6511	ANKRD13D	220.7792
ANKRD16	255.2586	ANKRD16	115.6263
ANKRD17	1902.7677	ANKRD17	3011.3113
ANKRD19	63.0007	ANKRD19	29.3255
removed	removed	ANKRD1	7.5408
ANKRD20A3	8.3758	ANKRD20A3	22.6225
removed	removed	ANKRD20A4	5.4462
removed	removed	ANKRD20B	10.4734
ANKRD22	443.9184	ANKRD22	100.9636
ANKRD23	12.3816	ANKRD23	5.0272
ANKRD24	82.6657	ANKRD24	6.284
ANKRD26	273.1245	ANKRD26	222.455
ANKRD27	662.7822	ANKRD27	788.8563
ANKRD28	1652.2214	ANKRD28	1743.6112
ANKRD29	11.6533	ANKRD29	426.0578
ANKRD30A	113.6198	ANKRD30A	84.2061
ANKRD30B	100.1457	ANKRD30B	21.3657
ANKRD32	154.7706	ANKRD32	189.359
removed	removed	ANKRD34A	38.1232
ANKRD35	11.6533	ANKRD35	56.5563
ANKRD36BP1	41.1508	ANKRD36BP1	179.3046
ANKRD36B	7.6475	ANKRD36B	11.3113
ANKRD36	54.9891	ANKRD36	184.7507
ANKRD37	91.9701	ANKRD37	476.5857
ANKRD39	175.1639	ANKRD39	50.6912
ANKRD40	1847.7786	ANKRD40	2028.9066
ANKRD42	981.0634	ANKRD42	452.4508
ANKRD43	12.7458	ANKRD43	41.0557
ANKRD44	29.1333	removed	removed
ANKRD46	1657.531	ANKRD46	1152.0737
ANKRD49	341.2236	ANKRD49	742.7734
ANKRD50	466.1326	ANKRD50	1369.0825
ANKRD52	933.7218	ANKRD52	525.3456
removed	removed	ANKRD53	18.0142
ANKRD54	641.6606	ANKRD54	247.5911
removed	removed	ANKRD55	14.2438
ANKRD56	134.0131	ANKRD56	66.6108
ANKRD57	1680.6264	ANKRD57	1733.9757
ANKRD5	430.8084	ANKRD5	140.3435
ANKRD6	61.9883	ANKRD6	282.4592
removed	removed	ANKRD7	5.4462
ANKRD9	85.2149	ANKRD9	22.6225
ANKS1A	730.1529	ANKS1A	712.191
ANKS1B	251.6387	ANKS1B	46.0829
ANKS3	215.2221	ANKS3	31.0013
ANKS6	80.1165	ANKS6	51.9481
ANKZF1	279.6795	ANKZF1	224.5496
ANLN	272.7604	ANLN	58.651
ANO10	1324.1078	ANO10	843.318
ANO1	731.2454	ANO1	6195.6431
ANO2	15.295	ANO2	18.4332
removed	removed	ANO3	55.7185
ANO5	48.4341	ANO5	322.5806
